代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12599632.220000000670552
真實報酬,2599632.220000000670552

夏普值報酬,0.251263222000000
夏普值風險,0.063160920038779
夏普值,3.978143792803070

二次趨勢線,55.869607338709855 x^2 + 13392.476317661898065 x + 10000000.000000000000000
二次加權預期報酬,22890.309565242576355
風險,255951.493413100397447
二次加權趨勢值,0.089432217253361
一次趨勢線,18734.925358238764602 x + 10000000.000000000000000
一次預期報酬,18734.925358238764602
一次風險,275429.598104435019195
一次趨勢值,0.068020741006691
找到最佳解世代,1794
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),UTX[24](2),VZ[26](5),
FS( 33 ),3955745.239999999757856,3449994.000000000465661,3382404.259999999776483,10788144.500000000000000
FS( 34 ),3896696.859999999869615,3478633.749999999534339,3345748.619999999646097,10721080.229999998584390
FS( 35 ),3985750.279999999795109,3493347.749999999534339,3281305.639999999664724,10760404.669999998062849
FS( 36 ),4016909.359999999869615,3545635.000000000000000,3280123.199999999254942,10842668.559999998658895
FS( 37 ),4013639.579999999608845,3527505.250000000000000,3309092.979999999515712,10850238.809999998658895
FS( 38 ),3981903.479999999981374,3582945.500000000465661,3332150.559999999590218,10897000.539999999105930
FS( 39 ),3995751.959999999962747,3563764.750000000000000,3374718.399999999441206,10934236.109999999403954
FS( 40 ),4033065.919999999925494,3566129.500000000000000,3391863.779999999329448,10991060.199999999254942
FS( 41 ),4015755.319999999832362,3555094.000000000465661,3348113.500000000000000,10918963.820000000298023
FS( 42 ),4097692.159999999683350,3510426.500000000000000,3267707.580000000074506,10875827.240000000223517
FS( 43 ),4009023.419999999925494,3464182.500000000000000,3267116.359999999403954,10740323.279999999329448
FS( 44 ),3924201.479999999981374,3437119.250000000000000,3286626.619999999646097,10647948.349999999627471
FS( 45 ),3718782.359999999869615,3304167.750000000000000,3264751.479999999515712,10287702.589999999850988
FS( 46 ),3789178.799999999813735,3384306.500000000465661,3254700.739999999292195,10428187.039999999105930
FS( 47 ),3828416.159999999683350,3389824.249999999534339,3257065.619999999646097,10475307.029999999329448
FS( 48 ),3912853.419999999925494,3454723.499999999534339,3300224.679999999701977,10667802.599999999627471
FS( 49 ),3865922.459999999962747,3448417.500000000465661,3297859.799999999813735,10612200.760000001639128
FS( 50 ),3856113.119999999646097,3363812.000000000465661,3292538.819999999366701,10512464.939999999478459
FS( 51 ),4019409.779999999795109,3388247.749999999534339,3332741.779999999329448,10740400.309999998658895
FS( 52 ),3899774.299999999813735,3266069.000000000000000,3294312.479999999515712,10460156.779999999329448
FS( 53 ),3880347.959999999962747,3251355.000000000000000,3328603.239999999292195,10460307.199999999254942
FS( 54 ),3971901.799999999813735,3285775.250000000000000,3349295.939999999478459,10606973.989999998360872
FS( 55 ),4045952.699999999720603,3327552.500000000000000,3369988.639999999664724,10743494.839999999850988
FS( 56 ),4046145.040000000037253,3328603.500000000000000,3326829.580000000074506,10701579.120000001043081
FS( 57 ),4089998.559999999590218,3345682.250000000000000,3345748.619999999646097,10781430.429999999701977
FS( 58 ),4086536.439999999944121,3362235.500000000000000,3356981.799999999813735,10805754.739999998360872
FS( 59 ),3897658.559999999590218,3242947.000000000000000,3306136.879999999888241,10446743.439999999478459
FS( 60 ),3971709.459999999962747,3297336.250000000000000,3352843.259999999776483,10621889.969999998807907
FS( 61 ),3926894.239999999757856,3273163.250000000000000,3380630.599999999627471,10580689.089999999850988
FS( 62 ),3953244.819999999832362,3333595.750000000000000,3426154.540000000037253,10712996.109999999403954
FS( 63 ),4020179.139999999664724,3402961.749999999534339,3425563.319999999366701,10848705.209999997168779
FS( 64 ),4014985.959999999962747,3422142.500000000465661,3438570.159999999683350,10875699.620000001043081
FS( 65 ),3956514.599999999627471,3388773.250000000000000,3431475.519999999552965,10776764.369999999180436
FS( 66 ),4023641.259999999776483,3443425.250000000465661,3439752.599999999627471,10906820.109999999403954
FS( 67 ),4102308.319999999832362,3495449.750000000000000,3463992.619999999646097,11061751.689999999478459
FS( 68 ),4101923.639999999664724,3512791.250000000000000,3491779.959999999962747,11106495.849999999627471
FS( 69 ),4119426.579999999608845,3523826.750000000465661,3468131.159999999683350,11111385.490000000223517
FS( 70 ),4168088.599999999627471,3518571.750000000000000,3530209.259999999776483,11216870.609999999403954
FS( 71 ),4300610.860000000335276,3572172.749999999534339,3555040.500000000000000,11427825.109999999403954
FS( 72 ),4290993.860000000335276,3611848.000000000000000,3572777.099999999627471,11475619.960000000894070
FS( 73 ),4207518.299999999813735,3627613.000000000000000,3544989.759999999776483,11380122.059999998658895
FS( 74 ),4229637.400000000372529,3628138.500000000465661,3517793.639999999664724,11375570.539999999105930
FS( 75 ),4245024.599999999627471,3605279.250000000000000,3539668.779999999329448,11389973.629999998956919
FS( 76 ),4284838.980000000447035,3617103.000000000000000,3543216.099999999627471,11445159.080000000074506
FS( 77 ),4250025.440000000409782,3613687.250000000000000,3546172.199999999254942,11409885.890000000596046
FS( 78 ),4187899.619999999646097,3562188.250000000000000,3564500.019999999552965,11314588.889999998733401
FS( 79 ),4206941.279999999329448,3564815.749999999534339,3559770.259999999776483,11331528.289999999105930
FS( 80 ),4186937.919999999925494,3559823.499999999534339,3577506.859999999403954,11324269.279999999329448
FS( 81 ),4251371.820000000298023,3595294.750000000465661,3563317.580000000074506,11409985.150000000372529
FS( 82 ),4229445.059999999590218,3613687.250000000000000,3573368.319999999366701,11416501.629999998956919
FS( 83 ),4208864.679999999701977,3583733.749999999534339,3565091.239999999292195,11357690.669999998062849
FS( 84 ),4307919.779999999329448,3587149.500000000465661,3568638.559999999590218,11463708.839999999850988
FS( 85 ),4319844.860000000335276,3515418.750000000000000,3538486.339999999850988,11373750.949999999254942
FS( 86 ),4211557.440000000409782,3428185.750000000000000,3482911.659999999683350,11122655.849999999627471
FS( 87 ),4247332.679999999701977,3447629.250000000000000,3488823.859999999403954,11183786.789999999105930
FS( 88 ),4366391.139999999664724,3500179.250000000000000,3541442.439999999478459,11408013.829999998211861
FS( 89 ),4367352.839999999850988,3486516.250000000000000,3562135.139999999664724,11416005.230000000447035
FS( 90 ),4316190.400000000372529,3436593.750000000000000,3530800.479999999515712,11283585.629999998956919
FS( 91 ),4366775.820000000298023,3467335.500000000000000,3501239.479999999515712,11335351.800000000745058
FS( 92 ),4425631.860000000335276,3518834.499999999534339,3537303.899999999441206,11481771.259999997913837
FS( 93 ),4543343.940000000409782,3577427.750000000000000,3543216.099999999627471,11663988.789999999105930
FS( 94 ),4536804.379999999888241,3571384.499999999534339,3523705.839999999850988,11631895.719999998807907
FS( 95 ),4526225.679999999701977,3577427.750000000000000,3579871.739999999292195,11683526.169999998062849
FS( 96 ),4507953.379999999888241,3592141.750000000000000,3564500.019999999552965,11664596.149999998509884
FS( 97 ),4525456.320000000298023,3630503.249999999534339,3571594.659999999683350,11727555.230000000447035
FS( 98 ),4547190.739999999292195,3594506.500000000465661,3609432.739999999292195,11751130.980000000447035
FS( 99 ),4626050.139999999664724,3635232.750000000000000,3591696.139999999664724,11852980.029999999329448
FS( 100 ),4615471.440000000409782,3715634.250000000000000,3592878.580000000074506,11923985.269999999552965
FS( 101 ),4677404.919999999925494,3676221.750000000000000,3599382.000000000000000,11953009.669999999925494
FS( 102 ),4685098.520000000484288,3768972.500000000000000,3581645.399999999441206,12035717.419999998062849
FS( 103 ),4742800.520000000484288,3756360.500000000000000,3569229.779999999329448,12068391.799999998882413
FS( 104 ),4790308.500000000000000,3758462.500000000000000,3557996.599999999627471,12106768.599999999627471
FS( 105 ),4679520.659999999217689,3731136.500000000000000,3558587.819999999366701,11969245.980000000447035
FS( 106 ),4678943.639999999664724,3779482.500000000000000,3595834.679999999701977,12054261.820000000298023
FS( 107 ),4784730.639999999664724,3772651.000000000465661,3575141.979999999515712,12132524.620000001043081
FS( 108 ),4920522.679999999701977,3854103.500000000000000,3569229.779999999329448,12343856.959999999031425
FS( 109 ),4952835.799999999813735,3875911.749999999534339,3539668.779999999329448,12368417.329999998211861
FS( 110 ),4945719.219999999739230,3884845.250000000000000,3517793.639999999664724,12348359.109999999403954
FS( 111 ),4947834.959999999962747,3896931.750000000000000,3555040.500000000000000,12399808.210000000894070
FS( 112 ),4989957.419999999925494,3907967.249999999534339,3578689.299999999813735,12476614.969999998807907
FS( 113 ),5003613.559999999590218,3911908.500000000000000,3508925.339999999850988,12424448.399999998509884
FS( 114 ),5043235.599999999627471,3894567.000000000000000,3524297.059999999590218,12462100.660000000149012
FS( 115 ),5038619.439999999478459,3899033.749999999534339,3507151.679999999701977,12444805.869999999180436
FS( 116 ),5086896.780000000260770,3896931.750000000000000,3512472.659999999683350,12496302.190000001341105
FS( 117 ),5051698.559999999590218,3891676.750000000465661,3508334.119999999646097,12451710.429999999701977
FS( 118 ),5111708.639999999664724,3924520.500000000465661,3518384.859999999403954,12554615.000000000000000
FS( 119 ),5137482.200000000186265,3917951.750000000465661,3514246.319999999366701,12569681.269999999552965
FS( 120 ),5121902.660000000149012,3898508.250000000000000,3517793.639999999664724,12538205.550000000745058
FS( 121 ),5062277.259999999776483,3853315.250000000000000,3516611.199999999254942,12432204.709999999031425
FS( 122 ),5039581.139999999664724,3870394.000000000465661,3524297.059999999590218,12434273.199999999254942
FS( 123 ),5035157.319999999366701,3880903.999999999534339,3532574.139999999664724,12448636.459999997168779
FS( 124 ),5123441.379999999888241,3876174.500000000465661,3510699.000000000000000,12510315.880000000819564
FS( 125 ),5083434.660000000149012,3891939.500000000000000,3540851.219999999739230,12516226.379999998956919
FS( 126 ),5151715.359999999403954,3910332.000000000000000,3553266.839999999850988,12615315.199999999254942
FS( 127 ),5140367.299999999813735,3897720.000000000000000,3561543.919999999925494,12599632.220000000670552
