代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10107561.910000000149012
真實報酬,107561.910000000149012

夏普值報酬,0.002056191000000
夏普值風險,0.043453040458899
夏普值,0.047319841794382

二次趨勢線,181.185915565583372 x^2 + -21265.626671560559771 x + 10000000.000000000000000
二次加權預期報酬,10019.141416096834291
風險,290396.975026133819483
二次加權趨勢值,0.034501535063150
一次趨勢線,-3668.206957073096874 x + 10000000.000000000000000
一次預期報酬,-3668.206957073096874
一次風險,447405.713913569925353
一次趨勢值,-1641176752.412012815475464
找到最佳解世代,2296
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](2),VZ[26](1),
FS( 33 ),4499118.740000000223517,5095940.519999999552965,9595059.259999999776483
FS( 34 ),4513807.340000000782311,5103320.559999999590218,9617127.900000000372529
FS( 35 ),4587250.340000000782311,5129150.699999999254942,9716401.039999999105930
FS( 36 ),4550528.840000000782311,5132840.719999999739230,9683369.560000000521541
FS( 37 ),4444770.920000000856817,5099630.539999999105930,9544401.460000000894070
FS( 38 ),4474148.120000001043081,5049815.269999999552965,9523963.390000000596046
FS( 39 ),4546122.260000000707805,5011070.059999999590218,9557192.320000000298023
FS( 40 ),4384547.660000001080334,4992619.959999999031425,9377167.620000001043081
FS( 41 ),4377203.360000000335276,4959409.779999999329448,9336613.140000000596046
FS( 42 ),4471210.400000000372529,5023985.129999999888241,9495195.530000001192093
FS( 43 ),4597532.360000000335276,5040590.219999999739230,9638122.580000000074506
FS( 44 ),4452115.220000000670552,4985239.919999998994172,9437355.140000000596046
FS( 45 ),4444770.920000000856817,5051660.279999999329448,9496431.199999999254942
FS( 46 ),4331668.700000000186265,4959409.779999999329448,9291078.480000000447035
FS( 47 ),4406580.560000000521541,4946494.709999999031425,9353075.269999999552965
FS( 48 ),4294947.200000000186265,4832104.089999999850988,9127051.289999999105930
FS( 49 ),4262632.280000000260770,4863469.259999999776483,9126101.539999999105930
FS( 50 ),4388954.240000000223517,4935424.649999999441206,9324378.890000000596046
FS( 51 ),4384547.660000001080334,4898524.449999999254942,9283072.109999999403954
FS( 52 ),4453584.080000001005828,4950184.729999999515712,9403768.810000000521541
FS( 53 ),4433020.040000000037253,4948339.719999999739230,9381359.759999999776483
FS( 54 ),4463866.100000000558794,4918819.559999999590218,9382685.660000000149012
FS( 55 ),4471210.400000000372529,4944649.699999999254942,9415860.099999999627471
FS( 56 ),4433020.040000000037253,4902214.469999999739230,9335234.509999999776483
FS( 57 ),4405111.700000000186265,4918819.559999999590218,9323931.259999999776483
FS( 58 ),4253819.120000001043081,4787823.849999999627471,9041642.970000000670552
FS( 59 ),4215628.760000000707805,4822879.039999999105930,9038507.800000000745058
FS( 60 ),4234723.940000000409782,4741698.599999999627471,8976422.539999999105930
FS( 61 ),4240599.380000000819564,4726938.519999999552965,8967537.900000000372529
FS( 62 ),4228848.500000000000000,4645758.079999999143183,8874606.579999998211861
FS( 63 ),4306698.080000001005828,4758303.689999999478459,9065001.769999999552965
FS( 64 ),4269976.580000001005828,4747233.629999999888241,9017210.210000000894070
FS( 65 ),4256756.840000000782311,4693728.339999999850988,8950485.179999999701977
FS( 66 ),4393360.820000000298023,4758303.689999999478459,9151664.509999999776483
FS( 67 ),4474148.120000001043081,4767528.739999999292195,9241676.859999999403954
FS( 68 ),4456521.800000000745058,4693728.339999999850988,9150250.140000000596046
FS( 69 ),4474148.120000001043081,4671588.219999999739230,9145736.339999999850988
FS( 70 ),4537309.100000000558794,4774908.779999999329448,9312217.879999998956919
FS( 71 ),4484430.140000000596046,4791513.869999999180436,9275944.009999999776483
FS( 72 ),4509400.760000000707805,4889299.399999999441206,9398700.160000000149012
FS( 73 ),4504994.180000000633299,4926199.599999999627471,9431193.780000001192093
FS( 74 ),4493243.300000000745058,4939114.669999998994172,9432357.969999998807907
FS( 75 ),4581374.900000000372529,5022140.119999999180436,9603515.019999999552965
FS( 76 ),4610752.100000000558794,5033210.179999999701977,9643962.280000001192093
FS( 77 ),4626909.560000000521541,5018450.099999999627471,9645359.660000000149012
FS( 78 ),4601938.940000000409782,5023985.129999999888241,9625924.070000000298023
FS( 79 ),4575499.459999999962747,5012915.069999999366701,9588414.529999999329448
FS( 80 ),4500587.600000000558794,5012915.069999999366701,9513502.669999999925494
FS( 81 ),4437426.620000001043081,5059040.319999999366701,9496466.940000001341105
FS( 82 ),4371327.920000000856817,4996309.979999999515712,9367637.900000000372529
FS( 83 ),4388954.240000000223517,4924354.589999999850988,9313308.830000000074506
FS( 84 ),4287602.900000000372529,4952029.739999999292195,9239632.640000000596046
FS( 85 ),4205346.740000000223517,4937269.660000000149012,9142616.400000000372529
FS( 86 ),4171562.960000000428408,4833949.099999999627471,9005512.060000000521541
FS( 87 ),4090775.660000000614673,4852399.199999999254942,8943174.859999999403954
FS( 88 ),4156874.360000000800937,4946494.709999999031425,9103369.070000000298023
FS( 89 ),4243537.100000000558794,4909594.509999999776483,9153131.609999999403954
FS( 90 ),4289071.760000000707805,4892989.419999998994172,9182061.179999999701977
FS( 91 ),4359577.040000000037253,4940959.679999999701977,9300536.719999998807907
FS( 92 ),4402173.980000000447035,4916974.549999998882413,9319148.529999999329448
FS( 93 ),4412456.000000000000000,4887454.389999998733401,9299910.389999998733401
FS( 94 ),4427144.600000000558794,4961254.789999999105930,9388399.390000000596046
FS( 95 ),4453584.080000001005828,4952029.739999999292195,9405613.820000000298023
FS( 96 ),4535840.240000000223517,4944649.699999999254942,9480489.939999999478459
FS( 97 ),4456521.800000000745058,4924354.589999999850988,9380876.390000000596046
FS( 98 ),4527027.080000001005828,4929889.619999999180436,9456916.699999999254942
FS( 99 ),4528495.940000000409782,4920664.569999999366701,9449160.509999999776483
FS( 100 ),4509400.760000000707805,4892989.419999998994172,9402390.179999999701977
FS( 101 ),4553466.560000000521541,4981549.899999999441206,9535016.460000000894070
FS( 102 ),4541715.680000000633299,5169740.919999998994172,9711456.599999999627471
FS( 103 ),4622502.980000000447035,5217711.179999999701977,9840214.160000000149012
FS( 104 ),4521151.640000000596046,5274906.489999999292195,9796058.129999998956919
FS( 105 ),4455052.940000000409782,5333946.809999999590218,9788999.750000000000000
FS( 106 ),4471210.400000000372529,5328411.779999999329448,9799622.179999999701977
FS( 107 ),4472679.260000000707805,5361621.959999999031425,9834301.219999998807907
FS( 108 ),4618096.400000000372529,5453872.459999999031425,10071968.859999999403954
FS( 109 ),4762044.680000000633299,5450182.439999999478459,10212227.120000001043081
FS( 110 ),4834018.820000000298023,5424352.299999998882413,10258371.119999999180436
FS( 111 ),4908930.680000000633299,5452027.449999999254942,10360958.129999998956919
FS( 112 ),4913337.260000000707805,5452027.449999999254942,10365364.710000000894070
FS( 113 ),4919212.700000001117587,5509222.759999999776483,10428435.460000000894070
FS( 114 ),4895710.940000000409782,5538742.919999998994172,10434453.859999999403954
FS( 115 ),4698883.700000000186265,5453872.459999999031425,10152756.160000000149012
FS( 116 ),4719447.740000001154840,5594093.219999999739230,10313540.960000000894070
FS( 117 ),4704759.140000000596046,5540587.929999999701977,10245347.070000000298023
FS( 118 ),4685663.959999999962747,5527672.859999999403954,10213336.820000000298023
FS( 119 ),4751762.660000001080334,5566418.069999999366701,10318180.730000000447035
FS( 120 ),4779671.000000000000000,5562728.049999998882413,10342399.049999998882413
FS( 121 ),4669506.500000000000000,5464942.519999999552965,10134449.019999999552965
FS( 122 ),4643067.020000000484288,5418817.269999999552965,10061884.289999999105930
FS( 123 ),4626909.560000000521541,5426197.309999999590218,10053106.870000001043081
FS( 124 ),4559342.000000000000000,5437267.369999999180436,9996609.369999999180436
FS( 125 ),4694477.120000001043081,5472322.559999999590218,10166799.679999999701977
FS( 126 ),4678319.660000001080334,5442802.399999999441206,10121122.060000000521541
FS( 127 ),4754700.379999999888241,5505532.739999999292195,10260233.119999999180436
FS( 128 ),4687132.820000000298023,5431732.339999999850988,10118865.160000000149012
FS( 129 ),4659224.480000000447035,5448337.429999999701977,10107561.910000000149012
