代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12073089.439999999478459
真實報酬,2073089.439999999478459

夏普值報酬,0.198608944000000
夏普值風險,0.067804202469772
夏普值,2.929153898514523

二次趨勢線,208.789568014756156 x^2 + -8958.417011812425699 x + 10000000.000000000000000
二次加權預期報酬,26535.809550696118094
風險,135176.870303962758044
二次加權趨勢值,0.196304363986434
一次趨勢線,11006.778386116258844 x + 10000000.000000000000000
一次預期報酬,11006.778386116258844
一次風險,403513.488777410355397
一次趨勢值,0.027277349313564
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](10),BA[2](2),MSFT[18](5),NKE[19](1),PFE[20](8),
FS( 15 ),1834760.800000000046566,1984911.720000000204891,1869627.599999999860302,1921955.270000000018626,2051171.120000000111759,9662426.510000001639128
FS( 16 ),1786307.199999999953434,1942624.829999999841675,1894915.349999999627471,1902285.459999999962747,1997117.120000000111759,9523249.959999999031425
FS( 17 ),1786617.800000000279397,1958904.290000000037253,1892105.599999999860302,1916244.679999999934807,2017297.279999999795109,9571169.650000000372529
FS( 18 ),1766428.800000000046566,2000198.530000000027940,1930318.199999999720603,1962563.909999999916181,2025225.200000000186265,9684734.640000000596046
FS( 19 ),1747171.600000000093132,2047845.730000000214204,1945490.849999999627471,1977157.639999999897555,2030990.959999999962747,9748656.779999999329448
FS( 20 ),1759595.600000000093132,2033750.100000000093132,1940995.249999999767169,2020304.320000000065193,2018738.720000000204891,9773383.990000000223517
FS( 21 ),1815814.200000000186265,2049632.500000000000000,1930880.149999999674037,1977792.150000000139698,2002162.160000000149012,9776281.160000000149012
FS( 22 ),1856813.400000000139698,2014492.689999999944121,1907278.249999999534339,1986675.289999999804422,1996396.399999999906868,9761656.029999999329448
FS( 23 ),1867063.200000000186265,2042683.949999999953434,1911211.899999999674037,1994289.409999999916181,1992792.799999999813735,9808041.259999999776483
FS( 24 ),1852154.400000000139698,2068691.380000000121072,1922450.899999999674037,2019035.300000000046566,2015855.839999999850988,9878187.820000000298023
FS( 25 ),1841594.000000000000000,2072066.390000000130385,1929194.299999999580905,2021573.339999999850988,2027387.359999999869615,9891815.389999998733401
FS( 26 ),1874207.000000000232831,2078220.820000000065193,1930318.199999999720603,2028552.949999999953434,2043243.200000000186265,9954542.169999999925494
FS( 27 ),1866752.600000000093132,2094500.280000000027940,1949986.449999999953434,2017766.280000000027940,2049729.680000000167638,9978735.290000000968575
FS( 28 ),1895949.000000000000000,2121897.419999999925494,2005619.499999999534339,2021573.339999999850988,2073513.439999999944121,10118552.699999999254942
FS( 29 ),1892532.400000000139698,2022433.890000000130385,2004495.599999999860302,2020304.320000000065193,2076396.319999999832362,10016162.529999999329448
FS( 30 ),1896570.200000000186265,2097676.759999999776483,2032593.099999999860302,2010152.159999999916181,2074954.879999999888241,10111947.099999999627471
FS( 31 ),1908994.200000000186265,2069286.970000000204891,2038212.599999999860302,1989213.330000000074506,2067026.959999999962747,10072734.060000000521541
FS( 32 ),1909304.800000000046566,2080404.650000000139698,2008429.249999999767169,2009517.650000000139698,2067026.959999999962747,10074683.310000000521541
FS( 33 ),1915827.400000000139698,2136787.169999999925494,1991570.749999999534339,2008883.139999999897555,2053333.279999999795109,10106401.740000000223517
FS( 34 ),1885699.200000000186265,2123485.660000000149012,1764542.949999999720603,2010152.159999999916181,2096576.479999999981374,9880456.450000001117587
FS( 35 ),1891600.600000000093132,2121500.360000000335276,1798821.899999999674037,2008248.629999999888241,2115315.200000000186265,9935486.690000001341105
FS( 36 ),1859298.200000000186265,2139963.650000000372529,1788144.849999999627471,2005076.080000000074506,2120360.240000000223517,9912843.019999999552965
FS( 37 ),1954652.400000000139698,2123287.129999999888241,1796012.149999999674037,1987309.800000000046566,2110270.160000000149012,9971531.640000000596046
FS( 38 ),1945645.000000000000000,2118323.879999999888241,1763980.999999999767169,1982868.229999999981374,2103783.680000000167638,9914601.789999999105930
FS( 39 ),1956826.600000000093132,2096485.579999999841675,1776905.849999999860302,1984137.250000000000000,2116756.640000000130385,9931111.919999999925494
FS( 40 ),1986954.800000000046566,2080801.709999999962747,1772410.249999999767169,1989847.839999999850988,2129008.879999999888241,9959023.480000000447035
FS( 41 ),2011492.200000000186265,2099066.469999999739230,1789830.699999999720603,1994289.409999999916181,2138378.240000000223517,10033057.019999999552965
FS( 42 ),2008075.600000000325963,2086559.079999999841675,1789268.749999999767169,1996192.939999999944121,2106666.560000000055879,9986762.929999999701977
FS( 43 ),2026401.000000000000000,2118323.879999999888241,1779715.599999999860302,2093272.970000000204891,2098017.919999999925494,10115731.369999999180436
FS( 44 ),2052491.400000000139698,2142147.480000000447035,1792078.499999999767169,2103425.129999999888241,2116756.640000000130385,10206899.150000000372529
FS( 45 ),2082930.200000000186265,2134206.280000000260770,1781401.449999999720603,2106597.680000000167638,2103783.680000000167638,10208919.289999999105930
FS( 46 ),2064294.199999999953434,2125073.900000000372529,1774658.049999999580905,2111039.250000000000000,2114594.479999999981374,10189659.880000000819564
FS( 47 ),2063362.400000000372529,2112765.040000000037253,1801631.649999999906868,2082486.300000000046566,2108828.720000000204891,10169074.109999999403954
FS( 48 ),2045658.200000000186265,2101250.299999999813735,1848273.499999999767169,2095811.010000000009313,2099459.359999999869615,10190452.369999999180436
FS( 49 ),2016461.800000000046566,2091125.270000000018626,1837596.449999999953434,2104059.639999999664724,2105225.120000000111759,10154468.280000001192093
FS( 50 ),2073922.800000000046566,2069485.500000000000000,1847149.599999999627471,2110404.739999999757856,2103783.680000000167638,10204746.319999998435378
FS( 51 ),2172383.000000000000000,2108992.969999999739230,1811184.799999999580905,2088196.889999999664724,2109549.439999999944121,10290307.099999999627471
FS( 52 ),2211829.199999999720603,2067897.260000000009313,1817928.199999999720603,2041243.150000000139698,2092252.160000000149012,10231149.970000000670552
FS( 53 ),2209344.399999999906868,2039507.470000000204891,1786458.999999999767169,2014593.729999999981374,2075675.600000000093132,10125580.199999999254942
FS( 54 ),2228912.200000000186265,2054198.689999999944121,1787020.949999999720603,2019669.809999999823049,2044684.640000000130385,10134486.289999999105930
FS( 55 ),2252828.399999999906868,2079014.939999999944121,1763980.999999999767169,2052664.330000000074506,2051171.120000000111759,10199659.789999999105930
FS( 56 ),2223321.399999999906868,2077228.169999999925494,1776905.849999999860302,2050760.800000000046566,2056216.160000000149012,10184432.379999998956919
FS( 57 ),2229222.799999999813735,2062934.010000000009313,1776343.899999999674037,2034898.050000000046566,2035315.279999999795109,10138714.039999999105930
FS( 58 ),2231707.600000000093132,2087353.199999999953434,1820175.999999999767169,2057740.409999999916181,2029549.520000000018626,10226526.730000000447035
FS( 59 ),2223010.799999999813735,2094103.220000000204891,1952796.199999999720603,2036801.580000000074506,2042522.479999999981374,10349234.279999999329448
FS( 60 ),2231707.600000000093132,2095095.870000000111759,1919079.199999999720603,2027918.439999999944121,2019459.439999999944121,10293260.549999998882413
FS( 61 ),2168034.600000000093132,2049036.909999999916181,1869065.649999999674037,1993020.389999999897555,2018018.000000000000000,10097175.549999998882413
FS( 62 ),2178284.399999999906868,2050228.089999999850988,1855578.849999999860302,2010786.670000000158325,2033153.120000000111759,10128031.129999998956919
FS( 63 ),2181701.000000000000000,2083184.070000000065193,1885362.199999999487773,2013959.219999999972060,2025225.200000000186265,10189431.689999999478459
FS( 64 ),2161822.600000000093132,2063132.540000000037253,1876932.949999999720603,1993020.389999999897555,2033153.120000000111759,10128061.599999999627471
FS( 65 ),2168034.600000000093132,2084772.310000000055879,1791516.549999999580905,2039974.129999999888241,2018738.720000000204891,10103036.310000000521541
FS( 66 ),2212761.000000000000000,2111772.389999999664724,1753303.949999999720603,2066623.550000000046566,2044684.640000000130385,10189145.529999999329448
FS( 67 ),2197541.600000000093132,2117331.230000000447035,1755551.749999999534339,2074237.669999999925494,2037477.439999999944121,10182139.689999999478459
FS( 68 ),2210586.800000000279397,2105816.490000000223517,1750494.199999999720603,2061547.470000000204891,2038198.160000000149012,10166643.120000001043081
FS( 69 ),2245995.200000000186265,2128051.849999999627471,1779153.649999999674037,2074872.180000000167638,2039639.600000000093132,10267712.479999998584390
FS( 70 ),2194746.200000000186265,2147507.790000000037253,1820175.999999999767169,2119922.389999999664724,2050450.399999999906868,10332802.779999999329448
FS( 71 ),2075475.799999999813735,2168551.969999999739230,1839844.249999999767169,2144668.279999999795109,2066306.240000000223517,10294846.539999999105930
FS( 72 ),2097528.399999999906868,2179868.179999999701977,1837034.499999999534339,2159896.520000000018626,2040360.319999999832362,10314687.919999999925494
FS( 73 ),2062741.199999999953434,2210243.269999999552965,1856140.799999999813735,2154820.439999999944121,2054774.720000000204891,10338720.429999999701977
FS( 74 ),1997204.600000000093132,2296405.290000000037253,1843215.949999999487773,2163703.580000000074506,2069189.120000000111759,10369718.539999999105930
FS( 75 ),2020499.600000000093132,2324993.610000000335276,1850521.299999999813735,2167510.639999999664724,2064144.080000000074506,10427669.230000000447035
FS( 76 ),2061809.399999999906868,2350603.980000000447035,1872437.349999999627471,2204312.220000000204891,2092972.879999999888241,10582135.830000001937151
FS( 77 ),2095664.800000000046566,2363309.900000000372529,1890419.749999999767169,2204946.729999999981374,2078558.479999999981374,10632899.660000000149012
FS( 78 ),2073922.800000000046566,2315464.169999999925494,1842653.999999999767169,2201139.669999999925494,2087927.839999999850988,10521108.480000000447035
FS( 79 ),2177042.000000000000000,2332934.810000000521541,1839844.249999999767169,2188449.470000000204891,2075675.600000000093132,10613946.130000000819564
FS( 80 ),2170208.800000000279397,2362515.780000000260770,1824109.649999999674037,2203043.199999999720603,2069189.120000000111759,10629066.550000000745058
FS( 81 ),2136664.000000000465661,2352787.810000000521541,1826919.399999999674037,2186545.939999999944121,2053333.279999999795109,10556250.429999999701977
FS( 82 ),2157474.199999999720603,2370059.919999999925494,1841530.099999999860302,2231596.149999999906868,2055495.439999999944121,10656155.809999998658895
FS( 83 ),2141944.199999999720603,2357354.000000000000000,1869627.599999999860302,2336290.299999999813735,2081441.359999999869615,10786657.459999997168779
FS( 84 ),2115543.200000000186265,2332736.280000000260770,1870189.549999999813735,2304564.799999999813735,2070630.560000000055879,10693664.390000000596046
FS( 85 ),2165239.199999999720603,2337699.530000000260770,1887048.049999999580905,2297585.189999999944121,2082162.080000000074506,10769734.050000000745058
FS( 86 ),2172383.000000000000000,2339486.299999999813735,1906154.349999999860302,2281087.930000000167638,2090810.720000000204891,10789922.300000000745058
FS( 87 ),2145050.200000000186265,2287868.500000000000000,1902782.649999999674037,2272839.299999999813735,2073513.439999999944121,10682054.089999997988343
FS( 88 ),2143186.600000000093132,2326780.379999999888241,1903906.549999999813735,2288702.049999999813735,2090090.000000000000000,10752665.580000000074506
FS( 89 ),2164307.400000000372529,2316655.349999999627471,1871313.449999999487773,2263321.649999999906868,2062702.640000000130385,10678300.490000000223517
FS( 90 ),2134179.199999999720603,2291839.099999999627471,1855016.899999999674037,2229692.620000000111759,2035315.279999999795109,10546043.099999997764826
FS( 91 ),2159027.200000000186265,2272581.690000000409782,1858388.599999999627471,2249362.430000000167638,2038918.879999999888241,10578278.800000000745058
FS( 92 ),2172693.600000000093132,2360530.480000000447035,1897163.149999999674037,2329945.199999999720603,2073513.439999999944121,10833845.869999999180436
FS( 93 ),2186670.600000000093132,2342265.719999999739230,1917955.299999999813735,2330579.709999999962747,2069909.839999999850988,10847381.169999999925494
FS( 94 ),2200958.200000000186265,2371648.160000000149012,1935937.699999999953434,2349615.010000000242144,2115315.200000000186265,10973474.269999999552965
FS( 95 ),2212761.000000000000000,2346236.320000000298023,1938185.499999999767169,2338193.830000000074506,2101621.520000000018626,10936998.169999999925494
FS( 96 ),2223632.000000000000000,2389118.799999999813735,1946614.749999999767169,2364208.739999999757856,2147747.600000000093132,11071321.889999998733401
FS( 97 ),2238540.799999999813735,2427832.150000000372529,1962349.349999999860302,2364843.250000000000000,2180900.720000000204891,11174466.270000001415610
FS( 98 ),2258108.600000000093132,2432398.339999999850988,1964597.149999999674037,2409258.949999999720603,2198918.720000000204891,11263281.759999999776483
FS( 99 ),2313395.400000000372529,2411552.690000000409782,1966282.999999999767169,2414335.029999999795109,2190990.799999999813735,11296556.920000001788139
FS( 100 ),2306872.799999999813735,2431604.219999999739230,1943243.049999999580905,2409893.459999999962747,2211170.959999999962747,11302784.489999998360872
FS( 101 ),2329236.000000000000000,2561442.839999999850988,1897163.149999999674037,2397203.260000000242144,2205405.200000000186265,11390450.449999999254942
FS( 102 ),2360296.000000000000000,2560648.719999999739230,1894915.349999999627471,2395934.239999999757856,2206125.919999999925494,11417920.229999998584390
FS( 103 ),2333895.000000000000000,2604523.849999999627471,2007867.299999999580905,2401644.830000000074506,2206125.919999999925494,11554056.900000000372529
FS( 104 ),2351288.600000000093132,2578516.419999999925494,1998876.099999999627471,2395934.239999999757856,2215495.279999999795109,11540110.639999998733401
FS( 105 ),2292585.200000000186265,2574148.759999999776483,1996066.349999999860302,2408624.439999999944121,2252252.000000000000000,11523676.750000000000000
FS( 106 ),2329236.000000000000000,2574545.820000000298023,1997190.249999999767169,2415604.049999999813735,2229188.959999999962747,11545765.080000001937151
FS( 107 ),2319296.800000000279397,2590825.280000000260770,1989884.899999999441206,2403548.360000000335276,2211891.680000000167638,11515447.019999999552965
FS( 108 ),2307494.000000000465661,2641053.370000000111759,1996628.299999999813735,2413066.010000000242144,2246486.240000000223517,11604727.920000001788139
FS( 109 ),2337311.600000000093132,2636288.649999999441206,2019668.249999999534339,2423218.169999999925494,2252972.720000000204891,11669459.390000000596046
FS( 110 ),2331410.200000000186265,2651773.990000000223517,2059004.749999999767169,2449233.080000000074506,2251531.279999999795109,11742953.299999998882413
FS( 111 ),2311531.800000000279397,2642244.549999999813735,2145545.049999999813735,2435273.860000000335276,2232071.839999999850988,11766667.099999999627471
FS( 112 ),2273949.199999999720603,2610876.809999999590218,2107332.449999999720603,2401644.830000000074506,2227747.520000000018626,11621550.809999998658895
FS( 113 ),2309978.800000000279397,2650185.750000000000000,2123067.049999999813735,2446695.040000000037253,2257297.040000000037253,11787223.679999999701977
FS( 114 ),2303145.600000000093132,2631126.870000000111759,2112390.000000000000000,2447964.060000000055879,2251531.279999999795109,11746157.810000000521541
FS( 115 ),2307494.000000000465661,2627156.270000000484288,2099465.149999999906868,2439080.919999999925494,2261621.359999999869615,11734817.700000001117587
FS( 116 ),2310289.399999999906868,2643832.790000000037253,2144421.149999999441206,2469537.399999999906868,2296936.640000000130385,11865017.379999998956919
FS( 117 ),2343523.600000000093132,2681950.549999999813735,2136553.850000000093132,2494917.799999999813735,2306306.000000000000000,11963251.800000000745058
FS( 118 ),2329546.600000000093132,2701605.020000000484288,2126438.750000000000000,2513318.589999999850988,2320720.400000000372529,11991629.360000001266599
FS( 119 ),2301282.000000000000000,2746869.860000000335276,2090473.949999999953434,2493014.270000000018626,2307026.719999999739230,11938666.800000000745058
FS( 120 ),2305319.800000000279397,2719472.719999999739230,2064624.249999999767169,2468902.889999999664724,2281801.520000000018626,11840121.179999999701977
FS( 121 ),2285130.799999999813735,2629538.629999999888241,2083730.549999999580905,2469537.399999999906868,2300540.240000000223517,11768477.619999999180436
FS( 122 ),2312463.600000000093132,2639068.070000000298023,2101712.949999999720603,2477786.029999999795109,2304143.839999999850988,11835174.489999998360872
FS( 123 ),2306562.200000000186265,2699421.190000000409782,2111266.099999999627471,2502531.919999999925494,2314954.639999999664724,11934736.050000000745058
FS( 124 ),2323955.799999999813735,2640457.780000000260770,2115199.749999999534339,2510780.549999999813735,2316396.080000000074506,11906789.959999999031425
FS( 125 ),2366818.600000000093132,2675796.120000000111759,2098903.199999999720603,2525374.279999999795109,2298378.080000000074506,11965270.279999999329448
FS( 126 ),2422416.000000000000000,2674604.940000000409782,2112951.949999999720603,2517125.649999999906868,2297657.359999999869615,12024755.900000000372529
FS( 127 ),2467453.000000000000000,2665274.030000000260770,2142735.299999999813735,2510780.549999999813735,2286846.560000000055879,12073089.439999999478459
