代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10860248.150000000372529
真實報酬,860248.150000000372529

夏普值報酬,0.077324815000000
夏普值風險,0.039593336783055
夏普值,1.952975457049454

二次趨勢線,156.156850412088261 x^2 + -9945.395802108134376 x + 10000000.000000000000000
二次加權預期報酬,15976.641366298514185
風險,105341.838824014688726
二次加權趨勢值,0.151664728323086
一次趨勢線,4635.514929141078028 x + 10000000.000000000000000
一次預期報酬,4635.514929141078028
一次風險,290887.894913857802749
一次趨勢值,0.015935743666865
找到最佳解世代,2321
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MCD[15](10),MRK[17](9),UNH[23](1),WMT[28](3),XOM[29](6),
FS( 43 ),2097579.330000000074506,1904554.669999999925494,1962424.500000000000000,2133656.599999999627471,1816605.359999999869615,9914820.459999999031425
FS( 44 ),2126478.510000000242144,1928869.639999999897555,1966131.500000000000000,2184341.959999999962747,1832083.679999999934807,10037905.290000000968575
FS( 45 ),2112207.310000000055879,1902377.209999999962747,1946080.000000000000000,2206213.040000000037253,1816839.879999999888241,9983717.439999999478459
FS( 46 ),2063328.449999999953434,1885683.350000000093132,1888790.000000000000000,2257592.719999999739230,1787759.400000000139698,9883153.919999999925494
FS( 47 ),2060117.429999999934807,1853747.270000000018626,1856269.500000000000000,2205865.879999999888241,1751643.319999999832362,9727643.400000000372529
FS( 48 ),2081702.619999999878928,1859916.739999999990687,1846496.500000000000000,2229472.759999999776483,1728191.319999999832362,9745779.939999999478459
FS( 49 ),2095081.869999999878928,1878425.149999999906868,1891654.500000000000000,2208643.160000000149012,1763603.840000000083819,9837408.519999999552965
FS( 50 ),2053695.390000000130385,1838505.049999999813735,1840599.000000000000000,2149625.959999999962747,1774157.239999999990687,9656582.639999998733401
FS( 51 ),2080453.890000000130385,1879876.789999999804422,1866379.500000000000000,2189202.200000000186265,1855535.679999999934807,9871448.060000000521541
FS( 52 ),2054765.729999999981374,1855924.729999999981374,1841273.000000000000000,2149973.120000000111759,1819419.599999999860302,9721356.179999999701977
FS( 53 ),2096152.209999999962747,1863182.930000000167638,1897046.500000000000000,2171844.200000000186265,1791746.239999999990687,9819972.080000000074506
FS( 54 ),2065469.129999999888241,1834513.039999999804422,1934285.000000000000000,2112132.679999999701977,1716230.800000000046566,9662630.650000000372529
FS( 55 ),2102217.470000000204891,1847940.709999999962747,1912548.500000000000000,2148237.320000000298023,1737806.639999999897555,9748750.640000000596046
FS( 56 ),2112207.310000000055879,1863545.840000000083819,1926534.000000000000000,2176357.280000000260770,1795733.079999999841675,9874377.509999999776483
FS( 57 ),2126478.510000000242144,1847940.709999999962747,1910526.500000000000000,2202741.440000000409782,1734992.400000000139698,9822679.560000000521541
FS( 58 ),2148420.479999999981374,1867174.940000000176951,1920299.500000000000000,2221835.240000000223517,1798781.840000000083819,9956512.000000000000000
FS( 59 ),2156269.640000000130385,1827980.659999999916181,1892834.000000000000000,2220099.440000000409782,1765714.520000000018626,9862898.259999999776483
FS( 60 ),2183206.529999999795109,1785520.190000000176951,1876826.500000000000000,2229472.759999999776483,1805582.919999999925494,9880608.899999998509884
FS( 61 ),2208181.129999999888241,1838867.959999999962747,1940519.500000000000000,2303765.000000000000000,1825751.639999999897555,10117085.230000000447035
FS( 62 ),2222987.500000000000000,1841771.239999999990687,1952820.000000000000000,2343341.240000000223517,1789166.520000000018626,10150086.500000000000000
FS( 63 ),2211213.760000000242144,1829432.299999999813735,1918951.500000000000000,2321123.000000000000000,1749298.120000000111759,10030018.679999999701977
FS( 64 ),2166973.040000000037253,1816367.539999999804422,1899911.000000000000000,2300640.559999999590218,1840526.400000000139698,10024418.539999999105930
FS( 65 ),2152523.449999999720603,1763382.680000000167638,1924343.500000000000000,2305847.959999999962747,1872186.599999999860302,10018284.189999999478459
FS( 66 ),2058690.310000000055879,1792052.570000000065193,1882555.500000000000000,2325983.240000000223517,1878049.599999999860302,9937331.220000000670552
FS( 67 ),2070285.659999999916181,1772092.520000000018626,1853910.500000000000000,2322511.640000000596046,1903377.759999999776483,9922178.080000000074506
FS( 68 ),2087411.100000000093132,1784068.549999999813735,1873119.500000000000000,2284671.200000000186265,1878049.599999999860302,9907319.950000001117587
FS( 69 ),2096865.770000000018626,1797496.219999999972060,1899742.500000000000000,2283976.879999999888241,1860929.639999999897555,9939011.009999999776483
FS( 70 ),2082416.179999999934807,1772818.340000000083819,1864020.500000000000000,2267660.359999999403954,1866792.639999999897555,9853708.019999999552965
FS( 71 ),2103822.979999999981374,1779350.719999999972060,1884240.500000000000000,2297516.120000000111759,1900329.000000000000000,9965259.320000000298023
FS( 72 ),2126121.729999999981374,1806568.969999999972060,1940351.000000000000000,2287795.640000000596046,1904784.879999999888241,10065622.220000000670552
FS( 73 ),2116488.669999999925494,1836327.590000000083819,1993428.500000000000000,2295086.000000000000000,1923077.439999999944121,10164408.199999999254942
FS( 74 ),2090265.340000000083819,1826166.110000000102445,1979106.000000000000000,2226001.160000000149012,1933630.840000000083819,10055169.450000001117587
FS( 75 ),2078848.379999999888241,1818907.909999999916181,1982981.500000000000000,2244747.799999999813735,1934803.439999999944121,10060289.029999999329448
FS( 76 ),2099184.839999999850988,1842497.060000000055879,2043473.000000000000000,2278422.320000000298023,1932223.719999999972060,10195800.940000001341105
FS( 77 ),2085448.810000000055879,1834150.129999999888241,2041451.000000000000000,2307930.919999999925494,1905019.400000000139698,10174000.259999999776483
FS( 78 ),2088303.050000000046566,1834875.950000000186265,2025443.500000000000000,2330149.160000000149012,1911820.479999999748543,10190592.140000000596046
FS( 79 ),2111672.140000000130385,1850843.989999999990687,2042293.500000000000000,2362087.879999999888241,1923311.959999999962747,10290209.469999998807907
FS( 80 ),2088303.050000000046566,1837779.229999999981374,2044484.000000000000000,2308972.400000000372529,1917214.439999999944121,10196753.120000001043081
FS( 81 ),2090622.119999999878928,1822174.100000000093132,2006908.500000000000000,2303070.679999999701977,1879691.239999999990687,10102466.639999998733401
FS( 82 ),2120234.859999999869615,1878062.239999999990687,2050213.000000000000000,2307236.599999999627471,1906192.000000000000000,10261938.699999999254942
FS( 83 ),2113634.430000000167638,1896933.560000000055879,2043473.000000000000000,2298557.599999999627471,1939493.840000000083819,10292092.429999999701977
FS( 84 ),2081702.619999999878928,1890764.090000000083819,2052740.500000000000000,2296127.480000000447035,1932458.239999999990687,10253792.929999999701977
FS( 85 ),2090443.729999999981374,1890038.270000000018626,2052403.500000000000000,2318345.719999999739230,1929878.520000000018626,10281109.740000000223517
FS( 86 ),2089908.560000000055879,1910361.229999999981374,2051729.500000000000000,2356880.480000000447035,1980769.359999999869615,10389649.129999998956919
FS( 87 ),2112564.089999999850988,1903465.940000000176951,2050044.500000000000000,2362087.879999999888241,1937852.199999999953434,10366014.609999999403954
FS( 88 ),2134327.669999999925494,1900199.750000000000000,2040608.500000000000000,2344382.719999999739230,1932458.239999999990687,10351976.880000000819564
FS( 89 ),2140392.930000000167638,1924877.629999999888241,2057290.000000000000000,2340216.799999999813735,1927298.800000000046566,10390076.160000000149012
FS( 90 ),2168400.159999999683350,1930684.190000000176951,2108008.500000000000000,2331884.959999999962747,1927533.319999999832362,10466511.129999998956919
FS( 91 ),2192482.810000000055879,1926329.270000000018626,2110030.500000000000000,2338481.000000000000000,1932692.759999999776483,10500016.339999999850988
FS( 92 ),2201937.479999999981374,1902377.209999999962747,2103796.000000000000000,2363823.679999999701977,1942308.079999999841675,10514242.449999999254942
FS( 93 ),2203542.989999999757856,1884957.529999999795109,2104638.500000000000000,2360352.080000000074506,1943480.679999999934807,10496971.779999999329448
FS( 94 ),2197120.949999999720603,1870078.219999999972060,2098404.000000000000000,2341605.440000000409782,1972326.639999999897555,10479535.250000000000000
FS( 95 ),2213532.830000000074506,1896207.739999999990687,2135305.500000000000000,2324247.440000000409782,1974671.840000000083819,10543965.350000001490116
FS( 96 ),2208716.299999999813735,1916167.789999999804422,2135642.500000000000000,2359657.759999999776483,1961069.679999999934807,10581254.029999999329448
FS( 97 ),2208894.689999999944121,1924514.719999999972060,2157210.500000000000000,2356186.160000000149012,1972795.679999999934807,10619601.750000000000000
FS( 98 ),2215495.120000000111759,1926329.270000000018626,2187035.000000000000000,2341952.599999999627471,1964118.439999999944121,10634930.429999999701977
FS( 99 ),2199440.020000000018626,1925966.360000000102445,2166815.000000000000000,2360699.240000000223517,1969512.400000000139698,10622433.020000001415610
FS( 100 ),2197299.339999999850988,1917256.520000000018626,2172375.500000000000000,2364865.160000000149012,1975140.879999999888241,10626937.399999998509884
FS( 101 ),2211570.540000000037253,1935039.110000000102445,2187709.000000000000000,2361740.719999999739230,1982411.000000000000000,10678470.370000001043081
FS( 102 ),2244751.080000000074506,1931410.010000000009313,2185181.500000000000000,2388472.040000000037253,1982176.479999999748543,10731991.109999999403954
FS( 103 ),2242075.229999999981374,1920159.799999999813735,2172038.500000000000000,2377710.080000000074506,1960366.120000000111759,10672349.730000000447035
FS( 104 ),2265979.489999999757856,1948829.690000000176951,2189225.500000000000000,2397498.200000000186265,1945591.359999999869615,10747124.239999998360872
FS( 105 ),2275790.939999999944121,1974233.389999999897555,2181980.000000000000000,2398886.839999999850988,1950281.759999999776483,10781172.929999999701977
FS( 106 ),2272401.529999999795109,1968426.830000000074506,2140697.500000000000000,2382917.480000000447035,1928002.359999999869615,10692445.699999999254942
FS( 107 ),2274898.989999999757856,2018871.320000000065193,2157379.000000000000000,2396803.879999999888241,1953799.560000000055879,10801752.750000000000000
FS( 108 ),2285959.169999999925494,2011250.209999999962747,2137833.000000000000000,2368336.759999999776483,1931754.679999999934807,10735133.820000000298023
FS( 109 ),2282748.149999999906868,2009072.750000000000000,2117781.500000000000000,2362782.200000000186265,1951454.359999999869615,10723838.960000000894070
FS( 110 ),2275612.549999999813735,1997822.539999999804422,2128734.000000000000000,2339869.640000000596046,1954034.079999999841675,10696072.810000000521541
FS( 111 ),2276504.500000000000000,2008346.930000000167638,2136653.500000000000000,2388472.040000000037253,1978189.639999999897555,10788166.609999999403954
FS( 112 ),2263660.419999999925494,2030847.350000000093132,2152829.500000000000000,2400622.640000000596046,1989446.599999999860302,10837406.509999999776483
FS( 113 ),2274720.600000000093132,2048629.940000000176951,2156536.500000000000000,2388472.040000000037253,2003517.800000000046566,10871876.880000000819564
FS( 114 ),2279537.129999999888241,2037379.729999999981374,2145584.000000000000000,2397498.200000000186265,1992729.879999999888241,10852728.939999997615814
FS( 115 ),2298624.859999999869615,2050807.399999999906868,2153672.000000000000000,2425271.000000000000000,2011726.000000000000000,10940101.259999999776483
FS( 116 ),2298803.250000000000000,2063509.250000000000000,2198998.500000000000000,2422146.559999999590218,2021810.359999999869615,11005267.919999998062849
FS( 117 ),2293273.160000000149012,2053347.770000000018626,2256794.000000000000000,2402705.599999999627471,2035647.039999999804422,11041767.569999998435378
FS( 118 ),2244037.520000000018626,2054073.590000000083819,2240449.500000000000000,2377015.759999999776483,2035412.520000000018626,10950988.890000000596046
FS( 119 ),2238864.209999999962747,2059154.330000000074506,2260164.000000000000000,2385694.759999999776483,2052767.000000000000000,10996644.300000000745058
FS( 120 ),2273828.649999999906868,2040283.010000000009313,2254266.500000000000000,2411731.759999999776483,2048076.599999999860302,11028186.519999999552965
FS( 121 ),2278288.399999999906868,2033750.629999999888241,2262017.500000000000000,2405830.040000000037253,2055112.199999999953434,11034998.769999999552965
FS( 122 ),2288813.410000000149012,2043549.200000000186265,2237753.500000000000000,2409995.959999999962747,2074577.359999999869615,11054689.429999999701977
FS( 123 ),2282034.589999999850988,2022863.330000000074506,2225453.000000000000000,2392290.799999999813735,2064493.000000000000000,10987134.719999998807907
FS( 124 ),2256524.819999999832362,1990201.430000000167638,2218881.500000000000000,2321470.160000000149012,2073170.239999999990687,10860248.150000000372529
