代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12997431.769999999552965
真實報酬,2997431.769999999552965

夏普值報酬,0.291043177000000
夏普值風險,0.081087569570468
夏普值,3.589245288047178

二次趨勢線,74.350974982396906 x^2 + 15269.076251242247963 x + 10000000.000000000000000
二次加權預期報酬,27710.472731629986811
風險,161411.558937754773069
二次加權趨勢值,0.171675888108583
一次趨勢線,22267.250689326505380 x + 10000000.000000000000000
一次預期報酬,22267.250689326505380
一次風險,207994.842493406758877
一次趨勢值,0.107056744399960
找到最佳解世代,1297
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](4),JNJ[12](7),UNH[23](2),
FS( 47 ),2932413.449999999720603,2576812.159999999683350,2764215.839999999850988,2797644.639999999664724,11071086.089999999850988
FS( 48 ),2956121.060000000055879,2603216.340000000316650,2774326.139999999664724,2823195.459999999962747,11156859.000000000000000
FS( 49 ),2968141.820000000298023,2585213.489999999757856,2788480.559999999590218,2825436.760000000242144,11167272.630000000819564
FS( 50 ),2897352.899999999906868,2526404.180000000167638,2753768.529999999795109,2760887.320000000298023,10938412.929999999701977
FS( 51 ),2901359.820000000298023,2539606.270000000018626,2812071.259999999776483,2815575.040000000037253,11068612.390000000596046
FS( 52 ),2894681.620000000111759,2475996.199999999720603,2827573.720000000204891,2780610.760000000242144,10978862.300000000745058
FS( 53 ),2875648.750000000000000,2469995.250000000000000,2803309.000000000000000,2675717.919999999925494,10824670.919999999925494
FS( 54 ),2937088.189999999944121,2455592.970000000204891,2847457.309999999590218,2691407.020000000018626,10931545.490000000223517
FS( 55 ),2903029.370000000111759,2471195.439999999944121,2858915.649999999906868,2654649.699999999720603,10887790.160000000149012
FS( 56 ),2944434.210000000428408,2509601.520000000018626,2879810.270000000018626,2624168.020000000018626,10958014.019999999552965
FS( 57 ),3032920.359999999869615,2447191.640000000130385,2844087.209999999962747,2635374.520000000018626,10959573.730000000447035
FS( 58 ),3060968.800000000279397,2477196.390000000130385,2872059.039999999571592,2660028.820000000298023,11070253.050000000745058
FS( 59 ),3100370.179999999701977,2480796.959999999962747,2868688.939999999944121,2666304.459999999962747,11116160.539999999105930
FS( 60 ),3068648.730000000447035,2518002.850000000093132,2884191.399999999906868,2690062.239999999757856,11160905.220000000670552
FS( 61 ),3052287.140000000130385,2510801.709999999962747,2872396.049999999813735,2686476.160000000149012,11121961.059999998658895
FS( 62 ),3044607.210000000428408,2445991.449999999720603,2838695.049999999813735,2677062.699999999720603,11006356.410000000149012
FS( 63 ),3078999.939999999944121,2487998.100000000093132,2870036.979999999515712,2666304.459999999962747,11103339.480000000447035
FS( 64 ),3130088.169999999925494,2500000.000000000000000,2889920.569999999832362,2641201.899999999906868,11161210.640000000596046
FS( 65 ),3145114.120000000111759,2497599.619999999646097,2853860.500000000000000,2698579.180000000167638,11195153.419999999925494
FS( 66 ),3165148.720000000204891,2445991.449999999720603,2882506.350000000093132,2712026.979999999981374,11205673.500000000000000
FS( 67 ),3140105.470000000204891,2486797.909999999683350,2880147.279999999795109,2802127.239999999757856,11309177.900000000372529
FS( 68 ),3159138.339999999850988,2500000.000000000000000,2869699.970000000204891,2779714.239999999757856,11308552.550000000745058
FS( 69 ),3146783.669999999925494,2532405.130000000353903,2890257.580000000074506,2820057.639999999664724,11389504.019999999552965
FS( 70 ),3164146.990000000223517,2552808.359999999869615,2893290.669999999459833,2796748.120000000111759,11406994.140000000596046
FS( 71 ),3209224.839999999850988,2552808.359999999869615,2931035.789999999571592,2767162.959999999962747,11460231.949999999254942
FS( 72 ),3239610.649999999906868,2545607.220000000204891,2953615.459999999962747,2761783.839999999850988,11500617.169999999925494
FS( 73 ),3224918.609999999869615,2867258.140000000130385,2947212.270000000018626,2785541.620000000111759,11824930.640000000596046
FS( 74 ),3303053.550000000279397,2909264.789999999571592,2968780.910000000149012,2816919.820000000298023,11998019.070000000298023
FS( 75 ),3296375.350000000093132,2874459.279999999795109,2966084.830000000074506,2804368.540000000037253,11941288.000000000000000
FS( 76 ),3297377.080000000074506,2881660.420000000391155,2985631.410000000149012,2818264.600000000093132,11982933.509999999776483
FS( 77 ),3269996.460000000428408,2801247.689999999944121,2981250.279999999795109,2791817.260000000242144,11844311.689999999478459
FS( 78 ),3330768.080000000074506,2821650.920000000391155,2939124.029999999795109,2795403.339999999850988,11886946.369999999180436
FS( 79 ),3339115.830000000074506,2824051.300000000279397,2925980.639999999664724,2781955.540000000037253,11871103.309999998658895
FS( 80 ),3342788.839999999850988,2867258.140000000130385,2952604.429999999701977,2839332.820000000298023,12001984.230000000447035
FS( 81 ),3308730.020000000018626,2894862.510000000242144,2886550.470000000204891,2839781.080000000074506,11929924.080000000074506
FS( 82 ),3357146.970000000204891,2924867.260000000242144,2898008.809999999590218,2898503.139999999664724,12078526.179999999701977
FS( 83 ),3306392.649999999906868,2894862.510000000242144,2837010.000000000000000,2807506.359999999869615,11845771.519999999552965
FS( 84 ),3363825.169999999925494,2926067.449999999720603,2854871.529999999795109,2815126.779999999795109,11959890.929999997839332
FS( 85 ),3326093.339999999850988,2923667.069999999832362,2834313.919999999459833,2795403.339999999850988,11879477.669999999925494
FS( 86 ),3288695.419999999925494,2918866.310000000055879,2820159.500000000000000,2768059.479999999981374,11795780.710000000894070
FS( 87 ),3331101.990000000223517,2946470.680000000167638,2846446.279999999795109,2775679.899999999906868,11899698.849999999627471
FS( 88 ),3422259.419999999925494,2939269.539999999571592,2861611.729999999515712,2804816.799999999813735,12027957.489999998360872
FS( 89 ),3413911.669999999925494,2923667.069999999832362,2869362.959999999962747,2854573.660000000149012,12061515.359999999403954
FS( 90 ),3397550.080000000074506,2888861.560000000055879,2854197.509999999776483,2865780.160000000149012,12006389.310000000521541
FS( 91 ),3368499.910000000149012,2879260.039999999571592,2822181.559999999590218,2861297.560000000055879,11931239.069999998435378
FS( 92 ),3411240.390000000130385,2922466.880000000353903,2861611.729999999515712,2875641.880000000353903,12070960.880000000819564
FS( 93 ),3400221.359999999869615,2891261.939999999944121,2861611.729999999515712,2859952.779999999795109,12013047.809999998658895
FS( 94 ),3440290.560000000055879,2964473.529999999795109,2885876.449999999720603,2885503.600000000093132,12176144.139999998733401
FS( 95 ),3475351.109999999869615,2978875.810000000055879,2910478.179999999701977,2944225.660000000149012,12308930.759999999776483
FS( 96 ),3414245.580000000074506,2962073.149999999906868,2859926.679999999701977,2925398.740000000223517,12161644.150000000372529
FS( 97 ),3327095.070000000298023,2933268.590000000316650,2784436.439999999944121,2859952.779999999795109,11904752.879999998956919
FS( 98 ),3338448.010000000242144,2938069.350000000093132,2803983.020000000018626,2864435.379999999888241,11944935.760000001639128
FS( 99 ),3267325.179999999701977,2887661.369999999646097,2851501.429999999701977,2898054.880000000353903,11904542.859999999403954
FS( 100 ),3294705.800000000279397,2881660.420000000391155,2876440.169999999459833,2856814.959999999962747,11909621.350000001490116
FS( 101 ),3364159.080000000074506,2927267.640000000130385,2931709.809999999590218,2903882.260000000242144,12127018.790000000968575
FS( 102 ),3444297.480000000447035,2956072.199999999720603,2922273.529999999795109,2962604.320000000298023,12285247.529999999329448
FS( 103 ),3420589.870000000111759,2921266.689999999944121,2893627.679999999701977,2935260.459999999962747,12170744.699999999254942
FS( 104 ),3447302.669999999925494,2921266.689999999944121,2919577.449999999720603,2941984.359999999869615,12230131.169999998062849
FS( 105 ),3388200.600000000093132,2918866.310000000055879,2917555.389999999664724,2925847.000000000000000,12150469.300000000745058
FS( 106 ),3435615.820000000298023,2951271.439999999944121,2924632.600000000093132,2937950.020000000484288,12249469.879999998956919
FS( 107 ),3479358.030000000260770,2948871.060000000055879,2961366.689999999944121,2966190.399999999906868,12355786.179999999701977
FS( 108 ),3485034.500000000000000,2956072.199999999720603,2985631.410000000149012,3028498.540000000037253,12455236.649999998509884
FS( 109 ),3495385.710000000428408,3019682.270000000018626,2995404.699999999720603,3046877.199999999720603,12557349.879999998956919
FS( 110 ),3522766.330000000074506,3049687.020000000018626,3007537.059999999590218,3034325.919999999925494,12614316.330000000074506
FS( 111 ),3568845.910000000149012,3104895.760000000242144,3022028.489999999757856,3064359.339999999850988,12760129.500000000000000
FS( 112 ),3401557.000000000000000,3113297.090000000316650,3032812.809999999590218,3048221.979999999981374,12595888.879999998956919
FS( 113 ),3528108.890000000130385,3112096.899999999906868,3046630.220000000204891,3031188.100000000093132,12718024.109999999403954
FS( 114 ),3480359.760000000242144,3085692.720000000204891,3046630.220000000204891,2999361.639999999664724,12612044.339999999850988
FS( 115 ),3499058.720000000204891,3086892.909999999683350,3037530.949999999720603,2968879.959999999962747,12592362.539999999105930
FS( 116 ),3593889.160000000149012,3103695.569999999832362,3038878.989999999757856,3162528.279999999795109,12898992.000000000000000
FS( 117 ),3571517.189999999944121,3098894.810000000055879,3108303.049999999813735,3202871.680000000167638,12981586.730000000447035
FS( 118 ),3568178.089999999850988,3086892.909999999683350,3109988.100000000093132,3235594.660000000149012,13000653.759999999776483
FS( 119 ),3599231.720000000204891,3067689.869999999646097,3114706.239999999757856,3258455.919999999925494,13040083.750000000000000
FS( 120 ),3571183.280000000260770,3071290.439999999944121,3112684.179999999701977,3251283.760000000242144,13006441.660000000149012
FS( 121 ),3562835.530000000260770,3060488.729999999981374,3119761.389999999664724,3255318.100000000093132,12998403.749999998137355
FS( 122 ),3526105.429999999701977,3060488.729999999981374,3128523.649999999906868,3236939.439999999478459,12952057.250000000000000
FS( 123 ),3499726.540000000037253,3040085.500000000000000,3141330.029999999795109,3262938.520000000484288,12944080.589999999850988
FS( 124 ),3530446.260000000242144,3080891.959999999962747,3139981.989999999757856,3239629.000000000000000,12990949.210000000894070
FS( 125 ),3509409.929999999701977,3071290.439999999944121,3151103.319999999832362,3265628.079999999608845,12997431.769999999552965
