代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11565313.539999999105930
真實報酬,1565313.539999999105930

夏普值報酬,0.147831354000000
夏普值風險,0.046006737298388
夏普值,3.213254464040866

二次趨勢線,-19.053778089213584 x^2 + 15605.578569476527264 x + 10000000.000000000000000
二次加權預期報酬,12417.246369214781225
風險,114375.042879781147349
二次加權趨勢值,0.108566047772034
一次趨勢線,13812.170173629288911 x + 10000000.000000000000000
一次預期報酬,13812.170173629288911
一次風險,119213.117455457249889
一次趨勢值,0.115861160822257
找到最佳解世代,1804
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](3),DIS[6](2),KO[14](1),TRV[22](8),V[25](5),VZ[26](7),WMT[28](13),
FS( 36 ),1471615.479999999981374,1557970.179999999934807,1451225.850000000093132,1505397.800000000046566,1475917.119999999878928,1429327.439999999711290,1496330.720000000204891,10387787.589999999850988
FS( 37 ),1499713.960000000195578,1570275.010000000009313,1462766.999999999767169,1535246.050000000046566,1469487.399999999906868,1425545.239999999757856,1498280.640000000130385,10461318.300000000745058
FS( 38 ),1494034.479999999981374,1561939.479999999981374,1453790.549999999813735,1523566.300000000046566,1474163.559999999823049,1412307.540000000037253,1486093.640000000130385,10405898.550000000745058
FS( 39 ),1490148.520000000018626,1557970.179999999934807,1441394.499999999767169,1506695.550000000046566,1476501.639999999897555,1407390.679999999934807,1479756.400000000139698,10359860.470000000670552
FS( 40 ),1468327.360000000102445,1547650.000000000000000,1441821.949999999720603,1508252.850000000093132,1459550.559999999823049,1422519.479999999748543,1494137.060000000055879,10342262.259999999776483
FS( 41 ),1498817.200000000186265,1544077.629999999888241,1443531.750000000000000,1513184.300000000046566,1470656.439999999944121,1424410.579999999608845,1495599.500000000000000,10390280.400000000372529
FS( 42 ),1513165.360000000102445,1561145.619999999878928,1449943.500000000000000,1538360.650000000139698,1498128.879999999888241,1429705.659999999683350,1515586.180000000167638,10506038.849999999627471
FS( 43 ),1529307.040000000037253,1544474.559999999823049,1449943.500000000000000,1541475.250000000000000,1550151.159999999916181,1420628.379999999888241,1509736.420000000158325,10545719.310000000521541
FS( 44 ),1561889.320000000065193,1587739.929999999934807,1455072.899999999906868,1560422.399999999906868,1564179.639999999897555,1431218.540000000037253,1511930.080000000074506,10672455.810000000521541
FS( 45 ),1548736.840000000083819,1605998.709999999962747,1454218.000000000000000,1539917.949999999953434,1568855.799999999813735,1442565.139999999897555,1508273.980000000214204,10668569.419999999925494
FS( 46 ),1558302.280000000027940,1626639.069999999832362,1465331.699999999953434,1550559.500000000000000,1563595.119999999878928,1434244.299999999813735,1503642.920000000158325,10702317.889999998733401
FS( 47 ),1543655.200000000186265,1638150.040000000037253,1460629.750000000000000,1553414.550000000046566,1583468.799999999813735,1434244.299999999813735,1501936.739999999990687,10715502.380000000819564
FS( 48 ),1563682.840000000083819,1648470.219999999972060,1452935.649999999906868,1554452.750000000000000,1643089.839999999850988,1434244.299999999813735,1510223.900000000139698,10807102.500000000000000
FS( 49 ),1548736.840000000083819,1645294.780000000027940,1452080.749999999767169,1541215.700000000186265,1664717.079999999841675,1425545.239999999757856,1508761.459999999962747,10786354.850000001490116
FS( 50 ),1556508.760000000009313,1658790.399999999906868,1462766.999999999767169,1531093.250000000000000,1647181.479999999748543,1442186.919999999925494,1506080.320000000065193,10804611.129999998956919
FS( 51 ),1553220.640000000130385,1651248.729999999981374,1472598.350000000093132,1535505.599999999860302,1684006.239999999757856,1438782.939999999711290,1516561.140000000130385,10851926.640000000596046
FS( 52 ),1540068.160000000149012,1637356.179999999934807,1461912.100000000093132,1538879.750000000000000,1682252.679999999934807,1430840.319999999832362,1505349.100000000093132,10796661.289999999105930
FS( 53 ),1580422.360000000102445,1648867.149999999906868,1471743.449999999953434,1542773.000000000000000,1662963.519999999785796,1439161.159999999683350,1512173.820000000065193,10858107.459999999031425
FS( 54 ),1580123.439999999944121,1657202.679999999934807,1476017.949999999953434,1553414.550000000046566,1680499.119999999878928,1454668.179999999934807,1522898.380000000121072,10924827.300000000745058
FS( 55 ),1579824.520000000018626,1650057.939999999944121,1470888.549999999813735,1538360.650000000139698,1668808.719999999972060,1455802.839999999850988,1464157.040000000037253,10827903.259999997913837
FS( 56 ),1578031.000000000000000,1638150.040000000037253,1480292.449999999953434,1529795.500000000000000,1700372.799999999813735,1445212.679999999934807,1428327.260000000242144,10800184.730000000447035
FS( 57 ),1574443.960000000195578,1646485.569999999832362,1478582.649999999906868,1530314.600000000093132,1702126.359999999869615,1442186.919999999925494,1426864.820000000065193,10801007.879999998956919
FS( 58 ),1594172.679999999934807,1639737.760000000009313,1474735.599999999860302,1520970.800000000046566,1717908.399999999906868,1442565.139999999897555,1432958.320000000065193,10823051.700000001117587
FS( 59 ),1619580.880000000121072,1652836.449999999953434,1471316.000000000000000,1520970.800000000046566,1707971.559999999823049,1442186.919999999925494,1424914.900000000139698,10839780.509999999776483
FS( 60 ),1607026.239999999990687,1664347.419999999925494,1471316.000000000000000,1515779.800000000046566,1738366.599999999860302,1442943.359999999869615,1436370.680000000167638,10876153.099999999627471
FS( 61 ),1581020.200000000186265,1666729.000000000000000,1493115.949999999953434,1504619.149999999906868,1700372.799999999813735,1441430.479999999748543,1440026.780000000027940,10827317.359999999403954
FS( 62 ),1601346.760000000009313,1682606.199999999953434,1487559.099999999627471,1516298.900000000139698,1712647.719999999972060,1453533.519999999785796,1433689.540000000037253,10887684.739999998360872
FS( 63 ),1584009.400000000139698,1681415.409999999916181,1478582.649999999906868,1505657.350000000093132,1697450.199999999720603,1462610.799999999813735,1438320.600000000093132,10848049.409999998286366
FS( 64 ),1583411.560000000055879,1694911.030000000027940,1479864.999999999767169,1518375.300000000046566,1698619.239999999757856,1475092.059999999823049,1447826.459999999962747,10898103.649999998509884
FS( 65 ),1546644.400000000139698,1667125.929999999934807,1469606.199999999953434,1479183.250000000000000,1678161.040000000037253,1463367.239999999757856,1437345.640000000130385,10741436.700000001117587
FS( 66 ),1562487.160000000149012,1657202.679999999934807,1470461.099999999860302,1476068.649999999906868,1689851.439999999944121,1470175.199999999720603,1459038.500000000000000,10785287.729999998584390
FS( 67 ),1582813.720000000204891,1667919.790000000037253,1480719.899999999906868,1482038.300000000046566,1723753.599999999860302,1483412.899999999674037,1456844.840000000083819,10877506.049999998882413
FS( 68 ),1590286.720000000204891,1676652.250000000000000,1485849.299999999813735,1495275.350000000093132,1712063.199999999720603,1478874.259999999776483,1464400.780000000027940,10903404.859999997541308
FS( 69 ),1577433.160000000149012,1680621.550000000046566,1499527.699999999720603,1495275.350000000093132,1702710.879999999888241,1487195.099999999860302,1479025.180000000167638,10921791.919999999925494
FS( 70 ),1621673.320000000065193,1746908.859999999869615,1501664.949999999953434,1516039.349999999860302,1713816.760000000009313,1493246.619999999646097,1486824.860000000102445,11080177.719999998807907
FS( 71 ),1678468.120000000111759,1725871.569999999832362,1500810.049999999813735,1530055.050000000046566,1706218.000000000000000,1492868.399999999674037,1488774.780000000027940,11123068.969999998807907
FS( 72 ),1695506.560000000055879,1725474.639999999897555,1503374.750000000000000,1533429.199999999953434,1709725.119999999878928,1495515.939999999711290,1492430.880000000121072,11155460.090000001713634
FS( 73 ),1690424.919999999925494,1714360.599999999860302,1499527.699999999720603,1536543.800000000046566,1705048.959999999962747,1496650.599999999860302,1482925.020000000251457,11125484.599999997764826
FS( 74 ),1711947.160000000149012,1724283.849999999860302,1504657.100000000093132,1534467.399999999906868,1736613.040000000037253,1499676.359999999869615,1480487.620000000111759,11192135.530000001192093
FS( 75 ),1701186.040000000037253,1716345.250000000000000,1508931.599999999627471,1535505.599999999860302,1702710.879999999888241,1498919.919999999925494,1477075.260000000242144,11140677.549999998882413
FS( 76 ),1705370.919999999925494,1717536.040000000037253,1520045.300000000046566,1518634.850000000093132,1706218.000000000000000,1504593.219999999972060,1476100.300000000046566,11148501.630000000819564
FS( 77 ),1712545.000000000000000,1718329.899999999906868,1526457.049999999813735,1504619.149999999906868,1713816.760000000009313,1500054.579999999608845,1478293.959999999962747,11154119.399999998509884
FS( 78 ),1711349.320000000065193,1732619.379999999888241,1527739.399999999906868,1510588.800000000046566,1736028.519999999785796,1490977.299999999813735,1480731.360000000102445,11190037.079999998211861
FS( 79 ),1753497.040000000037253,1761595.270000000018626,1536715.850000000093132,1527459.550000000046566,1754733.159999999916181,1487573.319999999832362,1491699.660000000149012,11313276.849999999627471
FS( 80 ),1740344.560000000055879,1752465.879999999888241,1536288.399999999674037,1517856.199999999953434,1750641.519999999785796,1462232.579999999608845,1489018.520000000251457,11248850.659999998286366
FS( 81 ),1765453.840000000083819,1727062.359999999869615,1552958.949999999720603,1525383.150000000139698,1744211.799999999813735,1447103.779999999795109,1491455.920000000158325,11253632.800000000745058
FS( 82 ),1730480.200000000186265,1707215.859999999869615,1577751.049999999813735,1522268.550000000046566,1738951.119999999878928,1439917.599999999860302,1482437.540000000037253,11199024.919999998062849
FS( 83 ),1729583.439999999944121,1737779.469999999972060,1582025.549999999813735,1536543.800000000046566,1724338.119999999878928,1445969.119999999646097,1491699.660000000149012,11247942.160000000149012
FS( 84 ),1734067.239999999990687,1740161.050000000046566,1584590.249999999767169,1539917.949999999953434,1738951.119999999878928,1456937.500000000000000,1495599.500000000000000,11290227.609999999403954
FS( 85 ),1745426.200000000186265,1718329.899999999906868,1576468.699999999953434,1538620.200000000186265,1758824.799999999813735,1454668.179999999934807,1478293.959999999962747,11270634.940000001341105
FS( 86 ),1714936.360000000102445,1704040.419999999925494,1570056.949999999720603,1537062.899999999906868,1738951.119999999878928,1452020.639999999897555,1468788.100000000093132,11185859.490000000223517
FS( 87 ),1736757.520000000018626,1709994.369999999878928,1570484.399999999906868,1528238.200000000186265,1768177.119999999878928,1424410.579999999608845,1478781.440000000176951,11216846.629999998956919
FS( 88 ),1708659.040000000037253,1671492.159999999916181,1557660.899999999674037,1506695.550000000046566,1746549.879999999888241,1416846.179999999934807,1465619.480000000214204,11073526.189999999478459
FS( 89 ),1679364.880000000121072,1627036.000000000000000,1539280.549999999813735,1498909.050000000046566,1706218.000000000000000,1391883.659999999683350,1460744.680000000167638,10903439.819999998435378
FS( 90 ),1702381.720000000204891,1642119.339999999850988,1541417.800000000046566,1509810.150000000139698,1715570.320000000065193,1413820.419999999925494,1457576.060000000055879,10982698.810000000521541
FS( 91 ),1734964.000000000000000,1673079.879999999888241,1543555.049999999813735,1533948.300000000046566,1768761.639999999897555,1420250.159999999683350,1465863.220000000204891,11140425.250000000000000
FS( 92 ),1712246.080000000074506,1661171.979999999981374,1537570.749999999767169,1508512.399999999906868,1799741.199999999720603,1409281.779999999795109,1456844.840000000083819,11085372.029999997466803
FS( 93 ),1728686.679999999934807,1653630.309999999823049,1548256.999999999767169,1535505.599999999860302,1765839.040000000037253,1415711.519999999785796,1476587.780000000027940,11124220.929999997839332
FS( 94 ),1739148.880000000121072,1694117.169999999925494,1580743.199999999720603,1557048.250000000000000,1783959.159999999916181,1427436.339999999850988,1508030.239999999990687,11290486.240000000223517
FS( 95 ),1734964.000000000000000,1686575.500000000000000,1585445.149999999906868,1543551.649999999906868,1779867.519999999785796,1424410.579999999608845,1512661.300000000046566,11267478.700000001117587
FS( 96 ),1720914.760000000009313,1670301.369999999878928,1577751.049999999813735,1601431.300000000046566,1771099.719999999972060,1442943.359999999869615,1505105.360000000102445,11289549.919999998062849
FS( 97 ),1717327.720000000204891,1681018.479999999981374,1584590.249999999767169,1628684.050000000046566,1768177.119999999878928,1464880.119999999646097,1522167.160000000149012,11366847.900000000372529
FS( 98 ),1713441.760000000009313,1667522.859999999869615,1575186.349999999860302,1632836.849999999860302,1726091.679999999934807,1458828.599999999860302,1451238.820000000065193,11225149.919999999925494
FS( 99 ),1722708.280000000027940,1674270.669999999925494,1584162.800000000046566,1644776.149999999906868,1737782.079999999841675,1494003.059999999823049,1408096.840000000083819,11265802.880000000819564
FS( 100 ),1760970.040000000037253,1694911.030000000027940,1601688.249999999767169,1655417.700000000186265,1779867.519999999785796,1493246.619999999646097,1398103.500000000000000,11384207.660000000149012
FS( 101 ),1781296.600000000093132,1721108.409999999916181,1617931.349999999860302,1681113.149999999906868,1800325.719999999972060,1518209.139999999897555,1436858.160000000149012,11556845.530000001192093
FS( 102 ),1798633.960000000195578,1720711.479999999981374,1638021.499999999767169,1661387.350000000093132,1805001.879999999888241,1521613.119999999646097,1438808.080000000074506,11584180.370000001043081
FS( 103 ),1799829.640000000130385,1711185.159999999916181,1631182.299999999813735,1669433.399999999906868,1797403.119999999878928,1527286.419999999925494,1435883.199999999953434,11572206.239999998360872
FS( 104 ),1822547.560000000055879,1738176.399999999906868,1644433.249999999767169,1676700.799999999813735,1798572.159999999916181,1534094.379999999888241,1439783.040000000037253,11654310.589999999850988
FS( 105 ),1824938.919999999925494,1728253.149999999906868,1649135.199999999720603,1680334.500000000000000,1785712.719999999972060,1535607.259999999776483,1438320.600000000093132,11642305.349999999627471
FS( 106 ),1819259.439999999944121,1738970.260000000009313,1655119.499999999767169,1680594.050000000046566,1700957.320000000065193,1537120.139999999897555,1437833.120000000111759,11569856.830000001937151
FS( 107 ),1796541.520000000018626,1704040.419999999925494,1645715.599999999860302,1674105.300000000046566,1721415.519999999785796,1522747.779999999795109,1430764.660000000149012,11495333.799999998882413
FS( 108 ),1796541.520000000018626,1739367.189999999944121,1651699.899999999906868,1676441.250000000232831,1731936.879999999888241,1532959.719999999972060,1442707.920000000158325,11571657.379999998956919
FS( 109 ),1790264.200000000186265,1758419.829999999841675,1648707.749999999767169,1671250.250000000000000,1726676.199999999720603,1533716.159999999683350,1439295.560000000055879,11568332.950000001117587
FS( 110 ),1777410.640000000130385,1786998.790000000037253,1641013.649999999906868,1659051.400000000139698,1716154.839999999850988,1522369.559999999823049,1438808.080000000074506,11541809.960000000894070
FS( 111 ),1776214.960000000195578,1797318.969999999972060,1654692.049999999813735,1677739.000000000000000,1726676.199999999720603,1533716.159999999683350,1442707.920000000158325,11609068.259999999776483
FS( 112 ),1782791.200000000186265,1808433.010000000009313,1655974.399999999906868,1677219.900000000139698,1723169.079999999841675,1556787.579999999608845,1448313.940000000176951,11652692.109999999403954
FS( 113 ),1746322.960000000195578,1792952.739999999990687,1643150.899999999674037,1673586.200000000186265,1705633.479999999748543,1546575.639999999897555,1439783.040000000037253,11548007.960000000894070
FS( 114 ),1731974.800000000046566,1786601.859999999869615,1636311.699999999953434,1665021.050000000279397,1703879.919999999692664,1552627.159999999683350,1446607.760000000242144,11523027.250000000000000
FS( 115 ),1715534.200000000186265,1789380.369999999878928,1631609.750000000000000,1651005.350000000093132,1717323.879999999888241,1546197.419999999925494,1442707.920000000158325,11493761.890000000596046
FS( 116 ),1663522.120000000111759,1759610.619999999878928,1605535.300000000046566,1627386.300000000046566,1680499.119999999878928,1564730.199999999720603,1503399.180000000167638,11404685.839999999850988
FS( 117 ),1656049.120000000111759,1738970.260000000009313,1582880.449999999953434,1613889.699999999953434,1646012.439999999944121,1570781.719999999972060,1521679.680000000167638,11330266.370000001043081
FS( 118 ),1683848.679999999934807,1761992.199999999953434,1592711.799999999813735,1627386.300000000046566,1698619.239999999757856,1563595.540000000037253,1536547.820000000065193,11464704.579999998211861
FS( 119 ),1684446.520000000018626,1761992.199999999953434,1585872.599999999860302,1630500.900000000139698,1730183.320000000065193,1565486.639999999897555,1553365.880000000121072,11511851.060000000521541
FS( 120 ),1673087.560000000055879,1761992.199999999953434,1585872.599999999860302,1630500.900000000139698,1730183.320000000065193,1565486.639999999897555,1553365.880000000121072,11500492.100000001490116
FS( 121 ),1684147.600000000093132,1763976.849999999860302,1614939.199999999953434,1640104.250000000000000,1750057.000000000000000,1565486.639999999897555,1586027.040000000037253,11604741.580000001937151
FS( 122 ),1668304.840000000083819,1766358.429999999934807,1608099.999999999767169,1624790.800000000046566,1744211.799999999813735,1567755.959999999962747,1591876.800000000046566,11571401.629999998956919
FS( 123 ),1690723.840000000083819,1805257.569999999832362,1612801.949999999720603,1632058.200000000186265,1757655.760000000009313,1579102.559999999823049,1600895.180000000167638,11678498.060000000521541
FS( 124 ),1657842.640000000130385,1794143.530000000027940,1604252.949999999953434,1606362.750000000000000,1716739.359999999869615,1566621.299999999813735,1595045.420000000158325,11541010.950000001117587
FS( 125 ),1668902.679999999934807,1814386.959999999962747,1597413.749999999767169,1621935.750000000000000,1683421.719999999972060,1574942.139999999897555,1604307.540000000037253,11565313.539999999105930
