代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12213010.719999998807907
真實報酬,2213010.719999998807907

夏普值報酬,0.212601072000000
夏普值風險,0.085660491915953
夏普值,2.481903468504443

二次趨勢線,216.812862267572683 x^2 + -5910.929505346845872 x + 10000000.000000000000000
二次加權預期報酬,30947.257080140505423
風險,257111.013063760619843
二次加權趨勢值,0.120365350015038
一次趨勢線,14821.481606545276009 x + 10000000.000000000000000
一次預期報酬,14821.481606545276009
一次風險,471146.835599069134332
一次趨勢值,0.031458306597135
找到最佳解世代,2413
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](3),
FS( 23 ),4872993.050000000745058,5232665.539999999105930,10105658.589999999850988
FS( 24 ),4807299.799999999813735,5212987.359999999403954,10020287.160000000149012
FS( 25 ),4697811.049999999813735,5156267.900000000372529,9854078.949999999254942
FS( 26 ),4678833.000000000000000,5140641.109999999403954,9819474.109999999403954
FS( 27 ),4798540.699999999254942,5167843.299999999813735,9966384.000000000000000
FS( 28 ),4738686.850000000558794,5128486.939999999478459,9867173.789999999105930
FS( 29 ),4652555.700000000186265,4921287.280000000260770,9573842.980000000447035
FS( 30 ),4722628.500000000000000,4988424.599999999627471,9711053.099999999627471
FS( 31 ),4767883.849999999627471,4984373.209999999962747,9752257.059999998658895
FS( 32 ),4896350.649999999441206,5020835.719999999739230,9917186.369999999180436
FS( 33 ),5004379.549999999813735,5097233.359999999403954,10101612.910000000149012
FS( 34 ),5052554.599999999627471,5109966.299999999813735,10162520.899999998509884
FS( 35 ),5014598.500000000000000,5140062.339999999850988,10154660.839999999850988
FS( 36 ),5081751.600000000558794,5169000.839999999850988,10250752.440000001341105
FS( 37 ),4940146.150000000372529,5065401.009999999776483,10005547.160000000149012
FS( 38 ),4824818.000000000000000,4976849.199999999254942,9801667.199999999254942
FS( 39 ),4922627.950000000186265,5056719.459999999962747,9979347.410000000149012
FS( 40 ),4963503.750000000000000,5170737.150000000372529,10134240.900000000372529
FS( 41 ),4945985.550000000745058,5193887.949999999254942,10139873.500000000000000
FS( 42 ),4905109.750000000000000,5094918.280000000260770,10000028.030000001192093
FS( 43 ),4932846.899999999441206,5138326.030000000260770,10071172.929999999701977
FS( 44 ),4798540.699999999254942,5082764.109999999403954,9881304.809999998658895
FS( 45 ),4611679.900000000372529,4978585.509999999776483,9590265.410000000149012
FS( 46 ),4740146.700000000186265,5005208.929999999701977,9745355.629999998956919
FS( 47 ),4792701.299999999813735,4967588.879999999888241,9760290.179999999701977
FS( 48 ),4872993.050000000745058,5041671.439999999478459,9914664.490000000223517
FS( 49 ),4951824.950000000186265,5046880.370000000111759,9998705.320000000298023
FS( 50 ),5059853.849999999627471,5122699.240000000223517,10182553.089999999850988
FS( 51 ),5067153.100000000558794,5170737.150000000372529,10237890.250000000000000
FS( 52 ),5068612.950000000186265,5114017.689999999478459,10182630.640000000596046
FS( 53 ),5023357.599999999627471,5169000.839999999850988,10192358.439999999478459
FS( 54 ),5116788.000000000000000,5205463.349999999627471,10322251.349999999627471
FS( 55 ),5058394.000000000000000,5131380.789999999105930,10189774.789999999105930
FS( 56 ),5248174.500000000000000,5188100.250000000000000,10436274.750000000000000
FS( 57 ),5167882.750000000000000,5186942.709999999962747,10354825.460000000894070
FS( 58 ),5216057.799999999813735,5151637.740000000223517,10367695.539999999105930
FS( 59 ),5381020.849999999627471,5343210.609999999403954,10724231.459999999031425
FS( 60 ),5357663.250000000000000,5325268.740000000223517,10682931.990000000223517
FS( 61 ),5261313.149999999441206,5311378.259999999776483,10572691.410000000149012
FS( 62 ),5335765.500000000000000,5311957.030000000260770,10647722.530000001192093
FS( 63 ),5455473.199999999254942,5412084.240000000223517,10867557.439999999478459
FS( 64 ),5272991.949999999254942,5399351.299999999813735,10672343.250000000000000
FS( 65 ),5226276.750000000000000,5373885.419999998994172,10600162.169999998062849
FS( 66 ),5188320.649999999441206,5319481.039999999105930,10507801.689999997615814
FS( 67 ),5254013.900000000372529,5355364.780000000260770,10609378.679999999701977
FS( 68 ),5321167.000000000000000,5382566.969999999739230,10703733.969999998807907
FS( 69 ),5312407.900000000372529,5429447.339999999850988,10741855.240000000223517
FS( 70 ),5451093.650000000372529,5476327.709999999962747,10927421.359999999403954
FS( 71 ),5538684.649999999441206,5475170.169999998994172,11013854.819999998435378
FS( 72 ),5424816.349999999627471,5362310.020000000484288,10787126.370000001043081
FS( 73 ),5430655.750000000000000,5397614.990000000223517,10828270.740000000223517
FS( 74 ),5556202.850000000558794,5484430.490000000223517,11040633.339999999850988
FS( 75 ),5583940.000000000000000,5443916.589999999850988,11027856.589999999850988
FS( 76 ),5557662.700000000186265,5467646.159999999217689,11025308.859999999403954
FS( 77 ),5524086.150000000372529,5391248.520000000484288,10915334.670000001788139
FS( 78 ),5491969.449999999254942,5341474.299999999813735,10833443.750000000000000
FS( 79 ),5529925.550000000745058,5367518.949999999254942,10897444.500000000000000
FS( 80 ),5410217.850000000558794,5340895.530000000260770,10751113.380000000819564
FS( 81 ),5416057.250000000000000,5362310.020000000484288,10778367.269999999552965
FS( 82 ),5331385.950000000186265,5317165.959999999962747,10648551.910000000149012
FS( 83 ),5324086.700000000186265,5330477.669999998994172,10654564.369999999180436
FS( 84 ),5445254.250000000000000,5426553.490000000223517,10871807.740000000223517
FS( 85 ),5687589.350000000558794,5409190.389999999664724,11096779.740000000223517
FS( 86 ),5725545.450000000186265,5528417.009999999776483,11253962.460000000894070
FS( 87 ),5743063.650000000372529,5527259.469999999739230,11270323.120000001043081
FS( 88 ),5830654.649999999441206,5538834.870000000111759,11369489.519999999552965
FS( 89 ),5872990.299999999813735,5518577.919999998994172,11391568.219999998807907
FS( 90 ),5886128.950000000186265,5556776.740000000223517,11442905.690000001341105
FS( 91 ),5945982.799999999813735,5582242.620000000111759,11528225.419999999925494
FS( 92 ),5826275.099999999627471,5609444.809999999590218,11435719.910000000149012
FS( 93 ),5872990.299999999813735,5673688.280000000260770,11546678.580000000074506
FS( 94 ),5846713.000000000000000,5699732.929999999701977,11546445.929999999701977
FS( 95 ),5767881.099999999627471,5671951.969999999739230,11439833.070000000298023
FS( 96 ),5713866.650000000372529,5649379.939999999478459,11363246.589999999850988
FS( 97 ),5754742.450000000186265,5680054.750000000000000,11434797.199999999254942
FS( 98 ),5900727.450000000186265,5642434.699999999254942,11543162.149999998509884
FS( 99 ),5868610.750000000000000,5627965.449999999254942,11496576.199999999254942
FS( 100 ),6124084.500000000000000,5719411.109999999403954,11843495.609999999403954
FS( 101 ),6131383.750000000000000,5741404.370000000111759,11872788.120000001043081
FS( 102 ),6119704.950000000186265,5706678.169999998994172,11826383.119999999180436
FS( 103 ),6144522.400000000372529,5796387.520000000484288,11940909.920000001788139
FS( 104 ),6163500.450000000186265,5819538.319999999366701,11983038.769999999552965
FS( 105 ),6062770.799999999813735,5763397.629999999888241,11826168.429999999701977
FS( 106 ),6132843.599999999627471,5834586.339999999850988,11967429.939999999478459
FS( 107 ),6137223.149999999441206,5806805.379999999888241,11944028.529999999329448
FS( 108 ),6151821.650000000372529,5720568.650000000372529,11872390.300000000745058
FS( 109 ),6239412.650000000372529,5752401.000000000000000,11991813.650000000372529
FS( 110 ),6290507.400000000372529,5777866.879999999888241,12068374.280000001192093
FS( 111 ),6306565.750000000000000,5822432.169999998994172,12128997.919999998062849
FS( 112 ),6310945.299999999813735,5766870.250000000000000,12077815.550000000745058
FS( 113 ),6354740.799999999813735,5770342.870000000111759,12125083.669999999925494
FS( 114 ),6344521.850000000558794,5783654.580000000074506,12128176.429999999701977
FS( 115 ),6334302.900000000372529,5820695.859999999403954,12154998.759999999776483
FS( 116 ),6351821.099999999627471,5807962.919999998994172,12159784.019999999552965
FS( 117 ),6385397.650000000372529,5819538.319999999366701,12204935.969999998807907
FS( 118 ),6551820.550000000745058,5877994.089999999850988,12429814.640000000596046
FS( 119 ),6629192.599999999627471,5860630.990000000223517,12489823.589999999850988
FS( 120 ),6497806.099999999627471,5888411.949999999254942,12386218.049999998882413
FS( 121 ),6551820.550000000745058,5842689.120000000111759,12394509.670000001788139
FS( 122 ),6563499.350000000558794,5715359.719999999739230,12278859.070000000298023
FS( 123 ),6607294.849999999627471,5743140.679999999701977,12350435.529999999329448
FS( 124 ),6562039.500000000000000,5740246.830000000074506,12302286.330000000074506
FS( 125 ),6550360.699999999254942,5711887.099999999627471,12262247.799999998882413
FS( 126 ),6535762.200000000186265,5711887.099999999627471,12247649.300000000745058
FS( 127 ),6480287.900000000372529,5732722.819999999366701,12213010.719999998807907
