代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10823320.980000000447035
真實報酬,823320.980000000447035

夏普值報酬,0.073632098000000
夏普值風險,0.044771797914664
夏普值,1.644608915200242

二次趨勢線,233.087413848068252 x^2 + -20770.269026464215131 x + 10000000.000000000000000
二次加權預期報酬,18233.024890779208363
風險,176474.475215206679422
二次加權趨勢值,0.103318198671759
一次趨勢線,1168.735563817113416 x + 10000000.000000000000000
一次預期報酬,1168.735563817113416
一次風險,447509.488003028964158
一次趨勢值,0.002611644211238
找到最佳解世代,2145
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](3),NKE[19](1),
FS( 66 ),4637531.480000000447035,5124906.209999999962747,9762437.690000001341105
FS( 67 ),4606307.600000000558794,5059866.289999999105930,9666173.890000000596046
FS( 68 ),4523948.960000000894070,5022172.699999999254942,9546121.660000000149012
FS( 69 ),4601329.880000000819564,5019955.429999999701977,9621285.310000000521541
FS( 70 ),4618978.160000000149012,5057649.019999999552965,9676627.179999999701977
FS( 71 ),4635721.400000000372529,5087951.709999999962747,9723673.109999999403954
FS( 72 ),4657442.360000000335276,5136731.649999999441206,9794174.009999999776483
FS( 73 ),4753376.600000000558794,5272724.209999999962747,10026100.810000000521541
FS( 74 ),4721700.200000000186265,5243160.609999999403954,9964860.809999998658895
FS( 75 ),4703146.880000000819564,5271246.029999999329448,9974392.910000000149012
FS( 76 ),4709029.640000000596046,5275680.569999999366701,9984710.210000000894070
FS( 77 ),4709482.160000000149012,5270506.939999999478459,9979989.099999999627471
FS( 78 ),4656084.800000000745058,5272724.209999999962747,9928809.010000001639128
FS( 79 ),4620788.240000000223517,5334807.769999999552965,9955596.009999999776483
FS( 80 ),4624860.920000000856817,5339981.399999999441206,9964842.320000000298023
FS( 81 ),4511278.400000000372529,5241682.429999999701977,9752960.830000000074506
FS( 82 ),4524401.480000000447035,5338503.219999999739230,9862904.699999999254942
FS( 83 ),4501322.960000000894070,5306722.349999999627471,9808045.310000000521541
FS( 84 ),4496345.240000000223517,5377674.990000000223517,9874020.230000000447035
FS( 85 ),4536167.000000000000000,5456757.619999999180436,9992924.619999999180436
FS( 86 ),4522591.400000000372529,5473017.599999999627471,9995609.000000000000000
FS( 87 ),4611737.840000000782311,5524753.899999999441206,10136491.740000000223517
FS( 88 ),4637078.960000000894070,5525492.990000000223517,10162571.950000001117587
FS( 89 ),4705409.480000000447035,5535840.250000000000000,10241249.730000000447035
FS( 90 ),4722152.720000000670552,5512928.459999999962747,10235081.179999999701977
FS( 91 ),4721247.680000000633299,5490755.759999999776483,10212003.440000001341105
FS( 92 ),4810846.640000000596046,5477452.139999999664724,10288298.780000001192093
FS( 93 ),4921261.520000000484288,5521058.449999999254942,10442319.969999998807907
FS( 94 ),4925786.720000000670552,5605314.709999999962747,10531101.429999999701977
FS( 95 ),4844785.640000000596046,5588315.639999999664724,10433101.280000001192093
FS( 96 ),4801343.720000000670552,5488538.490000000223517,10289882.210000000894070
FS( 97 ),4848858.320000000298023,5522536.629999998956919,10371394.949999999254942
FS( 98 ),4791840.800000000745058,5464887.609999999403954,10256728.410000000149012
FS( 99 ),4812204.200000000186265,5427194.019999999552965,10239398.219999998807907
FS( 100 ),4726677.920000000856817,5347372.299999998882413,10074050.219999998807907
FS( 101 ),4718080.040000000968575,5362893.189999999478459,10080973.230000000447035
FS( 102 ),4704504.440000000409782,5273463.299999998882413,9977967.739999998360872
FS( 103 ),4741158.560000000521541,5299331.449999999254942,10040490.009999999776483
FS( 104 ),4742968.640000000596046,5889125.269999999552965,10632093.910000000149012
FS( 105 ),4766499.680000000633299,5790826.299999998882413,10557325.980000000447035
FS( 106 ),4708124.600000000558794,5637834.669999999925494,10345959.269999999552965
FS( 107 ),4766952.200000000186265,5657790.099999999627471,10424742.300000000745058
FS( 108 ),4741611.080000000074506,5652616.469999999739230,10394227.550000000745058
FS( 109 ),4797723.560000000521541,5711743.669999999925494,10509467.230000000447035
FS( 110 ),4798176.080000000074506,5733177.279999999329448,10531353.359999999403954
FS( 111 ),4889132.600000000558794,5717656.389999999664724,10606788.990000000223517
FS( 112 ),4898635.520000000484288,5718395.479999999515712,10617031.000000000000000
FS( 113 ),4977826.520000000484288,5719134.569999999366701,10696961.089999999850988
FS( 114 ),4986876.920000000856817,5746480.899999999441206,10733357.820000000298023
FS( 115 ),4991402.120000000111759,5725786.379999998956919,10717188.500000000000000
FS( 116 ),5009050.400000000372529,5660746.459999999962747,10669796.859999999403954
FS( 117 ),5074213.280000000260770,5687353.699999999254942,10761566.980000000447035
FS( 118 ),5044799.480000000447035,5688092.789999999105930,10732892.269999999552965
FS( 119 ),5027151.200000000186265,5660746.459999999962747,10687897.660000000149012
FS( 120 ),5009502.920000000856817,5582402.919999999925494,10591905.839999999850988
FS( 121 ),5031223.880000000819564,5702874.589999998919666,10734098.469999998807907
FS( 122 ),5136661.040000000968575,5776044.500000000000000,10912705.540000000968575
FS( 123 ),5096386.760000000707805,5682919.159999999217689,10779305.919999999925494
FS( 124 ),5096839.280000000260770,5614183.789999999105930,10711023.070000000298023
FS( 125 ),5138923.640000000596046,5684397.339999998919666,10823320.980000000447035
