代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12670524.460000000894070
真實報酬,2670524.460000000894070

夏普值報酬,0.258352446000000
夏普值風險,0.063432405665142
夏普值,4.072877944497916

二次趨勢線,66.951523383145314 x^2 + 10964.977968950228387 x + 10000000.000000000000000
二次加權預期報酬,22168.199548396551108
風險,134033.883865781826898
二次加權趨勢值,0.165392503067323
一次趨勢線,17266.690080212483736 x + 10000000.000000000000000
一次預期報酬,17266.690080212483736
一次風險,178657.628568399522919
一次趨勢值,0.096646811102174
找到最佳解世代,1875
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](5),MCD[15](2),MSFT[18](4),UNH[23](1),
FS( 61 ),2818031.560000000055879,2857571.710000000428408,2691881.599999999627471,2686979.879999999888241,11054464.750000000000000
FS( 62 ),2780831.319999999832362,2882485.330000000074506,2729235.599999999627471,2682524.320000000298023,11075076.570000000298023
FS( 63 ),2796839.619999999646097,2884119.009999999776483,2724910.399999999906868,2675610.520000000018626,11081479.549999998882413
FS( 64 ),2796077.319999999832362,2912504.200000000186265,2716260.000000000000000,2651028.120000000111759,11075869.640000000596046
FS( 65 ),2791198.599999999627471,2929453.629999999888241,2705643.600000000093132,2673766.840000000316650,11100062.669999999925494
FS( 66 ),2820775.839999999850988,2939868.340000000316650,2713114.399999999906868,2675303.240000000223517,11149061.820000000298023
FS( 67 ),2836174.299999999813735,2945586.220000000204891,2710755.199999999720603,2680219.720000000204891,11172735.439999999478459
FS( 68 ),2849743.239999999757856,2948036.740000000223517,2714687.200000000186265,2661782.920000000391155,11174250.099999999627471
FS( 69 ),2792875.660000000149012,2951304.100000000558794,2725303.600000000093132,2664087.520000000018626,11133570.880000000819564
FS( 70 ),2804462.619999999646097,2944973.590000000316650,2691881.599999999627471,2663012.040000000037253,11104329.849999997764826
FS( 71 ),2793942.879999999888241,2968457.740000000223517,2688735.999999999534339,2639812.399999999906868,11090949.019999999552965
FS( 72 ),2780831.319999999832362,2987245.060000000055879,2690702.000000000000000,2635510.479999999981374,11094288.859999999403954
FS( 73 ),2785557.579999999608845,3007870.270000000018626,2729235.599999999627471,2583119.240000000223517,11105782.689999999478459
FS( 74 ),2725793.259999999776483,2989899.790000000037253,2653348.000000000000000,2594488.600000000093132,10963529.650000000372529
FS( 75 ),2704753.779999999795109,3002152.390000000130385,2662391.599999999627471,2634281.359999999869615,11003579.129999998956919
FS( 76 ),2755980.339999999850988,3025432.330000000074506,2661605.199999999720603,2651796.320000000298023,11094814.189999999478459
FS( 77 ),2800346.199999999720603,3026249.169999999925494,2691488.399999999906868,2684214.359999999869615,11202298.129999998956919
FS( 78 ),2797601.919999999925494,3018693.399999999906868,2700532.000000000000000,2692203.640000000130385,11209030.960000000894070
FS( 79 ),2824434.879999999888241,3053000.680000000167638,2704070.799999999813735,2697888.320000000298023,11279394.679999999701977
FS( 80 ),2852182.599999999627471,3058718.560000000055879,2737492.800000000279397,2735683.760000000242144,11384077.720000000670552
FS( 81 ),2844864.520000000018626,3060352.240000000223517,2750861.599999999627471,2727233.560000000055879,11383311.919999999925494
FS( 82 ),2849285.859999999869615,3061781.710000000428408,2768555.599999999627471,2713252.320000000298023,11392875.490000000223517
FS( 83 ),2860720.359999999869615,3081385.870000000111759,2746143.200000000186265,2691589.080000000074506,11379838.509999999776483
FS( 84 ),2855994.099999999627471,3112017.370000000111759,2756366.399999999906868,2759190.680000000167638,11483568.549999998882413
FS( 85 ),2900359.959999999962747,3139585.720000000204891,2821637.600000000093132,2756271.520000000018626,11617854.799999998882413
FS( 86 ),2880845.079999999608845,3120185.770000000018626,2842084.000000000000000,2755964.240000000223517,11599079.089999999850988
FS( 87 ),2847303.879999999888241,3088329.009999999776483,2851520.799999999813735,2778242.040000000037253,11565395.730000000447035
FS( 88 ),2867885.979999999981374,3102827.919999999925494,2846409.199999999720603,2814962.000000000000000,11632085.099999999627471
FS( 89 ),2895786.160000000149012,3092413.210000000428408,2829108.399999999906868,2791608.720000000204891,11608916.490000002086163
FS( 90 ),2897310.759999999776483,3093434.259999999776483,2765016.799999999813735,2788075.000000000000000,11543836.820000000298023
FS( 91 ),2896853.379999999888241,3031967.050000000279397,2743784.000000000000000,2754120.560000000055879,11426724.990000000223517
FS( 92 ),2913471.520000000018626,3059535.399999999906868,2777992.399999999906868,2781775.760000000242144,11532775.080000000074506
FS( 93 ),2933138.859999999869615,3077097.460000000428408,2763050.799999999813735,2801902.600000000093132,11575189.720000000670552
FS( 94 ),2979944.079999999608845,3087103.750000000000000,2748502.399999999906868,2771481.879999999888241,11587032.109999999403954
FS( 95 ),2995037.619999999646097,3103848.970000000204891,2752434.399999999906868,2790686.879999999888241,11642007.870000001043081
FS( 96 ),3035287.060000000055879,3127333.120000000111759,2786642.800000000279397,2812042.840000000316650,11761305.820000000298023
FS( 97 ),3023852.560000000055879,3146324.649999999906868,2748895.599999999627471,2815883.840000000316650,11734956.649999998509884
FS( 98 ),3036659.199999999720603,3139381.509999999776483,2763050.799999999813735,2841234.439999999944121,11780325.949999997392297
FS( 99 ),3040775.619999999646097,3161231.980000000447035,2762657.600000000093132,2865509.560000000055879,11830174.759999999776483
FS( 100 ),3083311.959999999962747,3157964.620000000111759,2800011.599999999627471,2846304.560000000055879,11887592.740000000223517
FS( 101 ),3049008.459999999962747,3144078.340000000316650,2773274.000000000000000,2844307.240000000223517,11810668.040000000968575
FS( 102 ),3032390.319999999832362,3139177.300000000279397,2721371.599999999627471,2836317.959999999962747,11729257.179999999701977
FS( 103 ),3043519.899999999906868,3151021.480000000447035,2744570.399999999906868,2853218.359999999869615,11792330.140000000596046
FS( 104 ),3010588.540000000037253,3127128.910000000149012,2693061.199999999720603,2846611.840000000316650,11677390.490000000223517
FS( 105 ),3015009.879999999888241,3127741.540000000037253,2710362.000000000000000,2848916.439999999944121,11702029.859999999403954
FS( 106 ),3027816.520000000018626,3114263.680000000167638,2680478.799999999813735,2867814.160000000149012,11690373.160000000149012
FS( 107 ),3076908.640000000130385,3125903.649999999906868,2716260.000000000000000,2892396.560000000055879,11811468.849999999627471
FS( 108 ),3071877.459999999962747,3126312.070000000298023,2696206.799999999813735,2872269.720000000204891,11766666.050000000745058
FS( 109 ),3085446.399999999906868,3191250.850000000558794,2731201.599999999627471,2887941.000000000000000,11895839.849999999627471
FS( 110 ),3109687.540000000037253,3175935.100000000558794,2751648.000000000000000,2872423.359999999869615,11909694.000000000000000
FS( 111 ),3144905.799999999813735,3163478.290000000037253,2752041.199999999720603,2857059.359999999869615,11917484.649999998509884
FS( 112 ),3147497.619999999646097,3197581.360000000335276,2797652.399999999906868,2868428.720000000204891,12011160.100000001490116
FS( 113 ),3144295.959999999962747,3166133.020000000018626,2822030.799999999813735,2849838.279999999795109,11982298.060000000521541
FS( 114 ),3179056.839999999850988,3171034.060000000055879,2861744.000000000000000,2871655.160000000149012,12083490.060000000521541
FS( 115 ),3186527.379999999888241,3170625.640000000130385,2884156.399999999906868,2863204.959999999962747,12104514.379999998956919
FS( 116 ),3174940.419999999925494,3144078.340000000316650,2882190.399999999906868,2870886.959999999962747,12072096.120000001043081
FS( 117 ),3215189.859999999869615,3142648.870000000111759,2904209.600000000093132,2906838.720000000204891,12168887.050000000745058
FS( 118 ),3206042.259999999776483,3149183.590000000316650,2918364.799999999813735,2942329.560000000055879,12215920.209999999031425
FS( 119 ),3234399.819999999832362,3143261.500000000000000,2901457.200000000186265,2946631.479999999981374,12225750.000000000000000
FS( 120 ),3235009.660000000149012,3100990.030000000260770,2893986.399999999906868,2932957.520000000018626,12162943.609999999403954
FS( 121 ),3239278.540000000037253,3248429.649999999906868,2917185.199999999720603,2925429.160000000149012,12330322.549999998882413
FS( 122 ),3559292.079999999608845,3196151.890000000130385,2911680.399999999906868,2930806.560000000055879,12597930.929999999701977
FS( 123 ),3674399.379999999888241,3205137.129999999888241,2876685.599999999627471,2902844.080000000074506,12659066.189999999478459
FS( 124 ),3678515.799999999813735,3182674.030000000260770,2871967.200000000186265,2936952.160000000149012,12670109.190000001341105
FS( 125 ),3696658.540000000037253,3168175.120000000111759,2858598.399999999906868,2947092.399999999906868,12670524.460000000894070
