代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12669756.949999999254942
真實報酬,2669756.949999999254942

夏普值報酬,0.258275695000000
夏普值風險,0.065341855208395
夏普值,3.952683837584324

二次趨勢線,67.281808526023994 x^2 + 10639.735332150823524 x + 10000000.000000000000000
二次加權預期報酬,22167.351859609600069
風險,130207.363454295904376
二次加權趨勢值,0.170246530392197
一次趨勢線,17123.921455001243885 x + 10000000.000000000000000
一次預期報酬,17123.921455001243885
一次風險,180112.635890072007896
一次趨勢值,0.095073404319353
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](3),PFE[20](7),VZ[26](4),WBA[27](1),
FS( 44 ),2441098.750000000000000,2734481.000000000000000,2718049.299999999813735,2663852.399999999906868,10557481.449999999254942
FS( 45 ),2453664.350000000093132,2795859.850000000093132,2733213.400000000372529,2673397.199999999720603,10656134.800000000745058
FS( 46 ),2461674.919999999925494,2830342.350000000093132,2744194.299999999813735,2681351.199999999720603,10717562.769999999552965
FS( 47 ),2450994.159999999683350,2816549.350000000093132,2743148.500000000000000,2666636.299999999813735,10677328.309999998658895
FS( 48 ),2496230.319999999832362,2855859.399999999906868,2755698.100000000093132,2644365.099999999627471,10752152.919999999925494
FS( 49 ),2502198.979999999981374,2827583.750000000000000,2771908.000000000000000,2631638.699999999720603,10733329.429999999701977
FS( 50 ),2492460.640000000130385,2822756.200000000186265,2743671.399999999906868,2644365.099999999627471,10703253.339999999850988
FS( 51 ),2483978.859999999869615,2814480.400000000372529,2730598.899999999906868,2643967.399999999906868,10673025.560000000521541
FS( 52 ),2522618.079999999608845,2807583.899999999906868,2764587.399999999906868,2730665.999999999534339,10825455.379999998956919
FS( 53 ),2511309.040000000037253,2838618.149999999906868,2783934.700000000186265,2733449.899999999906868,10867311.789999999105930
FS( 54 ),2540366.989999999757856,2856549.050000000279397,2837793.400000000372529,2768845.200000000186265,11003554.640000000596046
FS( 55 ),2531256.930000000167638,2902755.600000000093132,2864984.200000000186265,2783560.099999999627471,11082556.830000000074506
FS( 56 ),2539581.640000000130385,2919307.199999999720603,2857663.600000000093132,2783560.099999999627471,11100112.539999999105930
FS( 57 ),2529529.159999999683350,2907583.149999999906868,2871259.000000000000000,2793900.299999999813735,11102271.609999999403954
FS( 58 ),2521832.729999999981374,2901376.299999999813735,2830995.700000000186265,2769640.599999999627471,11023845.329999998211861
FS( 59 ),2498272.229999999981374,2910341.750000000000000,2838316.300000000279397,2755323.399999999906868,11002253.680000001564622
FS( 60 ),2503455.540000000037253,2924134.750000000000000,2864461.300000000279397,2752539.499999999534339,11044591.089999999850988
FS( 61 ),2520733.239999999757856,2867583.449999999720603,2868121.600000000093132,2761686.599999999627471,11018124.889999998733401
FS( 62 ),2538953.359999999869615,2862066.250000000000000,2857663.600000000093132,2755323.399999999906868,11014006.609999999403954
FS( 63 ),2562042.649999999906868,2862066.250000000000000,2853480.399999999906868,2730665.999999999534339,11008255.300000000745058
FS( 64 ),2557173.479999999981374,2862066.250000000000000,2862892.600000000093132,2696463.799999999813735,10978596.129999998956919
FS( 65 ),2548220.489999999757856,2863445.550000000279397,2843022.399999999906868,2726689.000000000000000,10981377.439999999478459
FS( 66 ),2540209.919999999925494,2853100.799999999813735,2781320.200000000186265,2689305.200000000186265,10863936.120000001043081
FS( 67 ),2564084.560000000055879,2886204.000000000000000,2814262.899999999906868,2713962.599999999627471,10978514.060000000521541
FS( 68 ),2571938.060000000055879,2881376.450000000186265,2838839.200000000186265,2705610.899999999906868,10997764.609999999403954
FS( 69 ),2574451.180000000167638,2910341.750000000000000,2823675.100000000093132,2711974.099999999627471,11020442.129999998956919
FS( 70 ),2592828.369999999646097,2900686.650000000372529,2829949.899999999906868,2736233.799999999813735,11059698.719999998807907
FS( 71 ),2585760.219999999739230,2917927.900000000372529,2861323.899999999906868,2733847.599999999627471,11098859.619999999180436
FS( 72 ),2587645.060000000055879,2924824.399999999906868,2874396.399999999906868,2799070.399999999441206,11185936.259999997913837
FS( 73 ),2550890.680000000167638,2955169.000000000000000,2872827.700000000186265,2803047.399999999906868,11181934.779999999329448
FS( 74 ),2526387.759999999776483,2962755.149999999906868,2852434.600000000093132,2795093.399999999906868,11136670.910000000149012
FS( 75 ),2483978.859999999869615,2966203.399999999906868,2860278.100000000093132,2801854.299999999813735,11112314.660000000149012
FS( 76 ),2478167.270000000018626,3000685.899999999906868,2844068.200000000186265,2818955.399999999441206,11141876.769999999552965
FS( 77 ),2500314.140000000130385,2983444.649999999906868,2797530.100000000093132,2834863.399999999906868,11116152.290000000968575
FS( 78 ),2525602.409999999683350,3017237.500000000000000,2821060.600000000093132,2898893.099999999627471,11262793.609999999403954
FS( 79 ),2596440.979999999981374,3038616.650000000372529,2845636.900000000372529,2903267.799999999813735,11383962.330000001937151
FS( 80 ),2565184.049999999813735,3029651.200000000186265,2799621.700000000186265,2871451.799999999813735,11265908.750000000000000
FS( 81 ),2613875.750000000000000,3019996.100000000093132,2773999.600000000093132,2871849.499999999534339,11279720.949999999254942
FS( 82 ),2603666.199999999720603,3012409.950000000186265,2778705.700000000186265,2901676.999999999534339,11296458.850000001490116
FS( 83 ),2615760.589999999850988,3027582.250000000000000,2802236.200000000186265,2935481.500000000000000,11381060.539999999105930
FS( 84 ),2627697.909999999683350,3039306.299999999813735,2791778.200000000186265,2899290.799999999813735,11358073.210000000894070
FS( 85 ),2617959.569999999832362,3053099.300000000279397,2815308.700000000186265,2881791.999999999534339,11368159.570000000298023
FS( 86 ),2594556.140000000130385,3049651.049999999813735,2845636.900000000372529,2922755.099999999627471,11412599.189999999478459
FS( 87 ),2586388.500000000000000,3090340.400000000372529,2838839.200000000186265,2935083.799999999813735,11450651.900000002235174
FS( 88 ),2604294.479999999981374,3082754.250000000000000,2877010.900000000372529,2916789.600000000093132,11480849.230000000447035
FS( 89 ),2616388.869999999646097,3097236.899999999906868,2872827.700000000186265,2883780.500000000000000,11470233.969999998807907
FS( 90 ),2635237.270000000018626,3122753.950000000186265,2877010.900000000372529,2949003.299999999813735,11584005.420000001788139
FS( 91 ),2667593.689999999944121,3135857.299999999813735,2875442.200000000186265,2925539.000000000000000,11604432.190000001341105
FS( 92 ),2644661.469999999739230,3069650.899999999906868,2840930.799999999813735,2875826.500000000000000,11431069.669999998062849
FS( 93 ),2559843.669999999925494,2952410.400000000372529,2788640.799999999813735,2819750.799999999813735,11120645.669999999925494
FS( 94 ),2573194.619999999646097,3019306.450000000186265,2809556.799999999813735,2923152.799999999813735,11325210.670000001788139
FS( 95 ),2570838.569999999832362,2973789.549999999813735,2802759.100000000093132,2971672.199999999720603,11319059.419999998062849
FS( 96 ),2577121.369999999646097,3029651.200000000186265,2807988.100000000093132,3033713.399999999906868,11448474.070000000298023
FS( 97 ),2619530.270000000018626,3073788.799999999813735,2821583.500000000000000,3061552.399999999906868,11576454.970000000670552
FS( 98 ),2620158.549999999813735,3034478.750000000000000,2857663.600000000093132,3045644.399999999906868,11557945.300000000745058
FS( 99 ),2630839.310000000055879,3068961.250000000000000,2870736.100000000093132,3076267.299999999813735,11646803.960000000894070
FS( 100 ),2617331.290000000037253,3059995.799999999813735,2874919.299999999813735,3088198.299999999813735,11640444.690000001341105
FS( 101 ),2782568.930000000167638,3041375.250000000000000,2991526.000000000000000,3072688.000000000000000,11888158.179999999701977
FS( 102 ),2785710.329999999608845,2929651.949999999720603,3002506.900000000372529,2950991.799999999813735,11668860.980000000447035
FS( 103 ),2753668.049999999813735,2993789.399999999906868,2950739.800000000279397,3012237.599999999627471,11710434.849999999627471
FS( 104 ),2722725.259999999776483,2937927.750000000000000,2902633.000000000000000,3031724.899999999906868,11595010.910000000149012
FS( 105 ),2720997.489999999757856,2981375.699999999720603,2953354.299999999813735,3055189.199999999720603,11710916.689999997615814
FS( 106 ),2803616.310000000055879,2957927.600000000093132,3042247.300000000279397,3133933.799999999813735,11937725.010000001639128
FS( 107 ),2778642.180000000167638,2969651.650000000372529,2985251.200000000186265,3172510.699999999720603,11906055.730000000447035
FS( 108 ),2746914.040000000037253,3011720.300000000279397,2930869.600000000093132,3177680.799999999813735,11867184.739999998360872
FS( 109 ),2776286.129999999888241,2960686.200000000186265,2961197.800000000279397,3153818.799999999813735,11851988.929999999701977
FS( 110 ),2833459.609999999869615,3001375.550000000279397,2991526.000000000000000,3180464.699999999720603,12006825.859999999403954
FS( 111 ),2869899.850000000093132,2966203.399999999906868,2991526.000000000000000,3205519.799999999813735,12033149.050000000745058
FS( 112 ),2894088.629999999888241,3062064.750000000000000,3014533.600000000093132,3257618.499999999534339,12228305.480000000447035
FS( 113 ),2913408.239999999757856,3024134.000000000000000,3046953.400000000372529,3278696.599999999627471,12263192.240000000223517
FS( 114 ),2920633.459999999962747,3053788.950000000186265,3056888.500000000000000,3276708.099999999627471,12308019.009999999776483
FS( 115 ),2895973.469999999739230,3042064.899999999906868,3070483.899999999906868,3253641.500000000000000,12262163.769999999552965
FS( 116 ),2890318.949999999720603,3001375.550000000279397,3067346.500000000000000,3258016.199999999720603,12217057.199999999254942
FS( 117 ),2887805.829999999608845,2959306.899999999906868,3081987.700000000186265,3242108.199999999720603,12171208.629999998956919
FS( 118 ),2883250.799999999813735,2979996.399999999906868,3089308.299999999813735,3272731.100000000093132,12225286.599999999627471
FS( 119 ),2946550.009999999776483,3000685.899999999906868,3148396.000000000000000,3281878.199999999720603,12377510.109999999403954
FS( 120 ),2932884.919999999925494,3046892.450000000186265,3169834.899999999906868,3258016.199999999720603,12407628.469999998807907
FS( 121 ),2885606.850000000093132,3002065.200000000186265,3109178.500000000000000,3173306.100000000093132,12170156.650000000372529
FS( 122 ),2870056.919999999925494,2972410.250000000000000,3093491.500000000000000,3172113.000000000000000,12108071.669999999925494
FS( 123 ),2857648.390000000130385,2975168.850000000093132,3066300.700000000186265,3213871.500000000000000,12112989.440000001341105
FS( 124 ),2888434.109999999869615,2988961.850000000093132,3094014.400000000372529,3249266.799999999813735,12220677.160000000149012
FS( 125 ),2900057.290000000037253,3039306.299999999813735,3171403.600000000093132,3321648.199999999720603,12432415.389999998733401
FS( 126 ),2950633.829999999608845,3096547.250000000000000,3140552.500000000000000,3366190.599999999627471,12553924.179999999701977
FS( 127 ),2972780.699999999720603,3138615.899999999906868,3108655.600000000093132,3374542.299999999813735,12594594.500000000000000
FS( 128 ),2961000.449999999720603,3188270.699999999720603,3153102.100000000093132,3367383.699999999720603,12669756.949999999254942
