代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12035953.469999998807907
真實報酬,2035953.469999998807907

夏普值報酬,0.194895347000000
夏普值風險,0.074169011570910
夏普值,2.627719351681915

二次趨勢線,133.027971030795300 x^2 + 3826.567654000691618 x + 10000000.000000000000000
二次加權預期報酬,26263.952101194830902
風險,192321.598045886377804
二次加權趨勢值,0.136562676101144
一次趨勢線,16447.399229701022705 x + 10000000.000000000000000
一次預期報酬,16447.399229701022705
一次風險,306348.677866154990625
一次趨勢值,0.053688494248658
找到最佳解世代,1863
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](6),UNH[23](1),WBA[27](3),WMT[28](2),
FS( 55 ),2828830.029999999795109,2705235.820000000298023,2136334.299999999813735,2519037.199999999720603,10189437.349999999627471
FS( 56 ),2879298.699999999720603,2716279.900000000372529,2133853.149999999906868,2554391.999999999534339,10283823.750000000000000
FS( 57 ),2952964.149999999906868,2790213.880000000353903,2181703.899999999906868,2584307.599999999627471,10509189.529999999329448
FS( 58 ),2926005.729999999981374,2754013.840000000316650,2179931.649999999906868,2584647.549999999813735,10444598.769999999552965
FS( 59 ),2971772.350000000093132,2781317.260000000242144,2200135.299999999813735,2592126.449999999720603,10545351.359999999403954
FS( 60 ),2977728.279999999795109,2811381.700000000186265,2220693.399999999906868,2596545.799999999348074,10606349.179999999701977
FS( 61 ),2992774.839999999850988,2826413.919999999925494,2236998.100000000093132,2603684.750000000000000,10659871.609999999403954
FS( 62 ),3027883.479999999981374,2842059.700000000186265,2257910.649999999906868,2595525.949999999720603,10723379.779999999329448
FS( 63 ),3022554.490000000223517,2851876.660000000149012,2227073.500000000000000,2596885.749999999534339,10698390.400000000372529
FS( 64 ),3057036.189999999944121,2880100.419999999925494,2231681.350000000093132,2598925.449999999720603,10767743.409999998286366
FS( 65 ),3057036.189999999944121,2914766.560000000521541,2276342.049999999813735,2592806.349999999627471,10840951.149999998509884
FS( 66 ),3012209.979999999981374,2910164.860000000335276,2303280.250000000000000,2593146.299999999813735,10818801.390000000596046
FS( 67 ),3008134.869999999646097,2913846.220000000204891,2312495.949999999720603,2626461.399999999906868,10860938.439999999478459
FS( 68 ),3002492.410000000149012,2939002.180000000167638,2327382.849999999627471,2641419.199999999720603,10910296.639999998733401
FS( 69 ),3049826.380000000353903,2951580.160000000149012,2362473.399999999906868,2645158.649999999906868,11009038.590000001713634
FS( 70 ),3061111.300000000279397,2871817.360000000335276,2372043.549999999813735,2677793.849999999627471,10982766.059999998658895
FS( 71 ),3077098.270000000018626,2906790.280000000260770,2402526.250000000000000,2700570.499999999534339,11086985.300000000745058
FS( 72 ),3076471.330000000074506,2935627.600000000093132,2392601.649999999906868,2685952.649999999906868,11090653.230000000447035
FS( 73 ),3087442.779999999795109,2935320.820000000298023,2390474.949999999720603,2692411.699999999720603,11105650.249999998137355
FS( 74 ),3103429.750000000000000,2942069.980000000447035,2373461.349999999627471,2819552.999999999534339,11238514.080000000074506
FS( 75 ),3079606.029999999795109,2917834.360000000335276,2372398.000000000000000,2820232.899999999441206,11190071.289999999105930
FS( 76 ),3073023.160000000149012,2959556.440000000409782,2358928.899999999906868,2840969.849999999627471,11232478.349999999627471
FS( 77 ),3008761.810000000055879,3012322.600000000093132,2412450.850000000093132,2848448.750000000000000,11281984.009999999776483
FS( 78 ),3031331.649999999906868,2971520.860000000335276,2402880.700000000186265,2889242.749999999534339,11294975.960000000894070
FS( 79 ),3058603.539999999571592,2971214.080000000074506,2386930.450000000186265,2875304.799999999813735,11292052.870000001043081
FS( 80 ),3080859.910000000149012,2966919.160000000149012,2395791.700000000186265,2877684.449999999720603,11321255.219999998807907
FS( 81 ),3084621.550000000279397,2972747.980000000447035,2400754.000000000000000,2903180.699999999720603,11361304.230000000447035
FS( 82 ),3041049.220000000204891,3003425.980000000447035,2403589.600000000093132,2887882.949999999720603,11335947.750000000000000
FS( 83 ),3062678.649999999906868,3009868.360000000335276,2426983.299999999813735,2888902.799999999813735,11388433.109999999403954
FS( 84 ),3115968.550000000279397,3025820.919999999925494,2431945.600000000093132,2975930.000000000000000,11549665.070000000298023
FS( 85 ),3099668.109999999869615,3039012.460000000428408,2402171.799999999813735,2931056.599999999627471,11471908.970000000670552
FS( 86 ),3077098.270000000018626,3062634.520000000018626,2366017.899999999906868,2937175.699999999720603,11442926.389999998733401
FS( 87 ),3090577.479999999981374,3092392.180000000167638,2388348.249999999534339,2887542.999999999534339,11458860.910000000149012
FS( 88 ),3101862.399999999906868,3057726.040000000502914,2406779.649999999906868,2881423.899999999906868,11447791.990000000223517
FS( 89 ),3123491.830000000074506,3077973.520000000018626,2431591.149999999906868,2859667.100000000093132,11492723.599999999627471
FS( 90 ),3148255.960000000428408,3065395.540000000502914,2400754.000000000000000,2863406.549999999813735,11477812.050000000745058
FS( 91 ),3123491.830000000074506,3099141.340000000316650,2431236.700000000186265,2840629.899999999906868,11494499.770000001415610
FS( 92 ),3101548.929999999701977,3039932.800000000279397,2415640.899999999906868,2820912.799999999813735,11378035.429999999701977
FS( 93 ),3143240.439999999944121,3059566.720000000204891,2587903.600000000093132,2849808.549999999813735,11640519.309999998658895
FS( 94 ),3127880.410000000149012,3029809.060000000521541,2640716.649999999906868,2849128.649999999906868,11647534.770000001415610
FS( 95 ),3136344.100000000093132,3014776.840000000316650,2603144.949999999720603,2853547.999999999534339,11607813.890000000596046
FS( 96 ),3042616.570000000298023,2940536.080000000074506,2565927.699999999720603,2820232.899999999441206,11369313.250000000000000
FS( 97 ),3101548.929999999701977,3041466.700000000186265,2551749.699999999720603,2863406.549999999813735,11558171.879999998956919
FS( 98 ),3155779.240000000223517,3136568.500000000000000,2636463.249999999534339,2921537.999999999534339,11850348.990000000223517
FS( 99 ),3195276.460000000428408,3144238.000000000000000,2595701.500000000000000,2895021.899999999441206,11830237.859999999403954
FS( 100 ),3244491.250000000000000,3161110.900000000372529,2632564.299999999813735,2936495.799999999348074,11974662.249999998137355
FS( 101 ),3252641.470000000204891,3155282.080000000074506,2711961.100000000093132,2946014.399999999441206,12065899.050000000745058
FS( 102 ),3246372.070000000298023,3150066.820000000298023,2717632.299999999813735,2938195.549999999813735,12052266.740000002086163
FS( 103 ),3252328.000000000000000,3146078.680000000167638,2710188.849999999627471,2954513.149999999441206,12063108.679999999701977
FS( 104 ),3276778.660000000149012,3139329.520000000018626,2721885.700000000186265,2945334.499999999534339,12083328.379999998956919
FS( 105 ),3268628.439999999944121,3155282.080000000074506,2695656.399999999906868,2950433.750000000000000,12070000.669999999925494
FS( 106 ),3290571.339999999850988,3101288.800000000279397,2700973.149999999906868,2919498.299999999348074,12012331.589999999850988
FS( 107 ),3242296.960000000428408,3091778.620000000111759,2693884.149999999906868,2920178.199999999720603,11948137.929999999701977
FS( 108 ),3174273.970000000204891,3040853.140000000596046,2640716.649999999906868,2911679.449999999720603,11767523.210000000894070
FS( 109 ),3164556.399999999906868,3034717.540000000502914,2647451.199999999720603,2934116.149999999906868,11780841.290000000968575
FS( 110 ),3273017.020000000018626,3065702.320000000298023,2715151.149999999906868,3011964.699999999720603,12065835.189999999478459
FS( 111 ),3345428.589999999850988,3212036.380000000353903,2748823.899999999906868,3075535.349999999627471,12381824.220000000670552
FS( 112 ),3288063.580000000074506,3181971.940000000409782,2682187.299999999813735,3037460.949999999720603,12189683.769999999552965
FS( 113 ),3273330.490000000223517,3146078.680000000167638,2683250.649999999906868,3060237.599999999627471,12162897.419999999925494
FS( 114 ),3251701.060000000055879,3162031.240000000223517,2667654.850000000093132,3036101.149999999906868,12117488.300000000745058
FS( 115 ),3217532.830000000074506,3170007.520000000018626,2658084.699999999720603,2944314.649999999906868,11989939.699999999254942
FS( 116 ),3166437.220000000204891,3204673.660000000149012,2650641.250000000000000,2970490.799999999348074,11992242.929999999701977
FS( 117 ),3263926.390000000130385,3244861.840000000316650,2694947.500000000000000,2949753.849999999627471,12153489.580000000074506
FS( 118 ),3236654.500000000000000,3240260.140000000596046,2695656.399999999906868,2947034.249999999534339,12119605.290000000968575
FS( 119 ),3245431.660000000149012,3353768.740000000223517,2679351.700000000186265,2945334.499999999534339,12223886.600000001490116
FS( 120 ),3325053.039999999571592,3492740.080000000074506,2694593.049999999813735,3001766.199999999720603,12514152.369999997317791
FS( 121 ),3303110.140000000130385,3435985.780000000260770,2679351.700000000186265,3008905.149999999906868,12427352.770000001415610
FS( 122 ),3334143.669999999925494,3424021.360000000335276,2688212.950000000186265,3012984.549999999348074,12459362.529999999329448
FS( 123 ),3296527.270000000018626,3374936.560000000521541,2655958.000000000000000,2975590.049999999813735,12303011.879999998956919
FS( 124 ),3283361.529999999795109,3327385.660000000149012,2614841.799999999813735,2951453.599999999627471,12177042.589999997988343
FS( 125 ),3373640.890000000130385,3355916.200000000186265,2643197.799999999813735,2982049.099999999627471,12354803.990000000223517
FS( 126 ),3273330.490000000223517,3259587.280000000260770,2614132.899999999906868,2888902.799999999813735,12035953.469999998807907
