代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12419203.719999998807907
真實報酬,2419203.719999998807907

夏普值報酬,0.233220372000000
夏普值風險,0.060922081989046
夏普值,3.828174684541063

二次趨勢線,44.970900459199925 x^2 + 12391.720281555531983 x + 10000000.000000000000000
二次加權預期報酬,19916.850958394985355
風險,121270.959450662281597
二次加權趨勢值,0.164234298537878
一次趨勢線,16624.539099677476770 x + 10000000.000000000000000
一次預期報酬,16624.539099677476770
一次風險,144920.876138082239777
一次趨勢值,0.114714591456357
找到最佳解世代,1983
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](2),CVX[5](1),KO[14](15),MCD[15](21),PFE[20](4),UNH[23](3),
FS( 58 ),1988348.499999999767169,1925510.299999999813735,1708251.389999999897555,1613166.000000000000000,1745174.869999999878928,1837439.500000000000000,10817894.559999998658895
FS( 59 ),1984564.000000000000000,1925101.059999999823049,1700150.340000000083819,1615306.000000000000000,1747066.649999999674037,1874825.049999999813735,10847017.099999997764826
FS( 60 ),2013158.000000000000000,1936559.779999999795109,1700150.340000000083819,1608672.000000000000000,1736661.859999999869615,1857747.699999999953434,10852953.679999999701977
FS( 61 ),2031660.000000000000000,1938810.599999999860302,1693129.430000000167638,1591123.999999999767169,1748012.539999999804422,1951903.899999999906868,10954644.469999998807907
FS( 62 ),2011686.250000000232831,1910573.040000000037253,1680167.750000000000000,1568226.000000000000000,1716798.169999999692664,1889133.099999999860302,10776588.309999998658895
FS( 63 ),2039649.500000000000000,1942493.760000000009313,1697449.989999999990687,1576572.000000000000000,1723419.399999999674037,1894671.699999999720603,10874260.349999999627471
FS( 64 ),2060674.500000000000000,1968889.739999999757856,1702850.689999999944121,1572292.000000000000000,1818008.399999999674037,1941749.800000000046566,11064469.130000000819564
FS( 65 ),2083381.500000000000000,1974209.859999999869615,1697449.989999999990687,1575930.000000000000000,1793415.260000000009313,1936211.200000000186265,11060601.809999998658895
FS( 66 ),2080017.500000000232831,1991193.319999999832362,1689889.010000000009313,1579996.000000000000000,1813278.949999999953434,1986520.149999999906868,11140898.929999999701977
FS( 67 ),2093894.000000000000000,1987100.919999999925494,1689348.939999999944121,1584704.000000000000000,1825575.519999999785796,1961134.900000000139698,11141762.279999999329448
FS( 68 ),2112396.000000000000000,1998355.019999999785796,1688268.800000000046566,1571864.000000000000000,1800982.379999999655411,1929749.500000000000000,11101619.699999999254942
FS( 69 ),2115339.500000000000000,1999991.979999999748543,1697990.060000000055879,1612738.000000000000000,1812333.059999999823049,1937134.299999999813735,11175530.899999998509884
FS( 70 ),2098099.000000000000000,1969298.979999999748543,1705551.039999999804422,1624936.000000000232831,1801928.269999999785796,1941749.800000000046566,11141567.089999999850988
FS( 71 ),2115129.250000000000000,1978711.500000000000000,1715812.369999999878928,1621298.000000000000000,1800036.489999999990687,1958365.599999999860302,11189357.209999999031425
FS( 72 ),2176942.750000000000000,1973596.000000000000000,1716892.510000000009313,1629430.000000000000000,1781118.689999999711290,1956057.850000000093132,11234041.799999998882413
FS( 73 ),2171055.750000000000000,1983827.000000000000000,1705010.969999999972060,1631570.000000000000000,1801928.269999999785796,1959750.250000000000000,11253146.240000000223517
FS( 74 ),2165589.250000000000000,1971345.179999999934807,1706631.180000000167638,1629644.000000000232831,1801928.269999999785796,1939903.600000000093132,11215045.479999998584390
FS( 75 ),2177153.000000000000000,1977893.019999999785796,1712031.879999999888241,1626862.000000000000000,1823683.739999999990687,1961596.449999999953434,11279224.089999997988343
FS( 76 ),2173158.250000000000000,1988328.639999999897555,1743355.939999999944121,1626006.000000000000000,1832196.750000000000000,1965750.400000000139698,11328799.980000000447035
FS( 77 ),2225720.750000000000000,2020044.739999999757856,1743355.939999999944121,1629216.000000000000000,1815170.729999999981374,1977289.150000000139698,11410801.310000000521541
FS( 78 ),2144774.500000000000000,2052783.939999999711290,1721753.139999999897555,1620014.000000000000000,1786794.029999999795109,1982827.750000000000000,11308951.359999999403954
FS( 79 ),2102934.750000000000000,2092684.839999999850988,1726073.699999999953434,1609100.000000000000000,1774497.459999999962747,1980519.999999999767169,11285814.750000000000000
FS( 80 ),2114498.500000000000000,2087773.959999999962747,1724993.560000000055879,1609527.999999999767169,1787739.919999999692664,1973135.199999999953434,11297673.139999998733401
FS( 81 ),2144564.250000000000000,2089206.299999999813735,1736875.099999999860302,1593050.000000000000000,1783956.359999999869615,1962519.550000000046566,11310175.560000000521541
FS( 82 ),2164117.500000000000000,2122968.599999999627471,1726073.699999999953434,1619586.000000000232831,1819900.179999999701977,1965288.849999999860302,11417938.830000000074506
FS( 83 ),2099570.750000000000000,2105575.900000000372529,1753077.199999999953434,1602680.000000000000000,1810441.279999999795109,1959288.700000000186265,11330637.830000001937151
FS( 84 ),2122908.500000000000000,2117239.240000000223517,1740115.520000000018626,1598400.000000000000000,1815170.729999999981374,2010520.750000000000000,11404358.740000000223517
FS( 85 ),2191870.500000000000000,2131971.879999999888241,1770359.439999999944121,1631570.000000000000000,1870032.349999999860302,2067291.399999999906868,11663099.570000000298023
FS( 86 ),2166430.250000000000000,2122968.599999999627471,1760638.180000000167638,1627076.000000000000000,1859627.559999999823049,2051598.700000000186265,11588343.289999999105930
FS( 87 ),2147297.500000000000000,2107826.719999999739230,1761178.250000000000000,1632640.000000000232831,1854898.109999999869615,2010520.750000000000000,11514365.330000000074506
FS( 88 ),2189347.500000000000000,2123377.839999999850988,1772519.719999999972060,1616590.000000000232831,1861519.339999999850988,2022982.599999999860302,11586340.999999998137355
FS( 89 ),2152133.250000000000000,2090024.779999999795109,1771979.650000000139698,1621726.000000000000000,1859627.559999999823049,2053444.900000000139698,11548940.140000000596046
FS( 90 ),2068664.000000000000000,2027411.059999999823049,1763338.529999999795109,1640986.000000000232831,1831250.859999999869615,2021136.399999999906868,11352790.849999999627471
FS( 91 ),2102934.750000000000000,2044803.760000000009313,1750376.849999999860302,1642056.000000000000000,1841655.649999999674037,2011905.400000000139698,11393736.410000000149012
FS( 92 ),2146666.750000000000000,2062605.699999999720603,1726613.770000000018626,1619372.000000000000000,1873815.909999999683350,1992058.749999999767169,11421136.879999998956919
FS( 93 ),2118283.000000000000000,2071404.359999999869615,1702310.619999999878928,1607602.000000000000000,1869086.459999999962747,1974981.399999999906868,11343671.839999999850988
FS( 94 ),2110924.250000000000000,2036209.719999999972060,1663425.580000000074506,1570366.000000000000000,1825575.519999999785796,1932057.250000000000000,11138562.320000000298023
FS( 95 ),2168112.250000000000000,2092070.979999999748543,1681787.959999999962747,1570794.000000000232831,1880437.139999999664724,1950980.800000000046566,11344187.129999998956919
FS( 96 ),2208900.750000000000000,2103529.700000000186265,1693129.430000000167638,1562020.000000000000000,1908813.839999999850988,1966211.949999999953434,11442609.669999999925494
FS( 97 ),2262094.000000000000000,2152433.879999999888241,1716892.510000000009313,1578498.000000000000000,1889896.039999999804422,1993443.399999999906868,11593261.830000000074506
FS( 98 ),2245274.000000000000000,2153252.360000000335276,1715272.300000000046566,1580852.000000000000000,1886112.479999999981374,1972673.650000000139698,11553440.790000000968575
FS( 99 ),2244643.250000000000000,2158367.860000000335276,1735794.959999999962747,1594976.000000000000000,1884220.699999999953434,1973135.199999999953434,11591141.969999998807907
FS( 100 ),2278493.500000000000000,2156321.660000000149012,1747136.430000000167638,1603536.000000000232831,1920164.519999999785796,2021597.949999999720603,11727254.059999998658895
FS( 101 ),2293631.500000000000000,2184968.459999999962747,1761178.250000000000000,1610384.000000000000000,1924893.969999999972060,2019290.199999999953434,11794350.379999998956919
FS( 102 ),2300149.250000000000000,2169826.580000000074506,1756317.620000000111759,1605034.000000000000000,1917326.849999999860302,2024828.799999999813735,11773487.100000001490116
FS( 103 ),2324117.750000000000000,2197041.040000000037253,1774680.000000000000000,1612952.000000000000000,1927731.639999999664724,2052983.349999999860302,11889509.779999999329448
FS( 104 ),2344932.500000000000000,2210136.719999999739230,1783321.120000000111759,1622368.000000000000000,1923948.079999999841675,2095445.949999999953434,11980156.369999999180436
FS( 105 ),2341148.000000000000000,2199496.479999999515712,1791422.170000000158325,1628360.000000000000000,1921110.409999999683350,2086214.950000000186265,11967756.009999997913837
FS( 106 ),2378362.250000000000000,2216479.939999999478459,1815185.250000000000000,1626220.000000000000000,1927731.639999999664724,2105138.500000000000000,12069121.579999998211861
FS( 107 ),2383828.750000000000000,2214638.360000000335276,1827066.789999999804422,1634780.000000000000000,1942865.879999999655411,2104676.950000000186265,12107860.730000000447035
FS( 108 ),2361332.000000000000000,2237146.559999999590218,1822206.160000000149012,1639273.999999999767169,1934352.869999999878928,2081137.900000000139698,12075453.490000000223517
FS( 109 ),2333789.250000000000000,2223437.019999999552965,1826526.719999999972060,1641842.000000000000000,1919218.629999999655411,2075137.750000000000000,12019955.369999999180436
FS( 110 ),2309610.500000000000000,2229166.379999999888241,1821126.020000000018626,1626648.000000000000000,1923002.189999999711290,2050675.599999999860302,11960232.689999999478459
FS( 111 ),2308979.750000000000000,2243899.019999999552965,1816805.459999999962747,1627290.000000000232831,1935298.760000000009313,2048367.850000000093132,11980644.839999999850988
FS( 112 ),2293211.000000000000000,2205430.459999999962747,1820045.880000000121072,1631784.000000000000000,1955162.449999999953434,2045598.550000000046566,11951236.339999999850988
FS( 113 ),2240648.500000000000000,2131767.259999999776483,1806544.130000000121072,1640558.000000000000000,1935298.760000000009313,2068214.500000000000000,11823035.150000000372529
FS( 114 ),2262935.000000000000000,2124196.320000000298023,1816805.459999999962747,1645480.000000000000000,1935298.760000000009313,2046060.099999999860302,11830779.640000000596046
FS( 115 ),2261883.750000000000000,2146090.660000000149012,1844889.099999999860302,1649331.999999999767169,1938136.429999999701977,2068676.050000000046566,11909011.990000000223517
FS( 116 ),2254104.500000000000000,2173918.979999999515712,1836788.049999999813735,1655966.000000000000000,1941919.989999999990687,2076060.849999999860302,11938762.369999999180436
FS( 117 ),2184511.750000000000000,2138315.099999999627471,1817885.599999999860302,1647834.000000000000000,1929623.419999999692664,2010059.199999999720603,11728233.069999998435378
FS( 118 ),2230766.750000000000000,2156730.900000000372529,1811404.760000000009313,1639273.999999999767169,1941919.989999999990687,2028982.750000000000000,11809083.150000000372529
FS( 119 ),2276601.250000000000000,2206044.320000000298023,1831927.420000000158325,1677794.000000000232831,1928677.529999999795109,2041906.150000000139698,11962954.669999999925494
FS( 120 ),2300569.750000000000000,2212592.160000000149012,1833007.559999999823049,1645908.000000000000000,1871924.129999999655411,2206679.500000000000000,12070685.099999999627471
FS( 121 ),2288585.500000000000000,2198064.139999999664724,1829227.069999999832362,1650616.000000000000000,1905030.279999999795109,2202064.000000000000000,12073590.989999998360872
FS( 122 ),2353552.750000000000000,2225278.599999999627471,1807624.270000000018626,1646550.000000000000000,1909759.729999999981374,2185448.200000000186265,12128217.550000000745058
FS( 123 ),2367639.500000000000000,2229780.240000000223517,1809244.479999999981374,1666452.000000000000000,1951378.889999999664724,2225141.500000000000000,12249640.609999999403954
FS( 124 ),2368270.250000000000000,2226506.320000000298023,1820585.949999999953434,1669876.000000000000000,1970296.689999999711290,2266219.450000000186265,12321758.660000000149012
FS( 125 ),2426509.500000000000000,2239397.379999999888241,1821666.089999999850988,1675868.000000000000000,1983539.149999999674037,2272219.599999999627471,12419203.719999998807907
