訓練日期,20100319 - 20100621
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10064391.620000001043081
真實報酬,64391.620000001043081

夏普值報酬,-0.002260838000000
夏普值風險,0.036322490958339
夏普值,-0.062243473405858

預期報酬,2306.621888005116944
風險,414227.831091869855300
趨勢值,0.005568486023561
找到最佳解世代,76
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,6
AAPL[0](1),AXP[1](7),JNJ[12](17),MCD[15](2),MMM[16](14),WBA[27](22),
20100408,1780408.030000000027940,1776014.500000000000000,1663335.790000000270084,1718653.520000000018626,1652324.320000000065193,1763831.949999999953434,10354572.109999999403954
20100409,1793911.649999999906868,1783738.000000000000000,1668715.360000000102445,1716654.000000000000000,1663080.579999999841675,1774362.250000000000000,10400465.839999999850988
20100412,1797547.239999999990687,1810567.000000000000000,1667946.849999999860302,1712904.899999999906868,1658897.590000000083819,1762396.000000000000000,10410263.580000000074506
20100413,1798585.979999999981374,1828859.500000000000000,1682548.540000000270084,1722652.559999999823049,1672044.129999999888241,1761917.350000000093132,10466612.060000000521541
20100414,1822996.370000000111759,1888615.000000000000000,1677681.309999999823049,1735149.559999999823049,1681007.679999999934807,1760481.399999999906868,10565935.320000000298023
20100415,1846887.390000000130385,1897151.500000000000000,1678193.650000000139698,1728651.119999999646097,1693158.270000000018626,1747557.849999999860302,10591603.779999999329448
20100416,1835461.250000000000000,1833331.000000000000000,1665641.319999999832362,1725401.899999999906868,1668458.710000000195578,1716445.599999999860302,10444743.780000001192093
20100419,1833383.769999999785796,1860160.000000000000000,1691514.489999999990687,1747646.559999999823049,1671247.370000000111759,1729369.150000000139698,10533325.339999999850988
20100420,1814686.449999999720603,1878046.000000000000000,1690489.809999999823049,1758144.040000000037253,1698536.399999999906868,1726018.600000000093132,10565925.299999998882413
20100421,1923234.780000000027940,1869509.500000000000000,1675119.610000000102445,1758643.919999999925494,1707101.570000000065193,1716924.249999999767169,10650537.630000000819564
20100422,1977249.260000000009313,1901216.500000000232831,1659493.239999999990687,1775389.899999999906868,1714073.219999999972060,1726018.600000000093132,10753444.720000000670552
20100423,2009450.199999999720603,1953248.500000000000000,1666153.660000000149012,1778389.179999999934807,1724630.290000000037253,1716445.599999999860302,10848321.429999997839332
20100426,1999582.169999999925494,1916257.000000000000000,1658980.900000000139698,1775139.959999999729916,1741760.629999999888241,1708308.549999999813735,10800033.210000000894070
20100427,1944009.579999999841675,1861379.500000000000000,1646684.739999999990687,1762892.899999999906868,1752317.699999999953434,1670495.199999999953434,10637783.619999999180436
20100428,1940893.359999999869615,1873168.000000000000000,1655394.520000000018626,1758144.040000000037253,1757695.829999999841675,1684854.700000000186265,10670154.449999999254942
20100429,1993349.729999999981374,1934956.000000000000000,1665385.150000000139698,1787636.959999999729916,1779407.540000000037253,1716924.249999999767169,10877663.629999998956919
20100430,1937257.769999999785796,1874794.000000000000000,1647197.079999999841675,1764392.540000000037253,1766261.000000000000000,1682461.449999999953434,10672367.839999999850988
20100503,1976210.519999999785796,1918696.000000000000000,1673582.589999999850988,1785137.559999999823049,1788968.660000000149012,1704957.999999999767169,10847557.329999998211861
20100504,1919079.820000000065193,1864225.000000000000000,1657443.880000000121072,1765642.239999999757856,1746541.190000000176951,1681504.150000000139698,10634440.279999999329448
20100505,1899343.760000000009313,1806095.500000000000000,1668715.360000000102445,1766142.119999999646097,1724829.479999999981374,1710223.149999999906868,10575353.370000001043081
20100506,1827151.329999999841675,1727641.000000000000000,1624141.780000000027940,1735149.559999999823049,1678019.829999999841675,1659007.599999999860302,10251115.099999999627471
20100507,1749765.199999999720603,1650406.000000000000000,1621836.250000000000000,1699908.020000000018626,1645950.239999999990687,1669059.249999999767169,10036928.959999999031425
20100510,1884282.030000000027940,1751624.500000000232831,1658724.729999999981374,1764142.599999999860302,1712479.699999999953434,1702564.750000000000000,10473822.309999998658895
20100511,1903498.719999999739230,1761380.500000000000000,1656675.370000000111759,1761643.199999999953434,1693955.030000000027940,1731283.750000000000000,10508440.570000000298023
20100512,1944528.949999999720603,1792681.000000000000000,1662567.280000000027940,1766392.059999999823049,1721841.629999999888241,1750429.750000000000000,10638444.669999998062849
20100513,1917002.339999999850988,1740242.500000000000000,1656675.370000000111759,1762143.079999999841675,1704910.479999999981374,1716445.599999999860302,10497423.369999999180436
20100514,1883243.289999999804422,1652032.000000000000000,1638743.469999999972060,1739398.540000000037253,1686784.190000000176951,1693470.400000000139698,10293675.890000000596046
20100517,1886359.510000000009313,1675609.000000000000000,1636437.939999999944121,1753145.239999999757856,1686784.190000000176951,1709265.850000000093132,10347605.729999998584390
20100518,1872336.519999999785796,1619512.000000000232831,1613126.469999999972060,1750145.959999999729916,1673637.649999999906868,1684854.700000000186265,10213617.300000000745058
20100519,1842732.429999999701977,1632926.500000000000000,1593913.719999999972060,1734649.679999999934807,1644157.530000000027940,1666187.350000000093132,10114571.209999999031425
20100520,1764307.559999999823049,1569919.000000000000000,1551133.329999999841675,1691160.119999999646097,1585197.290000000037253,1565670.850000000093132,9727392.150000000372529
20100521,1798066.609999999869615,1618699.000000000000000,1559586.939999999944121,1696158.919999999925494,1607506.570000000065193,1584338.199999999953434,9864360.240000000223517
20100524,1830786.919999999925494,1586992.000000000000000,1551645.669999999925494,1691160.119999999646097,1585396.479999999981374,1567106.800000000046566,9813091.990000000223517
20100525,1819360.780000000027940,1585366.000000000000000,1546009.929999999934807,1695659.040000000037253,1583006.199999999953434,1575243.849999999860302,9804649.800000000745058
20100526,1811050.859999999869615,1551626.500000000000000,1528334.199999999953434,1649920.020000000018626,1577030.500000000000000,1527857.500000000000000,9645823.580000000074506
20100527,1879607.699999999720603,1639430.500000000000000,1512195.489999999990687,1679662.879999999888241,1622047.440000000176951,1547960.800000000046566,9880908.810000000521541
20100528,1906095.570000000065193,1620731.500000000000000,1493495.079999999841675,1671414.859999999869615,1579819.160000000149012,1533601.299999999813735,9805161.469999998807907
20100601,1935180.289999999804422,1593089.500000000000000,1505278.899999999906868,1658667.919999999925494,1555119.599999999860302,1532644.000000000000000,9779984.209999999031425
20100602,1958551.939999999944121,1665446.500000000000000,1530127.389999999897555,1693909.459999999729916,1568465.329999999841675,1570936.000000000000000,9987440.619999999180436
20100603,1952319.500000000000000,1647967.000000000000000,1531152.070000000065193,1695908.979999999748543,1560497.729999999981374,1548439.449999999953434,9936288.729999998584390
20100604,1899343.760000000009313,1561382.499999999767169,1486066.149999999906868,1667165.879999999888241,1515879.169999999925494,1476163.300000000046566,9606004.759999999776483
20100607,1861949.120000000111759,1532927.500000000000000,1485809.979999999981374,1668415.579999999841675,1488789.329999999841675,1435956.699999999953434,9473852.209999999031425
20100608,1850003.609999999869615,1562195.500000000000000,1502204.860000000102445,1709155.799999999813735,1492374.750000000000000,1465154.349999999860302,9581092.869999999180436
20100609,1804299.050000000046566,1549187.500000000000000,1490164.870000000111759,1706156.520000000018626,1489785.280000000027940,1427819.649999999906868,9467416.869999999180436
20100610,1858832.899999999906868,1627235.500000000000000,1498618.479999999981374,1733899.859999999869615,1542371.440000000176951,1434042.100000000093132,9695004.280000001192093
20100611,1881165.809999999823049,1631300.500000000000000,1497593.800000000046566,1738148.840000000083819,1559700.969999999972060,1411066.899999999906868,9718980.819999998435378
20100614,1886878.879999999888241,1621544.500000000000000,1496569.120000000111759,1732150.279999999795109,1556513.929999999934807,1413938.799999999813735,9707599.509999997913837
20100615,1926870.370000000111759,1690649.500000000232831,1515013.360000000102445,1759643.679999999934807,1588981.899999999906868,1444572.399999999906868,9925735.210000000894070
20100616,1982962.329999999841675,1721137.000000000232831,1517575.060000000055879,1756894.340000000083819,1611091.989999999990687,1399579.299999999813735,9989244.019999999552965
20100617,2017240.750000000000000,1709755.000000000000000,1516038.040000000037253,1750895.779999999795109,1614079.840000000083819,1401015.250000000000000,10009028.660000000149012
20100618,2033341.219999999739230,1708535.500000000000000,1516038.040000000037253,1746646.799999999813735,1617067.690000000176951,1440264.550000000046566,10061897.800000000745058
20100621,2004775.870000000111759,1731706.000000000000000,1514757.189999999944121,1747646.559999999823049,1622844.199999999953434,1442657.800000000046566,10064391.620000001043081
