訓練日期,20171120 - 20180223
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11356112.120000001043081
真實報酬,1356112.120000001043081

夏普值報酬,0.126911212000000
夏普值風險,0.042687251923889
夏普值,2.973047134218934

預期報酬,25442.199589708012354
風險,321213.974942330969498
趨勢值,0.079206390675486
找到最佳解世代,39
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](1),CAT[3](9),CSCO[4](2),GS[8](7),JPM[13](3),TRV[22](12),UNH[23](11),WBA[27](24),XOM[29](25),
20171129,1140932.440000000176951,1126863.659999999916181,1160012.000000000000000,1126702.119999999878928,1174395.390000000130385,1150535.720000000204891,1179814.140000000130385,1121558.979999999981374,1139220.409999999916181,10320035.860000001266599
20171130,1172702.440000000176951,1152084.239999999990687,1154441.000000000000000,1156017.159999999916181,1183338.979999999981374,1159429.800000000046566,1207814.109999999869615,1134657.940000000176951,1153344.350000000093132,10473831.019999999552965
20171201,1149743.320000000065193,1155104.179999999934807,1163726.000000000000000,1162132.239999999757856,1186395.650000000139698,1164903.080000000307336,1200456.840000000083819,1114229.800000000046566,1155698.339999999850988,10452390.450000001117587
20171204,1177658.560000000288710,1154940.939999999944121,1167440.000000000000000,1170067.839999999850988,1210849.010000000009313,1166185.880000000353903,1172086.359999999869615,1116101.079999999841675,1157221.509999999776483,10492552.179999999701977
20171205,1167365.080000000307336,1143840.619999999878928,1154750.500000000000000,1159238.079999999841675,1196924.179999999934807,1157291.800000000046566,1165046.670000000158325,1094425.420000000158325,1147805.550000000046566,10386688.900000000372529
20171206,1178929.360000000102445,1145473.020000000018626,1157845.500000000000000,1148128.239999999757856,1187980.590000000083819,1157633.880000000353903,1164252.719999999972060,1107992.199999999953434,1139358.879999999888241,10387595.390000000596046
20171207,1194602.560000000288710,1166286.119999999878928,1157536.000000000000000,1160311.719999999972060,1184471.080000000074506,1147799.080000000307336,1165364.250000000000000,1085536.840000000083819,1143097.569999999832362,10405006.220000000670552
20171208,1211250.040000000037253,1174203.260000000009313,1164035.500000000000000,1168667.439999999944121,1199301.590000000083819,1143865.160000000149012,1185265.929999999934807,1115789.199999999953434,1144620.739999999990687,10506999.859999999403954
20171211,1199643.400000000139698,1173468.679999999934807,1174868.000000000000000,1167640.479999999981374,1195792.080000000074506,1138819.480000000214204,1179231.910000000149012,1120935.219999999972060,1149744.129999999888241,10500144.380000002682209
20171212,1228363.480000000214204,1170611.979999999748543,1173320.500000000000000,1202883.879999999888241,1209716.909999999916181,1148996.360000000102445,1177749.870000000111759,1122962.440000000176951,1146005.439999999944121,10580611.859999999403954
20171213,1236411.880000000121072,1212646.279999999795109,1180748.500000000000000,1192987.719999999972060,1194546.770000000018626,1142240.280000000260770,1187594.850000000093132,1118440.179999999934807,1150990.360000000102445,10616607.820000000298023
20171214,1245053.320000000065193,1193955.300000000046566,1173011.000000000000000,1192614.279999999795109,1184923.919999999925494,1133859.320000000298023,1171186.550000000046566,1097232.340000000083819,1147944.020000000018626,10539781.050000000745058
20171215,1245307.480000000214204,1197301.719999999972060,1181986.500000000000000,1200503.199999999953434,1201679.000000000000000,1153614.439999999944121,1174203.560000000055879,1121870.859999999869615,1149744.129999999888241,10626211.890000000596046
20171218,1254626.680000000167638,1222440.679999999934807,1190962.000000000000000,1213806.999999999767169,1210962.219999999972060,1156351.080000000307336,1178702.609999999869615,1131383.199999999953434,1148497.899999999906868,10707734.369999999180436
20171219,1259328.640000000130385,1231745.359999999869615,1185391.000000000000000,1197282.280000000027940,1205867.770000000018626,1159173.239999999990687,1175368.020000000018626,1125769.359999999869615,1141574.399999999906868,10681501.070000000298023
20171220,1262082.040000000037253,1244886.179999999934807,1199009.000000000000000,1191213.879999999888241,1201679.000000000000000,1156778.680000000167638,1177167.640000000130385,1134034.179999999934807,1147528.610000000102445,10714380.209999999031425
20171221,1249924.719999999972060,1262189.619999999878928,1192509.500000000000000,1218428.319999999832362,1220811.489999999990687,1149766.040000000037253,1173515.469999999972060,1142299.000000000000000,1161098.669999999925494,10770543.830000000074506
20171222,1250221.240000000223517,1271249.439999999944121,1193128.500000000000000,1208905.600000000093132,1216509.510000000009313,1149338.439999999944121,1164570.300000000046566,1133878.239999999990687,1162760.310000000055879,10750562.580000001937151
20171226,1251322.600000000093132,1276881.219999999972060,1190962.000000000000000,1203070.600000000093132,1211641.479999999981374,1152673.720000000204891,1162453.100000000093132,1143078.699999999953434,1162898.780000000027940,10754983.199999999254942
20171227,1252423.960000000195578,1285696.179999999934807,1193438.000000000000000,1194808.239999999757856,1213905.679999999934807,1152588.200000000186265,1166793.359999999869615,1136217.340000000083819,1161791.020000000018626,10757662.979999998584390
20171228,1255516.240000000223517,1293041.979999999748543,1194366.500000000000000,1197375.639999999897555,1220358.650000000139698,1160199.480000000214204,1179231.910000000149012,1137464.859999999869615,1163452.659999999916181,10801008.919999999925494
20171229,1249416.400000000139698,1286185.900000000139698,1185391.000000000000000,1189253.319999999832362,1210735.800000000046566,1160028.439999999944121,1167005.080000000074506,1132474.780000000027940,1158190.800000000046566,10738682.519999999552965
20180102,1257591.880000000121072,1281778.419999999925494,1202723.000000000000000,1193501.199999999953434,1222170.010000000009313,1128728.120000000111759,1170710.179999999934807,1168808.800000000046566,1177438.129999999888241,10803450.740000002086163
20180103,1261658.440000000176951,1283737.300000000046566,1212317.500000000000000,1182391.359999999869615,1223415.320000000065193,1132319.960000000195578,1182989.939999999944121,1177541.440000000176951,1200562.620000000111759,10856934.879999998956919
20180104,1256871.760000000242144,1301367.219999999972060,1206746.500000000000000,1198916.079999999841675,1234509.900000000139698,1132319.960000000195578,1188124.149999999906868,1116568.899999999906868,1202224.259999999776483,10837649.730000000447035
20180105,1308423.880000000121072,1321935.459999999962747,1223459.500000000000000,1192801.000000000000000,1226585.200000000186265,1130267.480000000214204,1210778.189999999944121,1137152.979999999981374,1201254.969999999972060,10952659.660000002011657
20180108,1313973.040000000037253,1355154.800000000046566,1236149.000000000000000,1175482.719999999972060,1228396.560000000055879,1124195.560000000055879,1189764.979999999981374,1151655.399999999906868,1206655.300000000046566,10981428.360000001266599
20180109,1349047.120000000111759,1358419.600000000093132,1228411.500000000000000,1185425.559999999823049,1234623.110000000102445,1132918.600000000093132,1195693.140000000130385,1144949.979999999981374,1201531.909999999916181,11031021.520000001415610
20180110,1356799.000000000000000,1353848.879999999888241,1235220.500000000000000,1187246.079999999841675,1248208.310000000055879,1129839.880000000353903,1186800.899999999906868,1155242.020000000018626,1191977.479999999981374,11045184.050000000745058
20180111,1390093.960000000195578,1381028.339999999850988,1241101.000000000000000,1190980.479999999981374,1254887.700000000186265,1131806.840000000083819,1193099.570000000065193,1175514.219999999972060,1203747.430000000167638,11162260.539999999105930
20180112,1424363.199999999953434,1390006.540000000037253,1264932.500000000000000,1199849.679999999701977,1275605.130000000121072,1152246.120000000111759,1210301.820000000065193,1186274.079999999841675,1211917.159999999916181,11315497.230000000447035
20180116,1419915.400000000139698,1381926.159999999916181,1254719.000000000000000,1206524.919999999692664,1271076.729999999981374,1159002.200000000186265,1232850.000000000000000,1185650.320000000065193,1204301.310000000055879,11315967.040000000968575
20180117,1487056.000000000000000,1375314.939999999944121,1275146.000000000000000,1184071.839999999850988,1279227.850000000093132,1170461.880000000353903,1262120.290000000037253,1181751.820000000065193,1218563.719999999972060,11433715.340000001713634
20180118,1441095.400000000139698,1378008.400000000139698,1278241.000000000000000,1171561.599999999860302,1282284.520000000018626,1174566.840000000083819,1287156.179999999934807,1185182.500000000000000,1210670.930000000167638,11408768.369999999180436
20180119,1430801.920000000158325,1390904.359999999869615,1277931.500000000000000,1195601.799999999813735,1279454.270000000018626,1178928.360000000102445,1288161.850000000093132,1192511.679999999934807,1206793.770000000018626,11441090.509999999776483
20180122,1431945.640000000130385,1394822.119999999878928,1289383.000000000000000,1220808.999999999767169,1294397.989999999990687,1191756.360000000102445,1289273.380000000121072,1207014.100000000093132,1222025.469999999972060,11541428.060000000521541
20180123,1421736.880000000121072,1382905.600000000093132,1303001.000000000000000,1214133.759999999776483,1293039.469999999972060,1250850.680000000167638,1298006.830000000074506,1201088.379999999888241,1222717.819999999832362,11587481.420000001788139
20180124,1417924.480000000214204,1374009.020000000018626,1305167.500000000000000,1240227.879999999888241,1309568.130000000121072,1262481.400000000139698,1296101.350000000093132,1205922.520000000018626,1225902.629999999888241,11637305.910000000149012
20180125,1453591.600000000093132,1382415.879999999888241,1296811.000000000000000,1255865.679999999701977,1309907.760000000009313,1269750.600000000093132,1297848.040000000037253,1220580.879999999888241,1223687.110000000102445,11710459.549999997019768
20180126,1454057.560000000288710,1363561.659999999916181,1317238.000000000000000,1251711.159999999916181,1316926.780000000027940,1277875.000000000000000,1315262.010000000009313,1234303.600000000093132,1232410.719999999972060,11763347.490000000223517
20180129,1443891.160000000149012,1326995.900000000139698,1326213.500000000000000,1271970.280000000027940,1315568.260000000009313,1273941.080000000307336,1309651.429999999934807,1251768.879999999888241,1218702.189999999944121,11738703.680000001564622
20180130,1430717.199999999953434,1336627.059999999823049,1307643.500000000000000,1255445.559999999823049,1303228.370000000111759,1271888.600000000093132,1252698.750000000000000,1187209.719999999972060,1201670.379999999888241,11547130.140000000596046
20180131,1501288.960000000195578,1328628.300000000046566,1285669.000000000000000,1250544.159999999916181,1309568.130000000121072,1282151.000000000000000,1253386.840000000083819,1173642.940000000176951,1208870.819999999832362,11593751.150000000372529
20180201,1512175.480000000214204,1324220.820000000065193,1290621.000000000000000,1270803.280000000027940,1323153.330000000074506,1282835.160000000149012,1245129.760000000009313,1186118.140000000130385,1233380.009999999776483,11668437.980000000447035
20180202,1478160.400000000139698,1285451.320000000065193,1266789.500000000000000,1213900.360000000102445,1293831.940000000176951,1265303.560000000055879,1227451.140000000130385,1147133.140000000130385,1170514.629999999888241,11348536.990000002086163
20180205,1393313.320000000065193,1233132.900000000139698,1200247.000000000000000,1162879.119999999878928,1231792.860000000102445,1210314.200000000186265,1164676.160000000149012,1098323.920000000158325,1103910.560000000055879,10798591.040000000968575
20180206,1444272.400000000139698,1276636.359999999869615,1243267.500000000000000,1207645.239999999757856,1269265.370000000111759,1204584.360000000102445,1191988.040000000037253,1119531.760000000009313,1084940.169999999925494,11042132.199999999254942
20180207,1474813.960000000195578,1259741.020000000018626,1248529.000000000000000,1200176.439999999944121,1277869.330000000074506,1215616.439999999944121,1195375.560000000055879,1115477.320000000065193,1065415.899999999906868,11053015.970000000670552
20180208,1396617.400000000139698,1191588.320000000065193,1199937.500000000000000,1149995.439999999944121,1221377.540000000037253,1154640.680000000167638,1145833.080000000074506,1063861.179999999934807,1053369.009999999776483,10577221.150000000372529
20180209,1410045.520000000018626,1217869.959999999962747,1223459.500000000000000,1163766.040000000037253,1245830.900000000139698,1172343.320000000298023,1169651.580000000074506,1067603.739999999990687,1049353.379999999888241,10719924.940000001341105
20180212,1456514.440000000176951,1243008.919999999925494,1256576.000000000000000,1181784.519999999785796,1265076.600000000093132,1181408.439999999944121,1194687.469999999972060,1067603.739999999990687,1058215.459999999962747,10904876.589999999850988
20180213,1453803.400000000139698,1256721.079999999841675,1276074.500000000000000,1192847.679999999934807,1272888.090000000083819,1185171.320000000298023,1199715.820000000065193,1064952.760000000009313,1056553.819999999832362,10958729.470000000670552
20180214,1460962.240000000223517,1290103.659999999916181,1302691.500000000000000,1225757.079999999841675,1302322.690000000176951,1202446.360000000102445,1211042.840000000083819,1068071.559999999823049,1058769.339999999850988,11122168.270000001415610
20180215,1510142.199999999953434,1305774.699999999953434,1364282.000000000000000,1249563.879999999888241,1307756.770000000018626,1204840.920000000158325,1196434.160000000149012,1088187.820000000065193,1055307.589999999850988,11282291.039999999105930
20180216,1504127.080000000307336,1275656.919999999925494,1372019.500000000000000,1249283.799999999813735,1298360.340000000083819,1207235.480000000214204,1214165.709999999962747,1105964.979999999981374,1059877.100000000093132,11286691.910000000149012
20180220,1496968.240000000223517,1269698.659999999916181,1363663.000000000000000,1236540.159999999916181,1298699.969999999972060,1189361.800000000046566,1199821.679999999934807,1105809.040000000037253,1048937.969999999972060,11209501.520000001415610
20180221,1492816.960000000195578,1267005.199999999953434,1340450.500000000000000,1229584.839999999850988,1304134.050000000046566,1184829.239999999990687,1191723.390000000130385,1085848.719999999972060,1037029.549999999930151,11133423.450000001117587
20180222,1507854.760000000242144,1296633.260000000009313,1328999.000000000000000,1220388.879999999888241,1301756.640000000130385,1177132.439999999944121,1202097.670000000158325,1086472.479999999981374,1050461.139999999897555,11171797.270000001415610
20180223,1510989.400000000139698,1325608.359999999869615,1361806.000000000000000,1245315.999999999767169,1328134.570000000065193,1195091.640000000130385,1218347.179999999934807,1097232.340000000083819,1073585.629999999888241,11356112.120000001043081
