訓練日期,20100831 - 20101201
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11775634.350000001490116
真實報酬,1775634.350000001490116

夏普值報酬,0.168863435000000
夏普值風險,0.041229266324699
夏普值,4.095717679527128

預期報酬,30951.562327336778253
風險,214736.693614850024460
趨勢值,0.144137277175606
找到最佳解世代,10
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AXP[1](28),CVX[5](17),DIS[6](10),GS[8](14),KO[14](1),UTX[24](7),WBA[27](11),XOM[29](3),
20100921,1340561.040000000037253,1351143.739999999990687,1333073.849999999860302,1384812.040000000270084,1307594.879999999888241,1349594.359999999869615,1366309.159999999683350,1303812.439999999944121,10736901.509999999776483
20100922,1340874.399999999906868,1342672.739999999990687,1313367.959999999962747,1354355.860000000102445,1310294.639999999897555,1349212.040000000037253,1369527.199999999720603,1301905.699999999953434,10682210.539999999105930
20100923,1327399.919999999925494,1330643.920000000158325,1279752.029999999795109,1325454.500000000000000,1302195.359999999869615,1334301.560000000055879,1356655.039999999804422,1295549.899999999906868,10551952.229999998584390
20100924,1351528.640000000130385,1357412.280000000027940,1297525.969999999739230,1347130.520000000251457,1318843.879999999888241,1366798.760000000009313,1395731.239999999757856,1308261.500000000000000,10743232.789999999105930
20100927,1361242.799999999813735,1356734.599999999860302,1286320.659999999916181,1335423.640000000130385,1318393.919999999925494,1355520.319999999832362,1395271.519999999785796,1307414.060000000055879,10716321.519999999552965
20100928,1369076.799999999813735,1370288.199999999953434,1283615.929999999701977,1326369.100000000093132,1329642.919999999925494,1368710.359999999869615,1554334.639999999897555,1314829.160000000149012,10916867.109999999403954
20100929,1347768.319999999832362,1377065.000000000000000,1275501.739999999757856,1320972.959999999962747,1321993.599999999860302,1366607.599999999860302,1546059.679999999934807,1304871.739999999990687,10860840.639999998733401
20100930,1317059.040000000037253,1373168.339999999850988,1278979.250000000000000,1322436.320000000298023,1316594.079999999841675,1361637.440000000176951,1540083.319999999832362,1309108.939999999944121,10819066.730000000447035
20101001,1309225.040000000037253,1388416.140000000130385,1288252.610000000102445,1350971.840000000083819,1330092.879999999888241,1359725.839999999850988,1548358.279999999795109,1324998.439999999944121,10900041.069999998435378
20101004,1223677.759999999776483,1377573.260000000009313,1280524.809999999823049,1340636.860000000102445,1324693.359999999869615,1348256.239999999990687,1522154.239999999757856,1317583.339999999850988,10735099.869999999180436
20101005,1199549.040000000037253,1412812.620000000111759,1307185.719999999739230,1368074.860000000102445,1342241.799999999813735,1386105.920000000158325,1562149.879999999655411,1340252.359999999869615,10918372.199999999254942
20101006,1192655.120000000111759,1417386.959999999962747,1296366.799999999813735,1381610.940000000176951,1344491.599999999860302,1392031.879999999888241,1564448.479999999981374,1349997.919999999925494,10938989.699999999254942
20101007,1185134.479999999981374,1415015.079999999841675,1310276.839999999618158,1382159.700000000186265,1337292.239999999757856,1391267.239999999990687,1557092.959999999729916,1352752.100000000093132,10930990.639999998733401
20101008,1190461.600000000093132,1422130.719999999972060,1333460.239999999757856,1396336.000000000000000,1336842.280000000027940,1393752.319999999832362,1562149.879999999655411,1363980.679999999934807,10999113.719999998807907
20101011,1188894.799999999813735,1418234.059999999823049,1335778.579999999841675,1392128.840000000083819,1339992.000000000000000,1394134.640000000130385,1551576.319999999832362,1367582.300000000046566,10988321.540000000968575
20101012,1207696.399999999906868,1420436.520000000018626,1332301.069999999832362,1419658.300000000279397,1340891.919999999925494,1395090.440000000176951,1564908.199999999720603,1370760.199999999953434,11051743.049999998882413
20101013,1230258.319999999832362,1417556.380000000121072,1348915.839999999618158,1415268.219999999972060,1348541.239999999757856,1418029.640000000130385,1599846.919999999692664,1377963.440000000176951,11156380.000000000000000
20101014,1235898.799999999813735,1421453.040000000037253,1346597.500000000000000,1386549.780000000260770,1348091.280000000027940,1417456.160000000149012,1585595.599999999860302,1383471.800000000046566,11125113.960000000894070
20101015,1224931.199999999953434,1416539.859999999869615,1347756.669999999925494,1378318.380000000121072,1348541.239999999757856,1416500.359999999869615,1589733.079999999841675,1381141.339999999850988,11103462.129999998956919
20101018,1239345.759999999776483,1431279.400000000139698,1342733.599999999860302,1405847.840000000083819,1349891.119999999878928,1425293.719999999972060,1581917.839999999618158,1404234.080000000074506,11180543.359999999403954
20101019,1231825.120000000111759,1402647.420000000158325,1323027.709999999962747,1433468.760000000009313,1357540.439999999944121,1407133.520000000018626,1546059.679999999934807,1379658.320000000065193,11081360.969999998807907
20101020,1244986.239999999757856,1423486.079999999841675,1337710.529999999795109,1459809.239999999990687,1375988.799999999813735,1413059.479999999981374,1564448.479999999981374,1398513.860000000102445,11218002.709999999031425
20101021,1261907.680000000167638,1427382.739999999990687,1340028.869999999878928,1457065.440000000176951,1383188.159999999916181,1433131.280000000027940,1567666.519999999785796,1405081.519999999785796,11275452.210000000894070
20101022,1223051.040000000037253,1432465.339999999850988,1351234.179999999701977,1442980.600000000093132,1386337.879999999888241,1432557.800000000046566,1566287.359999999869615,1405505.239999999990687,11240419.439999999478459
20101025,1231511.759999999776483,1437886.780000000027940,1370167.289999999804422,1439596.580000000074506,1372839.079999999841675,1433895.920000000158325,1583296.999999999767169,1402539.199999999953434,11271733.609999999403954
20101026,1256580.560000000055879,1442630.540000000037253,1389486.789999999804422,1447827.979999999981374,1377788.639999999897555,1427396.479999999981374,1569505.399999999906868,1409530.580000000074506,11320746.969999998807907
20101027,1274755.439999999944121,1428399.260000000009313,1387941.229999999981374,1464839.540000000270084,1376888.719999999972060,1423382.119999999878928,1560770.719999999972060,1391310.620000000111759,11308287.650000002235174
20101028,1291676.879999999888241,1430601.719999999972060,1410738.239999999757856,1493100.680000000167638,1377338.679999999934807,1427969.959999999962747,1569505.399999999906868,1402962.919999999925494,11403894.480000000447035
20101029,1299197.520000000018626,1399428.439999999944121,1396055.419999999925494,1473802.620000000111759,1379588.479999999981374,1429308.079999999841675,1557552.679999999934807,1408683.139999999897555,11343616.380000000819564
20101101,1302331.120000000111759,1379945.140000000130385,1392191.520000000018626,1477826.860000000102445,1388587.679999999934807,1426823.000000000000000,1565367.919999999692664,1418428.699999999953434,11351501.939999999478459
20101102,1328340.000000000000000,1391804.540000000037253,1395282.639999999897555,1489259.360000000102445,1391737.399999999906868,1438483.760000000009313,1585595.599999999860302,1437284.239999999990687,11457787.539999999105930
20101103,1318312.479999999981374,1401122.640000000130385,1402237.659999999916181,1487521.620000000111759,1393987.199999999953434,1434660.560000000055879,1617316.279999999795109,1440038.419999999925494,11495196.859999999403954
20101104,1370330.239999999757856,1442461.120000000111759,1430830.520000000018626,1521910.580000000074506,1405236.199999999953434,1457408.599999999860302,1652714.719999999972060,1469910.679999999934807,11750802.660000000149012
20101105,1380984.479999999981374,1439750.400000000139698,1437399.149999999906868,1564713.860000000102445,1407935.959999999729916,1467157.760000000009313,1615477.399999999906868,1483046.000000000000000,11796465.009999999776483
20101108,1375657.359999999869615,1436700.839999999850988,1431989.689999999944121,1547610.840000000083819,1405236.199999999953434,1464863.839999999850988,1613178.800000000046566,1489825.519999999785796,11765063.089999999850988
20101109,1358735.919999999925494,1415692.760000000009313,1424261.889999999897555,1523373.940000000176951,1409285.839999999850988,1466010.800000000046566,1620074.599999999860302,1496393.179999999934807,11713828.929999999701977
20101110,1365003.120000000111759,1442969.380000000121072,1429284.959999999962747,1529501.760000000009313,1407486.000000000000000,1455688.160000000149012,1614098.239999999757856,1506986.179999999934807,11751017.799999998882413
20101111,1358422.560000000055879,1458556.020000000018626,1388327.619999999878928,1533983.300000000279397,1412885.519999999785796,1441160.000000000000000,1618695.439999999944121,1521816.379999999888241,11733846.839999999850988
20101112,1338054.160000000149012,1447543.719999999972060,1458650.599999999860302,1516788.820000000298023,1415585.280000000027940,1431410.839999999850988,1601226.079999999841675,1504020.139999999897555,11713279.640000000596046
20101115,1338054.160000000149012,1437717.359999999869615,1439331.099999999860302,1529501.760000000009313,1416485.199999999953434,1439630.719999999972060,1586515.039999999804422,1493215.280000000027940,11680450.619999999180436
20101116,1313925.439999999944121,1397395.400000000139698,1426580.229999999981374,1510112.239999999990687,1396686.959999999729916,1417647.319999999832362,1563529.039999999804422,1460588.839999999850988,11486465.469999998807907
20101117,1297630.719999999972060,1397056.559999999823049,1438171.929999999701977,1508191.580000000074506,1406586.079999999841675,1407707.000000000000000,1563529.039999999804422,1462071.860000000102445,11480944.769999997690320
20101118,1323952.959999999962747,1420097.679999999934807,1452081.969999999739230,1530690.739999999990687,1436283.439999999944121,1434278.239999999990687,1582377.559999999823049,1489613.660000000149012,11669376.250000000000000
20101119,1339620.959999999962747,1422130.719999999972060,1430057.739999999757856,1524471.459999999962747,1447082.479999999748543,1439630.719999999972060,1598008.039999999804422,1494486.440000000176951,11695488.559999996796250
20101122,1323012.879999999888241,1413829.140000000130385,1427739.399999999906868,1473070.940000000176951,1446182.559999999823049,1435807.520000000018626,1603984.399999999906868,1487071.339999999850988,11610698.179999999701977
20101123,1314552.160000000149012,1385027.739999999990687,1395669.029999999795109,1443163.520000000251457,1431333.879999999888241,1418029.640000000130385,1562149.879999999655411,1461436.280000000027940,11411362.129999998956919
20101124,1347454.959999999962747,1405019.300000000046566,1424648.279999999795109,1465845.600000000093132,1453831.879999999888241,1454541.200000000186265,1577320.639999999897555,1480503.679999999934807,11609165.539999999105930
20101126,1324579.680000000167638,1390110.339999999850988,1418079.649999999906868,1447187.760000000009313,1442582.879999999888241,1439057.239999999990687,1548358.279999999795109,1466732.780000000027940,11476688.609999997541308
20101129,1357795.839999999850988,1384011.219999999972060,1407260.729999999981374,1456882.520000000251457,1426384.319999999832362,1429881.560000000055879,1599846.919999999692664,1471393.699999999953434,11533456.809999998658895
20101130,1354348.879999999888241,1371812.979999999981374,1410738.239999999757856,1428164.080000000074506,1421434.759999999776483,1438866.079999999841675,1602145.519999999785796,1473724.160000000149012,11501234.699999999254942
20101201,1388191.759999999776483,1401122.640000000130385,1434308.029999999795109,1449291.340000000083819,1455631.719999999972060,1496022.920000000158325,1639842.559999999823049,1511223.379999999888241,11775634.350000001490116
