訓練日期,20140728 - 20141027
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10611173.570000000298023
真實報酬,611173.570000000298023

夏普值報酬,0.052417357000000
夏普值風險,0.023385107690080
夏普值,2.241484524881411

預期報酬,7047.231586505095038
風險,177845.103822199220303
趨勢值,0.039625671075829
找到最佳解世代,21
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AAPL[0](6),AXP[1](25),BA[2](11),DIS[6](10),HD[9](1),NKE[19](3),UNH[23](9),WMT[28](13),
20140808,1212501.860000000102445,1189357.379999999888241,1223924.780000000027940,1258987.519999999785796,1271596.400000000139698,1239385.219999999972060,1182689.839999999850988,1228611.100000000093132,9807054.099999999627471
20140811,1228499.360000000102445,1182286.939999999944121,1225649.600000000093132,1268409.919999999925494,1278538.099999999860302,1239385.219999999972060,1178999.589999999850988,1223510.670000000158325,9825279.400000000372529
20140812,1228243.400000000139698,1184054.549999999813735,1222301.419999999925494,1264206.079999999841675,1279155.139999999897555,1234238.659999999916181,1184165.939999999711290,1221207.250000000000000,9817572.439999999478459
20140813,1244496.860000000102445,1188405.589999999850988,1237621.880000000121072,1269859.519999999785796,1282240.340000000083819,1242601.820000000065193,1203207.629999999888241,1218081.180000000167638,9886514.820000000298023
20140814,1247824.340000000083819,1186637.979999999748543,1259232.860000000102445,1284500.479999999981374,1293655.580000000074506,1243245.139999999897555,1207783.539999999571592,1224004.260000000009313,9946884.179999999701977
20140815,1253967.380000000121072,1177527.989999999757856,1249594.159999999916181,1294212.800000000046566,1291033.159999999916181,1240671.860000000102445,1202617.189999999711290,1215942.290000000270084,9925566.830000001937151
20140818,1269069.020000000018626,1185142.309999999823049,1268059.880000000121072,1304215.039999999804422,1289490.560000000055879,1263509.719999999972060,1215459.259999999776483,1225649.560000000055879,10020595.349999999627471
20140819,1286602.280000000027940,1198195.429999999934807,1274147.479999999981374,1305954.560000000055879,1361067.199999999953434,1262866.399999999906868,1232139.189999999711290,1232066.229999999981374,10153038.769999999552965
20140820,1287114.199999999953434,1203226.319999999832362,1292105.899999999906868,1302330.560000000055879,1399940.719999999972060,1269299.600000000093132,1231548.750000000000000,1233382.469999999972060,10218948.519999999552965
20140821,1287242.180000000167638,1212064.369999999878928,1293627.800000000046566,1310158.399999999906868,1406111.120000000111759,1269621.260000000009313,1236567.489999999757856,1243089.739999999990687,10258482.359999999403954
20140822,1296712.699999999953434,1208529.149999999674037,1293221.959999999962747,1311752.959999999962747,1404260.000000000000000,1275411.139999999897555,1236715.099999999860302,1246051.280000000260770,10272654.289999999105930
20140825,1299528.260000000242144,1218183.019999999785796,1302048.980000000214204,1310158.399999999906868,1406882.419999999925494,1286990.899999999906868,1243505.159999999683350,1245393.160000000149012,10312690.300000000745058
20140826,1291209.560000000055879,1212200.339999999850988,1304788.399999999906868,1304939.839999999850988,1413515.599999999860302,1278306.080000000074506,1256494.839999999850988,1242596.149999999906868,10304050.810000000521541
20140827,1307079.080000000074506,1213424.069999999832362,1300730.000000000000000,1310013.439999999944121,1417217.840000000083819,1282166.000000000000000,1275093.699999999720603,1248025.639999999897555,10353749.769999999552965
20140828,1308614.840000000083819,1210432.729999999748543,1289670.860000000102445,1307984.000000000000000,1427090.479999999981374,1267691.299999999813735,1274503.259999999776483,1248848.290000000270084,10334835.759999999776483
20140829,1311814.340000000083819,1217639.139999999664724,1286525.600000000093132,1302910.399999999906868,1442362.219999999972060,1263509.719999999972060,1279522.000000000000000,1242267.090000000083819,10346550.509999997913837
20140902,1322052.739999999990687,1219950.629999999888241,1273132.880000000121072,1316246.719999999972060,1406111.120000000111759,1275089.479999999981374,1275241.309999999823049,1246380.340000000083819,10334205.220000000670552
20140903,1266253.459999999962747,1225661.369999999878928,1277800.040000000037253,1318276.159999999916181,1372945.219999999972060,1267691.299999999813735,1281145.709999999962747,1250658.120000000111759,10260431.379999998956919
20140904,1255759.100000000093132,1218998.839999999850988,1272929.959999999962747,1306679.359999999869615,1387291.400000000139698,1285382.600000000093132,1285131.179999999934807,1259707.270000000018626,10271879.709999999031425
20140905,1266637.400000000139698,1218454.959999999729916,1265117.540000000037253,1318276.159999999916181,1413207.080000000074506,1319478.560000000055879,1295316.269999999785796,1275337.620000000111759,10371825.589999999850988
20140908,1258830.620000000111759,1209209.000000000000000,1298497.880000000121072,1312767.679999999934807,1401020.539999999804422,1325268.440000000176951,1297678.029999999795109,1259213.680000000167638,10362485.869999999180436
20140909,1254095.360000000102445,1195204.089999999850988,1300831.460000000195578,1298851.519999999785796,1371865.400000000139698,1316261.959999999962747,1307272.679999999934807,1262668.810000000055879,10307051.280000001192093
20140910,1292617.340000000083819,1202138.559999999823049,1300932.919999999925494,1297691.839999999850988,1376801.719999999972060,1326555.080000000074506,1287935.769999999785796,1258884.620000000111759,10343557.850000001490116
20140911,1298120.480000000214204,1202274.529999999795109,1295048.239999999990687,1304215.039999999804422,1376338.939999999944121,1315940.299999999813735,1285426.399999999674037,1252138.889999999897555,10329502.820000000298023
20140912,1301064.020000000018626,1191668.869999999878928,1288047.500000000000000,1299866.239999999990687,1370477.060000000055879,1316261.959999999962747,1272141.500000000000000,1246709.399999999906868,10286236.549999998882413
20140915,1300680.080000000074506,1188133.649999999674037,1281554.060000000055879,1305809.599999999860302,1378807.099999999860302,1312723.699999999953434,1269927.349999999860302,1247367.520000000018626,10285003.059999998658895
20140916,1290825.620000000111759,1201458.709999999729916,1291801.520000000018626,1308563.839999999850988,1392536.239999999990687,1305968.840000000083819,1286607.279999999795109,1255758.550000000046566,10333520.599999999627471
20140917,1300040.180000000167638,1211112.579999999608845,1296265.760000000009313,1309433.599999999860302,1407190.939999999944121,1311115.399999999906868,1284097.909999999683350,1254442.310000000055879,10373698.679999999701977
20140918,1302727.760000000242144,1225117.489999999757856,1304585.480000000214204,1309578.560000000055879,1420611.560000000055879,1318513.580000000074506,1293544.949999999720603,1254113.250000000000000,10428792.630000000819564
20140919,1292105.419999999925494,1219678.689999999944121,1312397.899999999906868,1311752.959999999962747,1424468.060000000055879,1315940.299999999813735,1296054.319999999832362,1264314.110000000102445,10436711.759999997913837
20140922,1293385.220000000204891,1210024.819999999832362,1304889.860000000102445,1294357.760000000009313,1417526.359999999869615,1297927.340000000083819,1295611.489999999757856,1255594.020000000018626,10369316.869999999180436
20140923,1313606.060000000055879,1200778.859999999869615,1292410.280000000027940,1280151.679999999934807,1411355.959999999962747,1288599.199999999953434,1278193.509999999776483,1243912.389999999897555,10309007.940000001341105
20140924,1302215.840000000083819,1203634.229999999748543,1304585.480000000214204,1296677.119999999878928,1434957.739999999990687,1300178.959999999962747,1302106.329999999608845,1268262.830000000074506,10412618.529999999329448
20140925,1252559.600000000093132,1179703.509999999776483,1289975.239999999990687,1276672.639999999897555,1417680.620000000111759,1282809.320000000065193,1272141.500000000000000,1252467.950000000186265,10224010.379999998956919
20140926,1289417.840000000083819,1201594.679999999934807,1305701.540000000037253,1286384.959999999962747,1432181.060000000055879,1439457.739999999990687,1278341.119999999646097,1258555.560000000055879,10491634.500000000000000
20140929,1281227.120000000111759,1195883.939999999944121,1306513.220000000204891,1287689.599999999860302,1432798.099999999860302,1433346.199999999953434,1277012.629999999888241,1251809.830000000074506,10466280.639999998733401
20140930,1289417.840000000083819,1190309.169999999925494,1292410.280000000027940,1290588.800000000046566,1415212.459999999962747,1434632.840000000083819,1273174.769999999785796,1258226.500000000000000,10443972.660000000149012
20141001,1269324.980000000214204,1166786.359999999869615,1264914.620000000111759,1268264.959999999962747,1404105.739999999990687,1410508.340000000083819,1252952.199999999720603,1252467.950000000186265,10289325.149999998509884
20141002,1278539.540000000270084,1167602.179999999934807,1259841.620000000111759,1258117.760000000009313,1422925.459999999962747,1436241.139999999897555,1253247.419999999925494,1254277.780000000260770,10330792.900000002235174
20141003,1274956.100000000093132,1185142.309999999823049,1282061.360000000102445,1282181.119999999878928,1442979.260000000009313,1452324.139999999897555,1269779.739999999757856,1272211.550000000046566,10461635.580000000074506
20141006,1274956.100000000093132,1183374.699999999720603,1281046.760000000009313,1283775.679999999934807,1438659.979999999981374,1434954.500000000000000,1256052.009999999776483,1272705.139999999897555,10425524.869999999180436
20141007,1263821.840000000083819,1160531.739999999757856,1251217.520000000018626,1262756.479999999981374,1426473.439999999944121,1416619.879999999888241,1242767.109999999636784,1271882.489999999990687,10296070.500000000000000
20141008,1290057.739999999990687,1188541.559999999823049,1268059.880000000121072,1277252.479999999981374,1451463.560000000055879,1428842.959999999962747,1278636.339999999850988,1287348.310000000055879,10470202.830000000074506
20141009,1292873.300000000046566,1167874.119999999878928,1245535.760000000009313,1242462.079999999841675,1435729.039999999804422,1403110.159999999916181,1253837.859999999636784,1281096.170000000158325,10322518.490000000223517
20141010,1289161.880000000121072,1155636.819999999832362,1232751.800000000046566,1250579.839999999850988,1427707.520000000018626,1402466.840000000083819,1260480.309999999823049,1288170.960000000195578,10306955.970000000670552
20141013,1277387.720000000204891,1125587.449999999720603,1222098.500000000000000,1216369.279999999795109,1397626.819999999832362,1373517.440000000176951,1239224.469999999739230,1276160.270000000018626,10127971.949999999254942
20141014,1263821.840000000083819,1125043.569999999832362,1240767.140000000130385,1219703.359999999869615,1389913.819999999832362,1368692.539999999804422,1222544.539999999571592,1283070.530000000260770,10113557.339999999850988
20141015,1248336.260000000242144,1100433.000000000000000,1219460.540000000037253,1189841.599999999860302,1355205.319999999832362,1369979.180000000167638,1212802.279999999795109,1237331.190000000176951,9933389.369999999180436
20141016,1231954.820000000065193,1091051.069999999832362,1220475.140000000130385,1184912.959999999962747,1371094.099999999860302,1399893.560000000055879,1260480.309999999823049,1214626.050000000046566,9974488.010000001639128
20141017,1250000.000000000000000,1122868.049999999813735,1250405.840000000083819,1215209.599999999860302,1392073.459999999962747,1402145.180000000167638,1301663.500000000000000,1219232.889999999897555,10153598.519999999552965
20141020,1276747.820000000065193,1142311.759999999776483,1261262.060000000055879,1239707.839999999850988,1416909.319999999832362,1429807.940000000176951,1306977.459999999962747,1236344.010000000009313,10310068.210000000894070
20141021,1311430.400000000139698,1164474.869999999878928,1289772.320000000065193,1268989.760000000009313,1453160.419999999925494,1457792.360000000102445,1342551.469999999739230,1250822.649999999906868,10538994.250000000000000
20141022,1318085.360000000102445,1141631.909999999683350,1232244.500000000000000,1262611.519999999785796,1439894.060000000055879,1445247.619999999878928,1325133.489999999757856,1250987.180000000167638,10415835.639999998733401
20141023,1341633.680000000167638,1164066.959999999729916,1238129.180000000167638,1275512.959999999962747,1462416.020000000018626,1453610.780000000027940,1338270.779999999795109,1254606.840000000083819,10528247.199999999254942
20141024,1346624.900000000139698,1174808.589999999850988,1240259.840000000083819,1284500.479999999981374,1465346.959999999962747,1461973.940000000176951,1352736.559999999823049,1256745.729999999981374,10582997.000000001862645
20141027,1345217.120000000111759,1177935.899999999674037,1239042.320000000065193,1282181.119999999878928,1472751.439999999944121,1473875.360000000102445,1359969.449999999720603,1260200.860000000102445,10611173.570000000298023
