訓練日期,20181023 - 20190128
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10097645.649999998509884
真實報酬,97645.649999998509884

夏普值報酬,0.001064565000000
夏普值風險,0.026824846506339
夏普值,0.039685781603570

預期報酬,2230.923177067203142
風險,301417.256237320252694
趨勢值,0.007401444777636
找到最佳解世代,25
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CAT[3](8),JNJ[12](23),KO[14](5),MCD[15](2),NKE[19](7),PG[21](1),UTX[24](27),VZ[26](6),WMT[28](14),
20181115,1117239.719999999972060,1157740.839999999850988,1202231.900000000139698,1224000.239999999990687,1102655.619999999878928,1203871.899999999906868,1140381.699999999953434,1193967.900000000139698,1138562.199999999953434,10480653.019999999552965
20181116,1121901.000000000000000,1169678.719999999972060,1212625.000000000232831,1250872.280000000027940,1108737.559999999823049,1203743.599999999860302,1143897.699999999953434,1216804.070000000298023,1117401.899999999906868,10545662.830000000074506
20181119,1087545.640000000130385,1183619.599999999860302,1220842.800000000046566,1245071.119999999878928,1075806.079999999841675,1196943.700000000186265,1123856.500000000000000,1225089.760000000009313,1106993.319999999832362,10465769.520000001415610
20181120,1055520.919999999925494,1173364.239999999757856,1193530.700000000186265,1225000.439999999944121,1055038.479999999981374,1181676.000000000000000,1107595.000000000000000,1201647.320000000298023,1077025.760000000009313,10270399.859999999403954
20181121,1069332.120000000111759,1137630.719999999972060,1177820.199999999953434,1218399.119999999878928,1073580.979999999981374,1172823.300000000046566,1105045.899999999906868,1195584.620000000111759,1077140.139999999897555,10227358.100000001490116
20181123,1055952.520000000018626,1139553.599999999860302,1184829.500000000232831,1213131.399999999906868,1060527.059999999823049,1174491.200000000186265,1134316.599999999860302,1185075.940000000176951,1087777.479999999981374,10235656.299999998882413
20181126,1077359.879999999888241,1132663.279999999795109,1181204.000000000000000,1226200.679999999934807,1078624.539999999804422,1179623.199999999953434,1124999.199999999953434,1195786.710000000195578,1088349.379999999888241,10284811.870000001043081
20181127,1075633.479999999981374,1147485.479999999748543,1193289.000000000000000,1231135.000000000000000,1069427.459999999962747,1189630.600000000093132,1078412.199999999953434,1225696.030000000027940,1087091.199999999953434,10297801.449999999254942
20181128,1128892.920000000158325,1173284.119999999878928,1201506.800000000046566,1252605.959999999962747,1107550.839999999850988,1193351.300000000046566,1078851.699999999953434,1213772.720000000204891,1114771.159999999916181,10464588.519999999552965
20181129,1124231.639999999897555,1168557.039999999804422,1183862.699999999953434,1262007.839999999850988,1102803.959999999962747,1190913.599999999860302,1065403.000000000000000,1201445.230000000214204,1112826.699999999953434,10412052.709999999031425
20181130,1171189.719999999972060,1176969.639999999897555,1218184.100000000093132,1257006.839999999850988,1114374.479999999981374,1212596.300000000046566,1071028.600000000093132,1218622.880000000121072,1116944.379999999888241,10556917.940000001341105
20181203,1199502.679999999934807,1171441.359999999869615,1201023.400000000139698,1236069.319999999832362,1156206.359999999869615,1197328.599999999860302,1086499.000000000000000,1175375.620000000111759,1129526.179999999934807,10552973.519999999552965
20181204,1116376.520000000018626,1169999.199999999953434,1198364.699999999953434,1233868.879999999888241,1124313.260000000009313,1197200.300000000046566,1062502.300000000046566,1173960.990000000223517,1095898.459999999962747,10372485.609999999403954
20181206,1108176.120000000111759,1169037.759999999776483,1193530.700000000186265,1236602.759999999776483,1120604.760000000009313,1200279.500000000000000,1067600.500000000000000,1173758.900000000139698,1084002.939999999944121,10353594.939999999478459
20181207,1066569.879999999888241,1165192.000000000000000,1186521.400000000139698,1219999.439999999944121,1087969.959999999962747,1186166.500000000000000,1050020.500000000000000,1165675.300000000046566,1065930.899999999906868,10194046.880000000819564
20181210,1065188.760000000009313,1163829.959999999729916,1190146.900000000139698,1231268.359999999869615,1075657.739999999990687,1193607.899999999906868,1049668.899999999906868,1177598.610000000335276,1074509.399999999906868,10221477.530000003054738
20181211,1063893.959999999962747,1173764.839999999850988,1197397.900000000139698,1224200.280000000027940,1091381.779999999795109,1204898.300000000046566,1045449.700000000069849,1189319.830000000307336,1073479.979999999981374,10263787.570000000298023
20181212,1082280.120000000111759,1178572.039999999804422,1189663.500000000000000,1223466.799999999813735,1102507.279999999795109,1206437.899999999906868,1051866.399999999906868,1156985.430000000167638,1065015.859999999869615,10256796.330000000074506
20181213,1086855.080000000074506,1184500.919999999925494,1195706.000000000000000,1243137.399999999906868,1081888.020000000018626,1237999.699999999953434,1048262.500000000000000,1153751.990000000223517,1063300.159999999916181,10295402.769999999552965
20181214,1094364.919999999925494,1065602.839999999850988,1192563.900000000139698,1222199.879999999888241,1075954.419999999925494,1239924.199999999953434,1044307.000000000000000,1153549.900000000139698,1050603.979999999981374,10139072.040000000968575
20181217,1074511.320000000065193,1034676.519999999785796,1168152.199999999953434,1205529.879999999888241,1036941.000000000000000,1190272.099999999860302,1013629.900000000023283,1130713.730000000214204,1038250.939999999944121,9892678.589999999850988
20181218,1072784.919999999925494,1044931.879999999771826,1167910.500000000000000,1198328.439999999944121,1055483.500000000000000,1186679.699999999953434,1017761.199999999953434,1124651.030000000027940,1041796.719999999972060,9910328.890000000596046
20181219,1056038.840000000083819,1022418.159999999799766,1157759.100000000093132,1194661.039999999804422,1023145.379999999888241,1177313.800000000046566,1000357.000000000000000,1128894.920000000158325,1035734.579999999958090,9796323.820000000298023
20181220,1049305.879999999888241,1027706.079999999958090,1149057.900000000139698,1158120.399999999906868,1001784.419999999925494,1167306.400000000139698,963614.800000000046566,1112929.810000000288710,998332.319999999948777,9628159.009999999776483
20181221,1036530.520000000018626,1026263.919999999925494,1149783.000000000000000,1161254.359999999869615,1073580.979999999981374,1167178.100000000093132,933377.200000000069849,1109898.460000000195578,996616.619999999878928,9654484.159999998286366
20181224,1009598.680000000051223,984200.919999999925494,1110869.300000000046566,1135449.199999999953434,1010239.799999999813735,1120861.800000000046566,897162.400000000023283,1072107.630000000121072,981632.839999999850988,9322123.570000000298023
20181226,1077014.600000000093132,1015207.359999999753200,1134555.900000000139698,1160454.199999999953434,1083074.739999999990687,1155887.699999999953434,931882.900000000023283,1100198.140000000130385,1034133.259999999892898,9692409.800000000745058
20181227,1093501.719999999972060,1020815.759999999776483,1148816.200000000186265,1171656.439999999944121,1092865.179999999934807,1180649.599999999860302,929685.400000000023283,1114546.530000000027940,1047630.099999999976717,9800167.929999997839332
20181228,1084351.800000000046566,1019694.079999999841675,1140840.100000000093132,1170656.239999999990687,1087969.959999999962747,1169872.400000000139698,925993.599999999976717,1116971.610000000335276,1053806.619999999878928,9770157.409999998286366
20181231,1096954.520000000018626,1033955.439999999944121,1144465.600000000093132,1184058.919999999925494,1099837.159999999916181,1179366.600000000093132,936014.200000000069849,1136170.160000000149012,1065473.379999999888241,9876296.980000000447035
20190102,1090998.439999999944121,1023539.839999999850988,1134314.200000000186265,1173990.239999999990687,1098650.439999999944121,1171155.399999999906868,952012.000000000000000,1132128.360000000335276,1067646.599999999860302,9844436.520000001415610
20190103,1048960.600000000093132,1007275.479999999864958,1127304.900000000139698,1166255.359999999869615,1079217.899999999906868,1162944.199999999953434,909644.200000000069849,1136170.160000000149012,1062156.359999999869615,9699930.160000000149012
20190104,1106277.080000000074506,1024180.799999999813735,1149783.000000000000000,1188793.199999999953434,1107402.500000000000000,1186679.699999999953434,940760.799999999930151,1138999.420000000158325,1068790.399999999906868,9911667.900000000372529
20190107,1106967.639999999897555,1017610.959999999846332,1134797.600000000093132,1201729.119999999878928,1123274.879999999888241,1181932.600000000093132,940321.300000000046566,1146274.660000000149012,1081372.199999999953434,9934281.959999997168779
20190108,1120260.920000000158325,1041246.359999999869615,1147607.699999999953434,1204262.959999999962747,1138257.219999999972060,1186294.799999999813735,957286.000000000000000,1179821.600000000325963,1088921.280000000027940,10063959.839999999850988
20190109,1124576.920000000158325,1032993.999999999883585,1125613.000000000000000,1202195.879999999888241,1136180.459999999962747,1166921.500000000000000,960977.799999999930151,1152943.630000000121072,1085375.500000000000000,9987779.689999999478459
20190110,1147797.000000000000000,1039243.359999999869615,1137698.000000000000000,1210597.560000000055879,1133658.679999999934807,1169744.100000000093132,970558.900000000023283,1164058.580000000307336,1086176.159999999916181,10059533.339999999850988
20190111,1140373.479999999981374,1039563.839999999850988,1144223.900000000139698,1216065.319999999832362,1128021.760000000009313,1177442.099999999860302,966515.500000000000000,1172546.360000000335276,1084803.599999999860302,10069556.859999997541308
20190114,1137783.880000000121072,1027786.199999999837019,1139631.600000000093132,1208397.119999999878928,1128763.459999999962747,1169487.500000000000000,974426.500000000000000,1172748.450000000186265,1086061.780000000027940,10045087.490000000223517
20190115,1128202.360000000102445,1036439.159999999916181,1149783.000000000000000,1207063.520000000018626,1155316.319999999832362,1180521.300000000046566,976272.400000000023283,1174163.080000000307336,1100931.179999999934807,10108693.320000000298023
20190116,1136575.399999999906868,1025863.319999999832362,1134072.500000000232831,1195927.959999999962747,1152349.520000000018626,1172310.100000000093132,974602.300000000046566,1153549.900000000139698,1102074.979999999981374,10047326.979999998584390
20190117,1161435.560000000055879,1034275.919999999925494,1137456.300000000046566,1207663.639999999897555,1173858.819999999832362,1162944.199999999953434,991303.299999999930151,1148497.650000000139698,1106535.799999999813735,10123972.190000001341105
20190118,1179217.479999999981374,1047095.119999999878928,1150749.800000000046566,1217398.919999999925494,1193439.699999999953434,1172951.600000000093132,1001236.000000000000000,1153751.990000000223517,1117859.419999999925494,10233701.029999999329448
20190122,1141581.960000000195578,1031952.439999999944121,1153408.500000000000000,1230734.919999999925494,1197889.899999999906868,1160378.199999999953434,976272.400000000023283,1151731.090000000316650,1115114.299999999813735,10159064.710000000894070
20190123,1137956.520000000018626,1031952.439999999944121,1166702.000000000232831,1240870.280000000027940,1194181.399999999906868,1216830.199999999953434,1028836.600000000093132,1167292.020000000018626,1129068.659999999916181,10313691.120000001043081
20190124,1145811.639999999897555,1017771.199999999837019,1152683.400000000139698,1249405.319999999832362,1193291.359999999869615,1209902.000000000000000,1015827.400000000023283,1153347.810000000288710,1125065.359999999869615,10263106.490000000223517
20190125,1181461.800000000046566,1027385.599999999743886,1144949.000000000000000,1226934.159999999916181,1195813.139999999897555,1200921.000000000000000,1018024.900000000023283,1139807.780000000027940,1108823.399999999906868,10244121.779999999329448
20190128,1073648.120000000111759,1033474.719999999972060,1140115.000000000232831,1224266.959999999962747,1191511.279999999795109,1199894.599999999860302,1011608.199999999953434,1112929.810000000288710,1110195.959999999962747,10097645.649999998509884
