訓練日期,20171208 - 20180314
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10990112.080000000074506
真實報酬,990112.080000000074506

夏普值報酬,0.090311208000000
夏普值風險,0.030818334815010
夏普值,2.930437628836869

預期報酬,20135.520583462341165
風險,262096.125612217176240
趨勢值,0.076824945566932
找到最佳解世代,70
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](2),CSCO[4](1),DIS[6](19),GS[8](7),INTC[11](8),MSFT[18](3),NKE[19](6),TRV[22](11),WBA[27](17),
20180110,1261973.599999999860302,1185678.079999999841675,1155547.550000000046566,1136902.900000000139698,1096152.219999999972060,1182900.770000000018626,1177483.699999999953434,1093727.199999999953434,1182456.669999999925494,10472823.689999999478459
20180111,1292942.000000000000000,1191322.600000000093132,1171591.149999999906868,1140478.900000000139698,1119622.029999999795109,1186402.710000000195578,1178767.150000000139698,1095631.139999999897555,1203205.969999999972060,10579964.650000000372529
20180112,1324816.599999999860302,1214197.760000000009313,1187212.550000000046566,1148971.899999999906868,1115237.560000000055879,1206875.590000000083819,1185734.449999999953434,1115415.559999999823049,1214219.059999999823049,10712682.030000001192093
20180116,1320679.600000000093132,1204394.120000000111759,1168424.649999999906868,1155364.000000000000000,1112658.459999999962747,1190039.340000000083819,1162815.699999999953434,1121955.179999999934807,1213580.620000000111759,10649912.670000001788139
20180117,1383128.599999999860302,1224001.400000000139698,1181935.050000000046566,1133863.300000000046566,1144897.209999999962747,1214148.850000000093132,1169966.350000000093132,1133047.699999999953434,1209590.370000000111759,10794579.829999998211861
20180118,1340379.600000000093132,1226972.199999999953434,1165574.800000000046566,1121883.699999999953434,1147218.399999999906868,1213610.090000000083819,1175466.850000000093132,1137021.139999999897555,1213101.790000000037253,10741229.570000000298023
20180119,1330805.400000000139698,1226675.120000000111759,1167369.149999999906868,1144904.199999999953434,1155987.340000000083819,1212263.190000000176951,1232305.349999999860302,1141242.919999999925494,1220603.459999999962747,10832157.129999998956919
20180122,1331869.199999999953434,1237667.079999999841675,1172752.199999999953434,1169042.199999999953434,1179972.969999999972060,1233948.280000000260770,1217270.649999999906868,1153659.919999999925494,1235447.190000000176951,10931630.689999999478459
20180123,1322373.799999999813735,1250738.600000000093132,1165469.250000000000000,1162650.099999999860302,1187968.179999999934807,1237854.290000000270084,1231021.899999999906868,1210860.899999999906868,1229382.010000000009313,10998320.029999999329448
20180124,1318827.800000000046566,1252818.160000000149012,1166419.199999999953434,1187637.400000000139698,1173783.129999999888241,1236776.770000000018626,1246790.000000000000000,1222118.979999999981374,1234329.919999999925494,11039502.360000001266599
20180125,1352002.600000000093132,1244797.000000000000000,1166946.949999999953434,1202611.899999999906868,1168367.019999999785796,1243645.960000000195578,1241472.849999999860302,1229155.279999999795109,1249333.260000000009313,11098333.819999998435378
20180126,1352436.000000000000000,1264404.280000000027940,1184257.149999999906868,1198633.600000000093132,1291648.000000000000000,1266947.330000000307336,1247523.400000000139698,1237019.379999999888241,1263378.940000000176951,11306249.080000000074506
20180129,1342980.000000000000000,1273019.600000000093132,1177396.399999999906868,1218033.400000000139698,1289068.899999999906868,1265061.670000000158325,1239089.300000000046566,1233211.500000000000000,1281255.260000000009313,11319117.030000001192093
20180130,1330726.599999999860302,1255194.800000000046566,1162302.750000000000000,1202209.600000000093132,1258377.609999999869615,1249168.250000000000000,1234505.550000000046566,1231224.779999999795109,1215176.719999999972060,11138887.660000000149012
20180131,1396367.000000000000000,1234102.120000000111759,1147103.550000000046566,1197516.100000000093132,1241613.459999999962747,1279742.880000000353903,1250823.699999999953434,1241158.379999999888241,1201290.650000000139698,11189718.839999997988343
20180201,1406492.800000000046566,1238855.400000000139698,1166313.649999999906868,1216915.900000000139698,1228975.869999999878928,1269641.130000000353903,1240372.750000000000000,1241820.619999999878928,1214059.450000000186265,11223448.570000000298023
20180202,1374854.600000000093132,1215980.239999999990687,1147420.199999999953434,1162426.600000000093132,1190289.369999999878928,1236238.010000000242144,1232488.699999999953434,1224850.719999999739230,1174156.950000000186265,10958706.390000000596046
20180205,1295936.399999999906868,1152108.040000000037253,1105200.199999999953434,1113569.500000000000000,1148250.040000000037253,1185325.190000000176951,1180600.649999999906868,1171623.179999999934807,1124199.020000000251457,10476813.219999998807907
20180206,1343334.600000000093132,1193402.160000000149012,1120716.050000000046566,1156436.800000000046566,1158308.529999999795109,1230176.960000000195578,1195818.699999999953434,1166076.919999999925494,1145905.980000000214204,10710177.700000001117587
20180207,1371742.000000000000000,1198452.520000000251457,1105833.500000000000000,1149284.800000000046566,1165787.920000000158325,1207010.280000000260770,1203336.049999999813735,1176755.539999999804422,1141756.120000000111759,10719959.730000000447035
20180208,1299009.600000000093132,1151810.960000000195578,1069840.949999999953434,1101232.300000000046566,1102599.969999999972060,1145052.880000000353903,1145764.150000000139698,1117733.399999999906868,1088925.209999999962747,10221970.420000001788139
20180209,1311499.399999999906868,1174389.040000000037253,1088206.649999999906868,1114418.800000000046566,1133549.170000000158325,1187749.610000000335276,1200769.149999999906868,1134868.859999999869615,1092755.849999999860302,10438207.529999999329448
20180212,1354721.199999999953434,1206176.600000000093132,1091373.149999999906868,1131673.000000000000000,1156245.250000000000000,1200545.160000000149012,1209753.300000000046566,1143643.539999999804422,1092755.849999999860302,10586888.049999998882413
20180213,1352199.600000000093132,1224892.639999999897555,1099078.300000000046566,1142266.900000000139698,1146702.580000000074506,1209973.460000000195578,1207736.450000000186265,1147285.859999999869615,1090042.480000000214204,10620179.270000001415610
20180214,1358858.199999999953434,1250441.520000000251457,1104144.699999999953434,1173780.399999999906868,1170430.300000000046566,1223173.080000000307336,1246056.599999999860302,1164007.419999999925494,1093234.679999999934807,10784127.900000000372529
20180215,1404601.599999999860302,1309560.439999999944121,1110266.600000000093132,1196577.400000000139698,1184357.439999999944121,1248090.730000000214204,1252107.150000000139698,1166325.259999999776483,1113824.370000000111759,10985711.990000002086163
20180216,1399006.800000000046566,1316987.439999999944121,1124515.849999999860302,1196309.199999999953434,1175072.679999999934807,1239201.190000000176951,1252290.500000000000000,1168643.099999999860302,1132019.910000000149012,11004047.669999999925494
20180220,1392348.199999999953434,1308966.280000000027940,1118710.600000000093132,1184106.100000000093132,1194673.840000000083819,1248898.870000000111759,1237439.149999999906868,1151342.079999999841675,1131860.300000000046566,10968346.419999999925494
20180221,1388487.000000000000000,1286685.280000000027940,1108894.449999999953434,1177445.800000000046566,1184873.260000000009313,1232332.000000000000000,1229371.750000000000000,1146954.739999999757856,1111430.219999999972060,10866475.500000000000000
20180222,1402474.000000000000000,1275693.320000000065193,1110899.899999999906868,1168639.900000000139698,1181262.519999999785796,1235564.560000000288710,1230838.549999999813735,1139504.539999999804422,1112068.660000000149012,10856946.949999999254942
20180223,1405389.600000000093132,1307183.800000000046566,1132115.449999999953434,1192509.699999999953434,1231039.149999999906868,1266947.330000000307336,1249723.599999999860302,1156888.339999999850988,1123081.750000000000000,11064879.720000000670552
20180226,1432260.400000000139698,1347586.679999999934807,1159136.250000000000000,1212580.000000000000000,1266630.729999999981374,1285265.170000000158325,1277042.750000000000000,1180397.859999999869615,1126912.389999999897555,11287813.230000000447035
20180227,1436830.799999999813735,1338080.120000000111759,1106994.550000000046566,1197694.900000000139698,1287263.529999999795109,1268832.990000000223517,1247340.050000000046566,1171788.739999999757856,1103609.330000000074506,11158436.010000001639128
20180228,1427256.599999999860302,1330356.040000000037253,1088945.500000000000000,1175344.900000000139698,1271273.109999999869615,1263041.320000000065193,1229005.050000000046566,1150762.619999999878928,1099619.080000000074506,11035605.220000000670552
20180301,1377927.800000000046566,1301242.199999999953434,1082718.049999999813735,1147854.399999999906868,1233876.160000000149012,1250649.840000000083819,1215987.199999999953434,1150514.279999999795109,1120527.989999999990687,10881298.919999998062849
20180302,1358149.000000000000000,1308966.280000000027940,1087151.149999999906868,1153844.199999999953434,1263277.899999999906868,1253343.640000000130385,1208103.149999999906868,1141491.259999999776483,1126593.169999999925494,10900920.750000000000000
20180305,1389984.199999999953434,1322631.960000000195578,1091584.250000000000000,1176194.199999999953434,1283136.969999999972060,1261290.350000000093132,1192701.750000000000000,1155563.859999999869615,1126114.340000000083819,10999202.879999998956919
20180306,1374894.000000000000000,1315799.120000000111759,1107733.399999999906868,1193224.900000000139698,1307896.330000000074506,1256980.270000000018626,1196185.399999999906868,1170547.039999999804422,1113983.980000000214204,11037245.439999999478459
20180307,1367486.800000000046566,1313125.400000000139698,1093484.149999999906868,1186162.300000000046566,1323628.840000000083819,1264253.530000000260770,1176566.949999999953434,1149769.259999999776483,1109355.290000000037253,10983833.519999999552965
20180308,1374145.400000000139698,1317284.520000000251457,1098128.349999999860302,1190587.599999999860302,1308670.060000000055879,1271930.860000000335276,1193801.850000000093132,1156308.879999999888241,1100895.959999999962747,11011754.480000000447035
20180309,1396957.999999999767169,1347883.760000000009313,1105516.850000000093132,1210389.699999999953434,1346067.010000000009313,1300350.450000000186265,1215620.500000000000000,1178080.020000000018626,1126912.389999999897555,11227779.679999999701977
20180312,1356257.800000000046566,1353231.199999999953434,1110161.050000000046566,1222056.400000000139698,1328787.040000000037253,1303448.320000000065193,1225154.699999999953434,1171374.839999999850988,1119729.940000000176951,11190202.289999999105930
20180313,1334509.000000000000000,1341645.079999999841675,1094961.850000000093132,1200376.899999999906868,1335492.699999999953434,1271661.480000000214204,1213236.949999999953434,1164752.439999999944121,1115101.250000000000000,11071738.650000000372529
20180314,1301373.599999999860302,1345210.040000000037253,1096756.199999999953434,1182049.900000000139698,1337555.979999999981374,1264118.840000000083819,1213787.000000000000000,1155067.179999999934807,1094192.340000000083819,10990112.080000000074506
