代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13355740.189999999478459
真實報酬,3355740.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12423.334199915068893
風險,202070.748608027410228
起點值,0.061480121618263
找到最佳解世代,2696
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](7),V[25](1),WMT[28](9),
FS( 41 ),3242002.770000000018626,3343082.699999999720603,3870546.600000000093132,10455633.070000000298023
FS( 42 ),3243034.750000000000000,3291084.299999999813735,3854181.899999999906868,10388301.949999999254942
FS( 43 ),3294117.760000000242144,3348499.199999999720603,3934312.500000000000000,10576930.460000000894070
FS( 44 ),3298245.680000000167638,3429746.699999999720603,3913433.399999999441206,10641426.779999999329448
FS( 45 ),3309081.469999999739230,3422163.600000000093132,3992435.399999999906868,10723681.470000000670552
FS( 46 ),3300309.640000000130385,3439496.399999999906868,4011057.299999999813735,10750864.339999999850988
FS( 47 ),3264190.339999999850988,3392914.500000000000000,4026857.699999999720603,10683963.539999999105930
FS( 48 ),3254386.530000000260770,3348499.199999999720603,4049429.700000000186265,10652316.429999999701977
FS( 49 ),3261610.390000000130385,3311667.000000000000000,4069180.199999999720603,10642458.589999999850988
FS( 50 ),3226523.070000000298023,3270501.600000000093132,4077644.700000000186265,10574670.370000001043081
FS( 51 ),3211559.360000000335276,3321416.699999999720603,4080466.200000000186265,10613443.260000001639128
FS( 52 ),3257482.470000000204891,3360415.500000000000000,4129560.300000000279397,10747459.270000001415610
FS( 53 ),3227555.049999999813735,3443829.599999999627471,4118274.300000000279397,10789659.949999999254942
FS( 54 ),3266770.290000000037253,3473078.700000000186265,4125045.899999999441206,10864895.890000000596046
FS( 55 ),3302373.600000000093132,3462245.700000000186265,4110938.399999999441206,10875558.699999999254942
FS( 56 ),3286377.910000000149012,3396164.399999999906868,4036450.799999999813735,10718994.109999999403954
FS( 57 ),3235810.890000000130385,3405914.100000000093132,4077080.399999999906868,10718806.390000000596046
FS( 58 ),3185759.860000000335276,3371248.500000000000000,4054508.399999999441206,10611517.759999999776483
FS( 59 ),3141900.709999999962747,3321416.699999999720603,4070873.100000000093132,10534191.509999999776483
FS( 60 ),3146544.620000000111759,3309500.399999999906868,4067487.299999999813735,10523533.320000000298023
FS( 61 ),3179051.990000000223517,3432996.600000000093132,4157211.000000000000000,10769260.589999999850988
FS( 62 ),3236326.879999999888241,3496911.299999999813735,4205176.500000000000000,10938415.679999999701977
FS( 63 ),3261610.390000000130385,3543493.200000000186265,4231134.300000000745058,11036238.890000000596046
FS( 64 ),3232714.950000000186265,3495828.000000000465661,4200097.800000000745058,10928641.750000001862645
FS( 65 ),3268834.250000000000000,3452496.000000000000000,4154389.500000000000000,10875720.750000000000000
FS( 66 ),3244066.729999999981374,3501244.500000000000000,4178654.399999999906868,10923966.630000000819564
FS( 67 ),3287409.890000000130385,3546743.100000000093132,4206869.400000000372529,11041023.390000000596046
FS( 68 ),3277606.080000000074506,3548909.699999999720603,4191633.299999999813735,11018150.079999998211861
FS( 69 ),3269866.229999999981374,3531576.899999999906868,4175268.599999999627471,10976712.730000000447035
FS( 70 ),3292569.790000000037253,3552159.599999999627471,4193326.200000000186265,11038056.589999999850988
FS( 71 ),3296697.709999999962747,3480661.800000000279397,4167368.399999999441206,10944728.910000000149012
FS( 72 ),3301341.620000000111759,3495828.000000000465661,4157775.300000000279397,10954945.920000001788139
FS( 73 ),3288441.870000000111759,3475245.299999999813735,4141974.900000000372529,10905663.070000000298023
FS( 74 ),3278638.060000000055879,3517494.000000000000000,4176397.200000000186265,10972530.260000001639128
FS( 75 ),3289473.850000000093132,3495828.000000000465661,4201226.400000000372529,10986529.250000000000000
FS( 76 ),3303921.570000000298023,3512077.500000000000000,4071437.400000000372529,10887437.470000000670552
FS( 77 ),3360680.469999999739230,3484995.000000000000000,4062408.599999999627471,10908085.070000000298023
FS( 78 ),3386995.959999999962747,3470912.099999999627471,4079901.899999999906868,10937810.959999999031425
FS( 79 ),3365840.370000000111759,3453579.299999999813735,4030807.800000000279397,10850228.470000000670552
FS( 80 ),3377192.150000000372529,3469828.799999999813735,4049993.999999999534339,10897015.949999999254942
FS( 81 ),3343652.799999999813735,3443829.599999999627471,4038143.700000000186265,10825627.099999999627471
FS( 82 ),3374612.200000000186265,3430830.000000000000000,4069180.199999999720603,10874623.400000000372529
FS( 83 ),3363260.420000000391155,3457912.500000000000000,4091187.899999999906868,10912361.820000000298023
FS( 84 ),3345716.760000000242144,3450329.399999999906868,4086109.199999999720603,10882156.359999999403954
FS( 85 ),3343652.799999999813735,3467662.199999999720603,4106423.999999999534339,10917740.000000000000000
FS( 86 ),3327657.109999999869615,3431913.299999999813735,4077080.399999999906868,10836651.810000000521541
FS( 87 ),3340556.859999999869615,3473078.700000000186265,4096830.899999999441206,10910467.460000000894070
FS( 88 ),3335396.959999999962747,3480661.800000000279397,4148182.200000000186265,10964241.960000000894070
FS( 89 ),3329721.070000000298023,3455745.899999999906868,4150439.399999999906868,10935907.370000001043081
FS( 90 ),3371516.260000000242144,3507744.300000000279397,4221541.199999999254942,11100802.759999999776483
FS( 91 ),3364808.389999999664724,3513160.799999999813735,4165675.499999999534339,11043645.689999999478459
FS( 92 ),3369968.290000000037253,3484995.000000000000000,4148182.200000000186265,11003146.490000000223517
FS( 93 ),3454590.650000000372529,3560825.999999999534339,4179218.700000000186265,11194636.350000001490116
FS( 94 ),3485034.060000000521541,3614990.999999999534339,4179782.999999999534339,11279809.060000000521541
FS( 95 ),3531989.150000000372529,3655073.100000000093132,4240163.099999999627471,11427226.349999999627471
FS( 96 ),3538697.020000000018626,3635573.700000000186265,4204047.900000000372529,11378319.620000001043081
FS( 97 ),3533537.120000000111759,3625824.000000000000000,4175268.599999999627471,11334630.719999998807907
FS( 98 ),3532505.139999999664724,3620407.500000000000000,4173011.399999999906868,11325925.039999999105930
FS( 99 ),3520637.370000000111759,3650739.900000000372529,4196712.000000000000000,11368090.269999999552965
FS( 100 ),3531989.150000000372529,3645323.399999999906868,4218155.400000000372529,11395468.950000001117587
FS( 101 ),3540244.990000000223517,3656156.399999999906868,4201226.400000000372529,11397628.790000000968575
FS( 102 ),3530441.180000000167638,3622574.099999999627471,4217591.099999999627471,11370607.379999998956919
FS( 103 ),3533537.120000000111759,3644240.100000000093132,4190504.700000000186265,11368282.920000001788139
FS( 104 ),3497417.820000000298023,3588991.800000000279397,4186554.599999999627471,11272965.220000000670552
FS( 105 ),3529925.189999999944121,3626907.299999999348074,4174704.300000000279397,11331537.789999999105930
FS( 106 ),3522185.340000000316650,3636657.000000000000000,4164546.899999999906868,11323390.240000000223517
FS( 107 ),3563980.529999999795109,3702738.299999999813735,4178654.399999999906868,11445374.230000000447035
FS( 108 ),3544888.900000000372529,3683238.899999999906868,4161725.399999999906868,11389854.200000001117587
FS( 109 ),3560884.590000000316650,3751486.800000000279397,4187118.899999999906868,11499491.290000000968575
FS( 110 ),3574816.320000000298023,3782902.500000000000000,4216462.500000000000000,11574182.320000000298023
FS( 111 ),3589264.040000000037253,3799152.000000000000000,4239598.799999998882413,11628015.839999999850988
FS( 112 ),3588232.060000000521541,3756903.299999999813735,4246370.400000000372529,11591506.760000001639128
FS( 113 ),3576880.279999999795109,3703821.599999999627471,4183733.100000000093132,11464435.979999998584390
FS( 114 ),3581008.200000000186265,3721154.399999999906868,4255963.500000000000000,11558127.099999999627471
FS( 115 ),3568624.439999999944121,3765569.699999999720603,4232827.200000001117587,11567022.339999999850988
FS( 116 ),3545920.879999999888241,3767736.299999999813735,4277971.199999999254942,11591629.379999998956919
FS( 117 ),3601131.810000000521541,3788319.000000000000000,4353587.400000000372529,11743039.210000000894070
FS( 118 ),3637251.109999999869615,3822984.599999999627471,4340044.199999999254942,11800280.909999998286366
FS( 119 ),3683174.219999999739230,3860900.100000000093132,4346815.800000000745058,11890891.120000001043081
FS( 120 ),3815267.660000000149012,3842484.000000000000000,4320293.699999999254942,11978046.359999999403954
FS( 121 ),3793080.090000000316650,3790485.600000000093132,4267249.500000000000000,11850816.190000001341105
FS( 122 ),3817847.609999999869615,3764486.399999999906868,4268942.400000000372529,11851277.410000000149012
FS( 123 ),3786372.219999999739230,3700571.699999999720603,4218719.700000001117587,11705664.620000001043081
FS( 124 ),3776052.420000000391155,3696238.499999999534339,4222105.500000000000000,11694397.419999999925494
FS( 125 ),3721357.480000000447035,3725487.600000000093132,4250320.500000000000000,11697166.580000000074506
FS( 126 ),3692462.040000000037253,3746070.299999999813735,4238470.199999999254942,11677003.539999999105930
FS( 127 ),3660470.660000000149012,3757986.599999999627471,4233391.500000000000000,11651849.759999999776483
FS( 128 ),3623835.370000000111759,3896649.000000000000000,4144796.399999999906868,11665281.769999999552965
FS( 129 ),3592359.980000000447035,3883649.399999999906868,4106423.999999999534339,11582434.380000000819564
FS( 130 ),3566044.490000000223517,3832734.300000000279397,4127303.100000000093132,11526082.890000000596046
FS( 131 ),3620739.430000000167638,3896649.000000000000000,4162289.700000000186265,11679679.129999998956919
FS( 132 ),3545404.889999999664724,3860900.100000000093132,4125610.199999999720603,11531916.189999999478459
FS( 133 ),3560368.600000000093132,3847900.500000000465661,4090059.300000000279397,11498329.400000000372529
FS( 134 ),3559336.620000000111759,3870649.799999999348074,4080466.200000000186265,11510453.620000001043081
FS( 135 ),3530957.170000000391155,3879316.200000000186265,4090059.300000000279397,11500333.670000001788139
FS( 136 ),3520637.370000000111759,3857650.199999999720603,4052251.200000000186265,11430539.769999999552965
FS( 137 ),3512381.529999999795109,3790485.600000000093132,4024036.200000000186265,11326904.330000000074506
FS( 138 ),3525281.279999999795109,3791568.899999999906868,3877882.500000000000000,11194733.679999999701977
FS( 139 ),3542308.950000000186265,3865233.299999999813735,3838945.799999999813735,11246489.050000000745058
FS( 140 ),3588232.060000000521541,3944314.199999999720603,3894811.499999999534339,11427358.759999999776483
FS( 141 ),3593391.959999999962747,3963813.600000000093132,3893682.899999999906868,11450889.460000000894070
FS( 142 ),3623319.379999999888241,3972480.000000000000000,3887475.600000000093132,11483275.980000000447035
FS( 143 ),3677498.330000000074506,4011478.799999999813735,3961398.899999999906868,11650377.029999999329448
FS( 144 ),3656342.740000000223517,3987646.200000000186265,3945034.199999999720603,11589024.140000000596046
FS( 145 ),3654794.770000000018626,3975729.900000000372529,3921897.899999999906868,11552423.570000000298023
FS( 146 ),3661502.639999999664724,3988729.500000000000000,3981713.700000000186265,11631946.839999999850988
FS( 147 ),3672854.420000000391155,4013645.399999999441206,3996949.799999999813735,11683450.620000001043081
FS( 148 ),3654278.779999999795109,4054810.799999999813735,4064101.499999999534339,11773192.080000000074506
FS( 149 ),3660986.650000000372529,4025561.699999999720603,4025729.100000000093132,11712278.449999999254942
FS( 150 ),3639315.070000000298023,3997395.899999999906868,4069744.500000000000000,11706456.470000000670552
FS( 151 ),3818363.600000000093132,4010395.500000000465661,4043222.400000000372529,11871982.500000000000000
FS( 152 ),3774504.450000000186265,4021228.499999999534339,4039836.600000000093132,11835570.549999998882413
FS( 153 ),3786888.209999999962747,4023395.100000000093132,4079337.600000000093132,11889621.910000000149012
FS( 154 ),3784308.260000000242144,4026645.000000000000000,4071437.400000000372529,11882391.660000000149012
FS( 155 ),3788952.170000000391155,4033144.799999999348074,4000335.600000000093132,11822433.570000000298023
FS( 156 ),3782760.290000000037253,4004979.000000000000000,3890297.099999999627471,11678037.390000000596046
FS( 157 ),3778632.370000000111759,3986562.899999999441206,3895940.100000000093132,11661136.369999999180436
FS( 158 ),3785856.230000000447035,3976813.200000000186265,3879575.399999999906868,11642245.830000000074506
FS( 159 ),3828167.410000000149012,4038561.299999999813735,3904968.899999999906868,11771698.609999999403954
FS( 160 ),3835391.270000000018626,4081893.299999999813735,3921897.899999999906868,11839183.470000000670552
FS( 161 ),3788952.170000000391155,4039644.599999999627471,3866596.499999999534339,11695194.269999999552965
FS( 162 ),3809075.779999999795109,4129558.499999999534339,3893682.899999999906868,11832318.179999999701977
FS( 163 ),3757476.779999999795109,4082976.599999999627471,3873932.400000000372529,11714386.779999999329448
FS( 164 ),3733741.240000000223517,4094892.899999999441206,3869417.999999999534339,11698053.139999998733401
FS( 165 ),3729097.330000000074506,4055894.099999999627471,3836688.599999999627471,11621681.029999999329448
FS( 166 ),3705877.779999999795109,4046144.399999999906868,3847974.599999999627471,11599997.779999999329448
FS( 167 ),3675950.359999999869615,4025561.699999999720603,3815245.199999999720603,11516758.259999999776483
FS( 168 ),3705877.779999999795109,4105725.899999999906868,3850231.800000000279397,11661836.480000000447035
FS( 169 ),3759540.740000000223517,4208639.400000000372529,3907226.099999999627471,11875407.240000000223517
FS( 170 ),3788436.180000000167638,4211889.300000000745058,3882396.899999999906868,11882723.380000000819564
FS( 171 ),3821459.540000000037253,4245471.599999999627471,3897068.700000000186265,11964000.839999999850988
FS( 172 ),3769860.540000000037253,4275804.000000000000000,3859824.900000000372529,11905490.440000001341105
FS( 173 ),3776568.410000000149012,4315886.099999999627471,3870546.600000000093132,11963002.109999999403954
FS( 174 ),3815267.660000000149012,4381967.400000000372529,3869417.999999999534339,12066654.060000000521541
FS( 175 ),3841583.150000000372529,4347301.800000000745058,3857567.699999999720603,12046453.650000000372529
FS( 176 ),3862222.750000000000000,4364634.599999999627471,3872803.799999999813735,12099662.149999998509884
FS( 177 ),3867382.650000000372529,4350551.699999999254942,3854181.899999999906868,12072117.250000000000000
FS( 178 ),3898858.040000000037253,4345135.199999999254942,3892554.300000000279397,12136548.539999999105930
FS( 179 ),3898342.049999999813735,4338635.400000000372529,3905533.199999999720603,12142511.650000000372529
FS( 180 ),3916401.700000000186265,4329969.000000000000000,3885218.399999999441206,12131590.099999999627471
FS( 181 ),3937557.290000000037253,4286637.000000000000000,3904968.899999999906868,12129164.189999999478459
FS( 182 ),4022179.650000000372529,4307219.699999999254942,3926412.299999999813735,12255812.649999998509884
FS( 183 ),4006183.959999999962747,4307219.699999999254942,3921333.599999999627471,12234738.259999997913837
FS( 184 ),4029403.510000000242144,4321302.599999999627471,3938262.600000000093132,12288969.709999999031425
FS( 185 ),4042819.250000000000000,4328885.699999999254942,3893682.899999999906868,12265388.849999999627471
FS( 186 ),3991220.250000000000000,4234638.599999999627471,3913433.399999999441206,12139293.250000000000000
FS( 187 ),4014955.790000000037253,4243305.000000000000000,3943905.600000000093132,12202167.390000000596046
FS( 188 ),4003088.020000000018626,4197806.400000000372529,3936005.399999999906868,12136900.820000000298023
FS( 189 ),4048495.139999999664724,4276887.299999998882413,3947291.399999999906868,12272674.839999997988343
FS( 190 ),4122281.709999999962747,4294220.099999999627471,3977763.599999999627471,12394266.409999998286366
FS( 191 ),4024759.600000000093132,4242221.699999999254942,3929233.799999999813735,12196216.099999997764826
FS( 192 ),4058298.950000000186265,4320219.300000000745058,3993563.999999999534339,12372083.250000000000000
FS( 193 ),4074294.639999999664724,4355968.199999999254942,4024036.200000000186265,12454300.039999999105930
FS( 194 ),4082550.480000000447035,4254138.000000000000000,4019521.800000000279397,12356211.280000001192093
FS( 195 ),4069134.740000000223517,4273637.400000000372529,4033629.300000000279397,12376402.440000001341105
FS( 196 ),4087194.389999999664724,4233555.299999998882413,4029114.900000000372529,12349865.589999999850988
FS( 197 ),4122797.700000000186265,4246554.900000000372529,4029114.900000000372529,12398468.500000000000000
FS( 198 ),4127441.609999999869615,4191306.599999999627471,4028550.600000000093132,12347299.809999998658895
FS( 199 ),4145501.260000000242144,4223805.599999999627471,3996385.499999999534339,12365693.359999999403954
FS( 200 ),4148081.209999999962747,4279053.900000000372529,3910611.899999999906868,12337748.009999999776483
FS( 201 ),4158917.000000000000000,4268220.900000000372529,3880139.700000000186265,12307278.600000001490116
FS( 202 ),4133633.490000000223517,4208639.400000000372529,3905533.199999999720603,12247807.089999999850988
FS( 203 ),4147565.219999999739230,4263887.699999999254942,3964784.700000000186265,12376238.619999997317791
FS( 204 ),4180072.590000000316650,4318052.699999999254942,3972684.900000000372529,12470811.189999999478459
FS( 205 ),4089258.350000000093132,4221639.000000000000000,3974942.099999999627471,12285840.449999999254942
FS( 206 ),4130021.560000000521541,4274720.699999999254942,4012750.199999999720603,12417493.459999999031425
FS( 207 ),4168204.820000000298023,4329969.000000000000000,4043786.699999999720603,12541961.519999999552965
FS( 208 ),4149629.180000000167638,4296386.699999999254942,3994128.299999999813735,12440145.179999999701977
FS( 209 ),4163560.910000000149012,4281220.500000000000000,4048301.099999999627471,12493083.509999999776483
FS( 210 ),4154789.080000000074506,4320219.300000000745058,4134074.700000000186265,12609084.080000001937151
FS( 211 ),4203292.140000000596046,4340802.000000000000000,4160032.500000000000000,12704127.640000000596046
FS( 212 ),4183168.529999999795109,4362468.000000000000000,4140846.299999999813735,12686483.829999998211861
FS( 213 ),4189876.400000000372529,4347301.800000000745058,4137460.499999999534339,12674639.700000001117587
FS( 214 ),4213095.950000001117587,4351635.000000000000000,4121095.799999999813735,12685827.750000000000000
FS( 215 ),4218255.849999999627471,4365717.900000000372529,4118274.300000000279397,12702249.050000000745058
FS( 216 ),4217739.859999999403954,4327802.400000000372529,4153260.899999999441206,12698804.160000000149012
FS( 217 ),4237347.480000000447035,4315886.099999999627471,4156082.400000000372529,12709316.980000000447035
FS( 218 ),4249731.240000000223517,4351635.000000000000000,4131817.500000000000000,12733184.740000000223517
FS( 219 ),4245603.320000000298023,4294220.099999999627471,4091187.899999999906868,12631012.320000000298023
FS( 220 ),4258503.070000000298023,4281220.500000000000000,4077080.399999999906868,12616804.970000000670552
FS( 221 ),4292558.410000000149012,4224888.900000000372529,4088366.399999999906868,12605814.710000000894070
FS( 222 ),4326097.759999999776483,4314802.799999998882413,4118838.599999999627471,12759740.159999998286366
FS( 223 ),4321453.849999999627471,4273637.400000000372529,4126738.799999999813735,12721831.050000000745058
FS( 224 ),4318357.910000000149012,4335385.500000000000000,4191633.299999999813735,12845377.710000000894070
FS( 225 ),4301846.230000000447035,4441548.900000000372529,4223798.400000000372529,12967194.530000001192093
FS( 226 ),4301330.240000000223517,4535796.000000000000000,4219284.000000000000000,13056411.240000000223517
FS( 227 ),4301846.230000000447035,4568295.000000000000000,4219848.300000000745058,13089990.530000001192093
FS( 228 ),4344157.410000000149012,4599710.699999999254942,4222669.799999998882413,13166538.909999998286366
FS( 229 ),4331773.650000000372529,4532546.099999999627471,4256527.800000000745058,13120848.550000000745058
FS( 230 ),4355509.189999999478459,4548795.599999999627471,4289821.500000000000000,13194127.289999999105930
FS( 231 ),4319905.880000000819564,4462131.599999999627471,4288692.900000000372529,13070731.380000000819564
FS( 232 ),4351897.259999999776483,4508713.500000000000000,4299978.900000000372529,13160590.660000000149012
FS( 233 ),4355509.189999999478459,4472964.599999999627471,4310700.599999999627471,13139175.389999998733401
FS( 234 ),4372020.870000001043081,4503297.000000000000000,4361487.599999999627471,13236806.470000000670552
FS( 235 ),4399884.330000000074506,4462131.599999999627471,4408324.500000000000000,13270341.429999999701977
FS( 236 ),4376148.790000000968575,4522796.400000000372529,4366002.000000000000000,13264948.190000001341105
FS( 237 ),4440647.540000000968575,4540129.199999999254942,4389702.599999999627471,13370480.339999999850988
FS( 238 ),4450967.339999999850988,4489214.099999999627471,4433153.699999999254942,13373336.139999998733401
FS( 239 ),4370988.890000000596046,4367884.500000000000000,4428075.000000000000000,13166949.390000000596046
FS( 240 ),4465931.050000000745058,4461048.300000000745058,4439925.300000000745058,13366905.650000002235174
FS( 241 ),4389564.529999999329448,4393883.699999999254942,4430332.200000001117587,13213781.429999999701977
FS( 242 ),4339513.500000000000000,4371134.400000000372529,4354151.699999999254942,13064800.599999999627471
FS( 243 ),4376148.790000000968575,4440465.599999999627471,4417917.599999999627471,13234532.990000000223517
FS( 244 ),4364281.019999999552965,4428549.300000000745058,4399860.000000000000000,13192691.320000000298023
FS( 245 ),4455611.250000000000000,4487047.500000000000000,4463061.599999999627471,13405721.349999999627471
FS( 246 ),4430327.740000000223517,4524963.000000000000000,4403245.800000000745058,13358537.540000000968575
FS( 247 ),4399884.330000000074506,4570461.599999999627471,4438232.400000000372529,13408579.330000000074506
FS( 248 ),4393692.450000001117587,4529296.199999999254942,4460240.099999999627471,13383229.750000000000000
FS( 249 ),4410720.120000001043081,4547712.299999998882413,4423560.599999999627471,13381994.019999999552965
FS( 250 ),4407108.189999999478459,4562878.500000000000000,4385752.500000000000000,13355740.189999999478459
