代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14079584.650000000372529
真實報酬,4079584.650000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17923.408656450756098
風險,183597.676218863023678
起點值,0.097623287100239
找到最佳解世代,2187
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](14),MRK[17](12),UNH[23](9),
FS( 23 ),2640576.109999999869615,2509157.390000000130385,2610565.250000000465661,2403175.839999999850988,10163474.589999999850988
FS( 24 ),2706356.379999999888241,2492997.290000000502914,2586061.600000000558794,2411692.779999999795109,10197108.050000000745058
FS( 25 ),2712366.760000000242144,2514005.420000000391155,2568132.100000000093132,2412141.040000000037253,10206645.320000000298023
FS( 26 ),2769465.370000000111759,2530704.189999999944121,2609369.950000000186265,2430071.439999999944121,10339610.950000001117587
FS( 27 ),2810202.390000000130385,2550096.310000000521541,2691845.650000000372529,2457863.560000000055879,10510007.910000002011657
FS( 28 ),2829903.080000000074506,2547402.960000000428408,2664951.400000000372529,2442174.459999999962747,10484431.900000002235174
FS( 29 ),2825562.250000000000000,2582955.180000000633299,2645826.600000000558794,2453380.959999999962747,10507724.990000002086163
FS( 30 ),2885999.960000000428408,2593728.580000000074506,2635068.900000000372529,2453380.959999999962747,10568178.400000002235174
FS( 31 ),2844261.210000000428408,2552250.990000000223517,2607577.000000000465661,2465483.979999999981374,10469573.180000001564622
FS( 32 ),2855280.240000000223517,2546325.620000000577420,2611760.550000000279397,2473104.399999999906868,10486470.810000002384186
FS( 33 ),2850605.500000000000000,2565179.070000000298023,2636861.850000000093132,2460104.859999999869615,10512751.279999999329448
FS( 34 ),2815878.859999999869615,2491381.280000000260770,2617139.400000000372529,2468173.540000000037253,10392573.080000001937151
FS( 35 ),2832240.449999999720603,2514544.090000000316650,2623713.550000000279397,2441277.939999999944121,10411776.029999999329448
FS( 36 ),2833242.179999999701977,2476837.189999999944121,2611162.900000000372529,2459208.339999999850988,10380450.609999999403954
FS( 37 ),2892344.250000000000000,2454751.720000000204891,2652998.400000000372529,2494620.879999999888241,10494715.250000000000000
FS( 38 ),2878320.030000000260770,2438052.950000000186265,2635666.550000000279397,2538102.100000000093132,10490141.630000000819564
FS( 39 ),2866633.179999999701977,2442362.310000000521541,2641643.050000000279397,2564549.439999999944121,10515187.980000000447035
FS( 40 ),2846598.580000000074506,2406271.420000000391155,2650607.800000000279397,2643443.199999999720603,10546921.000000000000000
FS( 41 ),2807865.020000000018626,2374489.890000000130385,2684076.200000000186265,2767611.220000000204891,10634042.330000000074506
FS( 42 ),2816880.589999999850988,2378260.580000000074506,2710970.450000000186265,2764473.399999999906868,10670585.019999999552965
FS( 43 ),2836581.280000000260770,2411119.450000000186265,2708579.850000000093132,2780610.760000000242144,10736891.339999999850988
FS( 44 ),2877318.300000000279397,2370180.530000000260770,2697224.500000000465661,2783748.580000000074506,10728471.910000000149012
FS( 45 ),2896685.080000000074506,2353481.760000000242144,2718142.250000000000000,2774335.120000000111759,10742644.210000000894070
FS( 46 ),2912044.939999999944121,2411658.120000000577420,2719935.200000000186265,2787334.660000000149012,10830972.920000001788139
FS( 47 ),2932413.449999999720603,2441823.640000000130385,2799422.650000000372529,2797644.639999999664724,10971304.379999998956919
FS( 48 ),2956121.060000000055879,2443978.320000000298023,2821535.700000000186265,2823195.459999999962747,11044830.540000000968575
FS( 49 ),2968141.820000000298023,2435359.600000000093132,2815559.200000000186265,2825436.760000000242144,11044497.380000000819564
FS( 50 ),2897352.899999999906868,2315236.189999999944121,2776711.950000000186265,2760887.320000000298023,10750188.359999999403954
FS( 51 ),2901359.820000000298023,2322238.900000000372529,2806594.450000000186265,2815575.040000000037253,10845768.210000000894070
FS( 52 ),2894681.620000000111759,2324393.580000000074506,2794641.450000000186265,2780610.760000000242144,10794327.410000000149012
FS( 53 ),2875648.750000000000000,2315236.189999999944121,2782688.450000000186265,2675717.919999999925494,10649291.309999998658895
FS( 54 ),2937088.189999999944121,2343785.700000000186265,2838269.900000000372529,2691407.020000000018626,10810550.810000000521541
FS( 55 ),2903029.370000000111759,2377183.240000000223517,2863968.850000000558794,2654649.699999999720603,10798831.160000000149012
FS( 56 ),2944434.210000000428408,2428895.560000000521541,2906402.000000000465661,2624168.020000000018626,10903899.790000000968575
FS( 57 ),3032920.359999999869615,2467679.800000000279397,2865761.800000000279397,2635374.520000000018626,11001736.480000000447035
FS( 58 ),3060968.800000000279397,2606117.990000000223517,2829902.800000000279397,2660028.820000000298023,11157018.410000002011657
FS( 59 ),3100370.179999999701977,2563563.060000000521541,2860980.600000000093132,2666304.459999999962747,11191218.300000000745058
FS( 60 ),3068648.730000000447035,2598037.939999999944121,2857992.350000000093132,2690062.239999999757856,11214741.259999999776483
FS( 61 ),3052287.140000000130385,2601269.960000000428408,2808985.050000000279397,2686476.160000000149012,11149018.310000000521541
FS( 62 ),3044607.210000000428408,2543093.600000000093132,2730692.900000000372529,2677062.699999999720603,10995456.410000000149012
FS( 63 ),3078999.939999999944121,2540938.920000000391155,2733083.500000000000000,2666304.459999999962747,11019326.820000000298023
FS( 64 ),3130088.169999999925494,2605040.650000000372529,2729497.600000000558794,2641201.899999999906868,11105828.320000002160668
FS( 65 ),3145114.120000000111759,2608811.340000000316650,2688259.750000000000000,2698579.180000000167638,11140764.390000000596046
FS( 66 ),3165148.720000000204891,2649750.260000000242144,2705591.600000000558794,2712026.979999999981374,11232517.560000002384186
FS( 67 ),3140105.470000000204891,2647595.580000000074506,2688857.400000000372529,2802127.239999999757856,11278685.690000001341105
FS( 68 ),3159138.339999999850988,2678838.439999999944121,2718739.900000000372529,2779714.239999999757856,11336430.919999999925494
FS( 69 ),3146783.669999999925494,2643286.220000000204891,2746231.800000000279397,2820057.639999999664724,11356359.330000001937151
FS( 70 ),3164146.990000000223517,2635206.170000000391155,2759380.100000000558794,2796748.120000000111759,11355481.380000002682209
FS( 71 ),3209224.839999999850988,2679377.110000000335276,2788067.300000000279397,2767162.959999999962747,11443832.210000000894070
FS( 72 ),3239610.649999999906868,2711158.640000000130385,2792848.500000000000000,2761783.839999999850988,11505401.629999998956919
FS( 73 ),3224918.609999999869615,2692843.860000000335276,2771333.100000000093132,2785541.620000000111759,11474637.190000001341105
FS( 74 ),3303053.550000000279397,2747788.200000000186265,2748622.400000000372529,2816919.820000000298023,11616383.970000000670552
FS( 75 ),3296375.350000000093132,2731628.100000000093132,2702005.700000000186265,2804368.540000000037253,11534377.690000001341105
FS( 76 ),3297377.080000000074506,2744556.180000000633299,2828707.500000000000000,2818264.600000000093132,11688905.360000001266599
FS( 77 ),3269996.460000000428408,2693921.200000000186265,2791653.200000000186265,2791817.260000000242144,11547388.119999999180436
FS( 78 ),3330768.080000000074506,2692843.860000000335276,2828707.500000000000000,2795403.339999999850988,11647722.780000001192093
FS( 79 ),3339115.830000000074506,2691227.850000000093132,2818547.450000000186265,2781955.540000000037253,11630846.669999998062849
FS( 80 ),3342788.839999999850988,2687995.830000000074506,2846039.350000000093132,2839332.820000000298023,11716156.839999999850988
FS( 81 ),3308730.020000000018626,2680454.450000000186265,2801215.600000000093132,2839781.080000000074506,11630181.150000000372529
FS( 82 ),3357146.970000000204891,2669681.050000000279397,2813168.600000000093132,2898503.139999999664724,11738499.760000001639128
FS( 83 ),3306392.649999999906868,2643286.220000000204891,2791055.550000000279397,2807506.359999999869615,11548240.779999999329448
FS( 84 ),3363825.169999999925494,2634128.830000000074506,2895644.300000000279397,2815126.779999999795109,11708725.080000000074506
FS( 85 ),3326093.339999999850988,2655675.629999999888241,2954811.650000000372529,2795403.339999999850988,11731983.960000000894070
FS( 86 ),3288695.419999999925494,2581877.840000000316650,2912378.500000000000000,2768059.479999999981374,11551011.240000000223517
FS( 87 ),3331101.990000000223517,2599653.950000000186265,2904609.050000000279397,2775679.899999999906868,11611044.890000000596046
FS( 88 ),3422259.419999999925494,2635206.170000000391155,2880105.400000000372529,2804816.799999999813735,11742387.789999999105930
FS( 89 ),3413911.669999999925494,2633590.160000000149012,2896241.950000000186265,2854573.660000000149012,11798317.440000001341105
FS( 90 ),3397550.080000000074506,2608272.670000000391155,2842453.450000000186265,2865780.160000000149012,11714056.359999999403954
FS( 91 ),3368499.910000000149012,2592112.570000000298023,2823926.300000000279397,2861297.560000000055879,11645836.340000001713634
FS( 92 ),3411240.390000000130385,2657830.310000000521541,2862773.550000000279397,2875641.880000000353903,11807486.130000002682209
FS( 93 ),3400221.359999999869615,2608811.340000000316650,2865761.800000000279397,2859952.779999999795109,11734747.279999999329448
FS( 94 ),3440290.560000000055879,2619046.070000000298023,2856797.050000000279397,2885503.600000000093132,11801637.280000001192093
FS( 95 ),3475351.109999999869615,2655675.629999999888241,2853808.800000000279397,2944225.660000000149012,11929061.200000001117587
FS( 96 ),3414245.580000000074506,2615814.050000000279397,2843648.750000000000000,2925398.740000000223517,11799107.120000001043081
FS( 97 ),3327095.070000000298023,2546325.620000000577420,2767747.200000000186265,2859952.779999999795109,11501120.669999999925494
FS( 98 ),3338448.010000000242144,2503232.020000000018626,2808985.050000000279397,2864435.379999999888241,11515100.460000000894070
FS( 99 ),3267325.179999999701977,2481685.220000000204891,2773723.700000000186265,2898054.880000000353903,11420788.980000002309680
FS( 100 ),3294705.800000000279397,2492997.290000000502914,2762966.000000000000000,2856814.959999999962747,11407484.050000000745058
FS( 101 ),3364159.080000000074506,2470373.150000000372529,2790457.900000000372529,2903882.260000000242144,11528872.390000000596046
FS( 102 ),3444297.480000000447035,2481685.220000000204891,2825719.250000000465661,2962604.320000000298023,11714306.270000001415610
FS( 103 ),3420589.870000000111759,2467679.800000000279397,2776114.300000000279397,2935260.459999999962747,11599644.429999999701977
FS( 104 ),3447302.669999999925494,2492997.290000000502914,2768344.850000000093132,2941984.359999999869615,11650629.169999999925494
FS( 105 ),3388200.600000000093132,2488687.930000000633299,2782090.800000000279397,2925847.000000000000000,11584826.330000001937151
FS( 106 ),3435615.820000000298023,2487610.590000000316650,2782090.800000000279397,2937950.020000000484288,11643267.230000000447035
FS( 107 ),3479358.030000000260770,2507541.379999999888241,2818547.450000000186265,2966190.399999999906868,11771637.259999999776483
FS( 108 ),3485034.500000000000000,2538245.570000000298023,2833488.700000000186265,3028498.540000000037253,11885267.309999998658895
FS( 109 ),3495385.710000000428408,2609888.680000000633299,2846039.350000000093132,3046877.199999999720603,11998190.939999999478459
FS( 110 ),3522766.330000000074506,2592112.570000000298023,2866359.450000000186265,3034325.919999999925494,12015564.270000001415610
FS( 111 ),3568845.910000000149012,2623355.430000000633299,2887277.200000000186265,3064359.339999999850988,12143837.880000000819564
FS( 112 ),3401557.000000000000000,2617430.060000000521541,2901023.150000000372529,3048221.979999999981374,11968232.190000001341105
FS( 113 ),3528108.890000000130385,2638976.860000000335276,2899827.850000000558794,3031188.100000000093132,12098101.700000001117587
FS( 114 ),3480359.760000000242144,2606117.990000000223517,2882496.000000000000000,2999361.639999999664724,11968335.390000000596046
FS( 115 ),3499058.720000000204891,2664294.350000000093132,2876519.500000000465661,2968879.959999999962747,12008752.530000001192093
FS( 116 ),3593889.160000000149012,2652982.280000000260770,2832891.050000000279397,3162528.279999999795109,12242290.769999999552965
FS( 117 ),3571517.189999999944121,2659446.320000000298023,2856199.400000000372529,3202871.680000000167638,12290034.589999999850988
FS( 118 ),3568178.089999999850988,2653520.950000000186265,2852015.850000000093132,3235594.660000000149012,12309309.550000000745058
FS( 119 ),3599231.720000000204891,2650288.930000000633299,2864566.500000000465661,3258455.919999999925494,12372543.070000000298023
FS( 120 ),3571183.280000000260770,2636822.180000000633299,2855004.100000000558794,3251283.760000000242144,12314293.320000002160668
FS( 121 ),3562835.530000000260770,2684225.140000000130385,2878910.100000000558794,3255318.100000000093132,12381288.869999999180436
FS( 122 ),3526105.429999999701977,2662139.670000000391155,2898034.900000000372529,3236939.439999999478459,12323219.439999999478459
FS( 123 ),3499726.540000000037253,2684763.810000000521541,2889070.150000000372529,3262938.520000000484288,12336499.019999999552965
FS( 124 ),3530446.260000000242144,2689611.840000000316650,2871738.300000000279397,3239629.000000000000000,12331425.400000000372529
FS( 125 ),3509409.929999999701977,2687995.830000000074506,2878910.100000000558794,3265628.079999999608845,12341943.939999999478459
FS( 126 ),3562835.530000000260770,2715468.000000000000000,2903413.750000000000000,3279524.139999999664724,12461241.420000001788139
FS( 127 ),3602904.730000000447035,2778492.390000000130385,2901023.150000000372529,3239180.740000000223517,12521601.010000001639128
FS( 128 ),3589548.330000000074506,2798423.180000000633299,2900425.500000000465661,3287592.820000000298023,12575989.830000001937151
FS( 129 ),3574188.470000000204891,2766102.980000000447035,2895046.650000000372529,3283110.219999999739230,12518448.320000000298023
FS( 130 ),3553486.050000000279397,2783879.090000000316650,2901620.800000000279397,3268765.899999999906868,12507751.840000001713634
FS( 131 ),3534119.270000000018626,2831282.050000000279397,2896839.600000000093132,3280420.660000000149012,12542661.580000000074506
FS( 132 ),3517089.859999999869615,2918007.920000000391155,2892058.400000000372529,3269214.160000000149012,12596370.339999999850988
FS( 133 ),3480693.669999999925494,2874914.320000000298023,2896839.600000000093132,3245008.120000000111759,12497455.710000000894070
FS( 134 ),3547141.760000000242144,2905618.510000000242144,2894449.000000000465661,3288041.079999999608845,12635250.350000001490116
FS( 135 ),3478022.390000000130385,2895922.450000000186265,2902816.100000000093132,3249490.719999999739230,12526251.660000000149012
FS( 136 ),3430273.260000000242144,2850135.500000000000000,2866957.100000000093132,3200630.380000000353903,12347996.240000000223517
FS( 137 ),3454982.600000000093132,2829666.040000000502914,2850820.550000000279397,3201975.160000000149012,12337444.350000001490116
FS( 138 ),3496721.350000000093132,2809735.250000000000000,2843648.750000000000000,3214526.439999999478459,12364631.789999999105930
FS( 139 ),3493716.160000000149012,2834514.070000000298023,2842453.450000000186265,3248145.939999999478459,12418829.619999999180436
FS( 140 ),3469674.640000000130385,2849058.160000000149012,2836476.950000000186265,3220802.079999999608845,12376011.830000000074506
FS( 141 ),3510745.570000000298023,2852828.850000000093132,2857394.700000000186265,3226181.199999999720603,12447150.320000000298023
FS( 142 ),3522098.510000000242144,2971874.920000000391155,2852613.500000000000000,3251732.020000000484288,12598318.949999999254942
FS( 143 ),3523768.060000000055879,2964872.210000000428408,2846039.350000000093132,3244559.859999999869615,12579239.480000000447035
FS( 144 ),3446300.939999999944121,2881378.360000000335276,2815559.200000000186265,3206009.500000000000000,12349248.000000000000000
FS( 145 ),3448304.399999999906868,2872759.640000000130385,2814363.900000000372529,3206906.020000000484288,12342333.960000000894070
FS( 146 ),3503733.460000000428408,2878146.340000000316650,2814961.550000000279397,3247249.419999999925494,12444090.770000001415610
FS( 147 ),3470008.550000000279397,2868988.950000000186265,2826316.900000000372529,3215871.219999999739230,12381185.620000001043081
FS( 148 ),3506404.740000000223517,2872220.970000000204891,2821535.700000000186265,3252628.540000000037253,12452789.949999999254942
FS( 149 ),3551816.500000000000000,2898077.129999999888241,2849625.250000000465661,3288041.079999999608845,12587559.960000000894070
FS( 150 ),3561165.980000000447035,2946557.430000000633299,2839465.200000000186265,3318971.020000000484288,12666159.630000002682209
FS( 151 ),3541799.199999999720603,2957869.500000000000000,2838269.900000000372529,3319867.540000000037253,12657806.140000000596046
FS( 152 ),3579197.120000000111759,2977261.620000000577420,2853211.150000000372529,3328384.479999999981374,12738054.370000001043081
FS( 153 ),3611920.300000000279397,3067219.510000000242144,2867554.750000000000000,3345418.359999999869615,12892112.919999999925494
FS( 154 ),3647314.760000000242144,3056984.780000000260770,2877117.150000000372529,3370072.660000000149012,12951489.350000001490116
FS( 155 ),3666347.629999999888241,2981032.310000000521541,2859785.300000000279397,3350349.219999999739230,12857514.460000000894070
FS( 156 ),3717435.859999999869615,3058600.790000000502914,2856199.400000000372529,3338694.459999999962747,12970930.510000001639128
FS( 157 ),3862352.800000000279397,3053214.090000000316650,2880105.400000000372529,3367383.100000000093132,13163055.390000000596046
FS( 158 ),3910435.839999999850988,3046211.379999999888241,2869347.700000000186265,3331074.040000000037253,13157068.960000000894070
FS( 159 ),3953510.230000000447035,3134553.260000000242144,2892656.050000000279397,3274145.020000000484288,13254864.560000002384186
FS( 160 ),3974880.470000000204891,3115161.140000000130385,2884288.950000000186265,3175527.820000000298023,13149858.380000000819564
FS( 161 ),3894408.160000000149012,3045672.710000000428408,2869347.700000000186265,3163424.799999999813735,12972853.370000001043081
FS( 162 ),3923792.240000000223517,3010120.490000000223517,2849625.250000000465661,3219457.299999999813735,13002995.280000001192093
FS( 163 ),3973544.830000000074506,3000424.430000000633299,2840660.500000000465661,3241870.299999999813735,13056500.060000002384186
FS( 164 ),3957183.240000000223517,3057523.450000000186265,2849027.600000000558794,3226629.459999999962747,13090363.750000000000000
FS( 165 ),3986233.410000000149012,3067758.180000000633299,2849625.250000000465661,3234698.139999999664724,13138314.980000000447035
FS( 166 ),3964863.169999999925494,2993421.720000000204891,2856199.400000000372529,3227077.719999999739230,13041562.010000001639128
FS( 167 ),3923458.330000000074506,2946018.760000000242144,2845441.700000000186265,3210043.839999999850988,12924962.629999998956919
FS( 168 ),3931806.080000000074506,2939016.050000000279397,2912976.150000000372529,3253525.060000000055879,13037323.340000001713634
FS( 169 ),3934811.270000000018626,2968642.900000000372529,2890863.100000000093132,3253076.799999999813735,13047394.070000000298023
FS( 170 ),3847994.669999999925494,2974029.600000000093132,2890265.450000000186265,3250835.500000000000000,12963125.219999998807907
FS( 171 ),3913441.030000000260770,3067758.180000000633299,2882496.000000000000000,3271903.719999999739230,13135598.929999999701977
FS( 172 ),3896411.620000000111759,3018739.210000000428408,2862175.900000000372529,3235146.399999999906868,13012473.130000000819564
FS( 173 ),3854672.870000000111759,2955176.150000000372529,2853808.800000000279397,3204216.459999999962747,12867874.280000001192093
FS( 174 ),3822283.600000000093132,2985880.340000000316650,2825121.600000000558794,3199733.859999999869615,12833019.400000000372529
FS( 175 ),3970205.730000000447035,3099001.040000000502914,2838269.900000000372529,3316281.459999999962747,13223758.130000002682209
FS( 176 ),3939486.010000000242144,3150713.360000000335276,2826316.900000000372529,3329281.000000000000000,13245797.270000001415610
FS( 177 ),3988904.689999999944121,3131321.240000000223517,2794043.800000000279397,3349452.699999999720603,13263722.429999999701977
FS( 178 ),3946164.210000000428408,3101694.390000000130385,2783286.100000000093132,3311350.600000000093132,13142495.300000000745058
FS( 179 ),4018288.770000000018626,3155022.720000000204891,2819145.100000000558794,3370520.919999999925494,13362977.509999999776483
FS( 180 ),4083401.220000000204891,3174953.510000000242144,2815559.200000000186265,3199285.600000000093132,13273199.529999999329448
FS( 181 ),4091081.149999999906868,3169028.140000000130385,2785676.700000000186265,3082289.740000000223517,13128075.730000000447035
FS( 182 ),4056020.600000000093132,3172798.830000000074506,2779700.200000000186265,3057187.180000000167638,13065706.809999998658895
FS( 183 ),4089745.510000000242144,3187342.920000000391155,2777309.600000000093132,3086772.339999999850988,13141170.370000001043081
FS( 184 ),4308122.650000000372529,3148020.010000000242144,2782688.450000000186265,3048670.240000000223517,13287501.349999999627471
FS( 185 ),4306787.009999999776483,3116238.480000000447035,2762368.350000000093132,3030739.839999999850988,13216133.679999999701977
FS( 186 ),4380581.120000000111759,3031667.290000000502914,2781493.150000000372529,3031188.100000000093132,13224929.660000000149012
FS( 187 ),4336838.910000000149012,3000424.430000000633299,2710372.800000000279397,3000706.419999999925494,13048342.560000000521541
FS( 188 ),4329492.889999999664724,3026819.260000000242144,2724118.750000000000000,3051808.060000000055879,13132238.960000000894070
FS( 189 ),4330160.709999999962747,3011736.500000000000000,2703798.650000000372529,3048670.240000000223517,13094366.099999999627471
FS( 190 ),4357541.330000000074506,3027896.600000000093132,2694833.900000000372529,3059876.740000000223517,13140148.570000000298023
FS( 191 ),4442020.560000000521541,2988035.020000000018626,2703201.000000000000000,3076462.359999999869615,13209718.939999999478459
FS( 192 ),4434006.719999999739230,2946018.760000000242144,2732485.850000000093132,3090806.680000000167638,13203318.009999999776483
FS( 193 ),4460051.700000000186265,2970258.910000000149012,2710970.450000000186265,3080496.699999999720603,13221777.759999999776483
FS( 194 ),4444024.020000000484288,3011736.500000000000000,2746829.450000000186265,3150873.520000000484288,13353463.490000002086163
FS( 195 ),4391266.240000000223517,2966488.220000000204891,2738462.350000000093132,3127115.740000000223517,13223332.550000000745058
FS( 196 ),4457380.419999999925494,3042979.360000000335276,2797032.050000000279397,3160286.979999999981374,13457678.810000000521541
FS( 197 ),4425325.060000000521541,3042440.689999999944121,2808985.050000000279397,3160286.979999999981374,13437037.780000001192093
FS( 198 ),4418646.860000000335276,3017661.870000000577420,2844246.400000000372529,3135632.680000000167638,13416187.810000000521541
FS( 199 ),4446695.299999999813735,3037592.660000000149012,2829305.150000000372529,3183148.240000000223517,13496741.349999999627471
FS( 200 ),4510806.020000000484288,3076376.900000000372529,2857992.350000000093132,3202423.419999999925494,13647598.690000001341105
FS( 201 ),4543863.110000000335276,3086072.960000000428408,2872933.600000000093132,3221698.600000000093132,13724568.269999999552965
FS( 202 ),4619994.590000000782311,3058600.790000000502914,2869347.700000000186265,3213181.660000000149012,13761124.740000002086163
FS( 203 ),4573915.009999999776483,3045672.710000000428408,2872933.600000000093132,3210043.839999999850988,13702565.160000000149012
FS( 204 ),4422653.779999999329448,3011736.500000000000000,2876519.500000000465661,3226629.459999999962747,13537539.239999998360872
FS( 205 ),4438681.459999999962747,3040286.010000000242144,2905804.350000000093132,3268317.639999999664724,13653089.460000000894070
FS( 206 ),4540190.099999999627471,3042440.689999999944121,2924929.150000000372529,3305523.219999999739230,13813083.160000000149012
FS( 207 ),4441018.830000000074506,2992344.379999999888241,2967959.950000000186265,3320315.799999999813735,13721638.960000000894070
FS( 208 ),4500454.810000000521541,2975645.610000000335276,2963178.750000000000000,3340487.500000000000000,13779766.670000001788139
FS( 209 ),4498451.349999999627471,2999347.090000000316650,2978120.000000000000000,3333315.339999999850988,13809233.779999999329448
FS( 210 ),4482757.580000000074506,2996653.740000000223517,2978120.000000000000000,3338694.459999999962747,13796225.780000001192093
FS( 211 ),4479752.389999999664724,3067219.510000000242144,2999037.750000000465661,3324350.139999999664724,13870359.789999999105930
FS( 212 ),4407627.830000000074506,2970258.910000000149012,2973936.450000000186265,3305074.959999999962747,13656898.150000002235174
FS( 213 ),4390932.330000000074506,2983186.990000000223517,2947042.200000000186265,3301488.880000000353903,13622650.400000000372529
FS( 214 ),4432003.259999999776483,2961640.189999999944121,2917159.700000000186265,3261145.479999999981374,13571948.629999998956919
FS( 215 ),4513811.209999999962747,3012275.170000000391155,2951823.400000000372529,3294764.979999999981374,13772674.760000001639128
FS( 216 ),4497115.709999999962747,3129705.230000000447035,2961983.450000000186265,3304626.699999999720603,13893431.089999999850988
FS( 217 ),4464392.529999999329448,3205119.030000000260770,2954214.000000000465661,3319419.279999999795109,13943144.839999999850988
FS( 218 ),4426326.790000000037253,3149097.350000000093132,2925526.800000000279397,3233801.620000000111759,13734752.560000002384186
FS( 219 ),4439683.190000000409782,3127011.879999999888241,2887874.850000000093132,3183148.240000000223517,13637718.160000000149012
FS( 220 ),4468733.360000000335276,3185188.240000000223517,2891460.750000000465661,3159390.459999999962747,13704772.810000002384186
FS( 221 ),4498451.349999999627471,3191113.610000000335276,2874128.900000000372529,3185389.540000000037253,13749083.399999998509884
FS( 222 ),4537184.910000000149012,3237439.230000000447035,2862773.550000000279397,3170596.959999999962747,13807994.650000002235174
FS( 223 ),4524162.419999999925494,3337631.850000000093132,2922538.550000000279397,3244559.859999999869615,14028892.679999999701977
FS( 224 ),4513477.299999999813735,3367797.370000000577420,2915964.400000000372529,3245008.120000000111759,14042247.190000001341105
FS( 225 ),4563563.799999999813735,3358639.980000000447035,2947639.850000000093132,3288041.079999999608845,14157884.710000000894070
FS( 226 ),4554548.230000000447035,3366181.360000000335276,2950030.450000000186265,3332867.079999999608845,14203627.120000001043081
FS( 227 ),4568906.360000000335276,3407658.950000000186265,2953018.700000000186265,3323005.359999999869615,14252589.370000001043081
FS( 228 ),4616989.400000000372529,3441056.490000000223517,2971545.850000000093132,3355280.079999999608845,14384871.820000000298023
FS( 229 ),4571243.730000000447035,3421125.700000000186265,2975729.400000000372529,3348107.919999999925494,14316206.750000001862645
FS( 230 ),4538520.549999999813735,3421125.700000000186265,2984694.150000000372529,3352142.260000000242144,14296482.660000000149012
