代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14216702.189999999478459
真實報酬,4216702.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18517.977155951044551
風險,192513.035339149180800
起點值,0.096190770268247
找到最佳解世代,3160
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,4
HD[9](2),JPM[13](3),PFE[20](10),V[25](1),
FS( 19 ),2741386.260000000242144,2585416.119999999646097,2494778.649999999906868,2503922.149999999906868,10325503.179999999701977
FS( 20 ),2734613.900000000372529,2578471.720000000204891,2490601.569999999832362,2498431.140000000130385,10302118.330000001937151
FS( 21 ),2749609.840000000316650,2590277.199999999720603,2502088.539999999571592,2510982.019999999552965,10352957.599999999627471
FS( 22 ),2738967.560000000055879,2562499.600000000093132,2489557.299999999813735,2485095.829999999608845,10276120.289999999105930
FS( 23 ),2745256.180000000167638,2579166.160000000149012,2491645.839999999385327,2514904.169999999925494,10330972.349999999627471
FS( 24 ),2747191.140000000130385,2570138.439999999944121,2483291.679999999701977,2520395.180000000167638,10321016.439999999478459
FS( 25 ),2735097.640000000130385,2577082.839999999850988,2497911.459999999962747,2502353.289999999571592,10312445.230000000447035
FS( 26 ),2788792.780000000260770,2686804.359999999869615,2541770.799999999813735,2540005.930000000167638,10557373.870000001043081
FS( 27 ),2769926.919999999925494,2729165.199999999720603,2531328.099999999627471,2543928.079999999608845,10574348.299999998882413
FS( 28 ),2771861.879999999888241,2691665.439999999944121,2516708.319999999832362,2523532.899999999906868,10503768.540000000968575
FS( 29 ),2743804.959999999962747,2749998.399999999906868,2524018.209999999962747,2578442.999999999534339,10596264.569999998435378
FS( 30 ),2759768.379999999888241,2772220.479999999981374,2513575.509999999776483,2617664.499999999534339,10663228.869999999180436
FS( 31 ),2820235.879999999888241,2874997.600000000093132,2532372.369999999646097,2646688.410000000149012,10874294.259999999776483
FS( 32 ),2876349.720000000204891,2886803.080000000074506,2485380.219999999739230,2632568.669999999925494,10881101.690000001341105
FS( 33 ),2849744.020000000018626,2860414.359999999869615,2508354.159999999683350,2625508.799999999813735,10844021.339999999850988
FS( 34 ),2847325.320000000298023,2865275.439999999944121,2507309.889999999664724,2621586.649999999906868,10841497.299999998882413
FS( 35 ),2876833.459999999962747,2870830.960000000428408,2522973.939999999478459,2643550.689999999944121,10914189.049999998882413
FS( 36 ),2867642.400000000372529,2864581.000000000000000,2549080.689999999478459,2639628.539999999571592,10920932.629999998956919
FS( 37 ),2874414.760000000242144,2838886.720000000204891,2560567.659999999683350,2647472.839999999850988,10921341.980000000447035
FS( 38 ),2872963.540000000037253,2863192.119999999646097,2584585.869999999646097,2623155.509999999776483,10943897.039999999105930
FS( 39 ),2888926.959999999962747,2815970.199999999720603,2593984.299999999813735,2638844.109999999869615,10937725.570000000298023
FS( 40 ),2862321.260000000242144,2794442.560000000055879,2592940.029999999329448,2598838.180000000167638,10848542.029999999329448
FS( 41 ),2896666.800000000279397,2824997.919999999925494,2606515.539999999571592,2626293.229999999515712,10954473.489999998360872
FS( 42 ),2920370.060000000055879,2811109.119999999646097,2595028.569999999832362,2633353.100000000093132,10959860.849999999627471
FS( 43 ),2930044.860000000335276,2845136.679999999701977,2614869.699999999720603,2681203.329999999608845,11071254.570000000298023
FS( 44 ),2918435.100000000093132,2841664.479999999981374,2623223.859999999869615,2667083.589999999850988,11050407.029999999329448
FS( 45 ),2988093.660000000149012,2837497.839999999850988,2644109.259999999776483,2716502.680000000167638,11186203.439999999478459
FS( 46 ),2986642.440000000409782,2904164.080000000074506,2647242.069999999832362,2739251.149999999906868,11277299.740000000223517
FS( 47 ),3057268.480000000447035,2896525.240000000223517,2664994.659999999683350,2751017.600000000093132,11369805.980000000447035
FS( 48 ),2993414.800000000279397,2893053.039999999571592,2652463.419999999459833,2720424.829999999608845,11259356.089999999850988
FS( 49 ),2948426.980000000447035,2873608.720000000204891,2643064.989999999292195,2681987.759999999776483,11147088.450000001117587
FS( 50 ),2889894.440000000409782,2900691.880000000353903,2627400.939999999478459,2694538.640000000130385,11112525.900000000372529
FS( 51 ),2854581.419999999925494,2923608.399999999906868,2623223.859999999869615,2726700.269999999552965,11128113.949999999254942
FS( 52 ),2881187.120000000111759,2890275.279999999795109,2623223.859999999869615,2728269.129999999888241,11122955.390000000596046
FS( 53 ),2933914.780000000260770,2943052.720000000204891,2670216.009999999776483,2743173.299999999813735,11290356.809999998658895
FS( 54 ),2944073.320000000298023,2974302.520000000018626,2694234.219999999739230,2768275.059999999590218,11380885.119999997317791
FS( 55 ),2969711.540000000037253,3008330.080000000074506,2698411.299999999813735,2795730.109999999869615,11472183.029999999329448
FS( 56 ),2989544.879999999888241,2986802.439999999944121,2719296.699999999720603,2782394.799999999813735,11478038.820000000298023
FS( 57 ),2993898.540000000037253,2938886.080000000074506,2690057.139999999664724,2744742.160000000149012,11367583.919999999925494
FS( 58 ),3001154.640000000130385,2922913.960000000428408,2673348.819999999832362,2725915.839999999850988,11323333.259999999776483
FS( 59 ),2987126.180000000167638,2870136.520000000018626,2630533.750000000000000,2679634.469999999739230,11167430.919999998062849
FS( 60 ),2964390.400000000372529,2896525.240000000223517,2643064.989999999292195,2676496.749999999534339,11180477.379999998956919
FS( 61 ),2925691.200000000186265,2893747.479999999981374,2674393.089999999385327,2697676.359999999869615,11191508.129999998956919
FS( 62 ),2904406.640000000130385,2858331.039999999571592,2655596.229999999515712,2712580.529999999795109,11130914.439999999478459
FS( 63 ),2969227.800000000279397,2894441.919999999925494,2597117.109999999869615,2721209.259999999776483,11181996.089999999850988
FS( 64 ),3011796.919999999925494,2974996.960000000428408,2563700.469999999739230,2821616.299999999813735,11372110.650000002235174
FS( 65 ),3000187.160000000149012,2945830.479999999981374,2563700.469999999739230,2812203.140000000130385,11321921.250000000000000
FS( 66 ),3017601.800000000279397,2935413.880000000353903,2566833.279999999329448,2775334.930000000167638,11295183.890000000596046
FS( 67 ),3029211.560000000055879,2977774.720000000204891,2580408.789999999571592,2821616.299999999813735,11409011.370000001043081
FS( 68 ),2998735.940000000409782,2811109.119999999646097,2524018.209999999962747,2795730.109999999869615,11129593.380000000819564
FS( 69 ),2944073.320000000298023,2805553.600000000093132,2522973.939999999478459,2786316.950000000186265,11058917.809999998658895
FS( 70 ),2948910.720000000204891,2820831.279999999795109,2524018.209999999962747,2802789.979999999515712,11096550.189999999478459
FS( 71 ),2958585.520000000018626,2818053.520000000018626,2517752.589999999385327,2809065.419999999925494,11103457.049999998882413
FS( 72 ),3065975.800000000279397,2780553.759999999776483,2511486.969999999739230,2793376.819999999832362,11151393.349999999627471
FS( 73 ),2973581.459999999962747,2728470.759999999776483,2486424.489999999292195,2744742.160000000149012,10933218.869999999180436
FS( 74 ),2962939.180000000167638,2735415.160000000149012,2470760.439999999478459,2745526.589999999850988,10914641.369999999180436
FS( 75 ),3005024.560000000055879,2745137.320000000298023,2491645.839999999385327,2798867.829999999608845,11040675.550000000745058
FS( 76 ),3063557.100000000093132,2818747.960000000428408,2520885.399999999906868,2856131.219999999739230,11259321.679999999701977
FS( 77 ),3087260.360000000335276,2826386.800000000279397,2535505.179999999701977,2870250.959999999962747,11319403.300000000745058
FS( 78 ),3100321.340000000316650,2828470.119999999646097,2542815.069999999832362,2876526.399999999906868,11348132.929999999701977
FS( 79 ),3135634.359999999869615,2853469.960000000428408,2561611.929999999701977,2904765.879999999888241,11455482.129999998956919
FS( 80 ),3128378.260000000242144,2838886.720000000204891,2557434.849999999627471,2887508.419999999925494,11412208.250000000000000
FS( 81 ),3103707.520000000018626,2829859.000000000000000,2532372.369999999646097,2878879.689999999944121,11344818.579999998211861
FS( 82 ),3136118.100000000093132,2835414.520000000018626,2576231.709999999962747,2888292.850000000093132,11436057.179999999701977
FS( 83 ),3107577.439999999944121,2862497.679999999701977,2595028.569999999832362,2906334.739999999757856,11471438.429999999701977
FS( 84 ),3147727.859999999869615,2852775.520000000018626,2612781.159999999683350,2936143.079999999608845,11549427.619999999180436
FS( 85 ),3143374.200000000186265,2834025.640000000130385,2620091.049999999813735,2914963.469999999739230,11512454.359999999403954
FS( 86 ),3107577.439999999944121,2817359.080000000074506,2628445.209999999962747,2894568.289999999571592,11447950.019999999552965
FS( 87 ),3096935.160000000149012,2861108.800000000279397,2677525.899999999906868,2903981.450000000186265,11539551.310000002384186
FS( 88 ),3112414.840000000316650,2879858.679999999701977,2674393.089999999385327,2911825.749999999534339,11578492.359999999403954
FS( 89 ),3117735.980000000447035,2955552.640000000130385,2669171.739999999292195,2913394.609999999869615,11655854.969999998807907
FS( 90 ),3049528.640000000130385,2938191.640000000130385,2653507.689999999478459,2915747.899999999906868,11556975.869999999180436
FS( 91 ),3042272.540000000037253,2961108.160000000149012,2677525.899999999906868,2920454.479999999515712,11601361.079999998211861
FS( 92 ),3044207.500000000000000,2970135.880000000353903,2663950.389999999664724,2900059.299999999813735,11578353.070000000298023
FS( 93 ),3019053.020000000018626,2970830.320000000298023,2645153.529999999329448,2886723.989999999757856,11521760.859999999403954
FS( 94 ),3002122.120000000111759,2972913.640000000130385,2629489.479999999515712,2879664.120000000111759,11484189.359999999403954
FS( 95 ),3062589.620000000111759,3019441.119999999646097,2648286.339999999385327,2924376.629999999888241,11654693.710000000894070
FS( 96 ),3047593.680000000167638,3046524.279999999795109,2677525.899999999906868,2955753.829999999608845,11727397.689999999478459
FS( 97 ),2988093.660000000149012,3022913.320000000298023,2647242.069999999832362,2925161.059999999590218,11583410.109999999403954
FS( 98 ),2997768.459999999962747,3092357.320000000298023,2655596.229999999515712,2990268.749999999534339,11735990.759999999776483
FS( 99 ),2966325.360000000335276,3055552.000000000000000,2619046.779999999329448,2956538.259999999776483,11597462.400000000372529
FS( 100 ),2978418.860000000335276,3049996.479999999981374,2619046.779999999329448,2965166.989999999757856,11612629.109999999403954
FS( 101 ),2957618.040000000037253,3052774.240000000223517,2635755.099999999627471,2936927.509999999776483,11583074.889999998733401
FS( 102 ),2954231.860000000335276,3029857.720000000204891,2625312.399999999906868,2929867.640000000130385,11539269.620000001043081
FS( 103 ),2933914.780000000260770,3002774.560000000055879,2599205.649999999906868,2914963.469999999739230,11450858.460000000894070
FS( 104 ),2991963.580000000074506,3053468.679999999701977,2619046.779999999329448,2973011.289999999571592,11637490.329999998211861
FS( 105 ),3070813.200000000186265,3101385.039999999571592,2705721.189999999478459,3047532.140000000130385,11925451.570000000298023
FS( 106 ),3062105.879999999888241,3095135.080000000074506,2699455.569999999832362,3049885.430000000167638,11906581.959999999031425
FS( 107 ),3056301.000000000000000,3149995.839999999850988,2710942.539999999571592,3074202.759999999776483,11991442.139999998733401
FS( 108 ),3039853.840000000316650,3153468.039999999571592,2713031.079999999608845,3096166.799999999813735,12002519.759999997913837
FS( 109 ),3058235.959999999962747,3159718.000000000000000,2717208.159999999683350,3125190.709999999962747,12060352.829999998211861
FS( 110 ),3055817.260000000242144,3157634.679999999701977,2764200.309999999590218,3173040.939999999944121,12150693.189999999478459
FS( 111 ),3077585.560000000055879,3204856.600000000093132,2794484.139999999664724,3147939.180000000167638,12224865.480000000447035
FS( 112 ),3081455.480000000447035,3204162.160000000149012,2769421.659999999683350,3160490.059999999590218,12215529.359999999403954
FS( 113 ),3070813.200000000186265,3186106.720000000204891,2792395.599999999627471,3150292.469999999739230,12199607.989999998360872
FS( 114 ),3093548.980000000447035,3218745.399999999906868,2779864.359999999869615,3146370.319999999832362,12238529.060000000521541
FS( 115 ),3089195.320000000298023,3251384.080000000074506,2778820.089999999385327,3141663.739999999757856,12261063.230000000447035
FS( 116 ),3146760.379999999888241,3224995.359999999869615,2801794.029999999329448,3135388.299999999813735,12308938.070000000298023
FS( 117 ),3167077.459999999962747,3226384.240000000223517,2771510.199999999720603,3104011.100000000093132,12268983.000000000000000
FS( 118 ),3180622.180000000167638,3231939.759999999776483,2786129.979999999515712,3118915.269999999552965,12317607.189999997615814
FS( 119 ),3214967.719999999739230,3210412.119999999646097,2782997.169999999459833,3118915.269999999552965,12327292.279999999329448
FS( 120 ),3258020.580000000074506,3220134.279999999795109,2803882.569999999832362,3129112.859999999869615,12411150.289999999105930
FS( 121 ),3280756.359999999869615,3274995.039999999571592,2819546.619999999646097,3134603.870000000111759,12509901.890000000596046
FS( 122 ),3269146.600000000093132,3238884.160000000149012,2802838.299999999813735,3066358.459999999962747,12377227.519999999552965
FS( 123 ),3250764.480000000447035,3272217.279999999795109,2892645.519999999552965,3072633.899999999906868,12488261.179999999701977
FS( 124 ),3252699.439999999944121,3272911.720000000204891,2872804.389999999664724,3039687.839999999850988,12438103.390000000596046
FS( 125 ),3237219.760000000242144,3267356.199999999720603,2848786.179999999701977,3096951.229999999515712,12450313.370000001043081
FS( 126 ),3255601.879999999888241,3322911.399999999906868,2885335.629999999422580,3109502.109999999869615,12573351.019999997690320
FS( 127 ),3210130.320000000298023,3311105.919999999925494,2837299.209999999962747,3071849.469999999739230,12430384.919999998062849
FS( 128 ),3211581.540000000037253,3388188.759999999776483,2872804.389999999664724,3128328.430000000167638,12600903.119999999180436
FS( 129 ),3225126.260000000242144,3375688.839999999850988,2852963.259999999776483,3154214.620000000111759,12607992.980000000447035
FS( 130 ),3207711.620000000111759,3349300.119999999646097,2815369.539999999571592,3080478.200000000186265,12452859.480000000447035
FS( 131 ),3241573.420000000391155,3377077.720000000204891,2807015.379999999422580,3094597.939999999944121,12520264.459999999031425
FS( 132 ),3211097.799999999813735,3379161.039999999571592,2834166.399999999906868,3065574.029999999795109,12489999.269999999552965
FS( 133 ),3256569.359999999869615,3412494.160000000149012,2818502.349999999627471,3074987.189999999944121,12562553.059999998658895
FS( 134 ),3262857.980000000447035,3380549.919999999925494,2819546.619999999646097,3034981.259999999776483,12497935.779999999329448
FS( 135 ),3257536.840000000316650,3418049.679999999701977,2825812.239999999292195,3058514.160000000149012,12559912.919999998062849
FS( 136 ),3266244.160000000149012,3394438.720000000204891,2849830.449999999720603,3098520.089999999850988,12609033.419999999925494
FS( 137 ),3267695.379999999888241,3434021.800000000279397,2893689.789999999571592,3090675.789999999571592,12686082.759999997913837
FS( 138 ),3214000.240000000223517,3375688.839999999850988,2879070.009999999776483,3047532.140000000130385,12516291.230000000447035
FS( 139 ),3114349.799999999813735,3350689.000000000000000,2862361.689999999478459,3087538.069999999832362,12414938.559999998658895
FS( 140 ),3172398.600000000093132,3396522.039999999571592,2859228.879999999422580,3126759.569999999832362,12554909.089999999850988
FS( 141 ),3092097.760000000242144,3312494.800000000279397,2802838.299999999813735,3056945.299999999813735,12264376.160000000149012
FS( 142 ),3268179.120000000111759,3305550.399999999906868,2822679.429999999701977,3095382.370000000111759,12491791.320000000298023
FS( 143 ),3292366.120000000111759,3422216.320000000298023,2862361.689999999478459,3135388.299999999813735,12712332.429999999701977
FS( 144 ),3313650.680000000167638,3397216.479999999981374,2858184.609999999869615,3111070.969999999739230,12680122.739999998360872
FS( 145 ),3339288.900000000372529,3396522.039999999571592,2860273.149999999906868,3100088.950000000186265,12696173.039999999105930
FS( 146 ),3400240.140000000596046,3409716.399999999906868,2891601.250000000000000,3128328.430000000167638,12829886.220000000670552
FS( 147 ),3408947.459999999962747,3436799.560000000055879,2931283.509999999776483,3143232.600000000093132,12920263.129999998956919
FS( 148 ),3409431.200000000186265,3474299.320000000298023,2936504.859999999869615,3158921.200000000186265,12979156.580000001937151
FS( 149 ),3398305.180000000167638,3515965.720000000204891,2952168.909999999683350,3147939.180000000167638,13014378.990000000223517
FS( 150 ),3452484.060000000521541,3486104.800000000279397,2943814.750000000000000,3151076.899999999906868,13033480.510000001639128
FS( 151 ),3450065.359999999869615,3505549.119999999646097,2950080.369999999646097,3161274.489999999757856,13066969.339999999850988
FS( 152 ),3422492.180000000167638,3491660.320000000298023,2917708.000000000000000,3133819.439999999944121,12965679.939999999478459
FS( 153 ),3422975.920000000391155,3483327.039999999571592,2926062.159999999683350,3125190.709999999962747,12957555.829999998211861
FS( 154 ),3397821.439999999944121,3541660.000000000000000,2935460.589999999385327,3151076.899999999906868,13026018.929999999701977
FS( 155 ),3340256.379999999888241,3473604.880000000353903,2926062.159999999683350,3109502.109999999869615,12849425.529999999329448
FS( 156 ),3354768.580000000074506,3438188.439999999944121,2928150.699999999720603,3100088.950000000186265,12821196.669999998062849
FS( 157 ),3327679.140000000596046,3416660.800000000279397,2922929.349999999627471,3059298.589999999850988,12726567.880000000819564
FS( 158 ),3332032.799999999813735,3411105.279999999795109,2954257.449999999720603,3124406.279999999795109,12821801.809999998658895
FS( 159 ),3335418.980000000447035,3357633.399999999906868,2935460.589999999385327,3094597.939999999944121,12723110.910000000149012
FS( 160 ),3364927.120000000111759,3387494.320000000298023,2963655.879999999422580,3139310.450000000186265,12855387.769999999552965
FS( 161 ),3360573.459999999962747,3369438.880000000353903,2940681.939999999478459,3216184.589999999850988,12886878.869999999180436
FS( 162 ),3388630.379999999888241,3377772.160000000149012,2986629.819999999832362,3284429.999999999534339,13037462.359999999403954
FS( 163 ),3369280.780000000260770,3317355.880000000353903,2990806.899999999906868,3307962.899999999906868,12985406.460000000894070
FS( 164 ),3375569.400000000372529,3295828.240000000223517,3013780.839999999385327,3330711.370000000111759,13015889.850000001490116
FS( 165 ),3370248.260000000242144,3321522.520000000018626,3011692.299999999813735,3282076.709999999962747,12985539.789999999105930
FS( 166 ),3435553.160000000149012,3352772.320000000298023,3052418.829999999608845,3293843.160000000149012,13134587.470000000670552
FS( 167 ),3403626.320000000298023,3253467.399999999906868,3031533.429999999701977,3231088.759999999776483,12919715.910000000149012
FS( 168 ),3419589.740000000223517,3297911.560000000055879,3045108.939999999478459,3264819.249999999534339,13027429.490000000223517
FS( 169 ),3389114.120000000111759,3327078.039999999571592,3038843.319999999832362,3238933.059999999590218,12993968.539999999105930
FS( 170 ),3445227.959999999962747,3373605.520000000018626,3045108.939999999478459,3260897.100000000093132,13124839.519999999552965
FS( 171 ),3444260.480000000447035,3380549.919999999925494,3039887.589999999385327,3231088.759999999776483,13095786.750000000000000
FS( 172 ),3467963.740000000223517,3420133.000000000000000,3124473.459999999962747,3275016.839999999850988,13287587.039999999105930
FS( 173 ),3478122.280000000260770,3424299.640000000130385,3199660.899999999906868,3287567.719999999739230,13389650.539999999105930
FS( 174 ),3561325.560000000521541,3403466.439999999944121,3202793.709999999962747,3250699.509999999776483,13418285.220000000670552
FS( 175 ),3494085.700000000186265,3328466.919999999925494,3179819.769999999552965,3162843.350000000093132,13165215.740000000223517
FS( 176 ),3505211.719999999739230,3367355.560000000055879,3230989.000000000000000,3230304.329999999608845,13333860.609999999403954
FS( 177 ),3521658.879999999888241,3249300.759999999776483,3223679.109999999869615,3181669.669999999925494,13176308.419999999925494
FS( 178 ),3506179.200000000186265,3238884.160000000149012,3194439.549999999813735,3165196.640000000130385,13104699.550000000745058
FS( 179 ),3579707.680000000167638,3279856.119999999646097,3243520.239999999292195,3215400.160000000149012,13318484.199999999254942
FS( 180 ),3572935.320000000298023,3288189.399999999906868,3229944.729999999515712,3206771.430000000167638,13297840.879999998956919
FS( 181 ),3549715.799999999813735,3345133.479999999981374,3245608.779999999329448,3249130.649999999906868,13389588.709999999031425
FS( 182 ),3544878.400000000372529,3383327.679999999701977,3195483.819999999832362,3276585.700000000186265,13400275.600000001490116
FS( 183 ),3549232.060000000521541,3402772.000000000000000,3159978.639999999664724,3309531.759999999776483,13421514.459999999031425
FS( 184 ),3548264.580000000074506,3394438.720000000204891,3142226.049999999813735,3279723.419999999925494,13364652.770000001415610
FS( 185 ),3563744.260000000242144,3397216.479999999981374,3177731.229999999515712,3293058.729999999515712,13431750.699999999254942
FS( 186 ),3548264.580000000074506,3403466.439999999944121,3035710.509999999776483,3304040.749999999534339,13291482.279999999329448
FS( 187 ),3519723.920000000391155,3334022.439999999944121,3017957.919999999459833,3256190.519999999552965,13127894.799999998882413
FS( 188 ),3547297.100000000093132,3338883.520000000018626,3056595.909999999683350,3439747.140000000130385,13382523.669999999925494
FS( 189 ),3577772.719999999739230,3303467.080000000074506,3024223.539999999571592,3521327.859999999869615,13426791.199999999254942
FS( 190 ),3640658.920000000391155,3345827.919999999925494,2999161.059999999590218,3507992.549999999813735,13493640.449999999254942
FS( 191 ),3631467.859999999869615,3412494.160000000149012,3031533.429999999701977,3526034.439999999944121,13601529.889999998733401
FS( 192 ),3648398.760000000242144,3455549.439999999944121,3000205.329999999608845,3515836.850000000093132,13619990.379999998956919
FS( 193 ),3670167.060000000521541,3405549.759999999776483,2986629.819999999832362,3502501.539999999571592,13564848.179999999701977
FS( 194 ),3676939.420000000391155,3399994.240000000223517,2999161.059999999590218,3505639.259999999776483,13581733.979999998584390
FS( 195 ),3708866.260000000242144,3449299.479999999981374,3067038.609999999869615,3508776.979999999515712,13733981.329999998211861
FS( 196 ),3740309.359999999869615,3488188.119999999646097,3070171.419999999459833,3536232.029999999795109,13834900.929999997839332
FS( 197 ),3767398.799999999813735,3547909.960000000428408,3086879.739999999292195,3564471.509999999776483,13966660.009999999776483
FS( 198 ),3712736.180000000167638,3539576.679999999701977,3054507.369999999646097,3526034.439999999944121,13832854.669999998062849
FS( 199 ),3718057.320000000298023,3631937.199999999720603,3024223.539999999571592,3619381.609999999869615,13993599.669999998062849
FS( 200 ),3713219.920000000391155,3631242.759999999776483,2997072.519999999552965,3561333.789999999571592,13902868.989999998360872
FS( 201 ),3807549.219999999739230,3681936.880000000353903,3005426.679999999701977,3560549.359999999869615,14055462.139999998733401
FS( 202 ),3854955.740000000223517,3724297.720000000204891,3059728.719999999739230,3533094.309999999590218,14172076.489999998360872
FS( 203 ),3817224.020000000018626,3704853.399999999906868,3039887.589999999385327,3493088.379999999888241,14055053.390000000596046
FS( 204 ),3821093.939999999944121,3726381.039999999571592,3032577.699999999720603,3538585.319999999832362,14118638.000000000000000
FS( 205 ),3861244.359999999869615,3791658.399999999906868,3029444.889999999664724,3530741.019999999552965,14213088.669999998062849
FS( 206 ),3845280.939999999944121,3796519.479999999981374,2953213.179999999701977,3493872.809999999590218,14088886.410000000149012
FS( 207 ),3842862.240000000223517,3862491.279999999795109,2950080.369999999646097,3550351.769999999552965,14205785.659999998286366
FS( 208 ),3805130.520000000018626,3790963.960000000428408,2843564.829999999608845,3493872.809999999590218,13933532.120000001043081
FS( 209 ),3825447.600000000093132,3784019.560000000055879,2897866.869999999646097,3533878.739999999757856,14041212.769999999552965
FS( 210 ),3706931.299999999813735,3752769.759999999776483,2888468.439999999478459,3533878.739999999757856,13882048.240000000223517
FS( 211 ),3632919.080000000074506,3682631.320000000298023,2869671.579999999608845,3475830.919999999925494,13661052.900000000372529
FS( 212 ),3737406.920000000391155,3715270.000000000000000,2935460.589999999385327,3517405.709999999962747,13905543.219999998807907
FS( 213 ),3809000.439999999944121,3768741.880000000353903,2951124.639999999664724,3529172.160000000149012,14058039.120000001043081
FS( 214 ),3760142.700000000186265,3774991.839999999850988,2962611.609999999869615,3575453.529999999795109,14073199.679999999701977
FS( 215 ),3754337.820000000298023,3714575.560000000055879,2967832.959999999962747,3523681.149999999906868,13960427.490000000223517
FS( 216 ),3695805.280000000260770,3693047.919999999925494,2968877.229999999515712,3513483.559999999590218,13871213.989999998360872
FS( 217 ),3702093.900000000372529,3761797.479999999981374,3036754.779999999329448,3573884.669999999925494,14074530.830000000074506
FS( 218 ),3704996.340000000316650,3689575.720000000204891,3037799.049999999813735,3547998.479999999515712,13980369.589999999850988
FS( 219 ),3683228.040000000037253,3739575.399999999906868,3045108.939999999478459,3576237.959999999962747,14044150.339999999850988
FS( 220 ),3734020.740000000223517,3757630.839999999850988,3070171.419999999459833,3608399.589999999850988,14170222.589999999850988
FS( 221 ),3673069.500000000465661,3718742.199999999720603,3038843.319999999832362,3581728.969999999739230,14012383.989999998360872
FS( 222 ),3573419.060000000521541,3644437.119999999646097,2990806.899999999906868,3500148.249999999534339,13708811.330000000074506
FS( 223 ),3571000.359999999869615,3608326.240000000223517,2972010.039999999571592,3520543.430000000167638,13671880.069999998435378
FS( 224 ),3556004.420000000391155,3536104.479999999981374,2893689.789999999571592,3496226.100000000093132,13482024.789999999105930
FS( 225 ),3586480.040000000037253,3616659.520000000018626,2922929.349999999627471,3539369.749999999534339,13665438.660000000149012
FS( 226 ),3660492.260000000242144,3645826.000000000000000,2934416.319999999832362,3581728.969999999739230,13822463.550000000745058
FS( 227 ),3689516.660000000149012,3690964.600000000093132,2942770.479999999515712,3613890.600000000093132,13937142.339999997988343
FS( 228 ),3747565.459999999962747,3665964.759999999776483,2925017.889999999664724,3584082.259999999776483,13922630.369999999180436
FS( 229 ),3718541.060000000521541,3645131.560000000055879,2900999.679999999701977,3632716.919999999925494,13897389.220000000670552
FS( 230 ),3739825.620000000111759,3666659.199999999720603,2892645.519999999552965,3632716.919999999925494,13931847.259999999776483
