代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15200850.820000000298023
真實報酬,5200850.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23839.122211817320931
風險,340306.582116765202954
起點值,0.070051898683634
找到最佳解世代,2604
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MCD[15](21),MMM[16](6),MRK[17](8),PG[21](3),V[25](5),
FS( 58 ),2148116.479999999515712,2640051.349999999627471,2228668.319999999832362,2262426.650000000372529,2447561.300000000279397,11726824.099999999627471
FS( 59 ),2201731.559999999590218,2617642.549999999813735,2232934.520000000018626,2262853.360000000335276,2428359.000000000465661,11743520.989999998360872
FS( 60 ),2269618.280000000260770,2703542.949999999254942,2266210.879999999888241,2294856.610000000335276,2465286.500000000465661,11999515.219999998807907
FS( 61 ),2230274.839999999850988,2616242.000000000000000,2272183.560000000055879,2209514.610000000335276,2434267.400000000372529,11762482.410000002011657
FS( 62 ),2242232.160000000149012,2640051.349999999627471,2284128.919999999925494,2244078.120000000111759,2456423.899999999906868,11866914.450000001117587
FS( 63 ),2275404.080000000074506,2665728.099999999627471,2353241.359999999869615,2216341.969999999739230,2500736.899999999906868,12011452.409999998286366
FS( 64 ),2308576.000000000000000,2767968.250000000000000,2348975.160000000149012,2276934.790000000037253,2462332.300000000279397,12164786.500000000000000
FS( 65 ),2329019.160000000149012,2799247.200000000186265,2363480.239999999757856,2291869.640000000596046,2466763.600000000093132,12250379.839999999850988
FS( 66 ),2352548.080000000074506,2777772.099999999627471,2354094.600000000093132,2296136.740000000223517,2519939.199999999720603,12300490.719999998807907
FS( 67 ),2323619.080000000074506,2794111.849999999627471,2267917.359999999869615,2276508.080000000074506,2567206.399999999906868,12229362.769999999552965
FS( 68 ),2309347.440000000409782,2844998.500000000000000,2224402.120000000111759,2269254.009999999776483,2558343.800000000279397,12206345.870000001043081
FS( 69 ),2264989.639999999664724,2833327.250000000000000,2212456.759999999776483,2267547.169999999925494,2577546.100000000093132,12155866.919999999925494
FS( 70 ),2278875.559999999590218,2816987.500000000000000,2194538.719999999739230,2236397.339999999850988,2534710.200000000186265,12061509.320000000298023
FS( 71 ),2251103.719999999739230,2822589.700000000186265,2183446.600000000093132,2222315.910000000149012,2558343.800000000279397,12037799.730000000447035
FS( 72 ),2224489.040000000037253,2828191.899999999441206,2234641.000000000000000,2219328.940000000409782,2463809.399999999906868,11970460.279999999329448
FS( 73 ),2251103.719999999739230,2847799.599999999627471,2225255.359999999869615,2242371.280000000260770,2376660.500000000000000,11943190.460000000894070
FS( 74 ),2228731.959999999962747,2768901.950000000186265,2129692.479999999981374,2190312.660000000149012,2379614.700000000186265,11697253.750000000000000
FS( 75 ),2201345.839999999850988,2726885.449999999254942,2084470.760000000009313,2137827.330000000074506,2307236.799999999813735,11457766.179999999701977
FS( 76 ),2212917.440000000409782,2756297.000000000000000,2113480.919999999925494,2133986.940000000409782,2265878.000000000000000,11482560.300000000745058
FS( 77 ),2243389.320000000298023,2768901.950000000186265,2188566.040000000037253,2183485.300000000745058,2267355.100000000093132,11651697.710000000894070
FS( 78 ),2243775.040000000037253,2771703.049999999813735,2210750.279999999795109,2160869.669999999925494,2265878.000000000000000,11652976.039999999105930
FS( 79 ),2206360.200000000186265,2683001.549999999813735,2148463.759999999776483,2157455.990000000223517,2261446.700000000186265,11456728.199999999254942
FS( 80 ),2189388.519999999552965,2663860.700000000186265,2142491.080000000074506,2157029.280000000260770,2314622.300000000279397,11467391.880000000819564
FS( 81 ),2171645.400000000372529,2683468.399999999441206,2171501.239999999757856,2157029.280000000260770,2255538.299999999813735,11439182.620000001043081
FS( 82 ),2216388.919999999925494,2749761.099999999627471,2267064.120000000111759,2205247.509999999776483,2288034.500000000000000,11726496.149999998509884
FS( 83 ),2198645.799999999813735,2766567.700000000186265,2303753.439999999944121,2208234.480000000447035,2357458.200000000186265,11834659.620000001043081
FS( 84 ),2207517.360000000335276,2799247.200000000186265,2376278.839999999850988,2228716.560000000521541,2326439.100000000093132,11938199.060000000521541
FS( 85 ),2217546.080000000074506,2805783.099999999627471,2385664.479999999981374,2180498.330000000074506,2299851.300000000279397,11889343.290000000968575
FS( 86 ),2245703.639999999664724,2835661.500000000000000,2393343.640000000130385,2218902.230000000447035,2245198.600000000093132,11938809.609999999403954
FS( 87 ),2216003.200000000186265,2812785.849999999627471,2304606.680000000167638,2180925.040000000037253,2218610.799999999813735,11732931.570000000298023
FS( 88 ),2236832.080000000074506,2832393.549999999813735,2379691.799999999813735,2226156.300000000745058,2240767.300000000279397,11915841.030000001192093
FS( 89 ),2190931.400000000372529,2743225.200000000186265,2356654.319999999832362,2215061.839999999850988,2205316.899999999906868,11711189.660000000149012
FS( 90 ),2200188.679999999701977,2755363.299999999813735,2392490.399999999906868,2246211.669999999925494,2196454.299999999813735,11790708.349999997764826
FS( 91 ),2189774.240000000223517,2758631.250000000000000,2304606.680000000167638,2236397.339999999850988,2231904.700000000186265,11721314.210000000894070
FS( 92 ),2200574.400000000372529,2791310.750000000000000,2256825.239999999757856,2228289.850000000558794,2211225.300000000279397,11688225.540000002831221
FS( 93 ),2209060.240000000223517,2823990.250000000000000,2288395.120000000111759,2260719.810000000521541,2228950.500000000000000,11811115.920000001788139
FS( 94 ),2216388.919999999925494,2830526.150000000372529,2317405.279999999795109,2284615.570000000298023,2225996.300000000279397,11874932.220000000670552
FS( 95 ),2201731.559999999590218,2894484.599999999627471,2364333.479999999981374,2331980.379999999888241,2313145.200000000186265,12105675.219999998807907
FS( 96 ),2207131.639999999664724,2959843.599999999627471,2377985.319999999832362,2355876.140000000596046,2378137.600000000093132,12278974.299999998882413
FS( 97 ),2231046.280000000260770,2937434.799999999813735,2361773.759999999776483,2386172.550000000745058,2366320.799999999813735,12282748.190000001341105
FS( 98 ),2248017.959999999962747,2980385.000000000000000,2383958.000000000000000,2370810.990000000223517,2478580.400000000372529,12461752.349999999627471
FS( 99 ),2261518.160000000149012,2997191.599999999627471,2529862.040000000037253,2367824.020000000484288,2480057.500000000000000,12636453.320000000298023
FS( 100 ),2268846.839999999850988,3019133.549999999813735,2512797.239999999757856,2341368.000000000000000,2468240.700000000186265,12610386.329999998211861
FS( 101 ),2163545.280000000260770,3241354.150000000372529,2581056.439999999944121,2353742.589999999850988,2481534.600000000093132,12821233.060000000521541
FS( 102 ),2163159.559999999590218,3240887.299999999813735,2644196.199999999720603,2382758.870000000111759,2484488.800000000279397,12915490.730000000447035
FS( 103 ),2158916.639999999664724,3263762.949999999254942,2625424.919999999925494,2380198.610000000335276,2518462.100000000093132,12946765.219999998807907
FS( 104 ),2178202.639999999664724,3262362.399999999441206,2561431.919999999925494,2377211.640000000596046,2449038.399999999906868,12828247.000000000000000
FS( 105 ),2175888.320000000298023,3208207.799999999813735,2548633.319999999832362,2394706.750000000000000,2466763.600000000093132,12794199.789999999105930
FS( 106 ),2144259.280000000260770,3263296.100000000558794,2554606.000000000000000,2399400.560000000521541,2481534.600000000093132,12843096.540000000968575
FS( 107 ),2123816.120000000111759,3292240.799999999813735,2560578.680000000167638,2368677.440000000409782,2416542.200000000186265,12761855.239999998360872
FS( 108 ),2126516.160000000149012,3367870.500000000000000,2561431.919999999925494,2372944.540000000037253,2552435.400000000372529,12981198.520000001415610
FS( 109 ),2121887.519999999552965,3362735.150000000372529,2546073.600000000093132,2366543.890000000596046,2550958.299999999813735,12948198.460000000894070
FS( 110 ),2124973.280000000260770,3353398.149999999441206,2526449.080000000074506,2300403.839999999850988,2525847.600000000093132,12831071.949999999254942
FS( 111 ),2115330.280000000260770,3380008.600000000558794,2505118.080000000074506,2195859.890000000596046,2534710.200000000186265,12731027.050000000745058
FS( 112 ),2129216.200000000186265,3403351.100000000558794,2568257.839999999850988,2220182.360000000335276,2553912.500000000000000,12874920.000000000000000
FS( 113 ),2170488.240000000223517,3310447.949999999254942,2610919.839999999850988,2226156.300000000745058,2543572.799999999813735,12861585.129999998956919
FS( 114 ),2160845.240000000223517,3330522.500000000000000,2587882.359999999869615,2215915.259999999776483,2533233.100000000093132,12828398.459999999031425
FS( 115 ),2170102.519999999552965,3376740.649999999441206,2622865.199999999720603,2222315.910000000149012,2527324.700000000186265,12919348.980000000447035
FS( 116 ),2151587.959999999962747,3389345.599999999627471,2643342.959999999962747,2231703.530000000260770,2536187.300000000279397,12952167.350000001490116
FS( 117 ),2131916.240000000223517,3329588.799999999813735,2643342.959999999962747,2234690.500000000000000,2503691.100000000093132,12843229.599999999627471
FS( 118 ),2102215.799999999813735,3271699.399999999441206,2634810.560000000055879,2227863.140000000596046,2453469.700000000186265,12690058.600000001490116
FS( 119 ),2131530.519999999552965,3284304.349999999627471,2620305.479999999981374,2238104.180000000633299,2474149.100000000093132,12748393.630000000819564
FS( 120 ),2146573.599999999627471,3304845.750000000000000,2686004.959999999962747,2253039.030000000260770,2481534.600000000093132,12871997.939999999478459
FS( 121 ),2165473.879999999888241,3325387.150000000372529,2674059.600000000093132,2262426.650000000372529,2503691.100000000093132,12931038.380000000819564
FS( 122 ),2170488.240000000223517,3391213.000000000000000,2778154.880000000353903,2286322.410000000149012,2548004.100000000093132,13174182.630000000819564
FS( 123 ),2156602.320000000298023,3387478.200000000186265,2773035.439999999944121,2276081.370000000111759,2509599.500000000000000,13102796.830000001937151
FS( 124 ),2177431.200000000186265,3393080.400000000372529,2811431.240000000223517,2278641.629999999888241,2548004.100000000093132,13208588.570000000298023
FS( 125 ),2198645.799999999813735,3334257.299999999813735,2788393.759999999776483,2276934.790000000037253,2592317.100000000093132,13190548.749999998137355
FS( 126 ),2204817.320000000298023,3344061.149999999441206,2804605.319999999832362,2264133.490000000223517,2574591.899999999906868,13192209.179999999701977
FS( 127 ),2162773.839999999850988,3357599.799999999813735,2757677.120000000111759,2269680.719999999739230,2604133.899999999906868,13151865.380000000819564
FS( 128 ),2169331.080000000074506,3366003.099999999627471,2767062.759999999776483,2308938.040000000037253,2624813.299999999813735,13236148.280000001192093
FS( 129 ),2146187.879999999888241,3273566.799999999813735,2712455.399999999906868,2262426.650000000372529,2592317.100000000093132,12986953.830000000074506
FS( 130 ),2135773.440000000409782,3295041.899999999441206,2628837.879999999888241,2253039.030000000260770,2587885.799999999813735,12900578.050000000745058
FS( 131 ),2143487.839999999850988,3315583.299999999813735,2580203.199999999720603,2256026.000000000000000,2618904.900000000372529,12914205.240000000223517
FS( 132 ),2165473.879999999888241,3330989.349999999627471,2619452.239999999757856,2255599.290000000037253,2598225.500000000000000,12969740.259999997913837
FS( 133 ),2168559.639999999664724,3346862.250000000000000,2642489.719999999739230,2312778.430000000633299,2620382.000000000000000,13091072.039999999105930
FS( 134 ),2124973.280000000260770,3416422.900000000372529,2691977.640000000130385,2294003.190000000409782,2602656.800000000279397,13130033.810000002384186
FS( 135 ),2115716.000000000000000,3472911.750000000000000,2726960.479999999981374,2391293.070000000298023,2670603.399999999906868,13377484.700000001117587
FS( 136 ),2097972.879999999888241,3454704.599999999627471,2776448.399999999906868,2374224.669999999925494,2669126.300000000279397,13372476.849999999627471
FS( 137 ),2091801.359999999869615,3480848.200000000186265,2806311.799999999813735,2359716.530000000260770,2691282.799999999813735,13429960.690000001341105
FS( 138 ),2120730.360000000335276,3486450.400000000372529,2790100.240000000223517,2348195.360000000335276,2703099.600000000093132,13448575.959999999031425
FS( 139 ),2178202.639999999664724,3519129.899999999441206,2744878.520000000018626,2360143.240000000223517,2735595.799999999813735,13537950.099999997764826
FS( 140 ),2177816.919999999925494,3496254.250000000000000,2731226.679999999701977,2369530.860000000335276,2725256.100000000093132,13500084.810000000521541
FS( 141 ),2198645.799999999813735,3483649.299999999813735,2720134.560000000055879,2445911.950000000186265,2725256.100000000093132,13573597.709999999031425
FS( 142 ),2165473.879999999888241,3479914.500000000000000,2715015.120000000111759,2436524.330000000074506,2710485.100000000093132,13507412.929999999701977
FS( 143 ),2152745.120000000111759,3499989.049999999813735,2673206.359999999869615,2442498.270000000484288,2747412.600000000093132,13515851.400000000372529
FS( 144 ),2142330.679999999701977,3474312.299999999813735,2673206.359999999869615,2442924.980000000447035,2729687.400000000372529,13462461.720000000670552
FS( 145 ),2164702.440000000409782,3459373.099999999627471,2645902.680000000167638,2468100.870000000111759,2714916.399999999906868,13452995.490000000223517
FS( 146 ),2196717.200000000186265,3445367.599999999627471,2666380.439999999944121,2475354.940000000409782,2610042.300000000279397,13393862.480000000447035
FS( 147 ),2205203.040000000037253,3501856.450000000186265,2732933.160000000149012,2481755.589999999850988,2627767.500000000000000,13549515.740000000223517
FS( 148 ),2205203.040000000037253,3451903.500000000000000,2717574.839999999850988,2471087.839999999850988,2568683.500000000000000,13414452.719999998807907
FS( 149 ),2201345.839999999850988,3445367.599999999627471,2698803.560000000055879,2471514.550000000745058,2552435.400000000372529,13369466.950000001117587
FS( 150 ),2188617.080000000074506,3387011.349999999627471,2660407.759999999776483,2416042.250000000000000,2552435.400000000372529,13204513.839999999850988
FS( 151 ),2187459.919999999925494,3358066.650000000372529,2700510.040000000037253,2421589.480000000447035,2503691.100000000093132,13171317.189999999478459
FS( 152 ),2183602.719999999739230,3408953.299999999813735,2710748.919999999925494,2418602.509999999776483,2516985.000000000000000,13238892.449999999254942
FS( 153 ),2215617.479999999515712,3451436.650000000372529,2773888.679999999701977,2433537.360000000335276,2521416.300000000279397,13395896.469999998807907
FS( 154 ),2204045.879999999888241,3414555.500000000000000,2746584.999999999534339,2430123.680000000633299,2617427.799999999813735,13412737.859999999403954
FS( 155 ),2193631.440000000409782,3479447.650000000372529,2767062.759999999776483,2459993.379999999888241,2648446.899999999906868,13548582.130000000819564
FS( 156 ),2187074.200000000186265,3488784.650000000372529,2778154.880000000353903,2456152.990000000223517,2694237.000000000000000,13604403.720000000670552
FS( 157 ),2186302.759999999776483,3495787.399999999441206,2803752.080000000074506,2453592.730000000447035,2722301.899999999906868,13661736.869999999180436
FS( 158 ),2200574.400000000372529,3485049.850000000558794,2766209.520000000018626,2443351.690000000409782,2757752.300000000279397,13652937.760000001639128
FS( 159 ),2217931.799999999813735,3574685.049999999813735,2807165.040000000037253,2445485.240000000223517,2762183.600000000093132,13807450.730000000447035
FS( 160 ),2244932.200000000186265,3584022.049999999813735,2841294.639999999664724,2442498.270000000484288,2772523.299999999813735,13885270.460000000894070
FS( 161 ),2267303.959999999962747,3549008.299999999813735,2833615.479999999981374,2451032.469999999739230,2742981.300000000279397,13843941.510000001639128
FS( 162 ),2286589.959999999962747,3563013.799999999813735,2877983.959999999497086,2465967.320000000298023,2768092.000000000000000,13961647.039999999105930
FS( 163 ),2272704.040000000037253,3545740.349999999627471,2877130.719999999739230,2480475.459999999962747,2771046.200000000186265,13947096.769999999552965
FS( 164 ),2249946.559999999590218,3563480.649999999441206,2788393.759999999776483,2453166.020000000484288,2776954.600000000093132,13831941.589999997988343
FS( 165 ),2295075.799999999813735,3678325.750000000000000,2804605.319999999832362,2480475.459999999962747,2794679.800000000279397,14053162.129999998956919
FS( 166 ),2292375.759999999776483,3633041.299999999813735,2767062.759999999776483,2459566.669999999925494,2737072.900000000372529,13889119.390000000596046
FS( 167 ),2283504.200000000186265,3586356.299999999813735,2732079.920000000391155,2427990.129999999888241,2688328.600000000093132,13718259.150000000372529
FS( 168 ),2276561.240000000223517,3548074.599999999627471,2767062.759999999776483,2439938.009999999776483,2729687.400000000372529,13761324.009999999776483
FS( 169 ),2261903.879999999888241,3476179.699999999254942,2734639.639999999664724,2442071.560000000521541,2827176.000000000000000,13741970.779999999329448
FS( 170 ),2281189.879999999888241,3523798.400000000372529,2671499.879999999888241,2540641.570000000298023,2853763.800000000279397,13870893.530000001192093
FS( 171 ),2260746.719999999739230,3434630.049999999813735,2639076.759999999776483,2474928.230000000447035,2797634.000000000465661,13607015.759999999776483
FS( 172 ),2281961.320000000298023,3467776.400000000372529,2667233.680000000167638,2515465.680000000633299,2853763.800000000279397,13786200.880000002682209
FS( 173 ),2285047.080000000074506,3457505.700000000186265,2616892.520000000018626,2499677.410000000149012,2867057.700000000186265,13726180.410000000149012
FS( 174 ),2325547.679999999701977,3457972.549999999813735,2784980.799999999813735,2518879.360000000335276,2892168.399999999906868,13979548.790000000968575
FS( 175 ),2371448.360000000335276,3522864.699999999254942,2790953.479999999981374,2580325.600000000558794,2939435.600000000093132,14205027.740000000223517
FS( 176 ),2380705.639999999664724,3520530.449999999254942,2780714.600000000093132,2604648.070000000298023,2942389.800000000279397,14228988.560000000521541
FS( 177 ),2416191.879999999888241,3604096.599999999627471,2852386.759999999776483,2639211.580000000074506,2997042.500000000000000,14508929.319999998435378
FS( 178 ),2402305.959999999962747,3640977.750000000000000,2867745.080000000074506,2639638.290000000037253,2994088.299999999813735,14544755.379999998956919
FS( 179 ),2423520.559999999590218,3639577.199999999254942,2834468.719999999739230,2655426.560000000521541,2983748.600000000093132,14536741.639999998733401
FS( 180 ),2398063.040000000037253,3604563.449999999254942,2813990.959999999497086,2615742.530000000260770,2951252.400000000372529,14383612.380000000819564
FS( 181 ),2452449.559999999590218,3609698.799999999813735,2824229.839999999850988,2628970.540000000037253,2954206.600000000093132,14469555.339999997988343
FS( 182 ),2489092.959999999962747,3642378.299999999813735,2884809.880000000353903,2657133.400000000372529,2937958.500000000000000,14611373.040000000968575
FS( 183 ),2452063.839999999850988,3677858.900000000372529,2925765.399999999906868,2658840.240000000223517,2974886.000000000000000,14689414.380000000819564
FS( 184 ),2467878.360000000335276,3632107.599999999627471,2998290.799999999813735,2663107.339999999850988,2968977.600000000093132,14730361.699999999254942
FS( 185 ),2445892.320000000298023,3606430.849999999627471,3014502.359999999869615,2652012.879999999888241,2961592.100000000093132,14680430.509999999776483
FS( 186 ),2467492.639999999664724,3577953.000000000000000,3110918.479999999981374,2637078.030000000260770,2954206.600000000093132,14747648.749999998137355
FS( 187 ),2468264.080000000074506,3628839.650000000372529,3107505.520000000018626,2676762.060000000521541,2970454.700000000186265,14851826.010000001639128
FS( 188 ),2477135.639999999664724,3623237.450000000186265,3090440.719999999739230,2679749.030000000260770,2977840.200000000186265,14848403.039999999105930
FS( 189 ),2486007.200000000186265,3637242.949999999254942,3120304.120000000111759,2682736.000000000000000,3020676.100000000093132,14946966.369999999180436
FS( 190 ),2453221.000000000000000,3583088.349999999627471,3096413.399999999906868,2666094.310000000521541,2966023.399999999906868,14764840.460000000894070
FS( 191 ),2439720.799999999813735,3615301.000000000000000,3089587.479999999981374,2660547.080000000074506,2991134.100000000093132,14796290.459999999031425
FS( 192 ),2450906.679999999701977,3670856.149999999441206,3146754.560000000055879,2684442.839999999850988,3063512.000000000000000,15016472.229999998584390
FS( 193 ),2410791.799999999813735,3660585.449999999254942,3139928.639999999664724,2696390.719999999739230,3036924.199999999720603,14944620.809999998658895
FS( 194 ),2390348.639999999664724,3601762.350000000558794,3137368.920000000391155,2669507.990000000223517,2955683.700000000186265,14754671.600000001490116
FS( 195 ),2375691.280000000260770,3652649.000000000000000,3131396.240000000223517,2671214.830000000074506,2964546.300000000279397,14795497.650000000372529
