代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14402375.040000000968575
真實報酬,4402375.040000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18001.289638869282498
風險,215044.565573097352171
起點值,0.083709577086478
找到最佳解世代,2877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),V[25](2),VZ[26](9),WMT[28](5),
FS( 31 ),2660946.160000000149012,2676698.450000000186265,2601030.199999999720603,2633427.230000000447035,10572102.040000000968575
FS( 32 ),2630578.959999999962747,2599179.130000000353903,2573856.559999999590218,2601138.790000000502914,10404753.439999999478459
FS( 33 ),2729272.360000000335276,2676698.450000000186265,2594759.359999999869615,2653844.920000000391155,10654575.089999999850988
FS( 34 ),2687517.459999999962747,2567259.410000000149012,2581520.919999999459833,2670938.800000000279397,10507236.589999999850988
FS( 35 ),2712570.399999999906868,2603739.090000000316650,2585004.719999999739230,2676636.760000000242144,10577950.970000000670552
FS( 36 ),2798357.740000000223517,2663018.570000000298023,2607301.039999999571592,2702752.410000000149012,10771429.759999999776483
FS( 37 ),2786210.860000000335276,2684678.380000000353903,2573159.799999999813735,2696104.790000000502914,10740153.830000000074506
FS( 38 ),2736104.979999999981374,2584359.260000000242144,2521599.559999999590218,2692780.980000000447035,10534844.780000001192093
FS( 39 ),2774823.160000000149012,2623118.920000000391155,2564798.679999999701977,2724119.760000000242144,10686860.519999999552965
FS( 40 ),2837075.919999999925494,2690378.330000000540167,2624023.279999999329448,2745012.280000000260770,10896489.809999998658895
FS( 41 ),2742178.419999999925494,2710898.150000000372529,2621933.000000000000000,2713673.500000000000000,10788683.070000000298023
FS( 42 ),2717884.660000000149012,2658458.610000000335276,2576643.599999999627471,2693255.810000000055879,10646242.679999999701977
FS( 43 ),2698145.979999999981374,2566119.420000000391155,2541108.839999999385327,2669989.140000000130385,10475363.380000000819564
FS( 44 ),2732309.080000000540167,2608299.050000000279397,2564101.919999999459833,2699903.430000000167638,10604613.480000000447035
FS( 45 ),2767231.360000000335276,2656178.630000000353903,2609391.319999999832362,2726493.910000000149012,10759295.220000000670552
FS( 46 ),2762676.280000000260770,2640218.770000000018626,2589882.039999999571592,2730292.550000000279397,10723069.640000000596046
FS( 47 ),2834798.380000000353903,2649338.689999999944121,2601726.959999999962747,2751185.070000000298023,10837049.100000001490116
FS( 48 ),2880349.180000000167638,2694938.290000000037253,2614268.639999999664724,2816711.610000000335276,11006267.720000000670552
FS( 49 ),2821133.140000000130385,2653898.650000000372529,2570372.759999999776483,2756408.200000000186265,10801812.750000000000000
FS( 50 ),2824169.860000000335276,2651618.670000000391155,2601030.199999999720603,2760206.840000000316650,10837025.570000000298023
FS( 51 ),2889459.340000000316650,2712038.140000000130385,2614268.639999999664724,2811013.650000000372529,11026779.769999999552965
FS( 52 ),2903883.760000000242144,2674418.470000000204891,2578037.119999999646097,2796293.920000000391155,10952633.269999999552965
FS( 53 ),2890218.520000000484288,2725718.020000000018626,2594759.359999999869615,2728393.230000000447035,10939089.130000000819564
FS( 54 ),2872757.380000000353903,2661878.580000000540167,2553650.519999999552965,2691356.490000000223517,10779642.970000000670552
FS( 55 ),2856055.419999999925494,2604879.080000000540167,2557134.319999999832362,2693730.640000000130385,10711799.460000000894070
FS( 56 ),2875794.100000000558794,2587779.229999999981374,2540412.079999999608845,2717472.140000000130385,10721457.550000000745058
FS( 57 ),2813541.340000000316650,2599179.130000000353903,2513238.439999999478459,2690406.830000000074506,10616365.740000000223517
FS( 58 ),2816578.060000000521541,2588919.220000000204891,2521599.559999999590218,2699428.600000000558794,10626525.440000001341105
FS( 59 ),2772545.620000000577420,2544459.610000000335276,2463071.719999999739230,2689457.170000000391155,10469534.120000001043081
FS( 60 ),2768749.720000000204891,2537619.670000000391155,2463071.719999999739230,2701327.920000000391155,10470769.030000001192093
FS( 61 ),2831761.660000000149012,2664158.560000000055879,2525780.119999999646097,2718421.800000000279397,10740122.140000000596046
FS( 62 ),2957785.540000000502914,2648198.700000000186265,2552257.000000000000000,2762106.160000000149012,10920347.400000000372529
FS( 63 ),2977524.220000000204891,2763337.689999999944121,2628900.599999999627471,2796768.750000000000000,11166531.259999999776483
FS( 64 ),2986634.380000000353903,2786137.490000000223517,2631687.639999999664724,2782998.680000000167638,11187458.190000001341105
FS( 65 ),3032185.180000000167638,2770177.630000000353903,2637261.719999999739230,2758307.520000000484288,11197932.050000000745058
FS( 66 ),3054201.399999999906868,2738257.910000000149012,2651196.919999999459833,2770178.270000000484288,11213834.500000000000000
FS( 67 ),3061034.020000000484288,2717738.090000000316650,2670009.439999999478459,2791070.790000000502914,11239852.340000001713634
FS( 68 ),3092160.399999999906868,2766757.660000000149012,2669312.679999999701977,2778250.380000000353903,11306481.120000001043081
FS( 69 ),3029907.640000000130385,2730277.979999999981374,2634474.679999999701977,2753084.390000000130385,11147744.690000001341105
FS( 70 ),3054201.399999999906868,2770177.630000000353903,2677673.799999999813735,2769228.610000000335276,11271281.440000001341105
FS( 71 ),3040536.160000000149012,2762197.700000000186265,2672099.719999999739230,2758307.520000000484288,11233141.100000001490116
FS( 72 ),2999540.439999999944121,2733697.950000000186265,2665828.879999999422580,2735040.850000000558794,11134108.120000001043081
FS( 73 ),2971450.780000000260770,2746237.840000000316650,2665828.879999999422580,2737415.000000000000000,11120932.500000000000000
FS( 74 ),2992707.820000000298023,2731417.970000000204891,2676977.039999999571592,2751659.900000000372529,11152762.730000000447035
FS( 75 ),3068625.820000000298023,2777017.570000000298023,2702060.399999999906868,2766854.460000000428408,11314558.250000001862645
FS( 76 ),3051923.860000000335276,2810077.279999999795109,2691609.000000000000000,2743587.790000000502914,11297197.930000001564622
FS( 77 ),3184780.360000000335276,2888736.590000000316650,2732021.079999999608845,2810538.820000000298023,11616076.850000001490116
FS( 78 ),3188576.260000000242144,2870496.750000000000000,2733414.599999999627471,2820035.420000000391155,11612523.029999999329448
FS( 79 ),3182502.820000000298023,2865936.790000000037253,2737595.159999999683350,2810538.820000000298023,11596573.589999999850988
FS( 80 ),3195408.880000000353903,2920656.310000000055879,2785671.599999999627471,2848525.220000000204891,11750262.009999999776483
FS( 81 ),3205278.220000000204891,2904696.450000000186265,2786368.359999999869615,2840927.940000000409782,11737270.969999998807907
FS( 82 ),3152894.800000000279397,2870496.750000000000000,2770342.879999999422580,2836179.640000000130385,11629914.070000000298023
FS( 83 ),3189335.439999999944121,2940036.140000000130385,2790548.919999999459833,2848525.220000000204891,11768445.720000000670552
FS( 84 ),3191612.979999999981374,2893296.550000000279397,2795426.239999999292195,2837604.130000000353903,11717939.900000000372529
FS( 85 ),3199204.780000000260770,2935476.180000000167638,2768252.599999999627471,2864669.440000000409782,11767603.000000000000000
FS( 86 ),3244755.580000000540167,2883036.640000000130385,2732021.079999999608845,2835229.980000000447035,11695043.280000001192093
FS( 87 ),3271326.880000000353903,2904696.450000000186265,2713208.559999999590218,2821459.910000000149012,11710691.800000000745058
FS( 88 ),3279677.860000000335276,2870496.750000000000000,2670706.199999999720603,2801517.050000000279397,11622397.860000001266599
FS( 89 ),3281955.399999999906868,2847696.950000000186265,2673493.239999999292195,2810063.990000000223517,11613209.580000000074506
FS( 90 ),3304730.800000000279397,2844276.979999999981374,2687428.439999999478459,2803416.370000000111759,11639852.589999999850988
FS( 91 ),3299416.540000000502914,2824897.150000000372529,2710421.519999999552965,2820510.250000000000000,11655245.460000000894070
FS( 92 ),3294102.280000000260770,2888736.590000000316650,2711815.039999999571592,2825258.550000000279397,11719912.460000000894070
FS( 93 ),3303212.439999999944121,2871636.740000000223517,2711815.039999999571592,2827157.870000000111759,11713822.089999999850988
FS( 94 ),3320673.580000000540167,2921796.300000000279397,2718782.639999999664724,2841877.600000000558794,11803130.120000001043081
FS( 95 ),3407220.100000000558794,2958275.979999999981374,2718085.879999999422580,2849474.880000000353903,11933056.839999999850988
FS( 96 ),3447456.640000000130385,2917236.340000000316650,2717389.119999999646097,2877964.680000000167638,11960046.779999999329448
FS( 97 ),3379130.439999999944121,2867076.779999999795109,2715298.839999999385327,2896957.880000000353903,11858463.939999999478459
FS( 98 ),3407220.100000000558794,2838577.029999999795109,2675583.519999999552965,2892209.580000000074506,11813590.230000000447035
FS( 99 ),3413293.540000000502914,2878476.680000000167638,2633081.159999999683350,2915001.420000000391155,11839852.800000000745058
FS( 100 ),3436068.939999999944121,2865936.790000000037253,2626113.559999999590218,2918800.060000000055879,11846919.349999999627471
FS( 101 ),3412534.360000000335276,2875056.709999999962747,2601726.959999999962747,2895058.560000000055879,11784376.590000001713634
FS( 102 ),3406460.919999999925494,2879616.670000000391155,2592669.079999999608845,2882712.980000000447035,11761459.650000000372529
FS( 103 ),3398869.120000000577420,2846556.959999999962747,2620539.479999999515712,2910727.950000000186265,11776693.509999997913837
FS( 104 ),3370020.280000000260770,2868216.770000000018626,2624023.279999999329448,2913576.930000000167638,11775837.259999999776483
FS( 105 ),3376093.720000000204891,2921796.300000000279397,2633777.919999999459833,2952512.990000000223517,11884180.929999999701977
FS( 106 ),3375334.540000000502914,3023255.410000000149012,2617055.679999999701977,2941117.070000000298023,11956762.700000001117587
FS( 107 ),3429236.320000000298023,3050615.170000000391155,2636564.959999999962747,2945390.540000000502914,12061806.990000000223517
FS( 108 ),3431513.860000000335276,3059735.090000000316650,2657467.759999999776483,2938268.090000000316650,12086984.800000000745058
FS( 109 ),3451252.540000000502914,3049475.180000000167638,2642139.039999999571592,2929246.320000000298023,12072113.080000000074506
FS( 110 ),3429236.320000000298023,3088234.840000000316650,2642139.039999999571592,2925922.510000000242144,12085532.709999999031425
FS( 111 ),3436828.120000000577420,3204513.820000000298023,2642139.039999999571592,2942066.730000000447035,12225547.710000000894070
FS( 112 ),3441383.200000000186265,3246693.450000000186265,2626113.559999999590218,2939217.750000000000000,12253407.960000000894070
FS( 113 ),3486934.000000000000000,3212493.750000000000000,2656771.000000000000000,2933994.620000000111759,12290193.370000001043081
FS( 114 ),3496803.340000000316650,3284313.120000000111759,2650500.159999999683350,2954412.310000000055879,12386028.930000001564622
FS( 115 ),3470232.040000000502914,3280893.150000000372529,2635868.199999999720603,2932570.130000000353903,12319563.520000001415610
FS( 116 ),3486934.000000000000000,3243273.479999999981374,2651196.919999999459833,2945865.370000000111759,12327269.769999999552965
FS( 117 ),3546150.040000000502914,3277473.180000000167638,2679764.079999999608845,2966757.890000000130385,12470145.190000001341105
FS( 118 ),3562092.820000000298023,3254673.380000000353903,2681854.359999999869615,2852323.860000000335276,12350944.420000001788139
FS( 119 ),3535521.520000000484288,3316232.840000000316650,2662345.079999999608845,2782523.850000000558794,12296623.290000002831221
FS( 120 ),3564370.360000000335276,3319652.810000000055879,2656771.000000000000000,2779674.870000000111759,12320469.039999999105930
FS( 121 ),3566647.899999999906868,3350432.540000000037253,2657467.759999999776483,2791545.620000000111759,12366093.820000000298023
FS( 122 ),3562852.000000000000000,3331052.709999999962747,2656771.000000000000000,2775876.230000000447035,12326551.940000001341105
FS( 123 ),3585627.399999999906868,3390332.189999999944121,2658164.519999999552965,2798193.240000000223517,12432317.349999999627471
FS( 124 ),3611439.520000000484288,3316232.840000000316650,2655377.479999999515712,2805315.690000000409782,12388365.530000001192093
FS( 125 ),3603088.540000000502914,3340172.630000000353903,2677673.799999999813735,2792970.110000000335276,12413905.080000001937151
FS( 126 ),3599292.640000000130385,3310532.890000000130385,2694396.039999999571592,2801991.880000000353903,12406213.450000001117587
FS( 127 ),3597774.280000000260770,3312812.870000000111759,2717389.119999999646097,2820510.250000000000000,12448486.519999999552965
FS( 128 ),3521856.280000000260770,3272913.220000000204891,2695789.559999999590218,2800092.560000000055879,12290651.619999999180436
FS( 129 ),3597774.280000000260770,3295713.020000000018626,2708331.239999999292195,2842352.430000000167638,12444170.969999998807907
FS( 130 ),3630419.020000000484288,3361832.439999999944121,2732717.839999999385327,2838078.960000000428408,12563048.260000001639128
FS( 131 ),3651676.060000000521541,3339032.640000000130385,2724356.719999999739230,2852798.690000000409782,12567864.110000003129244
FS( 132 ),3688875.880000000353903,3320792.800000000279397,2739685.439999999478459,2881288.490000000223517,12630642.610000001266599
FS( 133 ),3730630.780000000260770,3342452.610000000335276,2750833.599999999627471,2896483.050000000279397,12720400.040000000968575
FS( 134 ),3755683.720000000204891,3327632.740000000223517,2750136.839999999385327,2900281.690000000409782,12733734.990000002086163
FS( 135 ),3735185.860000000335276,3334472.680000000167638,2755014.159999999683350,2907404.140000000130385,12732076.840000001713634
FS( 136 ),3723798.160000000149012,3325352.760000000242144,2757104.439999999478459,2888885.770000000484288,12695141.129999998956919
FS( 137 ),3707096.200000000186265,3386912.220000000204891,2762678.519999999552965,2884137.470000000204891,12740824.410000000149012
FS( 138 ),3748851.100000000558794,3320792.800000000279397,2761285.000000000000000,2877489.850000000558794,12708418.750000000000000
FS( 139 ),3779977.479999999981374,3327632.740000000223517,2771736.399999999906868,2875590.530000000260770,12754937.150000002235174
FS( 140 ),3771626.500000000000000,3342452.610000000335276,2763375.279999999329448,2879864.000000000000000,12757318.390000000596046
FS( 141 ),3760997.979999999981374,3385772.229999999981374,2746653.039999999571592,2884612.300000000279397,12778035.550000000745058
FS( 142 ),3805789.600000000558794,3422251.910000000149012,2740382.199999999720603,2905979.650000000372529,12874403.360000001266599
FS( 143 ),3798956.979999999981374,3414271.979999999981374,2693699.279999999329448,2900756.520000000484288,12807684.759999997913837
FS( 144 ),3789087.640000000130385,3401732.090000000316650,2665828.879999999422580,2905504.820000000298023,12762153.429999999701977
FS( 145 ),3789087.640000000130385,3391472.180000000167638,2652590.439999999478459,2887936.110000000335276,12721086.370000001043081
FS( 146 ),3819454.840000000316650,3362972.430000000167638,2663738.599999999627471,2905979.650000000372529,12752145.520000001415610
FS( 147 ),3795161.080000000540167,3391472.180000000167638,2683944.639999999664724,2913576.930000000167638,12784154.830000000074506
FS( 148 ),3795920.260000000242144,3430231.840000000316650,2679764.079999999608845,2879864.000000000000000,12785780.179999999701977
FS( 149 ),3784532.560000000521541,3391472.180000000167638,2674886.759999999776483,2861345.630000000353903,12712237.130000000819564
FS( 150 ),3842989.419999999925494,3448471.680000000167638,2624023.279999999329448,2880813.660000000149012,12796298.039999999105930
FS( 151 ),3839952.700000000186265,3406292.050000000279397,2610088.079999999608845,2855172.840000000316650,12711505.669999999925494
FS( 152 ),3747332.740000000223517,3327632.740000000223517,2564101.919999999459833,2845676.240000000223517,12484743.640000000596046
FS( 153 ),3776940.760000000242144,3345872.580000000540167,2604514.000000000000000,2839503.450000000186265,12566830.789999999105930
FS( 154 ),3843748.600000000558794,3449611.670000000391155,2616358.919999999459833,2855647.670000000391155,12765366.860000001266599
FS( 155 ),3868801.540000000502914,3510031.140000000130385,2596152.879999999422580,2838078.960000000428408,12813064.520000001415610
FS( 156 ),3924221.680000000167638,3443911.720000000204891,2607997.799999999813735,2876540.190000000409782,12852671.390000000596046
FS( 157 ),3950033.800000000279397,3479251.410000000149012,2629597.359999999869615,2937793.260000000242144,12996675.830000000074506
FS( 158 ),3933331.840000000316650,3471271.479999999981374,2624023.279999999329448,2946815.030000000260770,12975441.629999998956919
FS( 159 ),3914352.340000000316650,3454171.630000000353903,2658164.519999999552965,2932095.300000000279397,12958783.790000000968575
FS( 160 ),3906760.540000000502914,3448471.680000000167638,2698576.599999999627471,2965333.400000000372529,13019142.220000000670552
FS( 161 ),3879430.060000000521541,3366392.400000000372529,2687428.439999999478459,2827157.870000000111759,12760408.769999999552965
FS( 162 ),3889299.399999999906868,3389192.200000000186265,2752227.119999999646097,2743112.960000000428408,12773831.679999999701977
FS( 163 ),3940923.640000000130385,3471271.479999999981374,2750833.599999999627471,2723644.930000000167638,12886673.649999998509884
FS( 164 ),3937886.919999999925494,3511171.130000000353903,2796819.759999999776483,2799142.900000000372529,13045020.710000000894070
FS( 165 ),3943960.360000000335276,3520291.050000000279397,2803090.599999999627471,2802941.540000000502914,13070283.550000000745058
FS( 166 ),3931813.479999999981374,3505471.180000000167638,2813542.000000000000000,2797243.580000000074506,13048070.240000000223517
FS( 167 ),3972050.020000000484288,3507751.160000000149012,2826083.679999999701977,2804840.860000000335276,13110725.719999998807907
FS( 168 ),4001658.040000000502914,3482671.380000000353903,2828870.719999999739230,2801991.880000000353903,13115192.020000001415610
FS( 169 ),3983437.720000000204891,3317372.830000000540167,2831657.759999999776483,2801042.220000000204891,12933510.530000001192093
FS( 170 ),3944719.540000000502914,3357272.479999999981374,2805180.879999999422580,2787272.150000000372529,12894445.050000000745058
FS( 171 ),3901446.280000000260770,3377792.300000000279397,2823993.399999999906868,2810538.820000000298023,12913770.800000000745058
FS( 172 ),3842989.419999999925494,3367532.390000000130385,2825386.919999999459833,2803891.200000000186265,12839799.929999999701977
FS( 173 ),3804271.240000000223517,3347012.570000000298023,2804484.119999999646097,2802941.540000000502914,12758709.470000000670552
FS( 174 ),3842989.419999999925494,3367532.390000000130385,2825386.919999999459833,2810538.820000000298023,12846447.550000000745058
FS( 175 ),3821732.380000000353903,3360692.450000000186265,2867889.279999999329448,2821459.910000000149012,12871774.019999999552965
FS( 176 ),3786810.100000000558794,3326492.750000000000000,2849076.759999999776483,2804840.860000000335276,12767220.469999998807907
FS( 177 ),3694949.320000000298023,3323072.779999999795109,2860224.919999999459833,2818136.100000000558794,12696383.120000001043081
FS( 178 ),3702541.120000000577420,3349292.550000000279397,2848380.000000000000000,2810538.820000000298023,12710752.490000002086163
FS( 179 ),3569684.620000000577420,3277473.180000000167638,2882521.239999999292195,2928771.490000000223517,12658450.529999999329448
FS( 180 ),3571962.160000000149012,3210213.770000000018626,2893669.399999999906868,2964383.740000000223517,12640229.070000000298023
FS( 181 ),3614476.240000000223517,3312812.870000000111759,2880430.959999999962747,2993348.370000000111759,12801068.440000001341105
FS( 182 ),3663822.939999999944121,3374372.330000000540167,2883914.759999999776483,3026111.640000000130385,12948221.670000001788139
FS( 183 ),3663822.939999999944121,3374372.330000000540167,2883914.759999999776483,3026111.640000000130385,12948221.670000001788139
FS( 184 ),3773904.040000000502914,3413131.990000000223517,2883914.759999999776483,3089738.859999999869615,13160689.650000000372529
FS( 185 ),3753406.180000000167638,3401732.090000000316650,2888095.319999999832362,3101134.780000000260770,13144368.370000001043081
FS( 186 ),3779218.300000000279397,3427951.860000000335276,2908998.119999999646097,3118703.490000000689179,13234871.769999999552965
FS( 187 ),3773904.040000000502914,3348152.560000000055879,2886005.039999999571592,3107307.570000000298023,13115369.210000000894070
FS( 188 ),3745814.380000000353903,3283173.130000000353903,2901333.759999999776483,3125351.109999999869615,13055672.379999998956919
FS( 189 ),3641047.540000000502914,3198813.870000000111759,2858831.399999999906868,3112530.700000000186265,12811223.510000001639128
FS( 190 ),3701781.939999999944121,3253533.390000000130385,2880430.959999999962747,3133423.220000000204891,12969169.509999999776483
FS( 191 ),3713928.820000000298023,3243273.479999999981374,2870676.319999999832362,3110156.550000000279397,12938035.170000001788139
FS( 192 ),3841471.060000000521541,3316232.840000000316650,2910391.639999999664724,3130574.240000000689179,13198669.779999999329448
FS( 193 ),3890058.580000000540167,3328772.729999999981374,2901333.759999999776483,3127725.260000000707805,13247890.330000001937151
FS( 194 ),3974327.560000000521541,3323072.779999999795109,2957074.559999999590218,3239310.310000000055879,13493785.209999999031425
FS( 195 ),3898409.560000000521541,3316232.840000000316650,2965435.679999999701977,3206547.040000000502914,13386625.120000001043081
FS( 196 ),3965976.580000000540167,3339032.640000000130385,2991912.559999999590218,3215568.810000000055879,13512490.590000001713634
FS( 197 ),3869560.720000000204891,3275193.200000000186265,2995396.359999999869615,3184704.859999999869615,13324855.139999998733401
FS( 198 ),3959903.140000000130385,3319652.810000000055879,3048350.119999999646097,3211295.339999999850988,13539201.410000000149012
FS( 199 ),3937886.919999999925494,3374372.330000000540167,3034414.919999999459833,3216993.300000000279397,13563667.470000000670552
FS( 200 ),3972050.020000000484288,3423391.900000000372529,3053227.439999999478459,3234562.010000000707805,13683231.370000001043081
FS( 201 ),4021396.720000000204891,3458731.590000000316650,3046956.599999999627471,3219842.280000000260770,13746927.190000001341105
FS( 202 ),4010768.200000000186265,3494071.279999999795109,3016995.919999999459833,3253555.209999999962747,13775390.609999999403954
FS( 203 ),3891576.939999999944121,3405152.060000000055879,3019086.199999999720603,3214619.150000000372529,13530434.349999999627471
FS( 204 ),3949274.620000000577420,3561330.689999999944121,3062285.319999999832362,3195625.950000000186265,13768516.580000001937151
FS( 205 ),3911315.620000000577420,3456451.610000000335276,3041382.519999999552965,3237410.990000000689179,13646560.740000000223517
FS( 206 ),3938646.100000000558794,3510031.140000000130385,3054620.959999999962747,3256404.190000000409782,13759702.390000000596046
FS( 207 ),3913593.160000000149012,3518011.070000000298023,3050440.399999999906868,3256879.020000000484288,13738923.650000002235174
FS( 208 ),3924221.680000000167638,3463291.550000000279397,3063678.839999999385327,3243108.950000000186265,13694301.019999999552965
FS( 209 ),4022915.080000000540167,3523711.020000000018626,3096426.559999999590218,3310534.810000000055879,13953587.470000000670552
FS( 210 ),4024433.439999999944121,3609210.270000000018626,3130567.799999999813735,3292966.100000000093132,14057177.609999999403954
FS( 211 ),3921184.959999999962747,3601230.340000000316650,3131961.319999999832362,3359442.300000000279397,14013818.920000001788139
FS( 212 ),3956107.240000000223517,3619470.180000000167638,3127780.759999999776483,3375111.690000000409782,14078469.870000001043081
FS( 213 ),3959143.959999999962747,3570450.610000000335276,3095033.039999999571592,3388406.930000000167638,14013034.539999999105930
FS( 214 ),3956866.419999999925494,3523711.020000000018626,3117329.359999999869615,3407400.130000000353903,14005306.929999999701977
FS( 215 ),3964458.220000000204891,3484951.360000000335276,3114542.319999999832362,3424019.180000000167638,13987971.080000000074506
FS( 216 ),3922703.320000000298023,3441631.740000000223517,3128477.519999999552965,3431141.630000000353903,13923954.210000000894070
FS( 217 ),3913593.160000000149012,3495211.270000000018626,3112452.039999999571592,3433515.780000000260770,13954772.250000000000000
FS( 218 ),3954588.880000000353903,3536250.910000000149012,3150077.079999999608845,3474825.990000000689179,14115742.860000001266599
FS( 219 ),3906001.360000000335276,3624030.140000000130385,3154257.639999999664724,3465329.390000000596046,14149618.530000001192093
FS( 220 ),3850581.220000000204891,3654809.870000000577420,3181431.279999999329448,3471027.350000000093132,14157849.720000000670552
FS( 221 ),3865005.640000000130385,3643409.970000000204891,3197456.759999999776483,3459156.600000000093132,14165028.970000000670552
FS( 222 ),3868801.540000000502914,3573870.580000000540167,3103394.159999999683350,3396479.040000000502914,13942545.320000002160668
FS( 223 ),3849062.860000000335276,3584130.490000000223517,3099910.359999999869615,3430666.800000000279397,13963770.510000001639128
FS( 224 ),3868801.540000000502914,3547650.810000000055879,3090155.719999999739230,3411673.600000000093132,13918281.669999999925494
FS( 225 ),3884744.320000000298023,3495211.270000000018626,3049743.639999999664724,3425443.670000000391155,13855142.900000000372529
FS( 226 ),3877152.520000000484288,3482671.380000000353903,3046259.839999999385327,3422594.690000000409782,13828678.429999999701977
FS( 227 ),4016841.640000000130385,3612630.240000000223517,3097820.079999999608845,3498092.660000000149012,14225384.620000001043081
FS( 228 ),4077576.040000000502914,3679889.650000000372529,3128477.519999999552965,3538453.209999999962747,14424396.420000001788139
FS( 229 ),4042653.760000000242144,3728909.220000000204891,3131961.319999999832362,3560295.390000000596046,14463819.690000001341105
FS( 230 ),3961421.500000000000000,3678749.660000000614673,3145199.759999999776483,3534179.740000000689179,14319550.660000000149012
