代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14186225.440000001341105
真實報酬,4186225.440000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17865.912769559836306
風險,274140.216596030106302
起點值,0.065170710782238
找到最佳解世代,3188
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
FS( 91 ),6008098.840000000782311,5691355.849999999627471,11699454.690000001341105
FS( 92 ),5998612.880000000819564,5724012.860000000335276,11722625.740000002086163
FS( 93 ),5957219.600000000558794,5698304.150000000372529,11655523.750000000000000
FS( 94 ),6024483.680000000633299,5774735.450000000186265,11799219.130000000819564
FS( 95 ),6108132.600000000558794,5798359.670000000856817,11906492.270000001415610
FS( 96 ),6034832.000000000931323,5809476.950000000186265,11844308.950000001117587
FS( 97 ),6072775.840000000782311,5853946.070000000298023,11926721.910000000149012
FS( 98 ),6072775.840000000782311,5836575.320000000298023,11909351.160000000149012
FS( 99 ),6034832.000000000931323,5836575.320000000298023,11871407.320000000298023
FS( 100 ),6103820.800000000745058,5931072.200000000186265,12034893.000000000000000
FS( 101 ),6131416.320000000298023,5963034.379999999888241,12094450.699999999254942
FS( 102 ),6103820.800000000745058,5855335.730000000447035,11959156.530000001192093
FS( 103 ),6092610.120000001043081,5775430.280000000260770,11868040.400000002235174
FS( 104 ),6065014.600000000558794,5785157.900000000372529,11850172.500000000000000
FS( 105 ),6098646.640000000596046,5757364.700000000186265,11856011.339999999850988
FS( 106 ),6117618.560000000521541,5783073.410000000149012,11900691.970000000670552
FS( 107 ),6168497.800000000745058,5813645.930000000633299,11982143.730000000447035
FS( 108 ),6187469.720000000670552,5861589.200000000186265,12049058.920000001788139
FS( 109 ),6154700.040000000968575,5769176.810000000521541,11923876.850000001490116
FS( 110 ),6141764.640000000596046,5692050.680000000633299,11833815.320000000298023
FS( 111 ),6125379.800000000745058,5708031.770000000484288,11833411.570000000298023
FS( 112 ),6162461.280000000260770,5725402.520000000484288,11887863.800000000745058
FS( 113 ),6238348.960000000894070,5711505.920000000856817,11949854.880000002682209
FS( 114 ),6075362.920000000856817,5658698.839999999850988,11734061.760000001639128
FS( 115 ),5895992.040000000968575,5480127.530000000260770,11376119.570000000298023
FS( 116 ),6020171.880000000819564,5493329.300000000745058,11513501.180000001564622
FS( 117 ),5989989.280000000260770,5567676.110000000335276,11557665.390000000596046
FS( 118 ),6141764.640000000596046,5628821.150000000372529,11770585.790000000968575
FS( 119 ),6193506.240000000223517,5687881.700000000186265,11881387.940000001341105
FS( 120 ),6227138.280000000260770,5575319.240000000223517,11802457.519999999552965
FS( 121 ),6239211.320000000298023,6065869.219999999739230,12305080.539999999105930
FS( 122 ),6258183.240000000223517,6017231.120000000111759,12275414.359999999403954
FS( 123 ),6217652.320000000298023,6056141.599999999627471,12273793.919999999925494
FS( 124 ),6083124.160000001080334,6215952.500000000000000,12299076.660000000149012
FS( 125 ),6033107.280000000260770,6183990.320000000298023,12217097.600000001490116
FS( 126 ),6071051.120000001043081,6104779.700000000186265,12175830.820000000298023
FS( 127 ),6161598.920000000856817,6131183.240000000223517,12292782.160000000149012
FS( 128 ),6284054.040000000968575,6197192.089999999850988,12481246.130000000819564
FS( 129 ),6347868.680000000633299,6161755.760000000707805,12509624.440000001341105
FS( 130 ),6305613.040000000968575,6224985.290000000968575,12530598.330000001937151
FS( 131 ),6232312.440000000409782,6240271.550000000745058,12472583.990000002086163
FS( 132 ),6305613.040000000968575,6336852.920000000856817,12642465.960000000894070
FS( 133 ),6321997.880000000819564,6358392.650000000372529,12680390.530000001192093
FS( 134 ),6474635.600000000558794,6343106.390000000596046,12817741.990000002086163
FS( 135 ),6509130.000000000931323,6347970.200000000186265,12857100.200000001117587
FS( 136 ),6455663.680000000633299,6420927.349999999627471,12876591.030000001192093
FS( 137 ),6441003.560000000521541,6441077.420000000856817,12882080.980000000447035
FS( 138 ),6434104.680000000633299,6494579.330000000074506,12928684.010000001639128
FS( 139 ),6389261.960000000894070,6495968.990000000223517,12885230.950000001117587
FS( 140 ),6453938.960000000894070,6519593.209999999962747,12973532.170000001788139
FS( 141 ),6559146.880000000819564,6518898.379999999888241,13078045.260000001639128
FS( 142 ),6584155.320000000298023,6482072.390000000596046,13066227.710000000894070
FS( 143 ),6448764.800000000745058,6399387.620000000111759,12848152.420000001788139
FS( 144 ),6449627.160000001080334,6351444.349999999627471,12801071.510000001639128
FS( 145 ),6439278.840000000782311,6360477.140000000596046,12799755.980000000447035
FS( 146 ),6505680.560000000521541,6388270.339999999850988,12893950.900000000372529
FS( 147 ),6583292.960000000894070,6442467.080000000074506,13025760.040000000968575
FS( 148 ),6660043.000000000931323,6462617.150000000372529,13122660.150000002235174
FS( 149 ),6718683.480000000447035,6449415.379999999888241,13168098.859999999403954
FS( 150 ),6842000.960000000894070,6566841.650000000372529,13408842.610000001266599
FS( 151 ),6831652.640000000596046,6484156.879999999888241,13315809.519999999552965
FS( 152 ),6744554.280000000260770,6483462.050000000745058,13228016.330000001937151
FS( 153 ),6758352.040000000968575,6500137.969999999739230,13258490.010000001639128
FS( 154 ),6616062.640000000596046,6423706.670000000856817,13039769.310000002384186
FS( 155 ),6676427.840000000782311,6464006.810000000521541,13140434.650000002235174
FS( 156 ),6649694.680000000633299,6525151.849999999627471,13174846.530000001192093
FS( 157 ),6727307.080000001005828,6533489.810000000521541,13260796.890000000596046
FS( 158 ),6813543.080000001005828,6704417.990000000223517,13517961.070000000298023
FS( 159 ),6595366.000000000931323,6714840.440000000409782,13310206.440000001341105
FS( 160 ),6487571.000000000931323,6445941.230000000447035,12933512.230000000447035
FS( 161 ),6409958.600000000558794,6426485.990000000223517,12836444.589999999850988
FS( 162 ),6361666.440000000409782,6375763.400000000372529,12737429.839999999850988
FS( 163 ),6337520.360000000335276,6321566.660000000149012,12659087.019999999552965
FS( 164 ),6286641.120000001043081,6320871.830000000074506,12607512.950000001117587
FS( 165 ),6135728.120000001043081,6070038.200000000186265,12205766.320000000298023
FS( 166 ),6381500.720000000670552,6259726.790000000968575,12641227.510000001639128
FS( 167 ),6500506.400000000372529,6393828.980000000447035,12894335.380000000819564
FS( 168 ),6499644.040000000968575,6335463.260000000707805,12835107.300000000745058
FS( 169 ),6589329.480000000447035,6386880.680000000633299,12976210.160000000149012
FS( 170 ),6518615.960000000894070,6342411.560000000521541,12861027.520000001415610
FS( 171 ),6384950.160000001080334,6297942.440000000409782,12682892.600000001490116
FS( 172 ),6577256.440000000409782,6426485.990000000223517,13003742.429999999701977
FS( 173 ),6504818.200000001117587,6400777.280000000260770,12905595.480000000447035
FS( 174 ),6553110.360000000335276,6424401.500000000000000,12977511.859999999403954
FS( 175 ),6503093.480000000447035,6319482.170000000856817,12822575.650000002235174
FS( 176 ),6422894.000000000931323,6334768.430000000633299,12757662.430000001564622
FS( 177 ),6459113.120000001043081,6376458.230000000447035,12835571.350000001490116
FS( 178 ),6327172.040000000968575,6333378.770000000484288,12660550.810000002384186
FS( 179 ),6424618.720000000670552,6393134.150000000372529,12817752.870000001043081
FS( 180 ),6434104.680000000633299,6348665.030000000260770,12782769.710000000894070
FS( 181 ),6519478.320000000298023,6297942.440000000409782,12817420.760000001639128
FS( 182 ),6542762.040000000968575,6352139.180000000633299,12894901.220000002533197
FS( 183 ),6539312.600000000558794,6284045.839999999850988,12823358.440000001341105
FS( 184 ),6505680.560000000521541,6589771.040000000968575,13095451.600000001490116
FS( 185 ),6309924.840000000782311,6552250.219999999739230,12862175.060000000521541
FS( 186 ),6290952.920000000856817,6503612.120000000111759,12794565.040000000968575
FS( 187 ),6288365.840000000782311,6498053.480000000447035,12786419.320000000298023
FS( 188 ),6315099.000000000931323,6499443.140000000596046,12814542.140000000596046
FS( 189 ),6327172.040000000968575,6567536.480000000447035,12894708.520000001415610
FS( 190 ),6418582.200000001117587,6703028.330000000074506,13121610.530000001192093
FS( 191 ),6592778.920000000856817,6772511.330000000074506,13365290.250000000000000
FS( 192 ),6628998.040000000968575,6811421.810000000521541,13440419.850000001490116
FS( 193 ),6653144.120000001043081,6770426.839999999850988,13423570.960000000894070
FS( 194 ),6673840.760000000707805,6803778.680000000633299,13477619.440000001341105
FS( 195 ),6624686.240000000223517,6749581.940000000409782,13374268.179999999701977
FS( 196 ),6685051.440000000409782,6789187.250000000000000,13474238.690000001341105
FS( 197 ),6615200.280000000260770,6828097.730000000447035,13443298.010000001639128
FS( 198 ),6771287.440000000409782,6896885.900000000372529,13668173.339999999850988
FS( 199 ),6814405.440000000409782,6895496.240000000223517,13709901.679999999701977
FS( 200 ),6807506.560000000521541,6841299.500000000000000,13648806.060000000521541
FS( 201 ),6882531.880000000819564,6842689.160000000149012,13725221.040000000968575
FS( 202 ),6833377.360000000335276,6947608.490000000223517,13780985.850000001490116
FS( 203 ),6849762.200000001117587,6898275.560000000521541,13748037.760000001639128
FS( 204 ),6884256.600000000558794,6933017.060000000521541,13817273.660000000149012
FS( 205 ),6965318.440000000409782,6965674.070000000298023,13930992.510000001639128
FS( 206 ),6931686.400000000372529,6918425.629999999888241,13850112.030000001192093
FS( 207 ),6962731.360000000335276,6936491.209999999962747,13899222.570000000298023
FS( 208 ),6952383.040000000968575,6872566.849999999627471,13824949.890000000596046
FS( 209 ),7010161.160000001080334,6847552.969999999739230,13857714.130000000819564
FS( 210 ),7041206.120000001043081,6839909.839999999850988,13881115.960000000894070
FS( 211 ),7017060.040000000968575,6869787.530000000260770,13886847.570000000298023
FS( 212 ),7045517.920000000856817,6885073.790000000968575,13930591.710000000894070
FS( 213 ),6964456.080000001005828,6873956.510000000707805,13838412.590000001713634
FS( 214 ),6937722.920000000856817,6847552.969999999739230,13785275.890000000596046
FS( 215 ),6881669.520000000484288,6837825.349999999627471,13719494.870000001043081
FS( 216 ),6973942.040000000968575,6919120.459999999962747,13893062.500000000000000
FS( 217 ),7004987.000000000931323,6951777.469999999739230,13956764.470000000670552
FS( 218 ),7036894.320000000298023,7030293.260000000707805,14067187.580000001937151
FS( 219 ),7027408.360000000335276,7040020.879999999888241,14067429.240000000223517
FS( 220 ),7034307.240000000223517,7117841.839999999850988,14152149.080000000074506
FS( 221 ),7015335.320000000298023,7053222.650000000372529,14068557.970000000670552
FS( 222 ),7063627.480000000447035,7080321.020000000484288,14143948.500000000000000
FS( 223 ),7078287.600000000558794,7067814.080000000074506,14146101.679999999701977
FS( 224 ),7153312.920000000856817,7121315.990000000223517,14274628.910000000149012
FS( 225 ),7096397.160000001080334,7063645.099999999627471,14160042.260000001639128
FS( 226 ),7101571.320000000298023,7084490.000000000000000,14186061.320000000298023
FS( 227 ),7150725.840000000782311,7158141.980000000447035,14308867.820000000298023
FS( 228 ),7096397.160000001080334,7149804.020000000484288,14246201.180000001564622
FS( 229 ),7125717.400000000372529,7194967.969999999739230,14320685.370000001043081
FS( 230 ),7172284.840000000782311,7229709.469999999739230,14401994.310000000521541
FS( 231 ),7183495.520000000484288,7201221.440000000409782,14384716.960000000894070
FS( 232 ),7175734.280000000260770,7208864.570000000298023,14384598.850000001490116
FS( 233 ),7173147.200000001117587,7204695.589999999850988,14377842.790000000968575
FS( 234 ),7058453.320000000298023,7186630.010000000707805,14245083.330000001937151
FS( 235 ),6998088.120000001043081,7201916.270000000484288,14200004.390000000596046
FS( 236 ),6980840.920000000856817,7293633.830000000074506,14274474.750000000000000
FS( 237 ),6967905.520000000484288,7272094.099999999627471,14239999.620000001043081
FS( 238 ),6969630.240000000223517,7271399.270000000484288,14241029.510000001639128
FS( 239 ),6885118.960000000894070,7278347.570000000298023,14163466.530000001192093
FS( 240 ),6849762.200000001117587,7299887.300000000745058,14149649.500000001862645
FS( 241 ),6772149.800000000745058,7346440.910000000149012,14118590.710000000894070
FS( 242 ),6688500.880000000819564,7394384.180000000633299,14082885.060000002384186
FS( 243 ),6374601.840000000782311,7354778.870000000111759,13729380.710000000894070
FS( 244 ),6311649.560000000521541,7368675.469999999739230,13680325.030000001192093
FS( 245 ),6334933.280000000260770,7365896.150000000372529,13700829.429999999701977
FS( 246 ),6433242.320000000298023,7167869.599999999627471,13601111.919999999925494
FS( 247 ),6444453.000000000931323,7204695.589999999850988,13649148.589999999850988
FS( 248 ),6583292.960000000894070,7176207.560000000521541,13759500.520000001415610
FS( 249 ),6608301.400000000372529,7355473.700000000186265,13963775.100000001490116
FS( 250 ),6621236.800000000745058,7280432.060000000521541,13901668.860000001266599
FS( 251 ),6787672.280000000260770,7398553.160000000149012,14186225.440000001341105
