訓練日期,20180629 - 20181001
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11554989.650000002235174
真實報酬,1554989.650000002235174

夏普值報酬,0.146798965000000
夏普值風險,0.042448878499171
夏普值,3.458253084421703

預期報酬,24283.830781081516761
風險,55566.860788101490471
趨勢值,0.437020023025692
找到最佳解世代,1972
找到最佳解實驗#,6
找到最佳解次數,10

stock[index](rank)
投資組合檔數,5
CSCO[4](19),HD[9](22),MRK[17](1),MSFT[18](7),PFE[20](2),
20180727,1982766.880000000121072,2019772.849999999627471,2105802.730000000447035,2183506.850000000558794,2112760.250000000000000,10404609.560000000521541
20180730,1964136.480000000214204,2021207.149999999906868,2149583.169999999925494,2136666.980000000447035,2122661.150000000372529,10394254.929999999701977
20180731,1969725.600000000093132,2023665.949999999953434,2184740.190000000409782,2151063.650000000372529,2196367.849999999627471,10525563.240000000223517
20180801,1949697.919999999925494,2011167.050000000046566,2172136.729999999515712,2155119.049999999813735,2215069.549999999813735,10503190.299999998882413
20180802,1980903.840000000083819,2004610.249999999767169,2163181.639999999664724,2181276.379999999888241,2180966.450000000186265,10510938.559999998658895
20180803,1994876.639999999897555,2004405.349999999627471,2186730.209999999962747,2190806.570000000298023,2229920.899999999441206,10606739.669999998062849
20180806,2016767.359999999869615,2004917.599999999860302,2196348.639999999664724,2192631.500000000000000,2257423.399999999441206,10668088.500000000000000
20180807,2029808.639999999897555,2018850.800000000046566,2208288.759999999776483,2207839.250000000000000,2246422.400000000372529,10711209.849999999627471
20180808,2041918.400000000139698,2028788.449999999953434,2211937.129999999888241,2220208.219999999739230,2277775.250000000000000,10780627.449999999254942
20180809,2039123.840000000083819,2029403.149999999906868,2189051.900000000372529,2223858.080000000074506,2255223.200000000186265,10736660.170000001788139
20180810,2039123.840000000083819,2011167.050000000046566,2191373.589999999850988,2210272.490000000223517,2251372.849999999627471,10703309.820000000298023
20180813,2037726.560000000055879,1989037.849999999627471,2212932.139999999664724,2194253.660000000149012,2244772.250000000000000,10678722.459999999031425
20180814,2049370.560000000055879,1978383.049999999813735,2204308.719999999739230,2221627.610000000335276,2239271.750000000000000,10692961.690000001341105
20180815,2042849.919999999925494,1987501.099999999860302,2234490.690000000409782,2183101.309999999590218,2264024.000000000000000,10711967.019999999552965
20180816,2103398.719999999739230,2001844.099999999627471,2283577.849999999627471,2182695.769999999552965,2278325.299999999813735,10849841.739999998360872
20180817,2136467.680000000167638,2003585.749999999767169,2290542.919999999925494,2181479.150000000372529,2315178.650000000372529,10927254.150000000372529
20180820,2152769.279999999795109,2027866.399999999906868,2327358.290000000037253,2167082.480000000447035,2328379.849999999627471,11003456.299999998882413
20180821,2132275.840000000316650,2051429.899999999674037,2294191.290000000037253,2149035.950000000186265,2319029.000000000000000,10945961.980000000447035
20180822,2142056.800000000279397,2038521.199999999720603,2289879.580000000074506,2170935.110000000335276,2314078.549999999813735,10955471.240000002086163
20180823,2143454.080000000074506,2050712.749999999767169,2287557.889999999664724,2181073.610000000335276,2321229.200000000186265,10984027.530000001192093
20180824,2157426.879999999888241,2062392.050000000046566,2289879.580000000074506,2198106.290000000037253,2332230.200000000186265,11040035.000000000000000
20180827,2170002.400000000372529,2069358.649999999674037,2288221.229999999515712,2222438.689999999478459,2287126.099999999627471,11037147.069999998435378
20180828,2186769.760000000242144,2069256.199999999720603,2276281.110000000335276,2235821.509999999776483,2282725.700000000186265,11050854.280000001192093
20180829,2211455.040000000037253,2066285.149999999906868,2282251.169999999925494,2271509.030000000260770,2282725.700000000186265,11114226.089999999850988
20180830,2196084.959999999962747,2041492.249999999767169,2273296.080000000074506,2270089.639999999664724,2282725.700000000186265,11063688.629999998956919
20180831,2224962.080000000074506,2056962.199999999953434,2274954.430000000633299,2277794.900000000372529,2283825.799999999813735,11118499.410000000149012
20180904,2223099.040000000037253,2101118.149999999906868,2253727.549999999813735,2265223.160000000149012,2275575.049999999813735,11118742.949999999254942
20180905,2201674.080000000074506,2091590.299999999813735,2275949.440000000409782,2199931.219999999739230,2301977.450000000186265,11071122.489999998360872
20180906,2202139.840000000316650,2109416.599999999627471,2301156.360000000335276,2205000.469999999739230,2298127.099999999627471,11115840.369999999180436
20180907,2191427.359999999869615,2112899.899999999906868,2310774.790000000037253,2194253.660000000149012,2321229.200000000186265,11130584.910000000149012
20180910,2192358.879999999888241,2158592.599999999627471,2307126.419999999925494,2217977.750000000000000,2313528.500000000000000,11189584.149999998509884
20180911,2190495.840000000316650,2190966.799999999813735,2291206.259999999776483,2255692.969999999739230,2327279.750000000000000,11255641.620000001043081
20180912,2183975.200000000186265,2171808.649999999906868,2317076.520000000484288,2265223.160000000149012,2332780.250000000000000,11270863.780000001192093
20180913,2200276.800000000279397,2145888.799999999813735,2349248.509999999776483,2289555.559999999590218,2356982.450000000186265,11341952.119999997317791
20180914,2207728.959999999962747,2141995.699999999720603,2321056.560000000521541,2298882.980000000447035,2363033.000000000000000,11332697.200000001117587
20180917,2194221.919999999925494,2135131.549999999813735,2335650.040000000037253,2273942.269999999552965,2365783.250000000000000,11304729.029999999329448
20180918,2210523.520000000018626,2161973.449999999720603,2335650.040000000037253,2295638.660000000149012,2393285.750000000000000,11397071.419999999925494
20180919,2202139.840000000316650,2168735.149999999906868,2321056.560000000521541,2265020.389999999664724,2379534.500000000000000,11336486.440000001341105
20180920,2223099.040000000037253,2162383.250000000000000,2347590.160000000149012,2302938.379999999888241,2406486.950000000186265,11442497.780000001192093
20180921,2261757.120000000111759,2176009.099999999627471,2358203.599999999627471,2316929.509999999776483,2423538.500000000000000,11536437.829999998211861
20180924,2256168.000000000000000,2130931.100000000093132,2347590.160000000149012,2325243.080000000074506,2416387.849999999627471,11476320.189999999478459
20180925,2257565.279999999795109,2125501.250000000000000,2343278.450000000186265,2320782.139999999664724,2408687.149999999441206,11455814.269999999552965
20180926,2254770.719999999739230,2126115.949999999720603,2332665.009999999776483,2311251.950000000186265,2402636.599999999627471,11427440.229999998584390
20180927,2251044.640000000130385,2119149.349999999627471,2345600.139999999664724,2319971.059999999590218,2414737.700000000186265,11450502.890000000596046
20180928,2265948.959999999962747,2122325.299999999813735,2352896.879999999888241,2319159.980000000447035,2424088.549999999813735,11484419.670000001788139
20181001,2276195.680000000167638,2126935.549999999813735,2372465.410000000149012,2344303.459999999962747,2435089.549999999813735,11554989.650000002235174
