訓練日期,20160614 - 20160914
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10941147.679999999701977
真實報酬,941147.679999999701977

夏普值報酬,0.085414768000000
夏普值風險,0.038490128579665
夏普值,2.219134389827043

預期報酬,20813.659374686398223
風險,157185.628988784505054
趨勢值,0.132414518481022
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](4),MRK[17](3),MSFT[18](2),PG[21](1),
20160726,2726919.040000000037253,2600248.750000000000000,2830073.200000000186265,2581747.900000000372529,10738988.890000000596046
20160727,2706713.919999999925494,2610941.950000000186265,2801653.000000000000000,2557223.530000000260770,10676532.400000000372529
20160728,2702051.200000000186265,2603367.600000000093132,2802650.200000000186265,2567820.480000000447035,10675889.480000000447035
20160729,2709045.279999999795109,2613615.250000000000000,2826084.399999999906868,2591436.540000000502914,10740181.470000000670552
20160801,2708268.160000000149012,2613615.250000000000000,2821098.399999999906868,2616263.680000000167638,10759245.490000000223517
20160802,2685731.680000000167638,2598912.100000000093132,2821098.399999999906868,2626860.630000000353903,10732602.810000000521541
20160803,2661640.959999999962747,2568614.700000000186265,2840543.799999999813735,2602941.800000000279397,10673741.259999999776483
20160804,2687285.919999999925494,2577080.150000000372529,2861485.000000000000000,2605363.960000000428408,10731215.030000001192093
20160805,2718370.719999999739230,2845301.250000000000000,2889905.200000000186265,2597189.170000000391155,11050766.339999999850988
20160808,2723033.439999999944121,2800746.250000000000000,2894891.200000000186265,2596583.630000000353903,11015254.520000001415610
20160809,2713708.000000000000000,2784260.900000000372529,2901871.600000000093132,2603547.340000000316650,11003387.839999999850988
20160810,2683400.319999999832362,2790944.150000000372529,2892896.800000000279397,2613235.980000000447035,10980477.250000001862645
20160811,2695057.120000000111759,2835053.600000000093132,2906857.600000000093132,2625952.320000000298023,11062920.640000000596046
20160812,2686508.799999999813735,2822578.200000000186265,2888908.000000000000000,2635338.190000000409782,11033333.190000001341105
20160815,2712930.879999999888241,2821241.550000000279397,2897882.799999999813735,2634732.650000000372529,11066787.880000000819564
20160816,2736244.479999999981374,2808766.150000000372529,2863978.000000000000000,2621410.770000000484288,11030399.400000002235174
20160817,2721479.200000000186265,2819904.900000000372529,2869961.200000000186265,2632916.030000000260770,11044261.330000001937151
20160818,2717593.600000000093132,2835053.600000000093132,2871955.600000000093132,2647448.990000000223517,11072051.790000000968575
20160819,2738575.840000000316650,2823023.750000000000000,2872952.799999999813735,2643512.980000000447035,11078065.370000001043081
20160822,2747901.279999999795109,2831489.200000000186265,2875445.800000000279397,2629585.560000000055879,11084421.840000001713634
20160823,2751009.759999999776483,2832825.850000000093132,2886415.000000000000000,2646237.910000000614673,11116488.519999999552965
20160824,2731581.759999999776483,2794954.100000000093132,2889406.600000000093132,2643512.980000000447035,11059455.439999999478459
20160825,2726919.040000000037253,2776686.550000000279397,2900375.800000000279397,2661376.410000000614673,11065357.800000000745058
20160826,2740130.079999999608845,2800300.700000000186265,2893395.400000000372529,2651687.770000000484288,11085513.949999999254942
20160829,2762666.559999999590218,2807429.500000000000000,2896885.600000000093132,2673487.210000000428408,11140468.870000001043081
20160830,2774323.360000000335276,2794063.000000000000000,2886415.000000000000000,2650476.690000000409782,11105278.050000000745058
20160831,2789088.640000000130385,2797627.400000000372529,2864975.200000000186265,2643512.980000000447035,11095204.220000002533197
20160901,2799191.200000000186265,2802528.450000000186265,2871457.000000000465661,2673789.980000000447035,11146966.630000000819564
20160902,2803853.919999999925494,2806092.850000000093132,2875445.800000000279397,2670459.510000000242144,11155852.080000000074506
20160906,2841932.799999999813735,2817677.150000000372529,2872454.200000000186265,2683781.390000000130385,11215845.540000000968575
20160907,2833384.479999999981374,2801191.800000000279397,2874947.199999999720603,2662890.260000000242144,11172413.740000000223517
20160908,2831830.239999999757856,2817677.150000000372529,2863479.399999999906868,2657743.170000000391155,11170729.960000000894070
20160909,2754118.239999999757856,2784260.900000000372529,2802650.200000000186265,2611116.590000000316650,10952145.930000001564622
20160912,2803853.919999999925494,2815449.399999999906868,2844532.600000000093132,2671973.360000000335276,11135809.280000001192093
20160913,2767329.279999999795109,2753963.500000000465661,2818605.400000000372529,2635640.960000000428408,10975539.140000000596046
20160914,2768106.399999999906868,2733468.200000000186265,2805143.200000000186265,2634429.880000000353903,10941147.679999999701977
