訓練日期,20140128 - 20140430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11191710.689999999478459
真實報酬,1191710.689999999478459

夏普值報酬,0.110471069000000
夏普值風險,0.031041566723083
夏普值,3.558810996413095

預期報酬,17679.245229061027203
風險,74656.934273354883771
趨勢值,0.236806472180184
找到最佳解世代,1946
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](8),INTC[11](14),JNJ[12](3),MCD[15](5),
20140326,2142621.080000000074506,2293572.830000000074506,2053397.960000000195578,2158105.070000000298023,2037630.200000000186265,10685327.140000000596046
20140327,2156861.280000000260770,2226777.680000000167638,2047734.540000000037253,2163219.580000000074506,2044433.399999999906868,10639026.480000002309680
20140328,2177454.799999999813735,2236552.580000000074506,2072815.400000000139698,2166777.500000000000000,2067394.199999999953434,10720994.480000000447035
20140331,2177016.639999999664724,2254799.060000000055879,2088187.540000000037253,2184344.730000000447035,2084189.600000000093132,10788537.569999998435378
20140401,2186656.160000000149012,2306606.030000000260770,2102750.620000000111759,2177896.000000000000000,2081425.800000000279397,10855334.610000001266599
20140402,2248436.719999999739230,2315403.439999999944121,2094660.020000000251457,2184344.730000000447035,2074835.200000000186265,10917680.109999999403954
20140403,2246684.080000000074506,2299763.600000000093132,2136731.140000000130385,2185011.839999999850988,2076323.399999999906868,10944514.060000000521541
20140404,2238359.040000000037253,2259360.680000000167638,2116504.640000000130385,2188569.759999999776483,2080788.000000000232831,10883582.120000001043081
20140407,2215136.559999999590218,2224171.040000000037253,2143203.620000000111759,2176784.150000000372529,2062504.400000000139698,10821799.770000001415610
20140408,2243178.799999999813735,2230687.639999999664724,2177184.140000000130385,2180564.440000000409782,2085252.600000000093132,10916867.619999999180436
20140409,2256323.599999999627471,2272393.879999999888241,2182847.560000000055879,2200355.370000000111759,2090992.799999999813735,11002913.210000000894070
20140410,2240330.759999999776483,2213418.650000000372529,2138349.260000000242144,2146764.200000000186265,2113953.600000000558794,10852816.470000002533197
20140411,2222585.280000000260770,2178554.839999999850988,2118122.760000000242144,2154102.410000000149012,2110977.200000000186265,10784342.490000002086163
20140414,2251722.919999999925494,2203969.580000000074506,2148867.040000000037253,2160106.400000000372529,2128410.400000000372529,10893076.340000001713634
20140415,2245588.679999999701977,2207227.879999999888241,2165857.300000000279397,2205914.620000000111759,2143717.599999999627471,10968306.080000000074506
20140416,2255009.120000000111759,2250563.269999999552965,2178802.260000000242144,2195907.969999999739230,2143717.599999999627471,11024000.220000000670552
20140417,2252818.320000000298023,2260664.000000000000000,2187701.919999999925494,2200577.740000000223517,2131386.799999999813735,11033148.780000001192093
20140421,2248655.799999999813735,2261967.319999999832362,2180420.379999999888241,2223704.219999999739230,2119056.000000000000000,11033803.719999998807907
20140422,2271659.200000000186265,2271090.560000000055879,2171520.720000000204891,2227706.879999999888241,2111615.000000000000000,11053592.359999999403954
20140423,2264867.719999999739230,2290966.189999999944121,2164239.180000000167638,2228596.360000000335276,2107575.599999999627471,11056245.049999998882413
20140424,2306492.919999999925494,2284775.419999999925494,2164239.180000000167638,2222814.740000000223517,2122670.200000000186265,11100992.460000000894070
20140425,2293567.200000000186265,2250563.269999999552965,2124595.240000000223517,2219034.450000000186265,2141591.600000000558794,11029351.760000001639128
20140428,2284146.759999999776483,2194520.509999999776483,2130258.660000000149012,2253501.799999999813735,2132662.400000000372529,10995090.130000000819564
20140429,2306931.080000000074506,2259686.509999999776483,2142394.560000000055879,2246608.330000000074506,2157961.799999999813735,11113582.280000001192093
20140430,2309121.879999999888241,2315403.439999999944121,2159384.820000000298023,2252389.950000000186265,2155410.599999999627471,11191710.689999999478459
