訓練日期,20100917 - 20101217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11670423.849999999627471
真實報酬,1670423.849999999627471

夏普值報酬,0.158342385000000
夏普值風險,0.044139957130844
夏普值,3.587279990567843

預期報酬,26182.943228633965191
風險,87368.773802798546967
趨勢值,0.299683079995284
找到最佳解世代,1525
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](7),DIS[6](12),INTC[11](5),KO[14](1),NKE[19](4),XOM[29](2),
20101006,1825461.280000000027940,1636425.499999999767169,1690387.390000000130385,1731570.000000000000000,1764090.320000000065193,1741837.250000000000000,10389775.740000000223517
20101007,1822683.519999999785796,1653984.499999999767169,1704444.510000000009313,1722298.000000000000000,1761480.739999999990687,1745390.800000000046566,10410286.070000000298023
20101008,1860414.760000000009313,1683249.500000000000000,1714987.350000000093132,1721718.500000000000000,1784097.100000000093132,1759878.349999999860302,10524349.559999998658895
20101011,1851387.040000000037253,1686176.000000000000000,1718501.630000000121072,1725775.000000000000000,1783227.239999999990687,1764525.300000000046566,10529596.210000000894070
20101012,1836572.320000000065193,1681786.249999999767169,1736951.600000000093132,1726934.000000000000000,1780617.659999999916181,1768625.550000000046566,10531491.380000000819564
20101013,1858562.920000000158325,1702759.499999999767169,1690387.390000000130385,1736785.500000000000000,1784097.100000000093132,1777919.450000000186265,10550515.859999999403954
20101014,1849766.679999999934807,1699833.000000000000000,1697415.950000000186265,1736206.000000000000000,1778008.080000000074506,1785026.550000000046566,10546260.260000001639128
20101015,1846063.000000000000000,1701296.250000000232831,1697415.950000000186265,1736785.500000000000000,1783227.239999999990687,1782019.699999999953434,10546811.639999998733401
20101018,1857405.519999999785796,1694955.500000000000000,1685994.540000000270084,1738524.000000000000000,1776268.360000000102445,1811814.850000000093132,10564966.769999999552965
20101019,1818285.399999999906868,1670080.250000000000000,1687751.680000000167638,1748375.500000000000000,1755391.719999999972060,1780106.250000000232831,10459994.800000000745058
20101020,1859257.359999999869615,1688614.749999999767169,1725530.190000000176951,1772135.000000000000000,1766699.899999999906868,1804434.400000000139698,10616675.599999999627471
20101021,1826155.719999999972060,1691541.250000000000000,1736073.030000000260770,1781407.000000000000000,1785836.820000000065193,1812908.249999999767169,10633926.070000000298023
20101022,1813192.839999999850988,1705686.000000000000000,1743101.590000000083819,1785463.500000000000000,1781487.520000000018626,1813454.950000000186265,10642390.399999998509884
20101025,1829859.399999999906868,1729585.750000000000000,1745737.300000000279397,1768078.500000000000000,1784097.100000000093132,1809628.050000000046566,10666990.100000001490116
20101026,1820600.200000000186265,1753973.250000000000000,1760672.990000000223517,1774453.000000000000000,1778877.939999999944121,1818648.600000000093132,10707229.980000000447035
20101027,1810646.560000000055879,1752022.250000000000000,1773851.540000000270084,1773294.000000000000000,1762350.600000000093132,1795140.500000000000000,10667309.450000001117587
20101028,1799535.519999999785796,1780799.500000000000000,1798451.500000000000000,1773873.500000000000000,1764090.320000000065193,1810174.750000000000000,10726929.089999999850988
20101029,1819442.799999999813735,1762265.000000000232831,1761551.560000000288710,1776771.000000000000000,1771049.199999999953434,1817555.199999999953434,10708638.759999999776483
20101101,1834951.959999999962747,1757387.500000000000000,1807237.200000000186265,1788361.000000000000000,1763220.459999999962747,1830129.300000000046566,10781291.420000001788139
20101102,1846063.000000000000000,1761289.500000000000000,1787030.090000000083819,1792417.500000000000000,1778008.080000000074506,1854457.450000000186265,10819269.620000001043081
20101103,1849072.239999999990687,1770069.000000000000000,1799330.070000000298023,1795315.000000000000000,1779747.800000000046566,1858011.000000000000000,10851549.110000001266599
20101104,1925460.640000000130385,1806162.500000000000000,1842380.000000000000000,1809802.500000000000000,1813672.340000000083819,1896553.349999999860302,11094035.330000000074506
20101105,1933793.920000000158325,1814454.250000000232831,1866101.390000000130385,1813279.500000000000000,1829329.820000000065193,1913501.050000000046566,11170463.930000001564622
20101108,1924071.760000000009313,1807625.750000000000000,1865222.820000000298023,1809802.500000000000000,1818021.639999999897555,1922248.249999999767169,11146996.720000000670552
20101109,1896062.679999999934807,1797870.750000000000000,1859072.830000000307336,1815018.000000000000000,1809323.040000000037253,1930722.099999999860302,11108073.400000000372529
20101110,1908794.079999999841675,1804211.500000000000000,1848529.990000000223517,1812700.000000000000000,1824110.659999999916181,1944389.599999999860302,11142739.830000000074506
20101111,1908331.119999999878928,1752510.000000000000000,1863465.680000000167638,1819654.000000000000000,1819761.360000000102445,1963524.100000000093132,11127250.259999999776483
20101112,1875923.920000000158325,1841280.500000000000000,1891579.920000000391155,1823131.000000000000000,1797145.000000000000000,1940562.699999999953434,11169627.039999999105930
20101115,1893979.359999999869615,1816893.000000000000000,1871372.810000000288710,1824290.000000000000000,1778877.939999999944121,1926621.850000000093132,11112038.959999999031425
20101116,1860414.760000000009313,1800797.250000000000000,1851165.700000000186265,1798792.000000000000000,1751042.419999999925494,1884525.949999999953434,10946742.079999998211861
20101117,1878933.160000000149012,1815429.750000000000000,1852044.270000000018626,1811541.000000000000000,1770179.340000000083819,1886439.400000000139698,11014570.919999999925494
20101118,1923840.280000000027940,1832988.750000000000000,1846772.850000000093132,1849788.000000000000000,1793665.560000000055879,1921974.900000000139698,11169034.340000001713634
20101119,1943747.560000000055879,1805187.000000000000000,1857315.690000000176951,1863695.999999999767169,1865863.939999999944121,1928261.950000000186265,11264076.140000000596046
20101122,1944442.000000000000000,1802260.500000000232831,1866979.960000000195578,1862537.000000000000000,1868473.520000000018626,1918694.699999999953434,11263391.679999999701977
20101123,1912729.239999999990687,1761777.249999999767169,1852922.840000000083819,1843413.500000000000000,1854555.760000000009313,1885619.350000000093132,11111021.939999999478459
20101124,1960414.119999999878928,1798358.499999999767169,1879279.940000000176951,1872388.500000000232831,1881521.419999999925494,1910220.849999999860302,11302187.330000000074506
20101126,1947451.239999999990687,1790066.750000000232831,1874887.090000000083819,1857901.000000000232831,1869343.379999999888241,1892453.100000000093132,11232106.560000000521541
20101129,1936803.160000000149012,1776409.750000000000000,1874008.520000000018626,1837039.000000000000000,1851946.179999999934807,1898466.800000000046566,11174677.410000000149012
20101130,1958330.799999999813735,1780799.500000000000000,1859072.830000000307336,1830664.500000000000000,1872822.820000000065193,1901473.650000000139698,11203168.099999999627471
20101201,2024302.600000000093132,1810552.249999999767169,1887187.070000000298023,1874706.500000000000000,1905877.500000000000000,1949856.600000000093132,11452486.519999999552965
20101202,2051385.760000000009313,1821282.750000000232831,1906515.610000000102445,1880501.500000000232831,1910226.800000000046566,1953956.850000000093132,11523873.269999999552965
20101203,2068978.239999999990687,1833476.500000000232831,1905637.040000000270084,1868911.500000000000000,1903267.919999999925494,1946029.699999999953434,11526304.899999998509884
20101206,2064811.600000000093132,1832013.250000000000000,1906515.610000000102445,1854424.000000000000000,1907617.219999999972060,1949309.900000000139698,11514695.580000000074506
20101207,2091431.799999999813735,1820795.000000000000000,1895972.770000000018626,1858480.500000000000000,1896309.040000000037253,1953410.149999999906868,11516403.259999999776483
20101208,2074533.760000000009313,1803236.000000000000000,1917058.450000000186265,1866014.000000000232831,1898918.619999999878928,1964070.799999999813735,11523835.629999998956919
20101209,2075691.160000000149012,1792017.750000000000000,1916179.880000000121072,1878763.000000000000000,1902398.060000000055879,1968171.050000000046566,11533224.900000000372529
20101210,2081941.119999999878928,1788115.749999999767169,1924965.580000000307336,1873547.500000000000000,1909356.939999999944121,1973091.350000000325963,11551022.240000000223517
20101213,2121061.239999999757856,1811040.000000000232831,1888944.210000000195578,1878763.000000000000000,1940671.899999999906868,1978011.650000000139698,11618496.000000000000000
20101214,2131709.320000000298023,1816405.250000000000000,1886308.500000000000000,1851526.500000000000000,1941541.760000000009313,1973091.350000000325963,11600586.679999999701977
20101215,2155551.760000000242144,1802260.500000000232831,1869615.670000000391155,1875865.499999999767169,1926754.139999999897555,1964070.799999999813735,11594122.370000001043081
20101216,2157403.600000000093132,1805187.000000000000000,1871372.810000000288710,1893250.500000000000000,1940671.899999999906868,1974184.750000000000000,11642074.560000000521541
20101217,2143283.320000000298023,1807137.999999999767169,1885429.930000000167638,1903681.500000000000000,1958069.100000000093132,1972818.000000000000000,11670423.849999999627471
