訓練日期,20120613 - 20120913
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11465471.210000000894070
真實報酬,1465471.210000000894070

夏普值報酬,0.137847121000000
夏普值風險,0.034184623952638
夏普值,4.032430521716018

預期報酬,19699.192285165216163
風險,78680.960517151281238
趨勢值,0.250367969019279
找到最佳解世代,2972
找到最佳解實驗#,1
找到最佳解次數,16

stock[index](rank)
投資組合檔數,6
AAPL[0](5),HD[9](18),JPM[13](10),MRK[17](8),PFE[20](4),WMT[28](9),
20120628,1646013.040000000037253,1649118.800000000046566,1770800.830000000074506,1745173.000000000000000,1692202.719999999972060,1680940.379999999888241,10184252.769999999552965
20120629,1689343.760000000009313,1690594.000000000000000,1763397.879999999888241,1791076.000000000000000,1727503.479999999981374,1715888.000000000000000,10377807.119999999180436
20120702,1714046.320000000065193,1691232.080000000074506,1790542.030000000027940,1795366.000000000000000,1727503.479999999981374,1706781.929999999934807,10425475.839999999850988
20120703,1733889.359999999869615,1647842.639999999897555,1770800.830000000074506,1793650.000000000000000,1717739.439999999944121,1741237.330000000074506,10405163.599999999627471
20120705,1764261.359999999869615,1662518.479999999981374,1696771.330000000074506,1785928.000000000000000,1702717.840000000083819,1749358.959999999962747,10361559.969999998807907
20120706,1752517.519999999785796,1663794.639999999897555,1673081.889999999897555,1780780.000000000000000,1692953.799999999813735,1756250.040000000037253,10319381.890000000596046
20120709,1775802.719999999972060,1662837.520000000018626,1676043.070000000065193,1807378.000000000000000,1701215.679999999934807,1766094.440000000176951,10389375.429999999701977
20120710,1759401.839999999850988,1666027.919999999925494,1690355.439999999944121,1774774.000000000000000,1685443.000000000000000,1774708.290000000037253,10350714.489999998360872
20120711,1748467.919999999692664,1648480.720000000204891,1707135.460000000195578,1767910.000000000000000,1677932.199999999953434,1778399.940000000176951,10328330.239999998360872
20120712,1732472.000000000000000,1644652.239999999990687,1679991.309999999823049,1840839.999999999767169,1702717.840000000083819,1779630.490000000223517,10380307.880000000819564
20120713,1749885.280000000027940,1661880.400000000139698,1780177.899999999906868,1864864.000000000000000,1713232.959999999962747,1801042.060000000288710,10571086.599999999627471
20120716,1755554.719999999972060,1641461.840000000083819,1731811.960000000195578,1859716.000000000000000,1737267.520000000018626,1796119.860000000102445,10521935.900000000372529
20120717,1755757.199999999720603,1618171.919999999925494,1726876.660000000149012,1895752.000000000000000,1774070.439999999944121,1799073.179999999934807,10569705.399999998509884
20120718,1753732.399999999906868,1624233.679999999934807,1725396.070000000065193,1885027.000000000000000,1777825.840000000083819,1792920.429999999934807,10559139.419999999925494
20120719,1777017.600000000093132,1625828.880000000121072,1700719.570000000065193,1885027.000000000000000,1787589.880000000121072,1760433.910000000149012,10536620.840000001713634
20120720,1748062.959999999729916,1617533.840000000083819,1673081.889999999897555,1862289.999999999767169,1780079.079999999841675,1778153.830000000074506,10459205.599999999627471
20120723,1746645.600000000093132,1625828.880000000121072,1699732.509999999776483,1856284.000000000232831,1772568.280000000027940,1768309.429999999934807,10469372.699999999254942
20120724,1738343.919999999692664,1632528.720000000204891,1714044.879999999888241,1831402.000000000000000,1756044.520000000018626,1775446.620000000111759,10447814.660000000149012
20120725,1663223.839999999850988,1629338.320000000065193,1735760.199999999953434,1828399.000000000000000,1752289.119999999878928,1773969.959999999962747,10382984.440000001341105
20120726,1663021.359999999869615,1688041.679999999934807,1767346.120000000111759,1858858.000000000000000,1764306.399999999906868,1813101.450000000186265,10554679.010000001639128
20120727,1692583.439999999944121,1713564.880000000121072,1820647.359999999869615,1934791.000000000000000,1789843.119999999878928,1834020.800000000046566,10785454.599999999627471
20120730,1721133.119999999878928,1698889.040000000037253,1783632.609999999869615,1908192.999999999767169,1780830.160000000149012,1845341.860000000102445,10738023.789999999105930
20120731,1766691.119999999878928,1664751.760000000009313,1776723.189999999944121,1894894.000000000000000,1805615.799999999813735,1831805.810000000288710,10740485.680000001564622
20120801,1755352.239999999757856,1648799.760000000009313,1776723.189999999944121,1899613.000000000000000,1798105.000000000000000,1811870.900000000139698,10690468.089999999850988
20120802,1758186.959999999729916,1639547.600000000093132,1735760.199999999953434,1883739.999999999767169,1796602.840000000083819,1822453.629999999888241,10636295.230000000447035
20120803,1781067.199999999720603,1668261.199999999953434,1781164.960000000195578,1894036.000000000000000,1823641.719999999972060,1834759.129999999888241,10782934.210000000894070
20120806,1800910.239999999757856,1659009.040000000037253,1791529.089999999850988,1908622.000000000000000,1822139.560000000055879,1828114.160000000149012,10810328.089999999850988
20120807,1796050.719999999972060,1671770.639999999897555,1826569.719999999739230,1887601.000000000000000,1783083.399999999906868,1820976.969999999972060,10786056.450000001117587
20120808,1793013.519999999785796,1684213.199999999953434,1833972.669999999692664,1890175.000000000000000,1789843.119999999878928,1828852.490000000223517,10820074.000000000000000
20120809,1795645.760000000009313,1695698.639999999897555,1822127.949999999953434,1899613.000000000000000,1792847.439999999944121,1817531.429999999934807,10823468.219999998807907
20120810,1798278.000000000000000,1692827.280000000027940,1824595.599999999860302,1912054.000000000000000,1798105.000000000000000,1813347.560000000288710,10839211.439999999478459
20120813,1822373.119999999878928,1685170.320000000065193,1825582.660000000149012,1905619.000000000000000,1781581.239999999990687,1806456.480000000214204,10826786.820000000298023
20120814,1827232.639999999664724,1745468.880000000121072,1831011.489999999990687,1905189.999999999767169,1801109.320000000065193,1821469.190000000176951,10931485.519999999552965
20120815,1824802.879999999888241,1754721.040000000037253,1829530.899999999906868,1890175.000000000000000,1805615.799999999813735,1832298.030000000260770,10937147.650000002235174
20120816,1840798.799999999813735,1796515.280000000027940,1831011.489999999990687,1885027.000000000000000,1804113.639999999897555,1775692.730000000214204,10933162.940000001341105
20120817,1874815.439999999944121,1809914.959999999962747,1825089.129999999888241,1859287.000000000232831,1786838.799999999813735,1771754.969999999972060,10927704.299999998882413
20120820,1924018.079999999841675,1804810.320000000065193,1844336.799999999813735,1876876.000000000000000,1795851.760000000009313,1779384.379999999888241,11025281.339999999850988
20120821,1897695.679999999934807,1796834.320000000065193,1877403.309999999823049,1842127.000000000000000,1779328.000000000000000,1757972.810000000288710,10951365.119999999180436
20120822,1934749.519999999785796,1807043.600000000093132,1867039.179999999934807,1840839.999999999767169,1780079.079999999841675,1766340.550000000046566,10996095.929999999701977
20120823,1916728.799999999813735,1804172.239999999990687,1837427.379999999888241,1836120.999999999767169,1783083.399999999906868,1761172.240000000223517,10938709.060000000521541
20120824,1918551.119999999878928,1817252.880000000121072,1834466.199999999953434,1849849.000000000000000,1803362.560000000055879,1774708.290000000037253,10998194.050000000745058
20120827,1954592.559999999823049,1808000.720000000204891,1837427.379999999888241,1846845.999999999767169,1794349.600000000093132,1784306.580000000074506,11025526.839999999850988
20120828,1951960.320000000065193,1803534.160000000149012,1832492.080000000074506,1837408.000000000000000,1791345.280000000027940,1782091.590000000083819,10998835.429999999701977
20120829,1948113.199999999720603,1813424.400000000139698,1840882.089999999850988,1847275.000000000000000,1799607.160000000149012,1790951.550000000046566,11040257.400000000372529
20120830,1920373.439999999944121,1806405.520000000018626,1821140.889999999897555,1849849.000000000000000,1790594.199999999953434,1778153.830000000074506,10966520.879999998956919
20120831,1924220.559999999823049,1810553.040000000037253,1832985.609999999869615,1846845.999999999767169,1792096.359999999869615,1786767.679999999934807,10993473.249999998137355
20120904,1952365.280000000027940,1811829.199999999953434,1826569.719999999739230,1855426.000000000000000,1786087.719999999972060,1809163.690000000176951,11041445.609999999403954
20120905,1938799.119999999878928,1803853.199999999953434,1831505.020000000018626,1863577.000000000000000,1796602.840000000083819,1810148.129999999888241,11044489.309999998658895
20120906,1956212.399999999906868,1839266.639999999897555,1909482.759999999776483,1897897.000000000000000,1828148.199999999953434,1841157.990000000223517,11272168.990000000223517
20120907,1968361.199999999720603,1826824.080000000074506,1939588.089999999850988,1889745.999999999767169,1820637.399999999906868,1816793.099999999860302,11261953.869999999180436
20120910,1917133.760000000009313,1828100.239999999990687,1912937.469999999739230,1898755.000000000000000,1810122.280000000027940,1809163.690000000176951,11176216.439999999478459
20120911,1910856.879999999888241,1809595.919999999925494,1954393.989999999990687,1901758.000000000000000,1815379.840000000083819,1822699.740000000223517,11214688.370000001043081
20120912,1937381.760000000009313,1820124.239999999990687,1970186.949999999953434,1910338.000000000000000,1807869.040000000037253,1822945.849999999860302,11268849.839999999850988
20120913,1975650.479999999748543,1860004.239999999990687,2043229.389999999897555,1915914.999999999767169,1821388.479999999981374,1849279.620000000111759,11465471.210000000894070
