訓練日期,20190925 - 20191226
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12188509.959999999031425
真實報酬,2188509.959999999031425

夏普值報酬,0.210150996000000
夏普值風險,0.055079030041098
夏普值,3.815444749901975

預期報酬,31795.067514332975406
風險,92283.852211149991490
趨勢值,0.344535547146258
找到最佳解世代,2958
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),INTC[11](5),MRK[17](14),NKE[19](10),UNH[23](2),
20191030,2235003.459999999962747,2272176.319999999832362,2062678.260000000242144,2069052.409999999916181,2264862.399999999906868,10903772.849999999627471
20191031,2285531.959999999962747,2269366.239999999757856,2073204.380000000121072,2054370.169999999925494,2246197.600000000093132,10928670.349999999627471
20191101,2350392.179999999701977,2268563.359999999869615,2032056.820000000065193,2045882.000000000000000,2241842.479999999981374,10938736.839999999850988
20191104,2365826.339999999850988,2312721.759999999776483,2007176.900000000372529,2061481.879999999888241,2233310.000000000000000,10980516.879999998956919
20191105,2362427.149999999906868,2310313.119999999646097,1983732.360000000335276,2061940.699999999720603,2224866.399999999906868,10943279.730000000447035
20191106,2363437.719999999739230,2312320.319999999832362,1991626.950000000186265,2052764.300000000046566,2226821.760000000242144,10946971.049999998882413
20191107,2383557.250000000000000,2312320.319999999832362,1982775.440000000176951,2073870.020000000018626,2279616.479999999981374,11032139.510000001639128
20191108,2390080.019999999552965,2339216.800000000279397,1999760.770000000251457,2060334.829999999841675,2284149.360000000335276,11073541.780000001192093
20191111,2409005.239999999757856,2342428.319999999832362,1992344.640000000130385,2065840.669999999925494,2258551.919999999925494,11068170.789999999105930
20191112,2406800.359999999869615,2336406.720000000204891,2012439.960000000195578,2053223.119999999878928,2268862.000000000000000,11077732.160000000149012
20191113,2429859.729999999981374,2323962.080000000074506,2029186.060000000055879,2094287.510000000009313,2253930.160000000149012,11131225.540000000968575
20191114,2413047.519999999552965,2320750.560000000055879,2022726.850000000093132,2093828.689999999711290,2274017.040000000037253,11124370.660000000149012
20191115,2441710.959999999962747,2326772.160000000149012,2031099.900000000372529,2134434.259999999776483,2394627.199999999720603,11328644.480000000447035
20191118,2454021.540000000037253,2338413.919999999925494,2012679.190000000176951,2160587.000000000000000,2426001.839999999850988,11391703.490000000223517
20191119,2446580.069999999832362,2342428.319999999832362,2025119.150000000372529,2147510.629999999888241,2437556.240000000223517,11399194.410000000149012
20191120,2418100.369999999646097,2324363.520000000018626,2039951.410000000149012,2134663.669999999925494,2449377.279999999795109,11366456.249999998137355
20191121,2407259.709999999962747,2337209.600000000093132,2044496.780000000027940,2114246.179999999701977,2458176.399999999906868,11361388.669999999925494
20191122,2405146.699999999720603,2312721.759999999776483,2044257.550000000279397,2141316.559999999590218,2460753.919999999925494,11364196.490000000223517
20191125,2447315.029999999795109,2360894.560000000055879,2050238.300000000279397,2131222.519999999552965,2512570.959999999962747,11502241.370000001043081
20191126,2428206.069999999832362,2364507.520000000018626,2089472.020000000251457,2141087.149999999441206,2501283.199999999720603,11524555.959999999031425
20191127,2460819.919999999459833,2348851.359999999869615,2095931.230000000214204,2159669.360000000335276,2494794.959999999962747,11560066.830000001937151
20191129,2455399.589999999850988,2330385.119999999646097,2085644.340000000316650,2144757.709999999962747,2487684.560000000055879,11503871.319999998435378
20191202,2427011.760000000242144,2314728.959999999962747,2082295.120000000344589,2146363.580000000074506,2485818.080000000074506,11456217.500000001862645
20191203,2383740.989999999757856,2250900.000000000000000,2090428.940000000176951,2121128.479999999515712,2461287.199999999720603,11307485.609999999403954
20191204,2404779.219999999739230,2248892.800000000279397,2121289.610000000335276,2150034.139999999664724,2482796.160000000149012,11407791.929999999701977
20191205,2440057.299999999813735,2251301.439999999944121,2123203.450000000186265,2197522.009999999776483,2506616.000000000000000,11518700.199999999254942
20191206,2487186.609999999869615,2280606.560000000055879,2125595.750000000000000,2225280.620000000111759,2490528.720000000204891,11609198.259999999776483
20191209,2452367.879999999888241,2269366.239999999757856,2122485.760000000242144,2216792.450000000186265,2466975.520000000018626,11527987.849999997764826
20191210,2466699.600000000093132,2271774.879999999888241,2131576.500000000000000,2225510.030000000260770,2484573.759999999776483,11580134.770000001415610
20191211,2487737.829999999608845,2291044.000000000000000,2128705.740000000223517,2229410.000000000000000,2493284.000000000000000,11630181.570000000298023
20191212,2494076.859999999869615,2310313.119999999646097,2142820.310000000055879,2241798.139999999664724,2520925.680000000167638,11709934.109999999403954
20191213,2527976.889999999664724,2319947.679999999701977,2133729.570000000298023,2242945.189999999478459,2537546.240000000223517,11762145.569999998435378
20191216,2571247.660000000149012,2316334.720000000204891,2136121.870000000111759,2266803.830000000074506,2595762.639999999664724,11886270.720000002533197
20191217,2576300.510000000242144,2300277.119999999646097,2129662.660000000149012,2286074.269999999552965,2581897.360000000335276,11874211.919999998062849
20191218,2570145.219999999739230,2295058.399999999906868,2144016.460000000428408,2307179.989999999292195,2603495.199999999720603,11919895.269999999552965
20191219,2572717.579999999608845,2326772.160000000149012,2152867.970000000204891,2320485.769999999552965,2618782.560000000055879,11991626.040000000968575
20191220,2567389.119999999646097,2366514.720000000204891,2190905.540000000037253,2293185.979999999515712,2600739.919999999925494,12018735.279999999329448
20191223,2609281.839999999850988,2377755.039999999571592,2194733.220000000204891,2295021.259999999776483,2622959.919999999925494,12099751.279999999329448
20191224,2611762.329999999608845,2384980.959999999962747,2187556.320000000298023,2297315.360000000335276,2618071.520000000018626,12099686.489999998360872
20191226,2663577.010000000242144,2401440.000000000000000,2185164.020000000484288,2310391.729999999515712,2627937.199999999720603,12188509.959999999031425
