訓練日期,20190916 - 20191216
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11811831.490000000223517
真實報酬,1811831.490000000223517

夏普值報酬,0.172483149000000
夏普值風險,0.044931798071389
夏普值,3.838776910862828

預期報酬,24124.356921582242649
風險,99678.680007444665534
趨勢值,0.242021231819888
找到最佳解世代,2628
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](2),NKE[19](3),
20191023,3705597.340000000316650,3331391.080000000540167,3524198.000000000000000,10561187.420000001788139
20191024,3711692.540000000037253,3396930.880000000353903,3492896.140000000130385,10601520.560000000521541
20191025,3757406.540000000037253,3416107.339999999850988,3470755.800000000279397,10644270.679999999701977
20191028,3795044.400000000372529,3500095.380000000353903,3468083.689999999944121,10763224.470000000670552
20191029,3707273.520000000018626,3467082.740000000689179,3408152.080000000074506,10582509.339999999850988
20191030,3706816.379999999888241,3510290.460000000428408,3442889.510000000242144,10659997.349999999627471
20191031,3790625.379999999888241,3480190.700000000186265,3418458.790000000037253,10689275.870000001043081
20191101,3898205.659999999683350,3488686.600000000093132,3404334.780000000260770,10791228.039999999105930
20191104,3923805.500000000000000,3508834.020000000484288,3430292.419999999925494,10862932.940000001341105
20191105,3918167.439999999944121,3506649.360000000335276,3431055.879999999888241,10855873.679999999701977
20191106,3919843.620000000111759,3496939.760000000242144,3415786.680000000167638,10832571.060000000521541
20191107,3953214.840000000316650,3501794.560000000055879,3450905.840000000316650,10905916.240000000223517
20191108,3964033.819999999832362,3543060.360000000335276,3428383.770000000018626,10935478.949999999254942
20191111,3995424.099999999627471,3546701.460000000428408,3437545.290000000037253,10979671.850000001490116
20191112,3991766.979999999515712,3570004.500000000000000,3416550.140000000130385,10978322.619999999180436
20191113,4030014.360000000335276,3575830.260000000242144,3484879.810000000521541,11090725.430000001564622
20191114,4002128.819999999832362,3594035.760000000242144,3484116.350000000093132,11080281.929999999701977
20191115,4049671.379999999888241,3640399.100000000093132,3551682.560000000521541,11241754.040000000968575
20191118,4070090.300000000279397,3649380.480000000447035,3595199.780000000260770,11314671.560000002384186
20191119,4057747.520000000484288,3650594.180000000167638,3573441.169999999925494,11281783.870000001043081
20191120,4010509.719999999739230,3631903.200000000186265,3552064.290000000037253,11194478.210000000894070
20191121,3992528.879999999888241,3628504.839999999850988,3518090.319999999832362,11139125.039999999105930
20191122,3989024.139999999664724,3631174.980000000447035,3563134.460000000428408,11183334.580000000074506
20191125,4058966.560000000055879,3670984.339999999850988,3546338.340000000316650,11276290.240000000223517
20191126,4027271.520000000484288,3690403.540000000502914,3562752.729999999981374,11280428.790000000968575
20191127,4081366.419999999459833,3697443.000000000000000,3593672.860000000335276,11372483.280000001192093
20191129,4072376.000000000000000,3674625.440000000409782,3568860.410000000149012,11315862.850000001490116
20191202,4025290.580000000540167,3630204.020000000484288,3571532.520000000018626,11227028.120000001043081
20191203,3953519.599999999627471,3624378.260000000242144,3529542.219999999739230,11107441.079999998211861
20191204,3988414.620000000111759,3637486.220000000204891,3577640.200000000186265,11203542.039999999105930
20191205,4046928.539999999571592,3639428.140000000596046,3656658.310000000521541,11343015.990000000223517
20191206,4125099.479999999515712,3683606.820000000298023,3702847.640000000130385,11511554.939999999478459
20191209,4067347.460000000428408,3683606.820000000298023,3688723.629999999888241,11439678.910000000149012
20191210,4091118.740000000223517,3668556.940000000409782,3703229.370000000111759,11462906.050000000745058
20191211,4126013.759999999776483,3682393.120000000111759,3709718.780000000260770,11518126.660000000149012
20191212,4136527.979999999515712,3719775.080000000540167,3730332.200000000186265,11586636.260000001639128
20191213,4192756.199999999720603,3751088.540000000502914,3732240.850000000093132,11676086.589999999850988
20191216,4264527.180000000633299,3775362.540000000502914,3771940.770000000018626,11811831.490000000223517
