訓練日期,20170808 - 20171107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10962741.880000000819564
真實報酬,962741.880000000819564

夏普值報酬,0.087574188000000
夏普值風險,0.028663340840641
夏普值,3.055267998482282

預期報酬,14328.665150376342353
風險,71157.073328956437763
趨勢值,0.201366701580537
找到最佳解世代,2345
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),MCD[15](7),PG[21](25),V[25](2),
20170911,2072529.600000000325963,2092996.550000000046566,2084656.799999999813735,2055773.599999999860302,2091829.960000000195578,10397786.509999999776483
20170912,2108620.049999999813735,2145320.849999999627471,2017550.800000000046566,2045275.040000000270084,2093012.319999999832362,10409779.059999998658895
20170913,2085780.199999999953434,2175880.000000000000000,2026197.149999999906868,2046149.919999999925494,2085524.040000000037253,10419531.309999998658895
20170914,2100599.950000000186265,2192148.900000000372529,2026197.149999999906868,2046149.919999999925494,2090450.540000000037253,10455546.460000000894070
20170915,2116117.100000000558794,2187312.200000000186265,2025164.749999999767169,2040025.760000000009313,2075079.860000000102445,10443699.669999999925494
20170918,2159007.200000000186265,2184454.150000000372529,2022067.550000000046566,2037401.120000000111759,2065818.040000000037253,10468748.059999998658895
20170919,2174873.049999999813735,2193248.150000000372529,2031746.300000000046566,2059710.560000000055879,2077247.520000000018626,10536825.580000000074506
20170920,2176790.900000000372529,2204460.500000000000000,2063363.549999999813735,2064741.120000000111759,2077247.520000000018626,10586603.589999999850988
20170921,2175744.799999999813735,2201602.450000000186265,2052394.299999999813735,2026246.400000000139698,2075276.920000000158325,10531264.869999999180436
20170922,2169468.200000000186265,2190390.099999999627471,2050845.699999999953434,2017497.599999999860302,2080203.420000000158325,10508405.019999999552965
20170925,2167550.349999999627471,2202262.000000000000000,2016647.449999999720603,2027996.160000000149012,2030150.179999999934807,10444606.139999998733401
20170926,2170863.000000000000000,2171263.150000000372529,1979093.899999999906868,2026465.120000000111759,2028573.699999999953434,10376258.870000001043081
20170927,2171037.349999999627471,2154114.850000000558794,1988127.400000000139698,1987532.960000000195578,2047294.400000000139698,10348106.960000000894070
20170928,2183416.200000000186265,2162249.299999999813735,2032520.600000000093132,1987970.400000000139698,2060891.540000000037253,10427048.039999999105930
20170929,2174350.000000000000000,2167525.700000000186265,2022067.550000000046566,1989938.880000000121072,2060891.540000000037253,10414773.669999999925494
20171002,2174524.350000000558794,2204680.349999999627471,2025680.949999999953434,2007217.760000000009313,2077838.699999999953434,10489942.109999999403954
20171003,2188298.000000000000000,2202921.549999999813735,2024390.450000000186265,2014872.960000000195578,2080794.600000000093132,10511277.560000000521541
20171004,2209743.049999999813735,2205779.599999999627471,2028907.199999999953434,2021434.560000000055879,2075276.920000000158325,10541141.330000000074506
20171005,2203815.150000000372529,2222048.500000000000000,2049426.150000000139698,2012904.479999999981374,2093603.500000000000000,10581797.780000001192093
20171006,2213055.700000000186265,2229743.250000000000000,2059750.149999999906868,2019466.080000000074506,2103259.439999999944121,10625274.619999999180436
20171009,2212183.950000000186265,2244253.349999999627471,2066460.750000000000000,2014872.960000000195578,2108777.120000000111759,10646548.129999998956919
20171010,2235023.799999999813735,2240735.750000000000000,2072397.050000000046566,2003936.960000000195578,2114688.919999999925494,10666782.480000000447035
20171011,2242172.150000000372529,2242274.700000000186265,2105562.899999999906868,2000437.439999999944121,2136956.700000000186265,10727403.890000000596046
20171012,2266406.800000000745058,2235459.350000000558794,2115370.699999999720603,2015529.120000000111759,2130453.720000000204891,10763219.690000003203750
20171013,2278960.000000000000000,2236338.750000000000000,2134212.000000000000000,2034995.200000000186265,2141292.020000000018626,10825797.969999998807907
20171016,2292210.600000000558794,2220729.400000000372529,2129566.199999999720603,2037182.400000000139698,2134197.859999999869615,10813886.460000000894070
20171017,2275996.049999999813735,2219190.450000000186265,2134599.149999999906868,2029745.919999999925494,2119221.300000000279397,10778752.870000001043081
20171018,2289072.299999999813735,2216112.549999999813735,2139374.000000000000000,2029089.760000000009313,2124344.859999999869615,10797993.469999998807907
20171019,2293605.400000000372529,2219410.299999999813735,2148794.649999999906868,2003280.800000000046566,2108974.180000000167638,10774065.330000000074506
20171020,2290292.750000000000000,2228644.000000000000000,2146213.649999999906868,1930228.320000000065193,2119418.359999999869615,10714797.080000000074506
20171023,2295871.950000000186265,2240076.200000000186265,2108014.850000000093132,1909449.919999999925494,2119024.240000000223517,10672437.160000000149012
20171024,2410245.550000000745058,2249969.450000000186265,2114983.549999999813735,1902450.880000000121072,2136365.520000000018626,10814014.950000001117587
20171025,2385836.549999999813735,2225785.950000000186265,2111112.050000000279397,1899826.239999999990687,2157648.000000000000000,10780208.790000000968575
20171026,2387580.049999999813735,2287124.099999999627471,2116661.199999999720603,1913824.320000000065193,2163756.859999999869615,10868946.529999999329448
20171027,2402748.500000000000000,2271075.049999999813735,2134470.099999999627471,1903763.200000000186265,2161983.319999999832362,10874040.169999999925494
20171030,2379734.300000000745058,2244253.349999999627471,2145310.299999999813735,1886921.760000000009313,2168486.300000000279397,10824706.010000001639128
20171031,2367704.150000000372529,2264039.850000000558794,2154085.699999999720603,1888452.800000000046566,2167303.939999999944121,10841586.440000001341105
20171101,2376247.299999999813735,2295478.400000000372529,2147117.000000000000000,1900482.400000000139698,2188783.479999999981374,10908108.580000000074506
20171102,2379385.600000000558794,2255465.700000000186265,2169442.649999999906868,1892171.040000000270084,2187009.939999999944121,10883474.930000001564622
20171103,2382175.200000000186265,2227984.450000000186265,2176540.399999999906868,1893702.080000000074506,2194498.220000000204891,10874900.350000001490116
20171106,2401005.000000000000000,2199184.099999999627471,2194865.500000000000000,1882109.919999999925494,2205533.580000000074506,10882698.099999999627471
20171107,2420183.500000000000000,2227324.900000000372529,2203899.000000000000000,1902450.880000000121072,2208883.600000000093132,10962741.880000000819564
