訓練日期,20170501 - 20170801
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10872862.089999999850988
真實報酬,872862.089999999850988

夏普值報酬,0.078586209000000
夏普值風險,0.024981273313278
夏普值,3.145804780024124

預期報酬,14368.516603640631729
風險,46485.974791139691661
趨勢值,0.309093585069433
找到最佳解世代,2947
找到最佳解實驗#,3
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
JNJ[12](2),JPM[13](15),MCD[15](1),V[25](3),
20170606,2649017.920000000391155,2383910.599999999627471,2701885.799999999348074,2625245.420000000391155,10360059.739999998360872
20170607,2647398.160000000149012,2411208.850000000093132,2714570.659999999683350,2633467.220000000204891,10406644.890000000596046
20170608,2643348.760000000242144,2441093.250000000000000,2705459.000000000000000,2633467.220000000204891,10423368.230000000447035
20170609,2663190.820000000298023,2498850.599999999627471,2706352.299999999348074,2591536.040000000037253,10459929.759999997913837
20170612,2669062.450000000186265,2499425.300000000279397,2652575.639999999664724,2562485.680000000167638,10383549.070000000298023
20170613,2673111.850000000558794,2507758.449999999720603,2676694.739999999292195,2605787.160000000149012,10463352.199999999254942
20170614,2688297.100000000558794,2502586.149999999906868,2692059.500000000000000,2612364.600000000093132,10495307.349999999627471
20170615,2693763.790000000037253,2487643.949999999720603,2700813.839999999385327,2580847.700000000186265,10463069.280000001192093
20170616,2720287.359999999869615,2476437.300000000279397,2715463.959999999962747,2580847.700000000186265,10493036.320000000298023
20170619,2714618.200000000186265,2530746.449999999720603,2736009.859999999403954,2597839.420000000391155,10579213.929999999701977
20170620,2717655.250000000000000,2514942.199999999720603,2752625.239999999292195,2586602.959999999962747,10571825.649999998509884
20170621,2731625.680000000167638,2503448.200000000186265,2746550.799999999348074,2590987.920000000391155,10572612.599999999627471
20170622,2754707.260000000242144,2500574.699999999720603,2765667.419999999925494,2574818.380000000353903,10595767.759999999776483
20170623,2762401.120000000111759,2495977.100000000093132,2762808.859999999403954,2619490.160000000149012,10640677.240000000223517
20170626,2760578.890000000130385,2506896.399999999906868,2750659.979999999981374,2609624.000000000000000,10627759.269999999552965
20170627,2733650.379999999888241,2530171.750000000000000,2746372.139999999664724,2600854.080000000540167,10611048.349999999627471
20170628,2709556.450000000186265,2581032.699999999720603,2756734.419999999925494,2637304.060000000055879,10684627.630000000819564
20170629,2685664.989999999757856,2619250.250000000000000,2735831.199999999720603,2587699.200000000186265,10628445.640000000596046
20170630,2678578.540000000037253,2626434.000000000000000,2736367.179999999701977,2570159.360000000335276,10611539.080000000074506
20170703,2690929.210000000428408,2665226.250000000000000,2724575.619999999646097,2558374.779999999795109,10639105.859999999403954
20170705,2705911.989999999757856,2691949.800000000279397,2734759.239999999292195,2576462.740000000223517,10709083.769999999552965
20170706,2683235.350000000558794,2683329.299999999813735,2735116.559999999590218,2555634.180000000167638,10657315.390000000596046
20170707,2683640.290000000037253,2696834.750000000000000,2791930.439999999944121,2573996.200000000186265,10746401.679999999701977
20170710,2663595.760000000242144,2677869.649999999906868,2778530.939999999944121,2606061.220000000204891,10726057.570000000298023
20170711,2657116.719999999739230,2667525.049999999813735,2767632.679999999701977,2614831.140000000130385,10707105.589999999850988
20170712,2677363.719999999739230,2658329.850000000093132,2797468.899999999906868,2635933.760000000242144,10769096.230000000447035
20170713,2669872.330000000540167,2675283.500000000000000,2769955.259999999310821,2629356.320000000298023,10744467.410000000149012
20170714,2684855.109999999869615,2650858.750000000000000,2774243.099999999627471,2656488.260000000242144,10766445.219999998807907
20170717,2675743.960000000428408,2626146.649999999906868,2773885.779999999329448,2653747.660000000149012,10729524.050000000745058
20170718,2722514.530000000260770,2616951.449999999720603,2750659.979999999981374,2674302.160000000149012,10764428.120000001043081
20170719,2737699.780000000260770,2620687.000000000000000,2749409.359999999403954,2692664.180000000167638,10800460.320000000298023
20170720,2765235.700000000186265,2620687.000000000000000,2755126.479999999981374,2688827.340000000316650,10829876.519999999552965
20170721,2739724.479999999981374,2611779.149999999906868,2749945.339999999385327,2729662.279999999795109,10831111.249999998137355
20170724,2693156.379999999888241,2622985.799999999813735,2712962.719999999739230,2750764.900000000372529,10779869.800000000745058
20170725,2670277.270000000018626,2666663.000000000000000,2841955.239999999292195,2740350.620000000111759,10919246.129999998956919
20170726,2651447.560000000055879,2641663.550000000279397,2796218.279999999329448,2763919.779999999795109,10853249.169999999925494
20170727,2649017.920000000391155,2630744.250000000000000,2804079.319999999366701,2728840.100000000093132,10812681.589999999850988
20170728,2669669.859999999869615,2622985.799999999813735,2784426.719999999739230,2717329.580000000540167,10794411.960000000894070
20170731,2687284.750000000000000,2637928.000000000000000,2771741.859999999403954,2728566.040000000037253,10825520.649999998509884
20170801,2683032.879999999888241,2673272.049999999813735,2752089.259999999310821,2764467.900000000372529,10872862.089999999850988
