訓練日期,20190917 - 20191217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11365937.050000000745058
真實報酬,1365937.050000000745058

夏普值報酬,0.127893705000000
夏普值風險,0.035054510118569
夏普值,3.648423685494634

預期報酬,19372.588631292368518
風險,69553.628111460158834
趨勢值,0.278527363090933
找到最佳解世代,3022
找到最佳解實驗#,3
找到最佳解次數,27

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MRK[17](3),WMT[28](4),
20191008,3401544.000000000000000,3384533.100000000558794,3391305.419999999925494,10177383.519999999552965
20191009,3441409.540000000037253,3420698.250000000465661,3430242.120000000111759,10292350.910000000149012
20191010,3487793.020000000018626,3403631.550000000279397,3449854.680000000167638,10341280.250000000000000
20191011,3580559.979999999981374,3427199.850000000093132,3468025.140000000130385,10475785.970000000670552
20191014,3575406.259999999776483,3441422.100000000093132,3437164.200000000186265,10453993.559999998658895
20191015,3567069.359999999869615,3455644.350000000558794,3447547.320000000298023,10470262.030000001192093
20191016,3552669.259999999776483,3431669.700000000186265,3444374.700000000186265,10428714.660000000149012
20191017,3566463.040000000037253,3405256.950000000186265,3456488.340000000316650,10428209.330000000074506
20191018,3583591.579999999608845,3441015.750000000465661,3436298.939999999944121,10460907.269999999552965
20191021,3645739.379999999888241,3434514.149999999906868,3453604.140000000130385,10533858.669999999925494
20191022,3637402.479999999981374,3303669.450000000186265,3448989.419999999925494,10390062.349999999627471
20191023,3686211.239999999757856,3367466.400000000372529,3442355.759999999776483,10496034.400000000372529
20191024,3692274.439999999944121,3355682.250000000000000,3435145.259999999776483,10483102.949999999254942
20191025,3737748.439999999944121,3342679.050000000279397,3433414.740000000223517,10513843.230000000447035
20191028,3775188.700000000186265,3340240.950000000186265,3438606.299999999813735,10554036.949999999254942
20191029,3687878.619999999646097,3458082.450000000186265,3378903.360000000335276,10524865.429999999701977
20191030,3687423.879999999888241,3503593.650000000372529,3406303.259999999776483,10597321.789999999105930
20191031,3770792.879999999888241,3521473.050000000279397,3382075.979999999981374,10674342.910000000149012
20191101,3877808.359999999869615,3451580.850000000093132,3392459.100000000093132,10721849.310000000521541
20191104,3903273.799999999813735,3409320.450000000186265,3391017.000000000000000,10703612.250000000000000
20191105,3897665.339999999850988,3369498.150000000372529,3428223.180000000167638,10695387.669999999925494
20191106,3899332.719999999739230,3382907.700000000186265,3446682.060000000055879,10728923.480000000447035
20191107,3932528.739999999757856,3367872.750000000000000,3467736.720000000204891,10768139.210000000894070
20191108,3943290.919999999459833,3396723.600000000093132,3444951.540000000037253,10784967.059999998658895
20191111,3974516.399999999441206,3384126.750000000000000,3433414.740000000223517,10792058.890000000596046
20191112,3970878.479999999515712,3418260.150000000372529,3435722.100000000093132,10824861.730000000447035
20191113,4008925.060000000055879,3446704.649999999906868,3489368.220000000204891,10944998.929999999701977
20191114,3981185.919999999459833,3435733.200000000186265,3479850.360000000335276,10896770.480000000447035
20191115,4028478.879999999888241,3449955.450000000186265,3428511.600000000093132,10906946.929999999701977
20191118,4048790.600000000093132,3418666.500000000000000,3468313.560000000055879,10935771.660000000149012
20191119,4036512.620000000111759,3439796.700000000186265,3457930.439999999944121,10934240.759999999776483
20191120,3989522.819999999832362,3464990.399999999906868,3436010.520000000018626,10890524.740000000223517
20191121,3971636.379999999888241,3472711.049999999813735,3457065.180000000167638,10901413.609999999403954
20191122,3968150.039999999571592,3472304.700000000186265,3442644.180000000167638,10883099.919999999925494
20191125,4037725.259999999776483,3482463.450000000186265,3429953.700000000186265,10950143.410000000149012
20191126,4006196.620000000111759,3549104.850000000093132,3437741.040000000037253,10993043.510000001639128
20191127,4060007.519999999552965,3560076.300000000279397,3425338.979999999981374,11045423.800000000745058
20191129,4051064.299999999813735,3542603.250000000465661,3434856.840000000316650,11028525.390000000596046
20191202,4004226.080000000074506,3536914.350000000558794,3440336.820000000298023,10981478.250000000000000
20191203,3932831.899999999441206,3550730.250000000000000,3422743.200000000186265,10906306.349999999627471
20191204,3967543.719999999739230,3603149.400000000372529,3423320.040000000037253,10994014.160000000149012
20191205,4025750.439999999478459,3606400.200000000186265,3422454.779999999795109,11054606.419999999925494
20191206,4103510.979999999515712,3610463.700000000186265,3454757.820000000298023,11168733.500000000000000
20191209,4046062.160000000149012,3605181.150000000372529,3442644.180000000167638,11093888.490000000223517
20191210,4069708.640000000130385,3620622.450000000186265,3436298.939999999944121,11126631.029999999329448
20191211,4104420.459999999497086,3615746.250000000465661,3432261.060000000055879,11152428.769999999552965
20191212,4114879.479999999515712,3639720.899999999906868,3454180.979999999981374,11208782.359999999403954
20191213,4170812.499999999534339,3624279.600000000093132,3469467.240000000223517,11264560.339999999850988
20191216,4242206.679999999701977,3628343.100000000558794,3476677.740000000223517,11347228.519999999552965
20191217,4250543.580000000074506,3617371.649999999906868,3498020.820000000298023,11365937.050000000745058
