訓練日期,20120620 - 20120920
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11259890.169999999925494
真實報酬,1259890.169999999925494

夏普值報酬,0.117289017000000
夏普值風險,0.033682952153707
夏普值,3.482147778044173

預期報酬,18199.522914322315046
風險,77158.720971738861408
趨勢值,0.235871236395796
找到最佳解世代,1725
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,5
AAPL[0](4),HD[9](15),MRK[17](10),PFE[20](3),WMT[28](9),
20120702,2017397.360000000102445,2001510.279999999795109,2133570.220000000204891,2025539.139999999897555,2045420.759999999776483,10223437.759999997913837
20120703,2040752.719999999972060,1950160.760000000009313,2131530.980000000447035,2014090.560000000055879,2086712.359999999869615,10223247.380000000819564
20120705,2076500.719999999972060,1967528.979999999981374,2122354.400000000372529,1996477.360000000102445,2096445.379999999888241,10259306.839999999850988
20120706,2062678.159999999916181,1969039.260000000009313,2116236.680000000167638,1985028.779999999795109,2104703.699999999720603,10237686.579999998211861
20120709,2090084.960000000195578,1967906.549999999813735,2147844.900000000372529,1994716.039999999804422,2116501.299999999813735,10317053.750000000000000
20120710,2070781.040000000037253,1971682.250000000000000,2109099.339999999850988,1976222.179999999934807,2126824.199999999720603,10254609.009999999776483
20120711,2057911.760000000009313,1950915.900000000139698,2100942.380000000353903,1967415.579999999841675,2131248.299999999813735,10208433.920000001788139
20120712,2039084.480000000214204,1946385.059999999823049,2187610.080000000074506,1996477.360000000102445,2132723.000000000000000,10302279.980000000447035
20120713,2059580.000000000000000,1966773.840000000083819,2216159.439999999944121,2008806.599999999860302,2158382.780000000260770,10409702.660000000149012
20120716,2066252.960000000195578,1942609.360000000102445,2210041.720000000204891,2036987.719999999739230,2152483.979999999981374,10408375.740000000223517
20120717,2066491.279999999795109,1915046.750000000000000,2252865.759999999776483,2080140.060000000055879,2156023.259999999776483,10470567.109999999403954
20120718,2064108.080000000074506,1922220.579999999841675,2240120.509999999776483,2084543.360000000102445,2148649.759999999776483,10459642.289999999105930
20120719,2091514.880000000121072,1924108.429999999934807,2240120.509999999776483,2095991.939999999944121,2109717.679999999701977,10461453.439999999478459
20120720,2057435.120000000111759,1914291.610000000102445,2213100.580000000074506,2087185.339999999850988,2130953.359999999869615,10402966.009999999776483
20120723,2055766.880000000121072,1924108.429999999934807,2205963.240000000223517,2078378.739999999990687,2119155.759999999776483,10383373.050000000745058
20120724,2045995.760000000009313,1932037.400000000139698,2176394.259999999776483,2059004.219999999739230,2127709.020000000018626,10341140.660000000149012
20120725,1957579.040000000037253,1928261.699999999953434,2172825.589999999850988,2054600.919999999692664,2125939.379999999888241,10239206.629999998956919
20120726,1957340.719999999972060,1997734.579999999841675,2209022.100000000093132,2068691.479999999748543,2172834.839999999850988,10405623.719999998807907
20120727,1992135.440000000176951,2027940.179999999934807,2299258.470000000204891,2098633.919999999925494,2197904.739999999757856,10615872.750000000000000
20120730,2025738.560000000055879,2010571.959999999962747,2267650.250000000000000,2088066.000000000000000,2211471.979999999981374,10603498.750000000000000
20120731,2079360.560000000055879,1970171.969999999972060,2251846.140000000130385,2117127.780000000260770,2195250.280000000260770,10613756.730000000447035
20120801,2066014.639999999897555,1951293.469999999972060,2257454.050000000279397,2108321.179999999701977,2171360.140000000130385,10554443.480000000447035
20120802,2069351.120000000111759,1940343.939999999944121,2238591.080000000074506,2106559.860000000335276,2184042.559999999590218,10538888.560000000521541
20120803,2096281.279999999795109,1974325.239999999990687,2250826.520000000018626,2138263.620000000111759,2198789.559999999590218,10658486.219999998807907
20120806,2119636.640000000130385,1963375.709999999962747,2268160.060000000055879,2136502.299999999813735,2190826.179999999701977,10678500.890000000596046
20120807,2113916.959999999962747,1978478.510000000009313,2243179.370000000111759,2090707.979999999748543,2182272.919999999925494,10608555.740000000223517
20120808,2110342.160000000149012,1993203.739999999990687,2246238.230000000447035,2098633.919999999925494,2191711.000000000000000,10640129.050000000745058
20120809,2113440.320000000298023,2006796.260000000009313,2257454.050000000279397,2102156.559999999590218,2178143.759999999776483,10657990.950000001117587
20120810,2116538.479999999981374,2003398.130000000121072,2272238.540000000037253,2108321.179999999701977,2173129.780000000260770,10673626.109999999403954
20120813,2144898.560000000055879,1994336.449999999953434,2264591.390000000130385,2088946.659999999683350,2164871.459999999962747,10657644.519999999552965
20120814,2150618.239999999757856,2065697.179999999934807,2264081.580000000074506,2111843.820000000298023,2182862.799999999813735,10775103.620000001043081
20120815,2147758.400000000372529,2076646.709999999962747,2246238.230000000447035,2117127.780000000260770,2195840.160000000149012,10783611.280000001192093
20120816,2166585.680000000167638,2126108.379999999888241,2240120.509999999776483,2115366.459999999962747,2128003.959999999962747,10776184.990000002086163
20120817,2206623.439999999944121,2141966.319999999832362,2209531.910000000149012,2095111.279999999795109,2123284.919999999925494,10776517.869999999180436
20120820,2264535.200000000186265,2135925.200000000186265,2230434.120000000111759,2105679.200000000186265,2132428.059999999590218,10869001.780000001192093
20120821,2233553.600000000093132,2126485.950000000186265,2189139.509999999776483,2086304.679999999934807,2106768.280000000260770,10742252.019999999552965
20120822,2277166.160000000149012,2138568.189999999944121,2187610.080000000074506,2087185.339999999850988,2116796.239999999757856,10807326.009999999776483
20120823,2255955.680000000167638,2135170.060000000055879,2182002.169999999925494,2090707.979999999748543,2110602.500000000000000,10774438.390000000596046
20120824,2258100.560000000055879,2150650.430000000167638,2198316.089999999850988,2114485.799999999813735,2126824.199999999720603,10848377.079999998211861
20120827,2300521.520000000018626,2139700.899999999906868,2194747.419999999925494,2103917.879999999888241,2138326.859999999869615,10877214.579999998211861
20120828,2297423.360000000335276,2134414.919999999925494,2183531.600000000093132,2100395.240000000223517,2135672.399999999906868,10851437.520000001415610
20120829,2292895.279999999795109,2146119.590000000316650,2195257.230000000447035,2110082.500000000000000,2146290.239999999757856,10890644.840000001713634
20120830,2260245.439999999944121,2137813.049999999813735,2198316.089999999850988,2099514.580000000074506,2130953.359999999869615,10826842.519999999552965
20120831,2264773.520000000018626,2142721.459999999962747,2194747.419999999925494,2101275.899999999441206,2141276.259999999776483,10844794.560000000521541
20120904,2297900.000000000000000,2144231.739999999757856,2204943.620000000111759,2094230.620000000111759,2168115.799999999813735,10909421.780000001192093
20120905,2281932.560000000055879,2134792.489999999757856,2214630.009999999776483,2106559.860000000335276,2169295.559999999590218,10907210.480000000447035
20120906,2302428.080000000074506,2176702.759999999776483,2255414.810000000055879,2143547.580000000074506,2206458.000000000000000,11084551.230000000447035
20120907,2316727.279999999795109,2161977.529999999795109,2245728.419999999925494,2134740.979999999515712,2177258.939999999478459,11036433.149999998509884
20120910,2256432.320000000298023,2163487.810000000055879,2256434.430000000167638,2122411.740000000223517,2168115.799999999813735,10966882.100000001490116
20120911,2249044.400000000372529,2141588.750000000000000,2260003.100000000093132,2128576.360000000335276,2184337.500000000000000,10963550.109999999403954
20120912,2280264.320000000298023,2154048.560000000055879,2270199.300000000279397,2119769.759999999776483,2184632.439999999478459,11008914.380000000819564
20120913,2325306.799999999813735,2201244.810000000055879,2276826.830000000074506,2135621.639999999664724,2216191.020000000018626,11155191.099999997764826
20120914,2353428.560000000055879,2245042.930000000167638,2223806.589999999850988,2095991.939999999944121,2197314.859999999869615,11115584.879999998956919
20120917,2382503.600000000093132,2224276.579999999608845,2243179.370000000111759,2115366.459999999962747,2182272.919999999925494,11147598.929999999701977
20120918,2389653.200000000186265,2222388.729999999981374,2247257.850000000093132,2114485.799999999813735,2181093.160000000149012,11154878.739999998360872
20120919,2390368.160000000149012,2245420.500000000000000,2269179.680000000167638,2127695.700000000186265,2193480.640000000130385,11226144.679999999701977
20120920,2378690.479999999981374,2238246.669999999925494,2288552.459999999962747,2149712.200000000186265,2204688.359999999869615,11259890.169999999925494
