訓練日期,20111214 - 20120319
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12646689.580000000074506
真實報酬,2646689.580000000074506

夏普值報酬,0.255968958000000
夏普值風險,0.066436784415129
夏普值,3.852819793332915

預期報酬,39646.368213420144457
風險,85979.427071634752792
趨勢值,0.461114589428333
找到最佳解世代,3590
找到最佳解實驗#,8
找到最佳解次數,9

stock[index](rank)
投資組合檔數,4
AAPL[0](6),MRK[17](19),MSFT[18](2),NKE[19](1),
20120214,3276006.879999999888241,2730062.560000000055879,2935750.009999999776483,2805132.199999999720603,11746951.649999998509884
20120215,3200386.719999999739230,2716487.440000000409782,2916340.209999999962747,2804080.019999999552965,11637294.390000000596046
20120216,3229194.399999999906868,2725061.200000000186265,3036680.969999999739230,2792506.039999999571592,11783442.609999999403954
20120217,3228744.280000000260770,2755069.360000000335276,3032799.009999999776483,2806184.379999999888241,11822797.030000001192093
20120221,3310666.120000000111759,2724346.720000000204891,3051238.319999999832362,2760940.639999999664724,11847191.800000000745058
20120222,3298963.000000000465661,2730777.040000000037253,3034739.989999999757856,2780932.059999999590218,11845412.089999999850988
20120223,3320568.759999999776483,2751496.959999999962747,3044444.889999999664724,2792506.039999999571592,11909016.649999998509884
20120224,3359279.079999999608845,2729348.080000000074506,3055120.279999999795109,2795662.580000000074506,11939410.019999999552965
20120227,3380884.839999999850988,2725775.679999999701977,3042503.909999999683350,2818810.539999999571592,11967974.969999998807907
20120228,3443001.399999999906868,2742208.720000000204891,3092969.389999999664724,2826175.799999999813735,12104355.309999998658895
20120229,3488013.399999999906868,2727204.640000000130385,3080353.019999999552965,2838801.959999999962747,12134373.019999999552965
20120301,3501066.879999999888241,2700054.399999999906868,3133729.969999999739230,2855636.839999999850988,12190488.089999999850988
20120302,3505568.079999999608845,2710057.120000000111759,3113349.679999999701977,2860897.739999999757856,12189872.619999999180436
20120305,3428597.560000000055879,2747210.080000000074506,3086175.959999999962747,2873523.899999999906868,12135507.500000001862645
20120306,3409692.520000000018626,2675047.599999999627471,3062884.199999999720603,2824071.439999999944121,11971695.759999997913837
20120307,3412393.240000000223517,2665759.360000000335276,3090057.919999999925494,2830384.519999999552965,11998595.039999999105930
20120308,3485312.680000000167638,2672189.679999999701977,3106556.249999999534339,2838801.959999999962747,12102860.570000000298023
20120309,3505568.079999999608845,2686479.280000000260770,3104615.269999999552965,2893515.319999999832362,12190177.949999999254942
20120312,3549679.839999999850988,2722203.280000000260770,3109467.719999999739230,2878784.799999999813735,12260135.640000000596046
20120313,3653207.439999999944121,2735063.919999999925494,3170608.589999999850988,2913506.739999999757856,12472386.689999999478459
20120314,3791394.280000000260770,2730777.040000000037253,3180313.490000000223517,2901932.759999999776483,12604417.570000000298023
20120315,3765287.320000000298023,2719345.360000000335276,3188077.409999999683350,2912454.559999999590218,12585164.649999998509884
20120316,3765287.320000000298023,2717201.919999999925494,3163815.159999999683350,2926132.899999999906868,12572437.300000000745058
20120319,3865213.960000000428408,2707199.200000000186265,3124995.560000000055879,2949280.859999999869615,12646689.580000000074506
