訓練日期,20161121 - 20170224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11751119.900000000372529
真實報酬,1751119.900000000372529

夏普值報酬,0.166411990000000
夏普值風險,0.043764827771262
夏普值,3.802413912600201

預期報酬,25322.014309293786937
風險,92462.192578085465357
趨勢值,0.273863441945842
找到最佳解世代,1754
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),AXP[1](1),BA[2](2),DIS[6](3),
20161221,2658998.000000000000000,2652111.519999999552965,2690122.660000000149012,2686272.040000000037253,10687504.219999998807907
20161222,2641508.220000000204891,2626055.379999999888241,2689781.020000000484288,2682709.460000000428408,10640054.080000000074506
20161223,2646732.439999999944121,2639787.669999999925494,2695759.720000000204891,2675838.770000000484288,10658118.600000001490116
20161227,2663540.800000000279397,2640139.780000000260770,2690122.660000000149012,2676347.710000000428408,10670150.950000001117587
20161228,2652183.800000000279397,2618661.070000000298023,2666549.500000000000000,2654208.820000000298023,10591603.190000001341105
20161229,2651502.380000000353903,2602816.120000000111759,2659545.880000000353903,2660825.040000000037253,10574689.420000001788139
20161230,2630832.640000000130385,2608449.879999999888241,2659375.060000000521541,2652173.060000000055879,10550830.640000000596046
20170103,2638328.260000000242144,2653167.849999999627471,2681410.840000000316650,2699504.479999999981374,10672411.429999999701977
20170104,2635375.439999999944121,2685209.860000000335276,2709596.140000000130385,2734112.400000000372529,10764293.840000001713634
20170105,2648776.700000000186265,2652111.519999999552965,2711133.520000000484288,2732585.580000000074506,10744607.320000000298023
20170106,2678304.899999999906868,2657393.169999999925494,2717795.500000000000000,2773300.780000000260770,10826794.350000001490116
20170109,2702836.020000000018626,2671125.459999999962747,2704471.540000000037253,2757523.640000000130385,10835956.660000000149012
20170110,2705561.700000000186265,2698942.150000000372529,2717283.040000000037253,2758032.580000000074506,10879819.470000000670552
20170111,2720098.660000000149012,2708097.009999999776483,2722920.100000000558794,2785006.400000000372529,10936122.170000001788139
20170112,2708741.660000000149012,2707040.679999999701977,2703959.080000000074506,2736402.630000000353903,10856144.050000000745058
20170113,2703971.720000000204891,2697885.820000000298023,2713183.360000000335276,2749889.540000000037253,10864930.440000001341105
20170117,2725777.160000000149012,2697181.599999999627471,2693368.240000000223517,2747599.310000000055879,10863926.310000000521541
20170118,2725550.020000000018626,2728519.389999999664724,2704471.540000000037253,2752434.240000000223517,10910975.190000001341105
20170119,2720780.080000000074506,2700350.589999999850988,2716087.300000000279397,2730040.880000000353903,10867258.850000001490116
20170120,2725777.160000000149012,2683097.200000000186265,2725140.760000000242144,2739710.740000000223517,10873725.860000001266599
20170123,2727594.280000000260770,2674998.669999999925494,2696272.180000000167638,2725969.360000000335276,10824834.490000002086163
20170124,2725095.740000000223517,2726406.730000000447035,2742564.400000000372529,2745818.020000000484288,10939884.890000000596046
20170125,2768479.479999999981374,2707392.790000000037253,2858892.820000000298023,2749380.600000000558794,11084145.690000001341105
20170126,2769842.320000000298023,2708801.230000000447035,2888957.140000000130385,2749889.540000000037253,11117490.230000000447035
20170127,2770069.460000000428408,2705984.349999999627471,2864700.700000000186265,2781443.820000000298023,11122198.330000001937151
20170130,2762800.979999999981374,2721125.080000000074506,2828316.040000000037253,2823176.900000000372529,11135419.000000000000000
20170131,2756441.060000000055879,2689435.179999999701977,2791589.740000000223517,2815797.270000000484288,11053263.250000000000000
20170201,2924524.660000000149012,2702815.360000000335276,2800984.840000000316650,2832337.820000000298023,11260662.680000001564622
20170202,2919527.580000000074506,2694012.610000000335276,2771774.620000000111759,2814779.390000000130385,11200094.200000001117587
20170203,2932020.280000000260770,2747885.440000000409782,2774166.100000000558794,2806890.820000000298023,11260962.640000000596046
20170206,2959504.219999999739230,2740139.019999999552965,2801155.660000000149012,2788314.510000000242144,11289113.409999998286366
20170207,2987669.580000000074506,2736617.919999999925494,2844202.300000000279397,2773809.720000000204891,11342299.520000001415610
20170208,2999253.719999999739230,2739434.799999999813735,2798251.720000000204891,2773809.720000000204891,11310749.960000000894070
20170209,3007885.040000000037253,2752814.980000000447035,2806280.260000000242144,2786278.750000000000000,11353259.030000001192093
20170210,3001070.840000000316650,2763378.280000000260770,2839590.160000000149012,2780425.940000000409782,11384465.220000002533197
20170213,3027646.219999999739230,2778519.009999999776483,2870337.760000000242144,2790350.270000000484288,11466853.260000001639128
20170214,3066941.440000000409782,2796124.509999999776483,2878366.300000000279397,2807654.229999999981374,11549086.480000000447035
20170215,3078071.299999999813735,2802814.599999999627471,2892031.900000000372529,2803837.180000000167638,11576754.980000000447035
20170216,3074437.060000000055879,2799645.610000000335276,2917825.720000000204891,2817324.089999999850988,11609232.480000000447035
20170217,3082841.240000000223517,2806687.809999999590218,2950281.520000000484288,2800783.540000000037253,11640594.109999999403954
20170221,3105100.959999999962747,2815842.669999999925494,2998965.220000000204891,2799511.190000000409782,11719420.039999999105930
20170222,3114413.700000000651926,2811969.459999999962747,2995548.820000000298023,2802310.360000000335276,11724242.339999999850988
20170223,3101239.580000000074506,2818659.549999999813735,3021171.820000000298023,2792386.030000000260770,11733456.980000000447035
20170224,3104192.399999999906868,2808448.360000000335276,3031079.380000000353903,2807399.760000000242144,11751119.900000000372529
