訓練日期,20160115 - 20160419
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11367776.589999997988343
真實報酬,1367776.589999997988343

夏普值報酬,0.128077659000000
夏普值風險,0.039427965803013
夏普值,3.248396319503079

預期報酬,21247.348916457576706
風險,80314.445616277022054
趨勢值,0.264552021164066
找到最佳解世代,2527
找到最佳解實驗#,2
找到最佳解次數,16

stock[index](rank)
投資組合檔數,5
KO[14](2),MMM[16](1),MRK[17](20),PG[21](9),UNH[23](3),
20160217,2076885.550000000046566,2218723.040000000037253,1953668.000000000000000,2165456.899999999906868,2136149.780000000260770,10550883.269999999552965
20160218,2082616.149999999906868,2220989.599999999627471,1942857.199999999953434,2153113.290000000037253,2120801.330000000074506,10520377.570000000298023
20160219,2090256.949999999953434,2216314.819999999366701,1935135.199999999953434,2148123.319999999832362,2124954.440000000409782,10514784.730000000447035
20160222,2098375.299999999813735,2234022.319999999366701,1960231.700000000186265,2157052.739999999757856,2189779.070000000298023,10639461.129999998956919
20160223,2086436.549999999813735,2212348.339999999850988,1951351.399999999906868,2148648.580000000074506,2187612.230000000447035,10586397.099999999627471
20160224,2096942.649999999674037,2227222.639999999664724,1952123.600000000093132,2142082.830000000074506,2170458.080000000074506,10588829.799999998882413
20160225,2108881.399999999441206,2252296.459999999962747,1969112.000000000000000,2162567.969999999739230,2188515.080000000074506,10681372.909999998286366
20160226,2060171.299999999813735,2242096.940000000409782,1955212.399999999906868,2130001.849999999627471,2190862.490000000223517,10578344.980000000447035
20160229,2059693.750000000000000,2222264.540000000037253,1938610.100000000093132,2108728.819999999832362,2150595.379999999888241,10479892.589999999850988
20160301,2086436.549999999813735,2260796.059999999590218,1998069.500000000000000,2133416.040000000037253,2197001.870000000111759,10675720.019999999552965
20160302,2090256.949999999953434,2258246.179999999701977,2018146.700000000186265,2168083.199999999720603,2189779.070000000298023,10724512.099999999627471
20160303,2099330.399999999441206,2257821.200000000186265,2011583.000000000000000,2175699.469999999739230,2199710.419999999925494,10744144.490000000223517
20160304,2106493.649999999441206,2267595.740000000223517,2010810.800000000046566,2192770.419999999459833,2199349.280000000260770,10777019.890000000596046
20160307,2101718.149999999441206,2274678.740000000223517,2032432.399999999906868,2182527.849999999627471,2198627.000000000000000,10789984.139999998733401
20160308,2116522.200000000186265,2269437.319999999366701,2025096.500000000000000,2181477.330000000074506,2196821.299999999813735,10789354.649999998509884
20160309,2139922.150000000372529,2267879.059999999590218,2021621.600000000093132,2178851.029999999795109,2186709.379999999888241,10794983.219999998807907
20160310,2159979.250000000000000,2265045.859999999403954,2047876.399999999906868,2160992.189999999944121,2204585.809999999590218,10838479.509999997913837
20160311,2158546.599999999627471,2293236.200000000186265,2054054.000000000000000,2147072.799999999813735,2258937.379999999888241,10911846.980000000447035
20160314,2162844.549999999813735,2292244.580000000074506,2049420.800000000046566,2131840.259999999776483,2261104.219999999739230,10897454.410000000149012
20160315,2160456.799999999813735,2300744.179999999701977,2023938.199999999953434,2135517.080000000074506,2254423.129999999888241,10875079.390000000596046
20160316,2151383.349999999627471,2307543.859999999403954,2005405.399999999906868,2136304.969999999739230,2255325.980000000447035,10855963.559999998658895
20160317,2185766.950000000186265,2319726.620000000111759,1989575.300000000046566,2173335.799999999813735,2248644.889999999664724,10917049.559999998658895
20160318,2177648.599999999627471,2342108.900000000372529,2017374.500000000000000,2183841.000000000000000,2288189.719999999739230,11009162.719999998807907
20160321,2180991.450000000186265,2335167.559999999590218,2038610.000000000000000,2188305.709999999497086,2288550.859999999403954,11031625.579999998211861
20160322,2172873.099999999627471,2336159.179999999701977,2047490.300000000046566,2173073.169999999459833,2311663.820000000298023,11041259.569999998435378
20160323,2170962.899999999441206,2327092.940000000409782,2049420.800000000046566,2175174.209999999497086,2343624.709999999962747,11066275.559999998658895
20160324,2176693.500000000000000,2329784.480000000447035,2049034.699999999953434,2177012.619999999646097,2321956.309999999590218,11054481.609999999403954
20160328,2187199.599999999627471,2355566.599999999627471,2039768.300000000046566,2169921.609999999869615,2327915.120000000111759,11080371.230000000447035
20160329,2219673.000000000000000,2328792.859999999403954,2058687.199999999953434,2174648.949999999720603,2344346.990000000223517,11126149.000000000000000
20160330,2224448.500000000000000,2362224.620000000111759,2054826.199999999953434,2171497.390000000130385,2341638.440000000409782,11154635.150000002235174
20160331,2215375.049999999813735,2360524.700000000186265,2042857.099999999860302,2161780.080000000074506,2327553.980000000447035,11108090.910000000149012
20160401,2236387.250000000000000,2373274.099999999627471,2073359.000000000000000,2193820.939999999944121,2345972.120000000111759,11222813.410000000149012
20160404,2239252.549999999813735,2357266.519999999552965,2100386.000000000000000,2185416.779999999795109,2338207.610000000335276,11220529.460000000894070
20160405,2222060.750000000000000,2348908.580000000074506,2094208.400000000139698,2184103.629999999888241,2293967.959999999962747,11143249.320000000298023
20160406,2230656.649999999441206,2363074.580000000074506,2147876.300000000279397,2201174.580000000074506,2311844.389999999664724,11254626.500000000000000
20160407,2213942.399999999441206,2368032.679999999701977,2139768.200000000186265,2186204.669999999459833,2290898.269999999552965,11198846.219999998807907
20160408,2238297.450000000186265,2360524.700000000186265,2137451.600000000093132,2185154.149999999906868,2269410.440000000409782,11190838.339999999850988
20160411,2217762.799999999813735,2359958.059999999590218,2125482.500000000000000,2172810.540000000037253,2281147.490000000223517,11157161.389999998733401
20160412,2227791.349999999627471,2380357.099999999627471,2136679.399999999906868,2175436.839999999850988,2289634.280000000260770,11209898.969999998807907
20160413,2198660.799999999813735,2388290.059999999590218,2160617.600000000093132,2165719.529999999795109,2306969.000000000000000,11220256.989999998360872
20160414,2188632.250000000000000,2382198.679999999701977,2179536.500000000000000,2153901.180000000167638,2310941.540000000037253,11215210.149999998509884
20160415,2201526.099999999627471,2390981.599999999627471,2167567.399999999906868,2161517.449999999720603,2299204.490000000223517,11220797.039999999105930
20160418,2207256.700000000186265,2401889.419999999925494,2181853.100000000093132,2175436.839999999850988,2307871.849999999627471,11274307.910000000149012
20160419,2225403.599999999627471,2403306.019999999552965,2195366.600000000093132,2187255.189999999944121,2356445.179999999701977,11367776.589999997988343
