訓練日期,20140826 - 20141125
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11503423.120000001043081
真實報酬,1503423.120000001043081

夏普值報酬,0.141642312000000
夏普值風險,0.041311333061727
夏普值,3.428655080879647

預期報酬,19801.083240271207615
風險,149210.641556546819629
趨勢值,0.132705570016379
找到最佳解世代,1830
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),NKE[19](1),UNH[23](2),
20140923,3371970.600000000093132,3337498.600000000558794,3426320.150000000372529,10135790.350000001490116
20140924,3402558.700000000651926,3367490.920000000391155,3490421.930000000167638,10260472.550000000745058
20140925,3363116.150000000372529,3322502.440000000409782,3410096.860000000800937,10095716.450000001117587
20140926,3396924.050000000279397,3728231.880000000353903,3426715.840000000316650,10551872.770000001415610
20140929,3400948.800000000279397,3712402.600000000558794,3423154.630000000819564,10536507.030000001192093
20140930,3433951.750000000000000,3715735.080000000540167,3412866.690000000409782,10562554.519999999552965
20141001,3440391.350000000558794,3653251.080000000540167,3358657.160000000149012,10452300.590000001713634
20141002,3433951.750000000000000,3719900.680000000167638,3359448.540000000502914,10513301.970000000670552
20141003,3461320.050000000279397,3761556.680000000167638,3403765.820000000298023,10626643.550000000745058
20141006,3509617.050000000279397,3716568.200000000186265,3366966.650000000372529,10593152.900000000372529
20141007,3535375.450000000186265,3669080.360000000335276,3331354.550000000279397,10535811.360000001266599
20141008,3586087.300000000279397,3700738.920000000391155,3427507.220000000670552,10714334.440000001341105
20141009,3531350.700000000186265,3634089.320000000298023,3361031.300000000279397,10526472.320000000298023
20141010,3579647.700000000186265,3632423.080000000540167,3378837.350000000558794,10590909.130000002682209
20141013,3547449.700000000186265,3557442.280000000726432,3321857.990000000689179,10426750.970000000670552
20141014,3512836.850000000093132,3544945.479999999981374,3277145.020000000018626,10334928.349999999627471
20141015,3479833.899999999906868,3548277.960000000428408,3251029.480000000447035,10279142.339999999850988
20141016,3425902.250000000465661,3625758.120000000577420,3378837.350000000558794,10430498.720000002533197
20141017,3451660.650000000372529,3631589.960000000428408,3489234.860000000800937,10572486.470000002533197
20141020,3484663.600000000093132,3703238.280000000726432,3503479.700000000651926,10691382.580000001937151
20141021,3274571.650000000372529,3775719.720000000204891,3598840.990000000689179,10649133.360000001266599
20141022,3269741.950000000186265,3743228.040000000502914,3552149.570000000298023,10565120.560000000521541
20141023,3289060.750000000465661,3764889.160000000149012,3587365.980000000447035,10641316.890000000596046
20141024,3302744.900000000372529,3786550.280000000726432,3626143.600000000558794,10715439.780000001192093
20141027,3281011.250000000000000,3817375.720000000204891,3645532.410000000149012,10743920.380000000819564
20141028,3264912.250000000465661,3851533.640000000130385,3665712.600000000558794,10782159.490000002086163
20141029,3297110.250000000465661,3830705.640000000130385,3678374.680000000167638,10806191.570000000298023
20141030,3332528.050000000279397,3874027.880000000353903,3714778.160000000149012,10921335.089999999850988
20141031,3371165.650000000372529,3873194.760000000707805,3759491.130000000819564,11003852.540000002831221
20141103,3365531.000000000465661,3893189.640000000130385,3753555.780000000260770,11012277.420000001788139
20141104,3366335.950000000186265,3914017.640000000130385,3758304.060000000521541,11038658.650000000372529
20141105,3405778.500000000465661,3944009.960000000428408,3790750.640000000130385,11140540.100000001490116
20141106,3404168.600000000093132,3940677.479999999981374,3806973.930000000167638,11151821.009999999776483
20141107,3406583.450000000186265,3906519.560000000521541,3704094.530000000260770,11017198.540000000968575
20141110,3412218.100000000093132,3955673.640000000130385,3749203.190000000409782,11117095.929999999701977
20141111,3421877.500000000000000,3952341.160000000149012,3786398.050000000279397,11160617.710000000894070
20141112,3437976.500000000465661,3991497.800000000279397,3786002.360000000800937,11215477.660000002011657
20141113,3444416.100000000093132,4003994.600000000558794,3794707.540000000502914,11243119.240000002086163
20141114,3439586.399999999906868,3978167.880000000353903,3763448.030000000260770,11181203.310000000521541
20141117,3454880.450000000186265,4001495.240000000223517,3817261.870000000577420,11273638.560000000521541
20141118,3503982.400000000372529,4018990.760000000707805,3885320.550000000279397,11408294.710000000894070
20141119,3559523.950000000186265,4038985.640000000130385,3832693.780000000260770,11431204.370000001043081
20141120,3561938.800000000279397,4053148.680000000167638,3832298.090000000316650,11447386.570000000298023
20141121,3582062.550000000279397,4058147.400000000372529,3826758.430000000167638,11466969.380000000819564
20141124,3563548.700000000651926,4080641.640000000130385,3834276.540000000502914,11478467.880000000819564
20141125,3576427.900000000372529,4053148.680000000167638,3873845.540000000502914,11503423.120000001043081
