訓練日期,20180518 - 20180820
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11274990.660000000149012
真實報酬,1274990.660000000149012

夏普值報酬,0.118799066000000
夏普值風險,0.033220020050935
夏普值,3.576128666323774

預期報酬,18017.290716062569118
風險,75518.995766898922739
趨勢值,0.238579585614138
找到最佳解世代,3243
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](11),MSFT[18](5),PFE[20](9),PG[21](1),VZ[26](4),
20180601,2021797.819999999832362,2095860.340000000083819,2030243.239999999990687,1986209.090000000316650,1998328.120000000111759,10132438.609999999403954
20180604,2065069.730000000214204,2114159.059999999590218,2041444.440000000176951,2005949.020000000251457,1998746.090000000083819,10225368.340000001713634
20180605,2071328.510000000009313,2124971.939999999478459,2040884.379999999888241,2000270.410000000149012,2005015.639999999897555,10242470.879999998956919
20180606,2089133.659999999916181,2131210.139999999664724,2037524.020000000018626,2010545.989999999990687,2023406.319999999832362,10291820.130000000819564
20180607,2116974.439999999478459,2097731.799999999813735,2043684.680000000167638,2048673.800000000279397,2048484.520000000018626,10355549.240000000223517
20180608,2140283.000000000000000,2113327.299999999813735,2053765.760000000009313,2087072.020000000251457,2055590.010000000009313,10450038.089999999850988
20180611,2154419.209999999962747,2101266.779999999329448,2033043.539999999804422,2096536.370000000111759,2060605.649999999906868,10445871.549999998882413
20180612,2172440.179999999701977,2106673.219999999739230,2033043.539999999804422,2088694.479999999981374,2040125.120000000111759,10440976.539999999105930
20180613,2161649.179999999701977,2097107.979999999748543,2028563.059999999823049,2067872.910000000149012,1981191.350000000093132,10336384.479999998584390
20180614,2154742.939999999478459,2108960.559999999590218,2025202.699999999720603,2054893.229999999981374,1998746.090000000083819,10342545.519999999552965
20180615,2164131.110000000335276,2082136.299999999813735,2036403.899999999906868,2092480.219999999972060,2008777.370000000111759,10383928.900000000372529
20180618,2165749.759999999776483,2097315.919999999925494,2025202.699999999720603,2050837.080000000307336,1983699.170000000158325,10322804.629999998956919
20180619,2149779.080000000074506,2097315.919999999925494,2028563.059999999823049,2064087.170000000158325,2027168.050000000046566,10366913.279999999329448
20180620,2148376.250000000000000,2118317.860000000335276,2042004.500000000000000,2051107.489999999990687,2010031.280000000260770,10369837.380000000819564
20180621,2161649.179999999701977,2103138.240000000223517,2033043.539999999804422,2067061.680000000167638,2032601.660000000149012,10397494.300000000745058
20180622,2130355.280000000260770,2087958.619999999878928,2044804.799999999813735,2093832.270000000251457,2079832.270000000018626,10436783.240000000223517
20180625,2119240.549999999813735,2045954.739999999757856,2037524.020000000018626,2103567.030000000260770,2073144.750000000000000,10379431.089999999850988
20180626,2119024.730000000447035,2060302.599999999860302,2037524.020000000018626,2109245.640000000130385,2060605.649999999906868,10386702.640000000596046
20180627,2104564.790000000037253,2028279.840000000083819,2028003.000000000000000,2100862.930000000167638,2061023.620000000111759,10322734.179999999701977
20180628,2106615.080000000074506,2050945.299999999813735,2036403.899999999906868,2110597.689999999944121,2125808.969999999739230,10430370.939999997615814
20180629,2105428.070000000298023,2050529.419999999925494,2031923.420000000158325,2110868.100000000093132,2102820.620000000111759,10401569.629999998956919
20180702,2093773.790000000037253,2079641.020000000018626,2034723.719999999972060,2112760.970000000204891,2107418.290000000037253,10428317.789999999105930
20180703,2089457.390000000130385,2059678.779999999795109,2035843.840000000083819,2106541.540000000502914,2119121.450000000186265,10410643.000000000000000
20180705,2097982.280000000260770,2074442.520000000018626,2064966.959999999962747,2141965.250000000000000,2143363.709999999962747,10522720.719999998807907
20180706,2098737.649999999441206,2103554.120000000111759,2078408.399999999906868,2144669.350000000093132,2151723.110000000335276,10577092.629999998956919
20180709,2116003.250000000000000,2117901.979999999515712,2081208.699999999720603,2105459.899999999906868,2120793.330000000074506,10541367.160000000149012
20180710,2132513.480000000447035,2123516.360000000335276,2096330.320000000065193,2158460.259999999776483,2145871.530000000260770,10656691.950000002980232
20180711,2125391.419999999925494,2120605.200000000186265,2084009.000000000000000,2140613.200000000186265,2145871.530000000260770,10616490.350000001490116
20180712,2136182.419999999925494,2166559.939999999478459,2101370.860000000335276,2133312.130000000353903,2141691.830000000074506,10679117.179999999701977
20180713,2144167.759999999776483,2192344.500000000000000,2101930.919999999925494,2144669.350000000093132,2148797.320000000298023,10731909.849999999627471
20180716,2146218.049999999813735,2181531.620000000111759,2093530.020000000018626,2150618.370000000111759,2156320.780000000260770,10728218.839999999850988
20180717,2170174.070000000298023,2203157.379999999888241,2108651.639999999664724,2164138.870000000111759,2149633.259999999776483,10795755.220000000670552
20180718,2168771.240000000223517,2185898.360000000335276,2109211.700000000186265,2155756.160000000149012,2137512.129999999888241,10757149.589999999850988
20180719,2186684.299999999813735,2170926.679999999701977,2092409.899999999906868,2128985.570000000298023,2121211.299999999813735,10700217.750000000000000
20180720,2184741.919999999925494,2209811.459999999962747,2090729.719999999972060,2127633.520000000484288,2115777.689999999478459,10728694.310000000521541
20180723,2182367.899999999441206,2245161.259999999776483,2084009.000000000000000,2123036.550000000279397,2121211.299999999813735,10755786.009999997913837
20180724,2179778.060000000521541,2238715.120000000111759,2111451.940000000409782,2136016.229999999981374,2152977.019999999552965,10818938.370000001043081
20180725,2169094.969999999739230,2304632.099999999627471,2127693.679999999701977,2148995.910000000149012,2127898.820000000298023,10878315.480000000447035
20180726,2151829.370000000111759,2279471.360000000335276,2137214.700000000186265,2165761.330000000074506,2139184.009999999776483,10873460.770000001415610
20180727,2127441.709999999962747,2239131.000000000000000,2151216.200000000186265,2179011.419999999925494,2173875.519999999552965,10870675.849999999627471
20180730,2128952.450000000186265,2191096.860000000335276,2161297.280000000260770,2168735.840000000316650,2193938.080000000074506,10844020.510000001639128
20180731,2131542.290000000037253,2205860.599999999627471,2236345.320000000298023,2187123.720000000204891,2158410.629999999888241,10919282.559999998658895
20180801,2118377.270000000484288,2210019.399999999441206,2255387.360000000335276,2180904.290000000502914,2162172.360000000335276,10926860.679999999701977
20180802,2111471.030000000260770,2236843.660000000149012,2220663.639999999664724,2217409.640000000130385,2172621.610000000335276,10959009.580000001937151
20180803,2111255.209999999962747,2246616.839999999850988,2270508.979999999515712,2226333.169999999925494,2184742.740000000223517,11039456.939999999478459
20180806,2111794.759999999776483,2248488.299999999813735,2298511.979999999515712,2231470.959999999962747,2193520.110000000335276,11083786.109999999403954
20180807,2126470.520000000484288,2264083.799999999813735,2287310.780000000260770,2234715.880000000353903,2192684.169999999925494,11105265.150000000372529
20180808,2136937.790000000037253,2276768.139999999664724,2319234.200000000186265,2226873.989999999757856,2202715.450000000186265,11162529.570000000298023
20180809,2137585.250000000000000,2280511.059999999590218,2296271.740000000223517,2201185.040000000502914,2215672.519999999552965,11131225.609999999403954
20180810,2118377.270000000484288,2266579.080000000074506,2292351.320000000298023,2201996.270000000484288,2193102.139999999664724,11072406.080000001937151
20180813,2095068.709999999729916,2250151.819999999366701,2285630.600000000558794,2204429.959999999962747,2182652.889999999664724,11017933.980000000447035
20180814,2083846.069999999832362,2278223.719999999739230,2280030.000000000000000,2198751.350000000093132,2209820.939999999478459,11050672.079999998211861
20180815,2093450.060000000055879,2238715.120000000111759,2305232.700000000186265,2225521.939999999944121,2225285.830000000074506,11088205.650000000372529
20180816,2108557.459999999962747,2238299.240000000223517,2319794.259999999776483,2263108.930000000167638,2268336.740000000223517,11198096.630000000819564
20180817,2110391.929999999701977,2237051.599999999627471,2357318.280000000260770,2263108.930000000167638,2290071.179999999701977,11257941.919999999925494
20180820,2135966.599999999627471,2222287.860000000335276,2370759.719999999739230,2261756.880000000353903,2284219.599999999627471,11274990.660000000149012
