訓練日期,20130815 - 20131114
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11682394.109999999403954
真實報酬,1682394.109999999403954

夏普值報酬,0.159539411000000
夏普值風險,0.048203614045757
夏普值,3.309698124471729

預期報酬,23292.876487695502874
風險,143172.709046154486714
趨勢值,0.162690757497552
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),NKE[19](1),UNH[23](26),
20130918,3789041.480000000447035,3599626.120000000111759,3358623.650000000372529,10747292.250000000000000
20130919,3809522.760000000242144,3600662.279999999795109,3257461.050000000279397,10667647.089999999850988
20130920,3732397.939999999944121,3594445.319999999366701,3245045.639999999664724,10571889.899999998509884
20130923,3760559.700000000186265,3573722.120000000111759,3302524.389999999664724,10636807.210000000894070
20130924,3808242.680000000167638,3597553.799999999813735,3325515.889999999664724,10731313.370000001043081
20130925,3792561.700000000186265,3570613.639999999664724,3309881.670000000391155,10673058.009999999776483
20130926,3820403.439999999944121,3644181.000000000000000,3318158.609999999869615,10782744.049999998882413
20130927,3799922.160000000149012,3815147.399999999906868,3310341.500000000000000,10925412.060000000521541
20130930,3760239.680000000167638,3763339.399999999906868,3292867.959999999962747,10816448.039999999105930
20131001,3768240.180000000167638,3751941.639999999664724,3337471.470000000204891,10857654.290000000968575
20131002,3771120.360000000335276,3725001.479999999981374,3337011.639999999664724,10833134.480000000447035
20131003,3687915.160000000149012,3711531.399999999906868,3334712.489999999757856,10734160.050000000745058
20131004,3750639.080000000074506,3737435.399999999906868,3356324.500000000000000,10844399.980000000447035
20131007,3734318.060000000055879,3695989.000000000000000,3318618.439999999944121,10748926.500000000000000
20131008,3694315.560000000055879,3641072.520000000018626,3286890.170000000391155,10622279.250000000000000
20131009,3663273.620000000111759,3673193.479999999981374,3282291.869999999646097,10618759.969999998807907
20131010,3805042.480000000447035,3804785.799999999813735,3401847.670000000391155,11011676.950000001117587
20131011,3775600.640000000130385,3805821.959999999497086,3415182.739999999757856,10996606.339999999850988
20131014,3822963.600000000093132,3836906.759999999776483,3435875.089999999850988,11095746.449999999254942
20131015,3782001.040000000502914,3818255.879999999888241,3396789.540000000502914,10997047.460000000894070
20131016,3851125.360000000335276,3860738.439999999478459,3457487.100000000093132,11169351.900000000372529
20131017,3913529.260000000242144,3861774.600000000093132,3281832.040000000502914,11057136.900000000372529
20131018,3920889.720000000204891,3934305.799999999813735,3161816.410000000149012,11017012.929999999701977
20131021,3887287.620000000111759,3942595.079999999608845,3136065.930000000167638,10965949.629999998956919
20131022,3919609.640000000130385,3935341.959999999497086,3166414.709999999962747,11021367.309999998658895
20131023,4128902.720000000670552,3914618.759999999776483,3127329.160000000149012,11170851.640000000596046
20131024,4127622.639999999664724,3912546.439999999478459,3108935.959999999962747,11149106.039999999105930
20131025,4198347.060000000521541,3921871.879999999888241,3109395.790000000502914,11229615.730000000447035
20131028,4156424.439999999944121,3912546.439999999478459,3078127.350000000093132,11147099.229999998584390
20131029,4149384.000000000000000,3933269.639999999664724,3130547.970000000204891,11213202.609999999403954
20131030,4150024.040000000502914,3944667.399999999906868,3127329.160000000149012,11222021.600000001490116
20131031,4176265.680000000167638,3924980.359999999869615,3138824.910000000149012,11240071.949999999254942
20131101,4257230.740000000223517,3940522.759999999776483,3155838.619999999646097,11353593.119999999180436
20131104,4249550.259999999776483,3957101.319999999366701,3170553.180000000167638,11377205.759999999776483
20131105,4274511.820000000298023,3999583.879999999888241,3159977.089999999850988,11434073.789999999105930
20131106,4259150.859999999403954,3976788.359999999869615,3232170.400000000372529,11468110.619999999180436
20131107,4208587.699999999254942,3921871.879999999888241,3207799.410000000149012,11338259.989999998360872
20131108,4271951.660000000149012,3995439.240000000223517,3241826.830000000074506,11509218.730000000447035
20131111,4241229.740000000223517,3997511.559999999590218,3241826.830000000074506,11480569.129999998956919
20131112,4234829.339999999850988,3983005.319999999366701,3216536.180000000167638,11434371.839999999850988
20131113,4261711.019999999552965,4032741.000000000000000,3265278.160000000149012,11559731.179999999701977
20131114,4323154.859999999403954,4074187.399999999906868,3285050.850000000093132,11682394.109999999403954
