訓練日期,20120606 - 20120906
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11797006.039999999105930
真實報酬,1797006.039999999105930

夏普值報酬,0.171000604000000
夏普值風險,0.046512422524190
夏普值,3.676450176532230

預期報酬,27301.868110393417737
風險,111102.464432753477013
趨勢值,0.245735936189951
找到最佳解世代,2173
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),CSCO[4](23),MRK[17](8),WBA[27](17),WMT[28](10),
20120719,2183080.000000000000000,2069478.639999999897555,2343464.520000000018626,2264224.080000000074506,2184120.020000000018626,11044367.259999999776483
20120720,2147508.750000000000000,2029776.559999999823049,2315198.029999999795109,2262916.040000000037253,2206104.500000000000000,10961503.879999998956919
20120723,2145767.500000000000000,1993796.550000000046566,2307731.410000000149012,2218442.680000000633299,2193890.899999999906868,10859629.040000000968575
20120724,2135568.750000000000000,1875930.999999999767169,2276798.270000000018626,2230869.059999999590218,2202745.760000000242144,10721912.839999997988343
20120725,2043282.499999999767169,1913151.699999999953434,2273064.959999999962747,2266186.139999999664724,2200913.719999999739230,10696599.019999999552965
20120726,2043033.749999999767169,1908188.940000000176951,2310931.390000000130385,2287114.780000000260770,2249462.780000000260770,10798731.640000000596046
20120727,2079351.249999999767169,1946650.329999999841675,2405330.800000000279397,2336166.280000000260770,2275416.679999999701977,11042915.339999999850988
20120730,2114425.000000000000000,1968982.749999999767169,2372264.339999999850988,2372137.379999999888241,2289462.320000000298023,11117271.789999999105930
20120731,2170393.750000000000000,1978908.269999999785796,2355731.109999999869615,2378023.559999999590218,2272668.620000000111759,11155725.309999998658895
20120801,2156463.750000000000000,1982630.340000000083819,2361597.740000000223517,2372137.379999999888241,2247936.080000000074506,11120765.290000000968575
20120802,2159946.250000000000000,1952853.780000000027940,2341864.529999999795109,2338128.339999999850988,2261065.699999999720603,11053858.599999999627471
20120803,2188055.000000000000000,2028535.870000000111759,2354664.449999999720603,2341398.439999999478459,2276332.699999999720603,11188986.459999999031425
20120806,2212432.500000000000000,2070719.330000000074506,2372797.669999999925494,2340744.419999999925494,2268088.520000000018626,11264782.439999999478459
20120807,2206462.500000000000000,2126550.379999999888241,2346664.500000000000000,2356440.900000000372529,2259233.659999999683350,11295351.940000001341105
20120808,2202731.250000000000000,2129031.759999999776483,2349864.479999999981374,2370175.320000000298023,2269004.540000000037253,11320807.350000001490116
20120809,2205965.000000000000000,2196029.019999999552965,2361597.740000000223517,2360365.020000000484288,2254958.899999999906868,11378915.680000001564622
20120810,2209198.750000000000000,2176177.979999999515712,2377064.310000000055879,2365597.180000000633299,2249768.120000000111759,11377806.339999999850988
20120813,2238800.000000000000000,2151364.179999999701977,2369064.359999999869615,2352516.780000000260770,2241218.600000000093132,11352963.919999999925494
20120814,2244770.000000000000000,2130272.450000000186265,2368531.029999999795109,2335512.259999999776483,2259844.340000000316650,11338930.080000000074506
20120815,2241785.000000000000000,2152604.870000000111759,2349864.479999999981374,2325701.959999999962747,2273279.300000000279397,11343235.609999999403954
20120816,2261436.250000000000000,2359800.099999999627471,2343464.520000000018626,2323085.879999999888241,2203051.100000000093132,11490837.849999999627471
20120817,2303226.250000000000000,2364762.859999999403954,2311464.720000000204891,2344014.520000000484288,2198165.659999999683350,11521634.010000001639128
20120820,2363672.500000000000000,2349874.580000000074506,2333331.250000000000000,2356440.900000000372529,2207631.199999999720603,11610950.429999999701977
20120821,2331335.000000000000000,2377169.759999999776483,2290131.520000000018626,2331588.139999999664724,2181066.620000000111759,11511291.039999999105930
20120822,2376856.250000000000000,2384613.899999999441206,2288531.529999999795109,2325047.939999999478459,2191448.179999999701977,11566497.799999998882413
20120823,2354717.500000000000000,2373447.689999999478459,2282664.899999999906868,2332242.160000000149012,2185036.040000000037253,11528108.289999999105930
20120824,2356956.250000000000000,2382132.519999999552965,2299731.459999999962747,2331588.139999999664724,2201829.739999999757856,11572238.109999999403954
20120827,2401233.750000000000000,2401983.559999999590218,2295998.149999999906868,2328318.040000000037253,2213738.000000000000000,11641271.500000000000000
20120828,2398000.000000000000000,2384613.899999999441206,2284264.890000000130385,2315237.639999999664724,2210989.939999999944121,11593106.369999999180436
20120829,2393273.750000000000000,2382132.519999999552965,2296531.479999999981374,2308697.439999999478459,2221982.179999999701977,11602617.369999999180436
20120830,2359195.000000000000000,2344911.819999999366701,2299731.459999999962747,2302811.259999999776483,2206104.500000000000000,11512754.039999999105930
20120831,2363921.250000000000000,2367244.240000000223517,2295998.149999999906868,2338782.360000000335276,2216791.399999999906868,11582737.400000000372529
20120904,2398497.500000000000000,2357318.719999999739230,2306664.750000000000000,2334858.240000000223517,2244577.340000000316650,11641916.550000000745058
20120905,2381831.250000000000000,2344911.819999999366701,2316798.020000000018626,2346630.600000000558794,2245798.699999999720603,11635970.390000000596046
20120906,2403223.750000000000000,2447889.089999999850988,2359464.419999999925494,2302157.240000000223517,2284271.540000000037253,11797006.039999999105930
