訓練日期,20190924 - 20191224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11731950.919999999925494
真實報酬,1731950.919999999925494

夏普值報酬,0.164495092000000
夏普值風險,0.044016464378188
夏普值,3.737126421301431

預期報酬,24557.545756152256217
風險,91073.318942430283641
趨勢值,0.269645885768978
找到最佳解世代,2027
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](3),MRK[17](15),NKE[19](10),
20191101,2924053.000000000000000,2775535.149999999906868,2517187.720000000204891,2542478.410000000149012,10759254.280000001192093
20191104,2943255.399999999906868,2829561.649999999906868,2486368.360000000335276,2561864.529999999795109,10821049.939999999478459
20191105,2939026.299999999813735,2826614.750000000000000,2457327.040000000502914,2562434.709999999962747,10785402.800000000745058
20191106,2940283.600000000093132,2829070.500000000000000,2467106.260000000242144,2551031.110000000335276,10787491.469999998807907
20191107,2965315.299999999813735,2829070.500000000000000,2456141.680000000167638,2577259.390000000130385,10827786.870000001043081
20191108,2973430.599999999627471,2861977.550000000279397,2477181.820000000298023,2560439.080000000074506,10873029.050000000745058
20191111,2996976.399999999906868,2865906.750000000000000,2467995.280000000260770,2567281.239999999757856,10898159.669999999925494
20191112,2994233.199999999720603,2858539.500000000000000,2492887.840000000316650,2551601.290000000037253,10897261.829999998211861
20191113,3022922.500000000000000,2843313.850000000093132,2513631.640000000130385,2602632.400000000372529,10982500.390000000596046
20191114,3002005.599999999627471,2839384.649999999906868,2505630.459999999962747,2602062.219999999739230,10949082.929999999701977
20191115,3037667.199999999720603,2846751.899999999906868,2516002.360000000335276,2652523.150000000372529,11052944.610000001266599
20191118,3052983.400000000372529,2860995.250000000000000,2493184.180000000167638,2685023.410000000149012,11092186.240000000223517
20191119,3043725.100000000093132,2865906.750000000000000,2508593.860000000335276,2668773.279999999795109,11086998.990000000223517
20191120,3008292.100000000093132,2843805.000000000000000,2526966.939999999944121,2652808.239999999757856,11031872.279999999329448
20191121,2994804.699999999720603,2859521.799999999813735,2532597.399999999906868,2627435.229999999981374,11014359.130000000819564
20191122,2992175.799999999813735,2829561.649999999906868,2532301.060000000521541,2661075.850000000093132,11015114.359999999403954
20191125,3044639.500000000000000,2888499.649999999906868,2539709.560000000521541,2648531.890000000130385,11121380.600000001490116
20191126,3020865.100000000093132,2892920.000000000000000,2588309.320000000298023,2660790.759999999776483,11162885.179999999701977
20191127,3061441.599999999627471,2873765.149999999906868,2596310.500000000000000,2683883.050000000279397,11215400.300000000745058
20191129,3054697.899999999906868,2851172.250000000000000,2583567.880000000353903,2665352.199999999720603,11154790.230000000447035
20191202,3019379.200000000186265,2832017.399999999906868,2579419.120000000577420,2667347.830000000074506,11098163.550000000745058
20191203,2965543.899999999906868,2753924.549999999813735,2589494.680000000167638,2635987.929999999701977,10944951.059999998658895
20191204,2991718.600000000093132,2751468.800000000279397,2627722.540000000502914,2671909.270000000018626,11042819.210000000894070
20191205,3035609.799999999813735,2754415.699999999720603,2630093.260000000242144,2730922.900000000372529,11151041.660000000149012
20191206,3094245.699999999720603,2790269.649999999906868,2633056.660000000149012,2765418.790000000037253,11282990.800000000745058
20191209,3050926.000000000000000,2776517.450000000186265,2629204.240000000223517,2754870.459999999962747,11211518.150000002235174
20191210,3068756.800000000279397,2779464.350000000093132,2640465.160000000149012,2765703.880000000353903,11254390.190000001341105
20191211,3094931.499999999534339,2803039.549999999813735,2636909.080000000540167,2770550.410000000149012,11305430.539999999105930
20191212,3102818.199999999720603,2826614.750000000000000,2654393.140000000130385,2785945.270000000018626,11369771.359999999403954
20191213,3144994.899999999441206,2838402.350000000093132,2643132.220000000204891,2787370.719999999739230,11413900.190000001341105
20191216,3198830.200000000186265,2833982.000000000000000,2646095.620000000577420,2817020.080000000074506,11495927.900000000372529
20191217,3205116.700000000186265,2814336.000000000000000,2638094.439999999944121,2840967.640000000130385,11498514.780000001192093
20191218,3197458.600000000093132,2807951.050000000279397,2655874.840000000316650,2867195.919999999925494,11528480.410000000149012
20191219,3200658.999999999534339,2846751.899999999906868,2666839.419999999925494,2883731.140000000130385,11597981.460000000894070
20191220,3194029.600000000093132,2895375.750000000000000,2713957.479999999981374,2849805.429999999701977,11653168.259999999776483
20191223,3246150.399999999906868,2909127.949999999720603,2718698.919999999925494,2852086.150000000372529,11726063.419999999925494
20191224,3249236.499999999534339,2917968.649999999906868,2709808.720000000204891,2854937.050000000279397,11731950.919999999925494
