訓練日期,20130909 - 20131209
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11745156.199999999254942
真實報酬,1745156.199999999254942

夏普值報酬,0.165815620000000
夏普值風險,0.045817868763462
夏普值,3.619016433436382

預期報酬,27059.978018576843169
風險,81688.267403134828783
趨勢值,0.331259051988883
找到最佳解世代,1605
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](22),BA[2](3),MSFT[18](1),NKE[19](2),UNH[23](29),
20130924,1963468.699999999953434,2243795.150000000372529,2084108.550000000046566,2137272.109999999869615,1953011.299999999813735,10381655.809999998658895
20130925,1933119.620000000111759,2234556.200000000186265,2087318.799999999813735,2121267.290000000037253,1943829.600000000093132,10320091.509999999776483
20130926,1951947.289999999571592,2250960.049999999813735,2104012.100000000093132,2164972.759999999776483,1948690.499999999767169,10420582.699999999254942
20130927,1937896.789999999571592,2238892.849999999627471,2136114.600000000093132,2266541.810000000055879,1944099.649999999906868,10523545.699999999254942
20130930,1914010.939999999711290,2215512.650000000372529,2136756.649999999906868,2235763.310000000055879,1933837.750000000000000,10435881.300000000745058
20131001,1958972.539999999571592,2220226.400000000372529,2156018.149999999906868,2228992.040000000037253,1960032.599999999860302,10524241.729999998584390
20131002,1965435.769999999785796,2221923.350000000558794,2177847.850000000093132,2212987.220000000204891,1959762.549999999813735,10537956.740000002086163
20131003,1940706.889999999897555,2172900.349999999627471,2173995.549999999813735,2204984.810000000055879,1958412.299999999813735,10450999.899999998509884
20131004,1939020.829999999841675,2209856.150000000372529,2175279.650000000372529,2220374.060000000055879,1971104.649999999906868,10515635.340000001713634
20131007,1958129.510000000009313,2200240.100000000558794,2138040.750000000000000,2195751.259999999776483,1948960.550000000046566,10441122.170000001788139
20131008,1930871.539999999571592,2176671.350000000558794,2119421.299999999813735,2163126.049999999813735,1930327.100000000093132,10320417.339999997988343
20131009,1953352.340000000083819,2158382.000000000000000,2123273.600000000093132,2182208.720000000204891,1927626.599999999860302,10344843.259999999776483
20131010,1965716.780000000027940,2241909.650000000372529,2167575.049999999813735,2260386.109999999869615,1997839.600000000093132,10633427.189999999478459
20131011,1978362.229999999981374,2224563.049999999813735,2191330.900000000372529,2261001.679999999701977,2005671.049999999813735,10660928.910000000149012
20131014,1991288.689999999711290,2252468.450000000186265,2211876.500000000000000,2279468.779999999795109,2017823.299999999813735,10752925.719999998807907
20131015,2001967.069999999599531,2228334.049999999813735,2214444.700000000186265,2268388.520000000018626,1994869.050000000046566,10708003.390000000596046
20131016,2011802.419999999925494,2269060.850000000558794,2224075.450000000186265,2293626.889999999664724,2030515.649999999906868,10829081.259999999776483
20131017,2025290.899999999674037,2305828.100000000558794,2242052.850000000093132,2294242.459999999962747,1927356.550000000046566,10794770.859999999403954
20131018,2042994.530000000027940,2310164.750000000000000,2244621.050000000279397,2337332.359999999869615,1856873.500000000000000,10791986.189999999478459
20131021,2093014.310000000055879,2290367.000000000000000,2246547.200000000186265,2342256.919999999459833,1841750.699999999953434,10813936.129999998956919
20131022,2087113.099999999627471,2309410.549999999813735,2220223.149999999906868,2337947.929999999701977,1859574.000000000000000,10814268.729999998584390
20131023,2107345.819999999366701,2432722.250000000000000,2167575.049999999813735,2325636.529999999795109,1836619.750000000000000,10869899.399999998509884
20131024,2135446.819999999366701,2431968.049999999813735,2165006.850000000093132,2324405.389999999664724,1825817.750000000000000,10882644.859999999403954
20131025,2111560.969999999739230,2473637.600000000558794,2294058.899999999906868,2329945.520000000018626,1826087.800000000046566,11035290.790000000968575
20131028,2127297.530000000260770,2448937.549999999813735,2283786.100000000093132,2324405.389999999664724,1807724.399999999906868,10992150.970000000670552
20131029,2074186.639999999897555,2444789.450000000186265,2280575.850000000093132,2336716.790000000037253,1838510.099999999860302,10974778.830000000074506
20131030,2107345.819999999366701,2445166.549999999813735,2281859.949999999720603,2343488.060000000055879,1836619.750000000000000,11014480.129999998956919
20131031,2098353.500000000000000,2460627.650000000372529,2273513.299999999813735,2331792.229999999981374,1843371.000000000000000,11007657.679999999701977
20131101,2087675.120000000111759,2508330.799999999813735,2281217.899999999906868,2341025.779999999795109,1853362.849999999860302,11071612.449999999254942
20131104,2114652.080000000074506,2503805.599999999627471,2307541.949999999720603,2350874.899999999906868,1862004.449999999953434,11138878.979999998584390
20131105,2109312.889999999664724,2518512.500000000000000,2352485.450000000186265,2376113.270000000018626,1855793.299999999813735,11212217.410000000149012
20131106,2091328.250000000000000,2509462.100000000558794,2451361.149999999906868,2362570.729999999981374,1898191.150000000139698,11312913.380000000819564
20131107,2057326.039999999571592,2479671.200000000186265,2407701.750000000000000,2329945.520000000018626,1883878.500000000000000,11158523.009999999776483
20131108,2089923.199999999953434,2517004.100000000558794,2425679.149999999906868,2373650.989999999757856,1903862.199999999953434,11310119.640000000596046
20131111,2083740.979999999981374,2498903.299999999813735,2413480.200000000186265,2374882.129999999888241,1903862.199999999953434,11274868.809999998658895
20131112,2087675.120000000111759,2495132.300000000745058,2398713.049999999813735,2366264.149999999906868,1889009.449999999953434,11236794.070000000298023
20131113,2090204.209999999729916,2510970.500000000000000,2450077.049999999813735,2395811.509999999776483,1917634.750000000000000,11364698.019999999552965
20131114,2120272.280000000260770,2547172.100000000558794,2441088.350000000093132,2420434.310000000055879,1929246.899999999906868,11458213.940000001341105
20131115,2107626.830000000074506,2565838.550000000745058,2429531.450000000186265,2438285.839999999850988,1940859.050000000046566,11482141.720000002533197
20131118,2082054.919999999925494,2608827.950000000186265,2388440.250000000000000,2418587.599999999627471,1935728.100000000093132,11433638.819999998435378
20131119,2085708.049999999813735,2582808.049999999813735,2358905.950000000186265,2395195.939999999478459,1933837.750000000000000,11356455.739999998360872
20131120,2067442.399999999674037,2497394.900000000372529,2380735.649999999906868,2395811.509999999776483,1943829.600000000093132,11285214.059999998658895
20131121,2092171.280000000027940,2506445.299999999813735,2401281.250000000000000,2403813.919999999459833,1968944.249999999767169,11372656.000000000000000
20131122,2086832.090000000083819,2563764.500000000000000,2412196.100000000093132,2427821.149999999906868,1991358.399999999906868,11481972.240000000223517
20131125,2102568.649999999441206,2507765.150000000372529,2416690.450000000186265,2435823.560000000055879,2000270.049999999813735,11463117.859999999403954
20131126,2141348.030000000260770,2541327.049999999813735,2398071.000000000000000,2449981.669999999459833,2012422.299999999813735,11543150.050000000745058
20131127,2191648.819999999366701,2540195.750000000000000,2414122.250000000000000,2441979.259999999776483,2008101.500000000000000,11596047.579999998211861
20131129,2232395.269999999552965,2531333.900000000372529,2448150.900000000372529,2435823.560000000055879,2011342.100000000093132,11659045.730000000447035
20131202,2213005.580000000074506,2529636.950000000186265,2468696.500000000000000,2434592.419999999459833,2002700.499999999767169,11648631.949999999254942
20131203,2273422.730000000447035,2488910.150000000372529,2459707.800000000279397,2435823.560000000055879,1991088.350000000093132,11648952.590000001713634
20131204,2268083.540000000037253,2479482.650000000372529,2500156.949999999720603,2425974.439999999478459,1988927.950000000186265,11662625.530000001192093
20131205,2279885.959999999962747,2502674.299999999813735,2439804.250000000000000,2430283.429999999701977,1964623.449999999953434,11617271.389999998733401
20131206,2248131.830000000074506,2548869.049999999813735,2462918.049999999813735,2457984.079999999608845,1984877.199999999953434,11702780.209999999031425
20131209,2273984.750000000000000,2539441.549999999813735,2485389.800000000279397,2455521.799999999813735,1990818.299999999813735,11745156.199999999254942
