訓練日期,20120417 - 20120718
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12043829.789999999105930
真實報酬,2043829.789999999105930

夏普值報酬,0.195682979000000
夏普值風險,0.053233080934899
夏普值,3.675965688315302

預期報酬,29957.540529653553676
風險,86305.478972748096567
趨勢值,0.347110529785866
找到最佳解世代,1979
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),VZ[26](1),WMT[28](3),
20120517,3546965.040000000037253,3684209.699999999720603,3393858.300000000279397,10625034.040000000968575
20120518,3505358.800000000279397,3698458.500000000000000,3435125.550000000279397,10638943.850000001490116
20120521,3551765.760000000242144,3681538.050000000279397,3468689.580000000074506,10701994.390000000596046
20120522,3551765.760000000242144,3685990.800000000279397,3506655.450000000186265,10744413.010000001639128
20120523,3551765.760000000242144,3685990.800000000279397,3506655.450000000186265,10744413.010000001639128
20120524,3555766.359999999869615,3685990.800000000279397,3580386.269999999552965,10822144.429999999701977
20120525,3560567.080000000074506,3691334.100000000558794,3593591.790000000502914,10845493.970000000670552
20120529,3638978.839999999850988,3718050.600000000093132,3613950.300000000745058,10970980.740000000223517
20120530,3616575.480000000447035,3688662.450000000186265,3600744.779999999795109,10905983.710000000894070
20120531,3657381.600000000093132,3708254.550000000279397,3621653.519999999552965,10987290.669999999925494
20120601,3552565.879999999888241,3653931.000000000000000,3606797.310000000055879,10813295.189999999478459
20120604,3553366.000000000000000,3681538.050000000279397,3631007.429999999701977,10865912.480000000447035
20120605,3587771.160000000149012,3669070.350000000558794,3604046.160000000149012,10860888.670000001788139
20120606,3642979.439999999944121,3719831.700000000186265,3627706.050000000745058,10990518.190000001341105
20120607,3650980.640000000130385,3708254.550000000279397,3624404.670000000391155,10983640.860000001266599
20120608,3699787.960000000428408,3779498.549999999813735,3753708.720000000204891,11232996.230000000447035
20120611,3664582.679999999701977,3790185.150000000372529,3715742.850000000093132,11170511.679999999701977
20120612,3710989.640000000130385,3824026.049999999813735,3726197.220000000204891,11261213.910000000149012
20120613,3698987.839999999850988,3828478.800000000279397,3690432.269999999552965,11217899.910000000149012
20120614,3774999.240000000223517,3896160.600000000093132,3721245.149999999906868,11392405.990000000223517
20120615,3767798.160000000149012,3878349.599999999627471,3727847.910000000149012,11373996.669999999925494
20120618,3768598.280000000260770,3902394.450000000186265,3748206.420000000391155,11419200.150000000372529
20120619,3801403.199999999720603,3894379.500000000000000,3731149.290000000502914,11426932.990000000223517
20120620,3819005.839999999850988,3856085.849999999627471,3770215.620000000111759,11445308.309999998658895
20120621,3792601.879999999888241,3858757.500000000000000,3725096.760000000242144,11376457.140000000596046
20120622,3798202.720000000204891,3913971.600000000558794,3703087.560000000055879,11415262.880000000819564
20120625,3736593.480000000447035,3887255.100000000093132,3751507.800000000745058,11375357.380000000819564
20120626,3784600.679999999701977,3904175.550000000279397,3773517.000000000000000,11462294.230000000447035
20120627,3830207.520000000018626,3898832.250000000000000,3774067.230000000447035,11503108.000000000000000
20120628,3826206.919999999925494,3915752.700000000186265,3758110.560000000055879,11500071.179999999701977
20120629,3880615.080000000074506,3957608.549999999813735,3836243.220000000204891,11674467.849999999627471
20120702,3898217.720000000204891,4001245.500000000000000,3815884.709999999962747,11715348.929999999701977
20120703,3887816.160000000149012,4003026.600000000558794,3892916.910000000149012,11783760.670000001788139
20120705,3849410.399999999906868,3997683.300000000279397,3911074.500000000000000,11758169.199999999254942
20120706,3843809.560000000055879,3955827.450000000186265,3926480.939999999944121,11726118.949999999254942
20120709,3840609.080000000074506,3984325.050000000279397,3948490.140000000596046,11773425.270000001415610
20120710,3789401.399999999906868,3980762.850000000558794,3967748.189999999944121,11737913.439999999478459
20120711,3782200.320000000298023,3998573.850000000093132,3976001.640000000596046,11756776.810000000521541
20120712,3793402.000000000000000,3978091.200000000186265,3978752.790000000502914,11750246.990000000223517
20120713,3855811.359999999869615,4026180.900000000372529,4026622.800000000745058,11908616.060000000521541
20120716,3829407.399999999906868,4031524.200000000186265,4015618.200000000186265,11876550.800000000745058
20120717,3948625.280000000260770,4066255.649999999906868,4022220.959999999962747,12037102.890000000596046
20120718,3948625.280000000260770,4086738.300000000279397,4008465.209999999962747,12043829.789999999105930
