訓練日期,20130722 - 20131021
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11891439.379999998956919
真實報酬,1891439.379999998956919

夏普值報酬,0.180443938000000
夏普值風險,0.044237606401447
夏普值,4.078971551094063

預期報酬,25079.293943735650828
風險,133160.970885134825949
趨勢值,0.188338172792155
找到最佳解世代,2302
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](5),DD[7](1),NKE[19](2),
20130819,2986735.780000000260770,2447644.479999999981374,2641280.019999999552965,2552872.379999999888241,10628532.660000000149012
20130820,2947615.729999999981374,2445540.909999999683350,2664573.500000000000000,2550504.959999999962747,10608235.099999999627471
20130821,2955439.739999999757856,2428712.349999999627471,2678245.759999999776483,2530776.459999999962747,10593174.309999998658895
20130822,2958734.060000000055879,2457461.140000000130385,2681790.419999999925494,2559185.500000000000000,10657171.120000001043081
20130823,2947203.939999999944121,2465407.959999999962747,2793700.399999999906868,2533143.879999999888241,10739456.179999999701977
20130826,2958734.060000000055879,2466576.609999999869615,2787117.459999999962747,2522095.919999999925494,10734524.050000000745058
20130827,2874317.109999999869615,2412351.250000000000000,2708628.560000000055879,2478693.220000000204891,10473990.140000000596046
20130828,2887906.180000000167638,2413753.629999999888241,2700526.479999999981374,2500789.140000000130385,10502975.430000001564622
20130829,2892435.870000000111759,2452552.810000000055879,2705590.279999999795109,2504734.839999999850988,10555313.799999998882413
20130830,2866081.310000000055879,2428946.080000000074506,2696981.819999999832362,2478693.220000000204891,10470702.430000001564622
20130903,2874317.109999999869615,2454422.649999999906868,2700020.100000000093132,2537089.580000000074506,10565849.439999999478459
20130904,2933614.870000000111759,2486209.930000000167638,2724326.339999999850988,2570233.459999999962747,10714384.600000001490116
20130905,2913437.160000000149012,2492754.370000000111759,2769900.540000000037253,2579703.139999999664724,10755795.210000000894070
20130906,2930732.340000000316650,2479198.029999999795109,2780534.519999999552965,2563920.340000000316650,10754385.230000000447035
20130909,2977676.400000000372529,2505375.790000000037253,2798764.200000000186265,2580492.280000000260770,10862308.670000001788139
20130910,2909731.049999999813735,2528281.330000000074506,2883329.659999999683350,2636521.219999999739230,10957863.259999997913837
20130911,2751603.689999999944121,2553056.709999999962747,2873708.439999999944121,2667297.679999999701977,10845666.519999999552965
20130912,2780840.780000000260770,2566379.319999999832362,2802308.860000000335276,2686237.040000000037253,10835766.000000000000000
20130913,2734720.299999999813735,2602140.009999999776483,2875227.580000000074506,2679923.919999999925494,10892011.809999998658895
20130916,2647832.609999999869615,2703578.830000000074506,2870163.779999999795109,2690971.879999999888241,10912547.099999997764826
20130917,2678716.859999999869615,2737235.949999999720603,2863580.839999999850988,2695706.719999999739230,10975240.369999999180436
20130918,2733484.930000000167638,2767387.120000000111759,2946627.159999999683350,2741476.840000000316650,11188976.050000000745058
20130919,2778370.040000000037253,2782345.839999999850988,2928397.479999999981374,2742265.979999999981374,11231379.339999999850988
20130920,2749544.739999999757856,2726016.909999999683350,2863074.459999999962747,2737531.139999999664724,11076167.250000000000000
20130923,2886259.020000000484288,2746585.149999999906868,2829653.379999999888241,2721748.340000000316650,11184245.890000000596046
20130924,2877199.640000000130385,2781410.919999999925494,2820538.540000000037253,2739898.560000000055879,11219047.660000002011657
20130925,2832726.320000000298023,2769958.149999999906868,2874214.819999999832362,2719380.919999999925494,11196280.210000000894070
20130926,2860316.250000000000000,2790292.659999999683350,2883836.040000000037253,2775409.860000000335276,11309854.809999998658895
20130927,2839726.750000000000000,2775333.939999999944121,2813955.600000000093132,2905617.959999999962747,11334634.250000000000000
20130930,2804724.600000000093132,2746351.419999999925494,2769394.159999999683350,2866160.959999999962747,11186631.140000000596046
20131001,2870611.000000000000000,2752194.669999999925494,2762811.220000000204891,2857480.419999999925494,11243097.310000000521541
20131002,2880082.169999999925494,2754298.240000000223517,2790662.120000000111759,2836962.780000000260770,11262005.310000002384186
20131003,2843844.650000000372529,2693528.439999999944121,2795725.919999999925494,2826703.959999999962747,11159802.969999998807907
20131004,2841373.910000000149012,2739339.520000000018626,2883836.040000000037253,2846432.459999999962747,11310981.929999999701977
20131007,2869375.630000000353903,2727419.290000000037253,2837755.459999999962747,2814866.860000000335276,11249417.239999998360872
20131008,2829432.000000000000000,2698203.040000000037253,2778002.620000000111759,2773042.439999999944121,11078680.099999999627471
20131009,2862375.200000000186265,2675531.229999999981374,2806866.279999999795109,2797505.780000000260770,11142278.489999998360872
20131010,2880493.960000000428408,2779073.620000000111759,2913206.080000000074506,2897726.560000000055879,11470500.220000000670552
20131011,2899024.510000000242144,2757570.459999999962747,2961818.560000000055879,2898515.699999999720603,11516929.230000000447035
20131014,2917966.850000000093132,2792162.500000000000000,2943588.879999999888241,2922189.899999999906868,11575908.130000000819564
20131015,2933614.870000000111759,2762245.060000000055879,2915737.979999999981374,2907985.379999999888241,11519583.289999999105930
20131016,2948027.520000000484288,2812730.740000000223517,2965869.600000000093132,2940340.119999999646097,11666967.980000000447035
20131017,2967793.439999999944121,2858308.089999999850988,2984605.659999999683350,2941129.260000000242144,11751836.449999999254942
20131018,2993736.210000000428408,2863683.879999999888241,2979035.479999999981374,2996369.060000000055879,11832824.630000000819564
20131021,3067034.830000000540167,2839142.229999999981374,2982580.139999999664724,3002682.179999999701977,11891439.379999998956919
