訓練日期,20120619 - 20120919
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11281566.629999998956919
真實報酬,1281566.629999998956919

夏普值報酬,0.119456663000000
夏普值風險,0.033542340452676
夏普值,3.561369343577532

預期報酬,18929.191678108141787
風險,76904.369659583579050
趨勢值,0.246139351533574
找到最佳解世代,1694
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](7),HD[9](14),MRK[17](10),PFE[20](4),WMT[28](11),
20120810,2122607.000000000000000,2028287.239999999990687,2294465.600000000093132,2116710.439999999944121,2163236.040000000037253,10725306.320000000298023
20120813,2151048.000000000000000,2019113.000000000000000,2286743.600000000093132,2097258.699999999720603,2155015.520000000018626,10709178.819999998435378
20120814,2156784.000000000000000,2091360.139999999897555,2286228.799999999813735,2120247.120000000111759,2172924.510000000242144,10827544.569999998435378
20120815,2153916.000000000000000,2102445.679999999701977,2268210.800000000279397,2125552.139999999664724,2185842.470000000204891,10835967.090000001713634
20120816,2172797.000000000000000,2152521.740000000223517,2262033.199999999720603,2123783.799999999813735,2118316.770000000018626,10829452.509999997913837
20120817,2212949.000000000000000,2168576.660000000149012,2231145.200000000186265,2103447.889999999664724,2113619.329999999608845,10829738.080000000074506
20120820,2271026.000000000000000,2162460.500000000000000,2252252.000000000000000,2114057.930000000167638,2122720.619999999646097,10922517.049999998882413
20120821,2239956.000000000000000,2152904.000000000000000,2210553.199999999720603,2094606.190000000176951,2097178.290000000037253,10795197.679999999701977
20120822,2283693.000000000000000,2165136.320000000298023,2209008.799999999813735,2095490.359999999869615,2107160.349999999627471,10860488.830000000074506
20120823,2262422.000000000000000,2161695.979999999515712,2203346.000000000000000,2099027.040000000037253,2100994.959999999962747,10827485.980000000447035
20120824,2264573.000000000000000,2177368.639999999664724,2219819.600000000093132,2122899.629999999888241,2117142.409999999683350,10901803.280000001192093
20120827,2307115.000000000000000,2166283.099999999627471,2216216.000000000000000,2112289.589999999850988,2128592.419999999925494,10930496.109999999403954
20120828,2304008.000000000000000,2160931.459999999962747,2204890.399999999906868,2108752.910000000149012,2125950.109999999869615,10904532.879999998956919
20120829,2299467.000000000000000,2172781.520000000484288,2216730.800000000279397,2118478.780000000260770,2136519.349999999627471,10943977.450000001117587
20120830,2266724.000000000000000,2164371.799999999813735,2219819.600000000093132,2107868.739999999757856,2121252.669999999925494,10880036.810000000521541
20120831,2271265.000000000000000,2169341.179999999701977,2216216.000000000000000,2109637.080000000074506,2131528.319999999832362,10897987.580000000074506
20120904,2304486.000000000000000,2170870.219999999739230,2226512.000000000000000,2102563.720000000204891,2158245.010000000242144,10962676.949999999254942
20120905,2288473.000000000000000,2161313.719999999739230,2236293.199999999720603,2114942.100000000093132,2159419.369999999646097,10960441.389999998733401
20120906,2309027.000000000000000,2203744.580000000074506,2277477.200000000186265,2152077.239999999757856,2196411.709999999962747,11138737.730000000447035
20120907,2323367.000000000000000,2188836.439999999478459,2267696.000000000000000,2143235.540000000037253,2167346.299999999813735,11090481.280000001192093
20120910,2262900.000000000000000,2190365.479999999515712,2278506.799999999813735,2130857.160000000149012,2158245.010000000242144,11020874.449999999254942
20120911,2255491.000000000000000,2168194.399999999441206,2282110.399999999906868,2137046.350000000093132,2174392.459999999962747,11017234.609999999403954
20120912,2286800.000000000000000,2180808.979999999515712,2292406.399999999906868,2128204.649999999906868,2174686.049999999813735,11062906.079999998211861
20120913,2331971.000000000000000,2228591.479999999515712,2299098.799999999813735,2144119.709999999962747,2206100.180000000167638,11209881.169999998062849
20120914,2360173.000000000000000,2272933.639999999664724,2245559.600000000093132,2104332.060000000055879,2187310.419999999925494,11170308.720000000670552
20120917,2389331.000000000000000,2251909.339999999850988,2265122.000000000000000,2123783.799999999813735,2172337.329999999608845,11202483.470000000670552
20120918,2396501.000000000000000,2249998.040000000037253,2269240.399999999906868,2122899.629999999888241,2171162.970000000204891,11209802.040000000968575
20120919,2397218.000000000000000,2273315.899999999441206,2291376.799999999813735,2136162.180000000167638,2183493.750000000000000,11281566.629999998956919
