訓練日期,20190926 - 20191227
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12481213.800000000745058
真實報酬,2481213.800000000745058

夏普值報酬,0.239421380000000
夏普值風險,0.068211805799929
夏普值,3.509969824024937

預期報酬,36403.287364330339187
風險,124668.399782893611700
趨勢值,0.292000919460951
找到最佳解世代,2264
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MRK[17](10),UNH[23](2),
20191115,4007861.399999999906868,3405534.600000000558794,4041924.689999999944121,11455321.689999999478459
20191118,4028068.600000000558794,3374648.359999999869615,4094885.280000000260770,11497603.240000002086163
20191119,4015853.800000000279397,3395506.600000000558794,4114389.180000000633299,11525750.580000001937151
20191120,3969105.800000000279397,3420376.040000000037253,4134343.170000000391155,11523826.009999999776483
20191121,3951311.399999999906868,3427997.319999999832362,4149196.140000000596046,11528505.859999999403954
20191122,3947842.999999999534339,3427596.200000000186265,4153547.009999999776483,11528987.209999999031425
20191125,4017060.200000000186265,3437624.200000000186265,4241014.500000000000000,11695699.900000000372529
20191126,3985693.800000000279397,3503407.880000000353903,4221960.689999999478459,11711063.370000001043081
20191127,4039227.799999999813735,3514238.120000000111759,4211008.500000000000000,11764475.419999999925494
20191129,4030330.600000000093132,3496989.960000000428408,4199006.100000000558794,11726327.660000000149012
20191202,3983733.400000000372529,3491374.280000000726432,4195855.470000000670552,11670964.150000002235174
20191203,3912706.600000000093132,3505012.359999999869615,4154447.189999999944121,11572167.150000000372529
20191204,3947239.800000000279397,3556756.840000000316650,4190754.450000000186265,11694752.089999999850988
20191205,4005147.000000000000000,3559965.800000000279397,4230962.490000000223517,11796076.290000000968575
20191206,4082507.399999999906868,3563977.000000000000000,4203807.060000000521541,11850292.460000000894070
20191209,4025354.200000000186265,3558762.440000000409782,4164049.110000000335276,11748166.750000000000000
20191210,4048879.000000000465661,3574005.000000000000000,4193755.049999999813735,11816640.050000000745058
20191211,4083412.199999999720603,3569191.560000000521541,4208457.990000000223517,11861062.750000000000000
20191212,4093817.399999999906868,3592857.640000000130385,4255117.320000000298023,11941793.359999999403954
20191213,4149462.599999999627471,3577615.080000000074506,4283172.930000000633299,12010251.609999999403954
20191216,4220489.400000000372529,3581626.280000000726432,4381442.580000000074506,12183559.260000001639128
20191217,4228783.400000000372529,3570796.040000000037253,4358037.900000000372529,12157618.339999999850988
20191218,4218679.800000000745058,3594863.240000000689179,4394495.189999999478459,12208039.230000000447035
20191219,4222902.199999999254942,3609704.680000000167638,4420300.350000000558794,12252908.230000000447035
20191220,4214155.800000000745058,3673482.760000000242144,4389844.259999999776483,12277483.820000000298023
20191223,4282920.599999999627471,3679900.680000000167638,4427351.759999999776483,12390174.039999999105930
20191224,4286992.199999999254942,3667867.080000000074506,4419100.110000000335276,12373960.390000000596046
20191226,4372043.400000000372529,3663855.880000000353903,4435753.439999999478459,12471653.720000000670552
20191227,4370384.599999999627471,3670273.800000000279397,4440554.400000000372529,12481213.800000000745058
