代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12160851.179999999701977
真實報酬,2160851.179999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16886.596642354685173
風險,163926.073952197592007
起點值,0.103013487941393
找到最佳解世代,2062
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AAPL[0](5),BA[2](8),JPM[13](3),V[25](10),
FS( 27 ),2836837.320000000298023,2556478.680000000167638,2688129.490000000223517,2687298.279999999795109,10768743.769999999552965
FS( 28 ),2815719.810000000055879,2549924.839999999850988,2664052.180000000167638,2674543.200000000186265,10704240.030000001192093
FS( 29 ),2813894.840000000316650,2563803.560000000055879,2671397.799999999813735,2689312.239999999757856,10738408.439999999478459
FS( 30 ),2820412.590000000316650,2565731.160000000149012,2665684.540000000037253,2685955.639999999664724,10737783.929999999701977
FS( 31 ),2854304.890000000130385,2595801.720000000204891,2682008.140000000130385,2715829.379999999888241,10847944.129999998956919
FS( 32 ),2851697.790000000037253,2602355.560000000055879,2681600.049999999813735,2712472.779999999795109,10848126.179999999701977
FS( 33 ),2847526.430000000167638,2596958.280000000260770,2688945.670000000391155,2713479.759999999776483,10846910.140000000596046
FS( 34 ),2843876.490000000223517,2602355.560000000055879,2691394.210000000428408,2694347.139999999664724,10831973.400000002235174
FS( 35 ),2851176.370000000111759,2591561.000000000000000,2687721.399999999906868,2701060.339999999850988,10831519.109999999403954
FS( 36 ),2829016.020000000018626,2602162.800000000279397,2685272.859999999869615,2720864.279999999795109,10837315.959999999031425
FS( 37 ),2837880.159999999683350,2585778.199999999720603,2684048.589999999850988,2712137.119999999646097,10819844.069999998435378
FS( 38 ),2816501.939999999944121,2569393.600000000093132,2691394.210000000428408,2695018.459999999962747,10772308.210000000894070
FS( 39 ),2804509.279999999795109,2563418.040000000037253,2696291.290000000037253,2696025.439999999478459,10760244.050000000745058
FS( 40 ),2788084.549999999813735,2548961.040000000037253,2702412.640000000130385,2704416.939999999478459,10743875.169999999925494
FS( 41 ),2784956.029999999795109,2561875.959999999962747,2732203.210000000428408,2714486.739999999757856,10793521.940000001341105
FS( 42 ),2763577.810000000055879,2521589.120000000111759,2754648.160000000149012,2724556.540000000037253,10764371.629999998956919
FS( 43 ),2766184.909999999683350,2495373.759999999776483,2754648.160000000149012,2715493.720000000204891,10731700.550000000745058
FS( 44 ),2782609.640000000130385,2504047.959999999962747,2742813.549999999813735,2728920.119999999646097,10758391.269999999552965
FS( 45 ),2808680.640000000130385,2528335.720000000204891,2754240.069999999832362,2752416.319999999832362,10843672.750000000000000
FS( 46 ),2807898.510000000242144,2563610.800000000279397,2752199.620000000111759,2770206.299999999813735,10893915.230000000447035
FS( 47 ),2825105.370000000111759,2556864.199999999720603,2740773.100000000093132,2794038.159999999683350,10916780.830000000074506
FS( 48 ),2751063.729999999981374,2561875.959999999962747,2744445.910000000149012,2784975.339999999850988,10842360.939999999478459
FS( 49 ),2688754.040000000037253,2477639.839999999850988,2719960.510000000242144,2729927.099999999627471,10616281.490000000223517
FS( 50 ),2748978.049999999813735,2508288.680000000167638,2736692.200000000186265,2784975.339999999850988,10778934.269999999552965
FS( 51 ),2814416.260000000242144,2482073.319999999832362,2715063.430000000167638,2748724.060000000055879,10760277.070000000298023
FS( 52 ),2914007.479999999981374,2461062.479999999981374,2709758.260000000242144,2735297.659999999683350,10820125.880000000819564
FS( 53 ),3013077.279999999795109,2462990.080000000074506,2719552.420000000391155,2752751.979999999981374,10948371.759999999776483
FS( 54 ),2996131.129999999888241,2442364.760000000242144,2686089.040000000037253,2754765.939999999478459,10879350.870000001043081
FS( 55 ),2961195.990000000223517,2457400.040000000037253,2701188.370000000111759,2769534.979999999981374,10889319.380000000819564
FS( 56 ),2960935.279999999795109,2463375.600000000093132,2712206.799999999813735,2768528.000000000000000,10905045.679999999701977
FS( 57 ),2960413.859999999869615,2516770.120000000111759,2727714.220000000204891,2793366.839999999850988,10998265.040000000968575
FS( 58 ),2988309.830000000074506,2542021.680000000167638,2750159.170000000391155,2798066.079999999608845,11078556.759999999776483
FS( 59 ),2938514.219999999739230,2540286.839999999850988,2744445.910000000149012,2770541.959999999962747,10993788.929999999701977
FS( 60 ),2942946.290000000037253,2516962.879999999888241,2684456.680000000167638,2746038.779999999795109,10890404.629999998956919
FS( 61 ),2948421.200000000186265,2531419.879999999888241,2708125.899999999906868,2757786.879999999888241,10945753.859999999403954
FS( 62 ),2970842.260000000242144,2548961.040000000037253,2722409.049999999813735,2784975.339999999850988,11027187.690000001341105
FS( 63 ),2924696.590000000316650,2525829.839999999850988,2679151.510000000242144,2749731.040000000037253,10879408.980000000447035
FS( 64 ),2947378.359999999869615,2539515.800000000279397,2717511.970000000204891,2775912.520000000018626,10980318.650000000372529
FS( 65 ),2933560.729999999981374,2551852.439999999944121,2714247.250000000465661,2781283.079999999608845,10980943.500000000000000
FS( 66 ),2946074.810000000055879,2549346.560000000055879,2717920.060000000055879,2776919.500000000000000,10990260.929999999701977
FS( 67 ),2947378.359999999869615,2595801.720000000204891,2762401.870000000111759,2797730.419999999459833,11103312.369999999180436
FS( 68 ),2969278.000000000000000,2591175.479999999981374,2769747.490000000223517,2798066.079999999608845,11128267.050000000745058
FS( 69 ),2973710.070000000298023,2580188.160000000149012,2779541.649999999906868,2781954.399999999906868,11115394.280000001192093
FS( 70 ),3025591.359999999869615,2618547.399999999906868,2801170.420000000391155,2790010.239999999757856,11235319.419999999925494
FS( 71 ),3032109.109999999869615,2578067.800000000279397,2787703.450000000186265,2753758.959999999962747,11151639.320000000298023
FS( 72 ),3059222.950000000186265,2566887.720000000204891,2780357.830000000074506,2760807.819999999832362,11167276.320000000298023
FS( 73 ),3049837.390000000130385,2571128.439999999944121,2764442.319999999832362,2748052.739999999757856,11133460.890000000596046
FS( 74 ),3066783.540000000037253,2573441.560000000055879,2755464.339999999850988,2767521.020000000018626,11163210.459999999031425
FS( 75 ),3064697.859999999869615,2583079.560000000055879,2741181.190000000409782,2757451.220000000204891,11146409.830000000074506
FS( 76 ),3062612.180000000167638,2604283.160000000149012,2762809.960000000428408,2738318.599999999627471,11168023.900000000372529
FS( 77 ),3053487.330000000074506,2625101.240000000223517,2789335.810000000055879,2779604.779999999795109,11247529.160000000149012
FS( 78 ),3051923.070000000298023,2618547.399999999906868,2785663.000000000465661,2769199.319999999832362,11225332.790000000968575
FS( 79 ),3039930.409999999683350,2614499.439999999944121,2795049.069999999832362,2764164.419999999459833,11213643.339999999850988
FS( 80 ),3067304.960000000428408,2649581.759999999776483,2810556.490000000223517,2791688.540000000037253,11319131.750000000000000
FS( 81 ),3082947.560000000055879,2679845.080000000074506,2807699.859999999869615,2753423.299999999813735,11323915.800000000745058
FS( 82 ),3013598.700000000186265,2805524.600000000093132,2821166.830000000074506,2744024.819999999832362,11384314.950000001117587
FS( 83 ),2984659.890000000130385,2762539.120000000111759,2825247.730000000447035,2749731.040000000037253,11322177.780000001192093
FS( 84 ),2964845.930000000167638,2756756.319999999832362,2820350.649999999906868,2759800.839999999850988,11301753.740000000223517
FS( 85 ),2960153.150000000372529,2745576.240000000223517,2826472.000000000465661,2769534.979999999981374,11301736.370000001043081
FS( 86 ),2906707.600000000093132,2745190.720000000204891,2814637.390000000130385,2739661.239999999757856,11206196.950000001117587
FS( 87 ),2909314.700000000186265,2713192.560000000055879,2802802.780000000260770,2704752.599999999627471,11130062.639999998733401
FS( 88 ),2863429.740000000223517,2699121.080000000074506,2790560.080000000074506,2707102.220000000204891,11060213.120000001043081
FS( 89 ),2837619.450000000186265,2689868.600000000093132,2765258.500000000465661,2697368.079999999608845,10990114.630000000819564
FS( 90 ),2878550.919999999925494,2757141.839999999850988,2851773.580000000074506,2769534.979999999981374,11257001.320000000298023
FS( 91 ),2895497.070000000298023,2741142.759999999776483,2857894.930000000167638,2781954.399999999906868,11276489.160000000149012
FS( 92 ),2890804.290000000037253,2796850.399999999906868,2989299.910000000149012,2794038.159999999683350,11470992.759999999776483
FS( 93 ),2810244.900000000372529,2846968.000000000000000,3128050.510000000242144,2748052.739999999757856,11533316.150000000372529
FS( 94 ),2826930.340000000316650,2862967.080000000074506,3129682.870000000111759,2748388.399999999906868,11567968.689999999478459
FS( 95 ),2756017.219999999739230,2891302.800000000279397,3244764.250000000465661,2630907.399999999906868,11522991.669999999925494
FS( 96 ),2792516.620000000111759,2855063.920000000391155,3238642.899999999906868,2637284.939999999478459,11523508.380000000819564
FS( 97 ),2867601.100000000093132,2822873.000000000000000,3158657.260000000242144,2687969.599999999627471,11537100.959999999031425
FS( 98 ),2866558.260000000242144,2801476.640000000130385,3183958.839999999850988,2721199.939999999478459,11573193.679999999701977
FS( 99 ),2869426.070000000298023,2821138.160000000149012,3171308.049999999813735,2712808.439999999478459,11574680.720000000670552
FS( 100 ),2912964.640000000130385,2834053.080000000074506,3185183.109999999869615,2742010.859999999869615,11674211.689999999478459
FS( 101 ),2914789.609999999869615,2882243.080000000074506,3204771.430000000167638,2682934.700000000186265,11684738.820000000298023
FS( 102 ),2899929.140000000130385,2886483.800000000279397,3218238.399999999906868,2670850.939999999478459,11675502.279999999329448
FS( 103 ),2914528.900000000372529,2892266.600000000093132,3217014.129999999888241,2689647.899999999906868,11713457.529999999329448
FS( 104 ),2908793.279999999795109,2887062.080000000074506,3196201.540000000037253,2654403.599999999627471,11646460.499999998137355
FS( 105 ),2905925.469999999739230,2923108.199999999720603,3220686.940000000409782,2656753.220000000204891,11706473.830000000074506
FS( 106 ),2881418.729999999981374,2902290.120000000111759,3271698.190000000409782,2595327.439999999478459,11650734.479999998584390
FS( 107 ),2854565.600000000093132,2937565.199999999720603,3337808.770000000484288,2531887.700000000186265,11661827.269999999552965
FS( 108 ),2865254.710000000428408,2934866.560000000055879,3330055.060000000055879,2541621.839999999850988,11671798.169999999925494
FS( 109 ),2844658.620000000111759,2933131.720000000204891,3397798.000000000465661,2594991.779999999795109,11770580.119999999180436
FS( 110 ),2866558.260000000242144,2934673.800000000279397,3415345.870000000111759,2588278.579999999608845,11804856.509999999776483
FS( 111 ),2894714.939999999944121,2971298.199999999720603,3430853.290000000037253,2662123.779999999795109,11958990.209999999031425
FS( 112 ),2923132.330000000074506,2995393.199999999720603,3473702.740000000223517,2661116.799999999813735,12053345.070000000298023
FS( 113 ),2970842.260000000242144,3016596.800000000279397,3488802.069999999832362,2656417.560000000055879,12132658.690000001341105
FS( 114 ),2953896.109999999869615,3029511.720000000204891,3457787.230000000447035,2634935.319999999832362,12076130.380000000819564
FS( 115 ),3003170.299999999813735,3019873.720000000204891,3459011.500000000465661,2658431.520000000018626,12140487.039999999105930
FS( 116 ),3003170.299999999813735,2977659.280000000260770,3457787.230000000447035,2656081.899999999906868,12094698.710000000894070
FS( 117 ),3019595.029999999795109,2964166.080000000074506,3509614.660000000149012,2668501.319999999832362,12161877.089999999850988
FS( 118 ),3023505.680000000167638,2978237.560000000055879,3466357.120000000111759,2629900.419999999459833,12098000.779999999329448
FS( 119 ),3040973.250000000000000,3010621.240000000223517,3486353.530000000260770,2621508.919999999459833,12159456.939999999478459
FS( 120 ),3049055.260000000242144,3014669.199999999720603,3531243.430000000167638,2630236.079999999608845,12225203.970000000670552
FS( 121 ),3051923.070000000298023,3035680.040000000037253,3540221.410000000149012,2622851.560000000055879,12250676.080000000074506
FS( 122 ),3031848.400000000372529,3035294.520000000018626,3545934.670000000391155,2614795.720000000204891,12227873.310000000521541
FS( 123 ),3037844.729999999981374,3042041.120000000111759,3552464.109999999869615,2623187.220000000204891,12255537.179999999701977
FS( 124 ),3057137.270000000018626,3035680.040000000037253,3555728.830000000074506,2629900.419999999459833,12278446.560000000521541
FS( 125 ),3044101.770000000018626,3009079.160000000149012,3530019.160000000149012,2628222.119999999646097,12211422.209999999031425
FS( 126 ),3043319.640000000130385,3001176.000000000000000,3505125.670000000391155,2629229.099999999627471,12178850.410000000149012
FS( 127 ),3019595.029999999795109,3000983.240000000223517,3521449.270000000484288,2618823.639999999664724,12160851.179999999701977
