代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15137782.210000000894070
真實報酬,5137782.210000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19879.723704556949087
風險,337175.850472319580149
起點值,0.058959512304067
找到最佳解世代,2098
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
FS( 32 ),10921784.049999998882413,10921784.049999998882413
FS( 33 ),11037239.830000000074506,11037239.830000000074506
FS( 34 ),10972063.179999999701977,10972063.179999999701977
FS( 35 ),10919921.859999999403954,10919921.859999999403954
FS( 36 ),10955303.469999998807907,10955303.469999998807907
FS( 37 ),11219734.449999999254942,11219734.449999999254942
FS( 38 ),11189939.410000000149012,11189939.410000000149012
FS( 39 ),11104278.669999999925494,11104278.669999999925494
FS( 40 ),11063310.489999998360872,11063310.489999998360872
FS( 41 ),11074483.629999998956919,11074483.629999998956919
FS( 42 ),10962752.229999998584390,10962752.229999998584390
FS( 43 ),10797017.319999998435378,10797017.319999998435378
FS( 44 ),10670388.399999998509884,10670388.399999998509884
FS( 45 ),10713218.769999999552965,10713218.769999999552965
FS( 46 ),10754186.949999999254942,10754186.949999999254942
FS( 47 ),10685285.919999999925494,10685285.919999999925494
FS( 48 ),10569830.139999998733401,10569830.139999998733401
FS( 49 ),10791430.750000000000000,10791430.750000000000000
FS( 50 ),10811914.839999999850988,10811914.839999999850988
FS( 51 ),11115451.809999998658895,11115451.809999998658895
FS( 52 ),11113589.619999999180436,11113589.619999999180436
FS( 53 ),11024204.500000000000000,11024204.500000000000000
FS( 54 ),11126624.949999999254942,11126624.949999999254942
FS( 55 ),10999996.029999999329448,10999996.029999999329448
FS( 56 ),11013031.359999999403954,11013031.359999999403954
FS( 57 ),10906886.529999999329448,10906886.529999999329448
FS( 58 ),10884540.250000000000000,10884540.250000000000000
FS( 59 ),11018617.929999999701977,11018617.929999999701977
FS( 60 ),11011169.169999999925494,11011169.169999999925494
FS( 61 ),11003720.410000000149012,11003720.410000000149012
FS( 62 ),10875229.299999998882413,10875229.299999998882413
FS( 63 ),11121038.379999998956919,11121038.379999998956919
FS( 64 ),11085656.769999999552965,11085656.769999999552965
FS( 65 ),11277462.339999999850988,11277462.339999999850988
FS( 66 ),11549342.080000000074506,11549342.080000000074506
FS( 67 ),11432024.109999999403954,11432024.109999999403954
FS( 68 ),11532582.369999999180436,11532582.369999999180436
FS( 69 ),11543755.509999999776483,11543755.509999999776483
FS( 70 ),11653624.719999998807907,11653624.719999998807907
FS( 71 ),11607069.969999998807907,11607069.969999998807907
FS( 72 ),11627554.059999998658895,11627554.059999998658895
FS( 73 ),11655486.910000000149012,11655486.910000000149012
FS( 74 ),11463681.339999999850988,11463681.339999999850988
FS( 75 ),11551204.269999999552965,11551204.269999999552965
FS( 76 ),11357536.509999999776483,11357536.509999999776483
FS( 77 ),11364985.269999999552965,11364985.269999999552965
FS( 78 ),11411540.019999999552965,11411540.019999999552965
FS( 79 ),11392918.119999999180436,11392918.119999999180436
FS( 80 ),11446921.629999998956919,11446921.629999998956919
FS( 81 ),11374296.219999998807907,11374296.219999998807907
FS( 82 ),11307257.379999998956919,11307257.379999998956919
FS( 83 ),11150833.419999999925494,11150833.419999999925494
FS( 84 ),11229045.399999998509884,11229045.399999998509884
FS( 85 ),11303533.000000000000000,11303533.000000000000000
FS( 86 ),11258840.439999999478459,11258840.439999999478459
FS( 87 ),11305395.189999999478459,11305395.189999999478459
FS( 88 ),11478578.859999999403954,11478578.859999999403954
FS( 89 ),11582861.500000000000000,11582861.500000000000000
FS( 90 ),11549342.080000000074506,11549342.080000000074506
FS( 91 ),11601483.399999998509884,11601483.399999998509884
FS( 92 ),11526995.799999998882413,11526995.799999998882413
FS( 93 ),11668522.239999998360872,11668522.239999998360872
FS( 94 ),11711352.609999999403954,11711352.609999999403954
FS( 95 ),11655486.910000000149012,11655486.910000000149012
FS( 96 ),11644313.769999999552965,11644313.769999999552965
FS( 97 ),11720663.559999998658895,11720663.559999998658895
FS( 98 ),11640589.389999998733401,11640589.389999998733401
FS( 99 ),11642451.580000000074506,11642451.580000000074506
FS( 100 ),11674108.809999998658895,11674108.809999998658895
FS( 101 ),11810048.679999999701977,11810048.679999999701977
FS( 102 ),12009303.009999997913837,12009303.009999997913837
FS( 103 ),11919917.890000000596046,11919917.890000000596046
FS( 104 ),11823084.009999999776483,11823084.009999999776483
FS( 105 ),12068893.089999999850988,12068893.089999999850988
FS( 106 ),12266285.230000000447035,12266285.230000000447035
FS( 107 ),12195522.009999997913837,12195522.009999997913837
FS( 108 ),12145242.879999998956919,12145242.879999998956919
FS( 109 ),12277458.370000001043081,12277458.370000001043081
FS( 110 ),12331461.879999998956919,12331461.879999998956919
FS( 111 ),12398500.719999998807907,12398500.719999998807907
FS( 112 ),12418984.809999998658895,12418984.809999998658895
FS( 113 ),12290493.699999999254942,12290493.699999999254942
FS( 114 ),12303529.029999997466803,12303529.029999997466803
FS( 115 ),12424571.379999998956919,12424571.379999998956919
FS( 116 ),12376154.439999997615814,12376154.439999997615814
FS( 117 ),12545613.730000000447035,12545613.730000000447035
FS( 118 ),12821217.849999997764826,12821217.849999997764826
FS( 119 ),12860323.839999999850988,12860323.839999999850988
FS( 120 ),13067026.929999999701977,13067026.929999999701977
FS( 121 ),12880807.929999999701977,12880807.929999999701977
FS( 122 ),12856599.460000000894070,12856599.460000000894070
FS( 123 ),12843564.129999998956919,12843564.129999998956919
FS( 124 ),12856599.460000000894070,12856599.460000000894070
FS( 125 ),12847288.509999997913837,12847288.509999997913837
FS( 126 ),12780249.669999998062849,12780249.669999998062849
FS( 127 ),12813769.089999999850988,12813769.089999999850988
FS( 128 ),12763489.960000000894070,12763489.960000000894070
FS( 129 ),12772800.910000000149012,12772800.910000000149012
FS( 130 ),12653620.750000000000000,12653620.750000000000000
FS( 131 ),12778387.480000000447035,12778387.480000000447035
FS( 132 ),12919913.919999998062849,12919913.919999998062849
FS( 133 ),12973917.429999999701977,12973917.429999999701977
FS( 134 ),12953433.339999999850988,12953433.339999999850988
FS( 135 ),12864048.219999998807907,12864048.219999998807907
FS( 136 ),13009299.039999999105930,13009299.039999999105930
FS( 137 ),13189931.469999998807907,13189931.469999998807907
FS( 138 ),13031645.320000000298023,13031645.320000000298023
FS( 139 ),13113581.679999999701977,13113581.679999999701977
FS( 140 ),13113581.679999999701977,13113581.679999999701977
FS( 141 ),13031645.320000000298023,13031645.320000000298023
FS( 142 ),13180620.519999999552965,13180620.519999999552965
FS( 143 ),13240210.599999997764826,13240210.599999997764826
FS( 144 ),13180620.519999999552965,13180620.519999999552965
FS( 145 ),13156412.050000000745058,13156412.050000000745058
FS( 146 ),13096821.969999998807907,13096821.969999998807907
FS( 147 ),13169447.379999998956919,13169447.379999998956919
FS( 148 ),13210415.559999998658895,13210415.559999998658895
FS( 149 ),13320284.769999999552965,13320284.769999999552965
FS( 150 ),13361252.949999999254942,13361252.949999999254942
FS( 151 ),13290489.730000000447035,13290489.730000000447035
FS( 152 ),13262556.879999998956919,13262556.879999998956919
FS( 153 ),13227175.269999999552965,13227175.269999999552965
FS( 154 ),13307249.439999997615814,13307249.439999997615814
FS( 155 ),13471122.160000000149012,13471122.160000000149012
FS( 156 ),13119168.250000000000000,13119168.250000000000000
FS( 157 ),12731832.730000000447035,12731832.730000000447035
FS( 158 ),12999988.089999999850988,12999988.089999999850988
FS( 159 ),12934811.439999997615814,12934811.439999997615814
FS( 160 ),13262556.879999998956919,13262556.879999998956919
FS( 161 ),13374288.279999997466803,13374288.279999997466803
FS( 162 ),13446913.689999997615814,13446913.689999997615814
FS( 163 ),13472984.349999997764826,13472984.349999997764826
FS( 164 ),13513952.529999997466803,13513952.529999997466803
FS( 165 ),13426429.599999997764826,13426429.599999997764826
FS( 166 ),13135927.960000000894070,13135927.960000000894070
FS( 167 ),13027920.939999997615814,13027920.939999997615814
FS( 168 ),13109857.300000000745058,13109857.300000000745058
FS( 169 ),13305387.250000000000000,13305387.250000000000000
FS( 170 ),13569818.230000000447035,13569818.230000000447035
FS( 171 ),13707620.289999999105930,13707620.289999999105930
FS( 172 ),13616372.980000000447035,13616372.980000000447035
FS( 173 ),13458086.829999998211861,13458086.829999998211861
FS( 174 ),13616372.980000000447035,13616372.980000000447035
FS( 175 ),13651754.589999999850988,13651754.589999999850988
FS( 176 ),13981362.219999998807907,13981362.219999998807907
FS( 177 ),14055849.820000000298023,14055849.820000000298023
FS( 178 ),13940394.039999999105930,13940394.039999999105930
FS( 179 ),13908736.809999998658895,13908736.809999998658895
FS( 180 ),13893839.289999999105930,13893839.289999999105930
FS( 181 ),13797005.410000000149012,13797005.410000000149012
FS( 182 ),13936669.660000000149012,13936669.660000000149012
FS( 183 ),14163856.839999999850988,14163856.839999999850988
FS( 184 ),14217860.349999997764826,14217860.349999997764826
FS( 185 ),13925496.519999999552965,13925496.519999999552965
FS( 186 ),13927358.710000000894070,13927358.710000000894070
FS( 187 ),13905012.429999999701977,13905012.429999999701977
FS( 188 ),14048401.059999998658895,14048401.059999998658895
FS( 189 ),14215998.160000000149012,14215998.160000000149012
FS( 190 ),14381733.070000000298023,14381733.070000000298023
FS( 191 ),14508361.989999998360872,14508361.989999998360872
FS( 192 ),14774655.160000000149012,14774655.160000000149012
FS( 193 ),14752308.879999998956919,14752308.879999998956919
FS( 194 ),14564227.689999997615814,14564227.689999997615814
FS( 195 ),14594022.730000000447035,14594022.730000000447035
FS( 196 ),14286761.379999998956919,14286761.379999998956919
FS( 197 ),14417114.679999999701977,14417114.679999999701977
FS( 198 ),14359386.789999999105930,14359386.789999999105930
FS( 199 ),14526983.890000000596046,14526983.890000000596046
FS( 200 ),14713202.890000000596046,14713202.890000000596046
FS( 201 ),14242068.820000000298023,14242068.820000000298023
FS( 202 ),14009295.070000000298023,14009295.070000000298023
FS( 203 ),13841697.969999998807907,13841697.969999998807907
FS( 204 ),13737415.329999998211861,13737415.329999998211861
FS( 205 ),13685274.009999997913837,13685274.009999997913837
FS( 206 ),13575404.800000000745058,13575404.800000000745058
FS( 207 ),13249521.550000000745058,13249521.550000000745058
FS( 208 ),13780245.699999999254942,13780245.699999999254942
FS( 209 ),14037227.919999998062849,14037227.919999998062849
FS( 210 ),14035365.730000000447035,14035365.730000000447035
FS( 211 ),14229033.489999998360872,14229033.489999998360872
FS( 212 ),14076333.910000000149012,14076333.910000000149012
FS( 213 ),13787694.460000000894070,13787694.460000000894070
FS( 214 ),14202962.829999998211861,14202962.829999998211861
FS( 215 ),14046538.870000001043081,14046538.870000001043081
FS( 216 ),14150821.509999997913837,14150821.509999997913837
FS( 217 ),14042814.489999998360872,14042814.489999998360872
FS( 218 ),13869630.820000000298023,13869630.820000000298023
FS( 219 ),13947842.800000000745058,13947842.800000000745058
FS( 220 ),13662927.730000000447035,13662927.730000000447035
FS( 221 ),13873355.199999999254942,13873355.199999999254942
FS( 222 ),13893839.289999999105930,13893839.289999999105930
FS( 223 ),14078196.099999997764826,14078196.099999997764826
FS( 224 ),14128475.230000000447035,14128475.230000000447035
FS( 225 ),14121026.469999998807907,14121026.469999998807907
FS( 226 ),14048401.059999998658895,14048401.059999998658895
FS( 227 ),13625683.929999999701977,13625683.929999999701977
FS( 228 ),13584715.750000000000000,13584715.750000000000000
FS( 229 ),13579129.179999999701977,13579129.179999999701977
FS( 230 ),13636857.070000000298023,13636857.070000000298023
FS( 231 ),13662927.730000000447035,13662927.730000000447035
FS( 232 ),13860319.870000001043081,13860319.870000001043081
FS( 233 ),14236482.250000000000000,14236482.250000000000000
FS( 234 ),14314694.230000000447035,14314694.230000000447035
FS( 235 ),14366835.550000000745058,14366835.550000000745058
FS( 236 ),14411528.109999999403954,14411528.109999999403954
FS( 237 ),14305383.279999997466803,14305383.279999997466803
FS( 238 ),14435736.579999998211861,14435736.579999998211861
FS( 239 ),14284899.189999997615814,14284899.189999997615814
FS( 240 ),14621955.579999998211861,14621955.579999998211861
FS( 241 ),14715065.079999998211861,14715065.079999998211861
FS( 242 ),14700167.559999998658895,14700167.559999998658895
FS( 243 ),14862178.089999999850988,14862178.089999999850988
FS( 244 ),14756033.259999997913837,14756033.259999997913837
FS( 245 ),14791414.870000001043081,14791414.870000001043081
FS( 246 ),14865902.469999998807907,14865902.469999998807907
FS( 247 ),15040948.329999998211861,15040948.329999998211861
FS( 248 ),14968322.919999998062849,14968322.919999998062849
FS( 249 ),15035361.759999997913837,15035361.759999997913837
FS( 250 ),15013015.480000000447035,15013015.480000000447035
FS( 251 ),15137782.210000000894070,15137782.210000000894070
