代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12535268.099999999627471
真實報酬,2535268.099999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10615.080979510901670
風險,309104.857756613055244
起點值,0.034341359293257
找到最佳解世代,2281
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](5),NKE[19](1),UNH[23](7),
FS( 87 ),3442509.959999999962747,3700314.560000000055879,3620401.319999999832362,10763226.839999999850988
FS( 88 ),3434582.919999999459833,3678556.759999999776483,3632207.159999999683350,10745347.839999999850988
FS( 89 ),3413324.040000000037253,3675655.720000000204891,3634692.599999999627471,10723673.359999999403954
FS( 90 ),3433862.279999999795109,3747456.459999999962747,3683158.679999999701977,10864478.419999999925494
FS( 91 ),3444311.560000000055879,3767038.479999999981374,3707081.039999999571592,10918432.080000000074506
FS( 92 ),3425214.599999999627471,3763412.180000000167638,3655197.479999999981374,10843825.259999999776483
FS( 93 ),3397830.279999999795109,3748181.720000000204891,3696517.919999999925494,10842530.919999999925494
FS( 94 ),3409720.839999999385327,3791697.320000000298023,3776362.679999999701977,10977781.839999999850988
FS( 95 ),3430979.719999999739230,3798949.920000000391155,3720129.599999999627471,10950060.240000000223517
FS( 96 ),3465210.119999999646097,3843916.040000000037253,3755857.799999999813735,11064984.960000000894070
FS( 97 ),3461967.239999999757856,3863498.060000000055879,3738459.719999999739230,11063926.019999999552965
FS( 98 ),3490432.520000000018626,3872926.439999999944121,3735974.279999999795109,11099334.240000000223517
FS( 99 ),3501602.439999999944121,3887431.640000000130385,3813333.599999999627471,11202368.679999999701977
FS( 100 ),3482145.159999999683350,3851893.899999999906868,3702420.839999999850988,11036460.899999998509884
FS( 101 ),3451517.959999999962747,3815630.899999999906868,3800595.719999999739230,11067745.579999998211861
FS( 102 ),3505565.959999999962747,3978814.399999999906868,3829178.279999999795109,11313559.639999998733401
FS( 103 ),3438906.759999999776483,3904837.880000000353903,3765178.199999999720603,11108923.839999999850988
FS( 104 ),3425574.919999999459833,3917167.299999999813735,3790343.279999999795109,11133086.499999998137355
FS( 105 ),3450437.000000000000000,3968660.759999999776483,3833217.119999999646097,11252315.879999998956919
FS( 106 ),3465210.119999999646097,3984616.479999999981374,3784440.359999999869615,11234267.959999999031425
FS( 107 ),3446473.479999999981374,3983165.959999999962747,3795314.159999999683350,11224954.599999999627471
FS( 108 ),3483586.439999999944121,4036109.939999999944121,3749954.879999999888241,11269652.259999999776483
FS( 109 ),3453319.560000000055879,3962858.680000000167638,3690304.319999999832362,11106483.560000000521541
FS( 110 ),3476740.359999999403954,3968660.759999999776483,3707702.399999999906868,11153104.519999999552965
FS( 111 ),3518537.479999999981374,4007824.799999999813735,3795003.479999999981374,11321366.759999999776483
FS( 112 ),3546642.439999999944121,4076724.500000000000000,3804323.879999999888241,11427691.820000000298023
FS( 113 ),3559253.639999999664724,4073823.459999999962747,3883547.279999999795109,11516625.379999998956919
FS( 114 ),3569702.919999999459833,4057867.740000000223517,3910265.759999999776483,11537837.419999999925494
FS( 115 ),3526104.199999999720603,4073823.459999999962747,3881372.520000000018626,11481301.179999999701977
FS( 116 ),3513132.679999999701977,4090504.439999999944121,3847819.079999999608845,11451457.199999999254942
FS( 117 ),3512772.359999999403954,4102833.859999999869615,3810537.479999999981374,11426144.699999999254942
FS( 118 ),3506646.919999999459833,4097757.040000000037253,3754925.759999999776483,11359330.719999998807907
FS( 119 ),3516015.239999999757856,4137646.339999999850988,3747158.759999999776483,11400821.339999999850988
FS( 120 ),3498359.560000000055879,4134020.040000000037253,3707391.719999999739230,11339772.320000000298023
FS( 121 ),3462687.879999999422580,4097757.040000000037253,3664207.199999999720603,11224653.119999999180436
FS( 122 ),3460525.959999999962747,4052065.659999999683350,3662343.119999999646097,11174935.739999998360872
FS( 123 ),3507007.239999999757856,4115163.280000000260770,3775430.639999999664724,11397602.160000000149012
FS( 124 ),3538715.399999999441206,4167382.000000000000000,3775430.639999999664724,11481529.039999999105930
FS( 125 ),3573306.119999999646097,4171008.299999999813735,3745605.359999999869615,11489920.779999999329448
FS( 126 ),3598168.199999999720603,4178260.899999999906868,3771702.479999999981374,11548132.580000000074506
FS( 127 ),3582314.119999999646097,4164480.959999999962747,3755857.799999999813735,11502653.879999998956919
FS( 128 ),3572225.159999999683350,4198568.179999999701977,3754304.399999999906868,11525098.740000000223517
FS( 129 ),3596006.279999999795109,4234105.919999999925494,3849993.839999999850988,11680107.039999999105930
FS( 130 ),3579791.879999999422580,4174634.600000000093132,3791586.000000000000000,11546013.480000000447035
FS( 131 ),3564298.119999999646097,4152876.799999999813735,3784751.039999999571592,11501926.959999999031425
FS( 132 ),3581233.159999999683350,4183337.720000000204891,3805255.919999999925494,11569827.800000000745058
FS( 133 ),3560334.599999999627471,4150701.020000000018626,3798420.959999999962747,11509457.579999998211861
FS( 134 ),3541237.639999999664724,4099932.820000000298023,3765488.879999999888241,11406660.339999999850988
FS( 135 ),3580512.520000000018626,4119514.839999999850988,3744362.639999999664724,11444391.000000000000000
FS( 136 ),3576909.319999999366701,4147074.720000000204891,3759896.639999999664724,11483881.679999999701977
FS( 137 ),3626993.799999999348074,4169557.780000000260770,3846887.039999999571592,11643439.619999999180436
FS( 138 ),3630597.000000000000000,4163755.699999999720603,3899081.279999999795109,11693434.979999998584390
FS( 139 ),3642847.879999999422580,4168832.520000000018626,3828246.239999999757856,11639927.639999998733401
FS( 140 ),3594565.000000000000000,4072372.939999999944121,3721683.000000000000000,11388621.939999999478459
FS( 141 ),3499800.839999999385327,3875827.479999999981374,3612634.319999999832362,10988263.639999998733401
FS( 142 ),3346304.520000000018626,3767038.479999999981374,3430886.520000000018626,10544230.519999999552965
FS( 143 ),3286491.399999999441206,3754709.060000000055879,3416905.919999999925494,10458107.379999998956919
FS( 144 ),3428457.479999999981374,3944001.920000000391155,3525022.559999999590218,10897482.960000000894070
FS( 145 ),3507007.239999999757856,4083977.100000000093132,3658925.639999999664724,11249910.980000000447035
FS( 146 ),3468092.679999999701977,4079625.540000000037253,3643702.319999999832362,11191421.539999999105930
FS( 147 ),3423773.319999999366701,4052790.920000000391155,3594614.879999999888241,11071180.120000001043081
FS( 148 ),3367923.719999999739230,3939650.359999999869615,3499236.119999999646097,10806811.199999999254942
FS( 149 ),3460525.959999999962747,4014352.140000000130385,3548944.919999999925494,11023824.019999999552965
FS( 150 ),3459445.000000000000000,4020154.220000000204891,3541488.599999999627471,11021088.820000000298023
FS( 151 ),3417647.879999999422580,3978089.140000000130385,3490847.759999999776483,10886585.779999999329448
FS( 152 ),3487189.639999999664724,4052790.920000000391155,3606731.399999999906868,11146712.960000000894070
FS( 153 ),3438546.439999999944121,3983891.220000000204891,3575352.719999999739230,10997791.379999998956919
FS( 154 ),3432060.679999999701977,4002747.979999999981374,3627857.639999999664724,11062667.300000000745058
FS( 155 ),3509889.799999999348074,4054966.699999999720603,3687818.879999999888241,11252676.379999998956919
FS( 156 ),3494035.719999999739230,4057867.740000000223517,3659857.679999999701977,11211762.140000000596046
FS( 157 ),3537994.759999999776483,4128217.959999999962747,3729139.319999999832362,11395353.039999999105930
FS( 158 ),3556010.759999999776483,4191315.580000000074506,3763935.479999999981374,11511262.820000000298023
FS( 159 ),3525383.560000000055879,4180436.680000000167638,3829488.959999999962747,11535310.199999999254942
FS( 160 ),3496918.279999999795109,4172458.820000000298023,3804945.239999999757856,11474323.339999999850988
FS( 161 ),3527545.479999999981374,4226853.320000000298023,3850615.199999999720603,11605015.000000000000000
FS( 162 ),3502323.079999999608845,4205820.780000000260770,3819236.520000000018626,11527381.379999998956919
FS( 163 ),3508808.839999999385327,4186238.759999999776483,3830110.319999999832362,11525158.919999999925494
FS( 164 ),3505565.959999999962747,4163030.439999999944121,3762071.399999999906868,11430668.800000000745058
FS( 165 ),3516375.560000000055879,4532913.040000000037253,3615430.439999999944121,11664720.039999999105930
FS( 166 ),3457643.399999999441206,4429200.860000000335276,3501410.879999999888241,11388256.140000000596046
FS( 167 ),3512412.040000000037253,4339993.879999999888241,3548634.239999999757856,11401041.160000000149012
FS( 168 ),3550245.639999999664724,4459661.780000000260770,3604245.959999999962747,11614154.379999998956919
FS( 169 ),3559253.639999999664724,4490847.959999999962747,3622886.759999999776483,11672989.359999999403954
FS( 170 ),3595645.959999999962747,4540890.900000000372529,3691857.719999999739230,11828395.580000000074506
FS( 171 ),3645370.119999999646097,4506803.679999999701977,3717333.479999999981374,11869508.279999999329448
FS( 172 ),3671673.479999999981374,4467639.640000000596046,3605488.679999999701977,11744802.800000000745058
FS( 173 ),3666989.319999999366701,4427750.339999999850988,3617294.520000000018626,11712035.179999999701977
FS( 174 ),3709507.079999999608845,4530012.000000000000000,3606420.719999999739230,11845940.800000000745058
FS( 175 ),3702661.000000000000000,4530737.259999999776483,3705527.639999999664724,11938926.899999998509884
FS( 176 ),3719956.359999999403954,4585131.759999999776483,3806187.959999999962747,12111277.079999998211861
FS( 177 ),3725000.839999999385327,4562648.700000000186265,3852168.599999999627471,12139819.139999998733401
FS( 178 ),3704822.919999999459833,4563373.959999999962747,3792518.039999999571592,12060715.919999998062849
FS( 179 ),3735089.799999999348074,4670712.440000000409782,3733488.839999999850988,12139292.080000000074506
FS( 180 ),3776886.919999999459833,4731634.279999999329448,3727585.919999999925494,12236108.119999999180436
FS( 181 ),3764996.359999999403954,4830994.900000000372529,3750886.919999999925494,12346879.179999999701977
FS( 182 ),3741575.560000000055879,4800533.979999999515712,3741255.839999999850988,12283366.379999998956919
FS( 183 ),3694733.959999999962747,4804160.279999999329448,3669488.759999999776483,12168383.999999998137355
FS( 184 ),3994880.520000000018626,4801984.500000000000000,3535896.359999999869615,12332762.379999998956919
FS( 185 ),4056855.560000000055879,4733810.059999999590218,3601449.839999999850988,12392116.459999999031425
FS( 186 ),4042082.439999999944121,4764270.979999999515712,3620401.319999999832362,12426755.740000000223517
FS( 187 ),4022625.159999999683350,4743963.700000000186265,3708634.439999999944121,12475224.299999998882413
FS( 188 ),4069466.759999999776483,4761369.940000000409782,3721372.319999999832362,12552210.019999999552965
FS( 189 ),4057936.520000000018626,4754842.600000000558794,3719197.559999999590218,12531977.679999999701977
FS( 190 ),4044604.679999999701977,4751941.559999999590218,3659236.319999999832362,12455783.559999998658895
FS( 191 ),4039560.199999999720603,4757743.639999999664724,3687508.199999999720603,12484813.039999999105930
FS( 192 ),4038479.239999999757856,4764996.240000000223517,3655508.159999999683350,12458984.640000000596046
FS( 193 ),4050009.479999999981374,4727282.720000000670552,3561682.799999999813735,12338976.000000000000000
FS( 194 ),4066223.879999999422580,4781677.220000000670552,3611080.919999999925494,12458983.019999999552965
FS( 195 ),4082798.599999999627471,4778776.179999999701977,3566964.359999999869615,12428540.139999998733401
FS( 196 ),4069106.439999999944121,4731634.279999999329448,3549876.959999999962747,12350618.679999999701977
FS( 197 ),4079555.719999999739230,4714228.040000000037253,3600517.799999999813735,12394302.559999998658895
FS( 198 ),4102255.879999999422580,4620669.500000000000000,3558576.000000000000000,12281502.379999998956919
FS( 199 ),4039560.199999999720603,4568450.780000000260770,3505139.039999999571592,12113151.019999999552965
FS( 200 ),3962451.719999999739230,4419047.219999999739230,3461333.159999999683350,11842833.099999999627471
FS( 201 ),4001726.599999999627471,4477068.019999999552965,3536207.039999999571592,12015002.659999998286366
FS( 202 ),3997402.759999999776483,4445156.580000000074506,3553915.799999999813735,11996476.140000000596046
FS( 203 ),4054693.639999999664724,4561198.179999999701977,3642770.279999999795109,12258663.099999999627471
FS( 204 ),4082438.279999999795109,4561198.179999999701977,3437100.119999999646097,12080737.579999998211861
FS( 205 ),4104417.799999999348074,4810687.620000000111759,3509799.239999999757856,12424905.660000000149012
FS( 206 ),4124595.719999999739230,4803435.020000000484288,3484634.159999999683350,12412665.900000000372529
FS( 207 ),4117749.639999999664724,4805610.800000000745058,3516634.199999999720603,12439995.640000000596046
FS( 208 ),4122073.479999999981374,4864356.859999999403954,3554537.159999999683350,12540968.500000000000000
FS( 209 ),4115948.040000000037253,4871609.459999999962747,3552362.399999999906868,12539920.900000000372529
FS( 210 ),4113425.799999999348074,4796907.679999999701977,3501721.559999999590218,12412056.039999999105930
FS( 211 ),4123875.079999999608845,4834621.200000000186265,3612012.959999999962747,12570510.239999998360872
FS( 212 ),4097571.719999999739230,4810687.620000000111759,3654886.799999999813735,12563147.140000000596046
FS( 213 ),4085681.159999999683350,4682316.600000000558794,3572867.279999999795109,12340866.039999999105930
FS( 214 ),4186931.079999999608845,4799083.459999999962747,3657993.599999999627471,12644009.139999998733401
FS( 215 ),4194858.120000000111759,4772248.839999999850988,3601139.159999999683350,12568247.120000001043081
FS( 216 ),4198821.639999999664724,4775875.139999999664724,3600207.119999999646097,12574904.899999998509884
FS( 217 ),4200623.239999999292195,4672162.959999999962747,3574420.679999999701977,12447207.879999998956919
FS( 218 ),4222963.080000000074506,4664910.359999999403954,3610459.559999999590218,12498334.000000000000000
FS( 219 ),4182607.239999999757856,4580054.939999999478459,3603313.919999999925494,12365977.099999999627471
FS( 220 ),4189093.000000000000000,4636625.219999999739230,3599275.079999999608845,12424994.299999998882413
FS( 221 ),4213234.440000000409782,4664185.100000000558794,3653954.759999999776483,12531375.300000000745058
FS( 222 ),4246023.559999999590218,4748315.259999999776483,3691857.719999999739230,12686197.539999999105930
FS( 223 ),4233772.679999999701977,4722205.900000000372529,3703974.239999999757856,12659953.820000000298023
FS( 224 ),4203505.799999999813735,4660558.800000000745058,3598343.039999999571592,12462408.640000000596046
FS( 225 ),4240618.759999999776483,4706975.440000000409782,3647741.159999999683350,12595336.359999999403954
FS( 226 ),4241699.719999999739230,4781677.220000000670552,3648673.199999999720603,12672051.140000000596046
FS( 227 ),4280614.279999999329448,4667811.400000000372529,3687508.199999999720603,12635934.879999998956919
FS( 228 ),4272326.919999998994172,4582230.719999999739230,3676634.399999999906868,12531193.039999999105930
FS( 229 ),4278812.679999999701977,4627922.100000000558794,3676323.719999999739230,12583059.500000000000000
FS( 230 ),4326374.919999998994172,4660558.800000000745058,3722615.039999999571592,12709549.759999997913837
FS( 231 ),4303314.440000000409782,4587307.540000000037253,3694653.839999999850988,12585276.820000000298023
FS( 232 ),4256833.160000000149012,4532913.040000000037253,3654886.799999999813735,12444634.000000000000000
FS( 233 ),4236655.239999999292195,4461837.560000000521541,3618226.559999999590218,12316720.359999999403954
FS( 234 ),4295027.080000000074506,4524209.919999999925494,3625061.520000000018626,12444299.519999999552965
FS( 235 ),4266201.479999999515712,4459661.780000000260770,3588090.599999999627471,12313954.859999999403954
FS( 236 ),4167473.799999999348074,4340719.140000000596046,3482459.399999999906868,11990653.339999999850988
FS( 237 ),4160988.040000000037253,4269643.660000000149012,3422498.159999999683350,11853130.859999999403954
FS( 238 ),4204586.759999999776483,4318961.339999999850988,3404478.719999999739230,11928027.820000000298023
FS( 239 ),4231610.759999999776483,4347246.479999999515712,3487740.959999999962747,12066599.199999999254942
FS( 240 ),4148016.520000000018626,4263116.320000000298023,3393604.919999999925494,11804738.759999999776483
FS( 241 ),4202064.519999999552965,4243534.299999999813735,3441138.959999999962747,11886738.780000001192093
FS( 242 ),4150178.439999999944121,4174634.600000000093132,3394847.639999999664724,11719661.679999999701977
FS( 243 ),4233772.679999999701977,4229754.360000000335276,3497682.719999999739230,11961210.759999997913837
FS( 244 ),4171797.639999999664724,4281973.080000000074506,3566343.000000000000000,12020114.719999998807907
FS( 245 ),4246023.559999999590218,4392212.600000000558794,3526265.279999999795109,12164502.439999999478459
FS( 246 ),4266201.479999999515712,4415420.919999999925494,3552051.719999999739230,12233675.119999997317791
FS( 247 ),4295027.080000000074506,4402366.240000000223517,3522537.119999999646097,12219931.439999999478459
FS( 248 ),4339346.440000000409782,4432101.900000000372529,3540556.559999999590218,12312005.899999998509884
FS( 249 ),4355200.519999999552965,4321137.120000000111759,3489915.719999999739230,12166254.359999999403954
FS( 250 ),4409608.839999999850988,4438629.240000000223517,3460401.119999999646097,12308640.199999999254942
FS( 251 ),4460053.639999999664724,4497375.299999999813735,3577838.159999999683350,12535268.099999999627471
