代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13079720.920000001788139
真實報酬,3079720.920000001788139

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13695.229141005325801
風險,301488.928448203951120
起點值,0.045425313664074
找到最佳解世代,1959
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
FS( 72 ),10919415.640000002458692,10919415.640000002458692
FS( 73 ),10900127.200000001117587,10900127.200000001117587
FS( 74 ),10982638.860000001266599,10982638.860000001266599
FS( 75 ),10893697.720000000670552,10893697.720000000670552
FS( 76 ),10925845.120000001043081,10925845.120000001043081
FS( 77 ),11039432.600000001490116,11039432.600000001490116
FS( 78 ),11026573.640000002458692,11026573.640000002458692
FS( 79 ),11096226.340000001713634,11096226.340000001713634
FS( 80 ),11149805.340000001713634,11149805.340000001713634
FS( 81 ),11105870.560000000521541,11105870.560000000521541
FS( 82 ),11117657.940000001341105,11117657.940000001341105
FS( 83 ),11111228.460000000894070,11111228.460000000894070
FS( 84 ),11083367.380000002682209,11083367.380000002682209
FS( 85 ),11106942.140000002458692,11106942.140000002458692
FS( 86 ),11248390.700000001117587,11248390.700000001117587
FS( 87 ),11215171.720000000670552,11215171.720000000670552
FS( 88 ),11214100.140000002458692,11214100.140000002458692
FS( 89 ),11224815.940000001341105,11224815.940000001341105
FS( 90 ),11258034.920000001788139,11258034.920000001788139
FS( 91 ),11329830.780000001192093,11329830.780000001192093
FS( 92 ),11403769.800000000745058,11403769.800000000745058
FS( 93 ),11342689.740000000223517,11342689.740000000223517
FS( 94 ),11364121.340000001713634,11364121.340000001713634
FS( 95 ),11359835.020000001415610,11359835.020000001415610
FS( 96 ),11054434.720000000670552,11054434.720000000670552
FS( 97 ),11111228.460000000894070,11111228.460000000894070
FS( 98 ),11067293.680000001564622,11067293.680000001564622
FS( 99 ),11343761.320000002160668,11343761.320000002160668
FS( 100 ),11228030.680000001564622,11228030.680000001564622
FS( 101 ),11410199.280000001192093,11410199.280000001192093
FS( 102 ),11244104.380000002682209,11244104.380000002682209
FS( 103 ),11311613.920000001788139,11311613.920000001788139
FS( 104 ),11367336.080000001937151,11367336.080000001937151
FS( 105 ),11324472.880000002682209,11324472.880000002682209
FS( 106 ),11219458.040000000968575,11219458.040000000968575
FS( 107 ),11259106.500000000000000,11259106.500000000000000
FS( 108 ),11170165.360000001266599,11170165.360000001266599
FS( 109 ),11359835.020000001415610,11359835.020000001415610
FS( 110 ),11370550.820000002160668,11370550.820000002160668
FS( 111 ),11315900.240000000223517,11315900.240000000223517
FS( 112 ),11433774.040000000968575,11433774.040000000968575
FS( 113 ),11584866.820000002160668,11584866.820000002160668
FS( 114 ),11514142.540000000968575,11514142.540000000968575
FS( 115 ),11501283.580000001937151,11501283.580000001937151
FS( 116 ),11398411.900000002235174,11398411.900000002235174
FS( 117 ),11435917.200000001117587,11435917.200000001117587
FS( 118 ),11440203.520000001415610,11440203.520000001415610
FS( 119 ),11432702.460000000894070,11432702.460000000894070
FS( 120 ),11193740.120000001043081,11193740.120000001043081
FS( 121 ),11164807.460000000894070,11164807.460000000894070
FS( 122 ),11286967.580000001937151,11286967.580000001937151
FS( 123 ),11027645.220000000670552,11027645.220000000670552
FS( 124 ),11123015.840000001713634,11123015.840000001713634
FS( 125 ),11217314.880000002682209,11217314.880000002682209
FS( 126 ),11436988.780000001192093,11436988.780000001192093
FS( 127 ),11506641.480000000447035,11506641.480000000447035
FS( 128 ),11655591.100000001490116,11655591.100000001490116
FS( 129 ),11650233.200000001117587,11650233.200000001117587
FS( 130 ),11720957.480000000447035,11720957.480000000447035
FS( 131 ),11753104.880000002682209,11753104.880000002682209
FS( 132 ),11884909.220000000670552,11884909.220000000670552
FS( 133 ),11915985.040000000968575,11915985.040000000968575
FS( 134 ),11893481.860000001266599,11893481.860000001266599
FS( 135 ),11744532.240000000223517,11744532.240000000223517
FS( 136 ),11832401.800000000745058,11832401.800000000745058
FS( 137 ),11973850.360000001266599,11973850.360000001266599
FS( 138 ),11915985.040000000968575,11915985.040000000968575
FS( 139 ),12037073.580000001937151,12037073.580000001937151
FS( 140 ),11971707.200000001117587,11971707.200000001117587
FS( 141 ),11758462.780000001192093,11758462.780000001192093
FS( 142 ),11763820.680000001564622,11763820.680000001564622
FS( 143 ),11749890.140000002458692,11749890.140000002458692
FS( 144 ),11839902.860000001266599,11839902.860000001266599
FS( 145 ),11945989.280000001192093,11945989.280000001192093
FS( 146 ),12224600.080000001937151,12224600.080000001937151
FS( 147 ),12124943.140000002458692,12124943.140000002458692
FS( 148 ),12221385.340000001713634,12221385.340000001713634
FS( 149 ),12099225.220000000670552,12099225.220000000670552
FS( 150 ),12189237.940000001341105,12189237.940000001341105
FS( 151 ),12256747.480000000447035,12256747.480000000447035
FS( 152 ),12322113.860000001266599,12322113.860000001266599
FS( 153 ),12374621.280000001192093,12374621.280000001192093
FS( 154 ),12418556.060000000521541,12418556.060000000521541
FS( 155 ),12423913.960000000894070,12423913.960000000894070
FS( 156 ),12370334.960000000894070,12370334.960000000894070
FS( 157 ),12324257.020000001415610,12324257.020000001415610
FS( 158 ),12355332.840000001713634,12355332.840000001713634
FS( 159 ),12199953.740000000223517,12199953.740000000223517
FS( 160 ),12066006.240000000223517,12066006.240000000223517
FS( 161 ),12084223.100000001490116,12084223.100000001490116
FS( 162 ),12294252.780000001192093,12294252.780000001192093
FS( 163 ),12430343.440000001341105,12430343.440000001341105
FS( 164 ),12902910.220000000670552,12902910.220000000670552
FS( 165 ),12648945.760000001639128,12648945.760000001639128
FS( 166 ),12508568.780000001192093,12508568.780000001192093
FS( 167 ),12477492.960000000894070,12477492.960000000894070
FS( 168 ),12117442.080000001937151,12117442.080000001937151
FS( 169 ),12246031.680000001564622,12246031.680000001564622
FS( 170 ),12378907.600000001490116,12378907.600000001490116
FS( 171 ),12584650.960000000894070,12584650.960000000894070
FS( 172 ),12513926.680000001564622,12513926.680000001564622
FS( 173 ),12433558.180000001564622,12433558.180000001564622
FS( 174 ),12564290.940000001341105,12564290.940000001341105
FS( 175 ),12407840.260000001639128,12407840.260000001639128
FS( 176 ),12579293.060000000521541,12579293.060000000521541
FS( 177 ),12771105.880000002682209,12771105.880000002682209
FS( 178 ),12884693.360000001266599,12884693.360000001266599
FS( 179 ),12741101.640000002458692,12741101.640000002458692
FS( 180 ),12773249.040000000968575,12773249.040000000968575
FS( 181 ),12796823.800000000745058,12796823.800000000745058
FS( 182 ),12571792.000000000000000,12571792.000000000000000
FS( 183 ),12786108.000000000000000,12786108.000000000000000
FS( 184 ),12917912.340000001713634,12917912.340000001713634
FS( 185 ),13008996.640000002458692,13008996.640000002458692
FS( 186 ),12985421.880000002682209,12985421.880000002682209
FS( 187 ),12883621.780000001192093,12883621.780000001192093
FS( 188 ),13004710.320000002160668,13004710.320000002160668
FS( 189 ),13202952.620000001043081,13202952.620000001043081
FS( 190 ),13154731.520000001415610,13154731.520000001415610
FS( 191 ),13166518.900000002235174,13166518.900000002235174
FS( 192 ),13091508.300000000745058,13091508.300000000745058
FS( 193 ),12846116.480000000447035,12846116.480000000447035
FS( 194 ),12995066.100000001490116,12995066.100000001490116
FS( 195 ),13155803.100000001490116,13155803.100000001490116
FS( 196 ),13086150.400000002235174,13086150.400000002235174
FS( 197 ),12832185.940000001341105,12832185.940000001341105
FS( 198 ),12983278.720000000670552,12983278.720000000670552
FS( 199 ),13010068.220000000670552,13010068.220000000670552
FS( 200 ),13062575.640000002458692,13062575.640000002458692
FS( 201 ),13099009.360000001266599,13099009.360000001266599
FS( 202 ),13204024.200000001117587,13204024.200000001117587
FS( 203 ),13245815.820000002160668,13245815.820000002160668
FS( 204 ),13182592.600000001490116,13182592.600000001490116
FS( 205 ),13320826.420000001788139,13320826.420000001788139
FS( 206 ),13348687.500000000000000,13348687.500000000000000
FS( 207 ),13328327.480000000447035,13328327.480000000447035
FS( 208 ),13271533.740000000223517,13271533.740000000223517
FS( 209 ),12974706.080000001937151,12974706.080000001937151
FS( 210 ),13045430.360000001266599,13045430.360000001266599
FS( 211 ),13287607.440000001341105,13287607.440000001341105
FS( 212 ),13163304.160000002011657,13163304.160000002011657
FS( 213 ),12958632.380000002682209,12958632.380000002682209
FS( 214 ),13071148.280000001192093,13071148.280000001192093
FS( 215 ),13066861.960000000894070,13066861.960000000894070
FS( 216 ),12975777.660000002011657,12975777.660000002011657
FS( 217 ),12864333.340000001713634,12864333.340000001713634
FS( 218 ),12558933.040000000968575,12558933.040000000968575
FS( 219 ),12594295.180000001564622,12594295.180000001564622
FS( 220 ),12497852.980000000447035,12497852.980000000447035
FS( 221 ),12587865.700000001117587,12587865.700000001117587
FS( 222 ),12760390.080000001937151,12760390.080000001937151
FS( 223 ),13092579.880000002682209,13092579.880000002682209
FS( 224 ),13180449.440000001341105,13180449.440000001341105
FS( 225 ),13372262.260000001639128,13372262.260000001639128
FS( 226 ),13207238.940000001341105,13207238.940000001341105
FS( 227 ),13231885.280000001192093,13231885.280000001192093
FS( 228 ),13244744.240000000223517,13244744.240000000223517
FS( 229 ),13388335.960000000894070,13388335.960000000894070
FS( 230 ),13342258.020000001415610,13342258.020000001415610
FS( 231 ),13273676.900000002235174,13273676.900000002235174
FS( 232 ),12759318.500000000000000,12759318.500000000000000
FS( 233 ),12741101.640000002458692,12741101.640000002458692
FS( 234 ),12893266.000000000000000,12893266.000000000000000
FS( 235 ),12893266.000000000000000,12893266.000000000000000
FS( 236 ),12826828.040000000968575,12826828.040000000968575
FS( 237 ),12787179.580000001937151,12787179.580000001937151
FS( 238 ),12780750.100000001490116,12780750.100000001490116
FS( 239 ),12928628.140000002458692,12928628.140000002458692
FS( 240 ),12912554.440000001341105,12912554.440000001341105
FS( 241 ),12916840.760000001639128,12916840.760000001639128
FS( 242 ),13061504.060000000521541,13061504.060000000521541
FS( 243 ),13011139.800000000745058,13011139.800000000745058
FS( 244 ),13104367.260000001639128,13104367.260000001639128
FS( 245 ),12895409.160000002011657,12895409.160000002011657
FS( 246 ),12890051.260000001639128,12890051.260000001639128
FS( 247 ),12913626.020000001415610,12913626.020000001415610
FS( 248 ),13101152.520000001415610,13101152.520000001415610
FS( 249 ),13047573.520000001415610,13047573.520000001415610
FS( 250 ),13079720.920000001788139,13079720.920000001788139
