代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11087358.209999999031425
真實報酬,1087358.209999999031425

夏普值報酬,0.100035821000000
夏普值風險,0.029872343696606
夏普值,3.348777116921195

二次趨勢線,-214.224594924667258 x^2 + 29890.278405993740307 x + 10000000.000000000000000
二次加權預期報酬,11466.963242472353159
風險,77386.642584654080565
二次加權趨勢值,0.148177551829161
一次趨勢線,19527.786372428439790 x + 10000000.000000000000000
一次預期報酬,19527.786372428439790
一次風險,126450.929046123739681
一次趨勢值,0.154429758007595
找到最佳解世代,2196
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),JPM[13](5),PG[21](1),V[25](2),
FS( 22 ),2723949.890000000130385,2597533.510000000242144,2558386.240000000223517,2627550.799999999813735,10507420.440000001341105
FS( 23 ),2758102.900000000372529,2638750.600000000093132,2535090.719999999739230,2641984.179999999701977,10573928.399999998509884
FS( 24 ),2760188.580000000074506,2634669.700000000186265,2537449.759999999776483,2667830.000000000000000,10600138.039999999105930
FS( 25 ),2802162.890000000130385,2705677.359999999869615,2529488.000000000000000,2689983.560000000055879,10727311.810000000521541
FS( 26 ),2825366.080000000074506,2697515.560000000055879,2528898.240000000223517,2683606.020000000018626,10735385.900000000372529
FS( 27 ),2836837.320000000298023,2688129.490000000223517,2535680.479999999515712,2687298.279999999795109,10747945.570000000298023
FS( 28 ),2815719.810000000055879,2664052.180000000167638,2545116.640000000130385,2674543.200000000186265,10699431.830000001937151
FS( 29 ),2813894.840000000316650,2671397.799999999813735,2557501.600000000093132,2689312.239999999757856,10732106.480000000447035
FS( 30 ),2820412.590000000316650,2665684.540000000037253,2566642.879999999888241,2685955.639999999664724,10738695.650000000372529
FS( 31 ),2854304.890000000130385,2682008.140000000130385,2566053.119999999646097,2715829.379999999888241,10818195.530000001192093
FS( 32 ),2851697.790000000037253,2681600.049999999813735,2553078.399999999906868,2712472.779999999795109,10798849.019999999552965
FS( 33 ),2847526.430000000167638,2688945.670000000391155,2564283.839999999850988,2713479.759999999776483,10814235.699999999254942
FS( 34 ),2843876.490000000223517,2691394.210000000428408,2578438.079999999608845,2694347.139999999664724,10808055.920000001788139
FS( 35 ),2851176.370000000111759,2687721.399999999906868,2574604.640000000130385,2701060.339999999850988,10814562.750000000000000
FS( 36 ),2829016.020000000018626,2685272.859999999869615,2561040.159999999683350,2720864.279999999795109,10796193.319999998435378
FS( 37 ),2837880.159999999683350,2684048.589999999850988,2577258.560000000055879,2712137.119999999646097,10811324.429999999701977
FS( 38 ),2816501.939999999944121,2691394.210000000428408,2574604.640000000130385,2695018.459999999962747,10777519.250000000000000
FS( 39 ),2804509.279999999795109,2696291.290000000037253,2592002.560000000055879,2696025.439999999478459,10788828.570000000298023
FS( 40 ),2788084.549999999813735,2702412.640000000130385,2582566.399999999906868,2704416.939999999478459,10777480.529999999329448
FS( 41 ),2784956.029999999795109,2732203.210000000428408,2603797.759999999776483,2714486.739999999757856,10835443.740000000223517
FS( 42 ),2763577.810000000055879,2754648.160000000149012,2581386.879999999888241,2724556.540000000037253,10824169.390000000596046
FS( 43 ),2766184.909999999683350,2754648.160000000149012,2574604.640000000130385,2715493.720000000204891,10810931.430000001564622
FS( 44 ),2782609.640000000130385,2742813.549999999813735,2604092.640000000130385,2728920.119999999646097,10858435.949999999254942
FS( 45 ),2808680.640000000130385,2754240.069999999832362,2600848.959999999962747,2752416.319999999832362,10916185.990000000223517
FS( 46 ),2807898.510000000242144,2752199.620000000111759,2613823.679999999701977,2770206.299999999813735,10944128.109999999403954
FS( 47 ),2825105.370000000111759,2740773.100000000093132,2593476.959999999962747,2794038.159999999683350,10953393.589999999850988
FS( 48 ),2751063.729999999981374,2744445.910000000149012,2588464.000000000000000,2784975.339999999850988,10868948.980000000447035
FS( 49 ),2688754.040000000037253,2719960.510000000242144,2543052.479999999515712,2729927.099999999627471,10681694.129999998956919
FS( 50 ),2748978.049999999813735,2736692.200000000186265,2602323.359999999869615,2784975.339999999850988,10872968.949999999254942
FS( 51 ),2814416.260000000242144,2715063.430000000167638,2566937.759999999776483,2748724.060000000055879,10845141.509999999776483
FS( 52 ),2914007.479999999981374,2709758.260000000242144,2565758.240000000223517,2735297.659999999683350,10924821.640000000596046
FS( 53 ),3013077.279999999795109,2719552.420000000391155,2596720.640000000130385,2752751.979999999981374,11082102.320000000298023
FS( 54 ),2996131.129999999888241,2686089.040000000037253,2596425.759999999776483,2754765.939999999478459,11033411.869999999180436
FS( 55 ),2961195.990000000223517,2701188.370000000111759,2605861.919999999925494,2769534.979999999981374,11037781.259999999776483
FS( 56 ),2960935.279999999795109,2712206.799999999813735,2612054.399999999906868,2768528.000000000000000,11053724.480000000447035
FS( 57 ),2960413.859999999869615,2727714.220000000204891,2589053.759999999776483,2793366.839999999850988,11070548.679999999701977
FS( 58 ),2988309.830000000074506,2750159.170000000391155,2624144.479999999515712,2798066.079999999608845,11160679.559999998658895
FS( 59 ),2938514.219999999739230,2744445.910000000149012,2587874.240000000223517,2770541.959999999962747,11041376.330000000074506
FS( 60 ),2942946.290000000037253,2684456.680000000167638,2590528.159999999683350,2746038.779999999795109,10963969.910000000149012
FS( 61 ),2948421.200000000186265,2708125.899999999906868,2605567.040000000037253,2757786.879999999888241,11019901.019999999552965
FS( 62 ),2970842.260000000242144,2722409.049999999813735,2638003.839999999850988,2784975.339999999850988,11116230.490000000223517
FS( 63 ),2924696.590000000316650,2679151.510000000242144,2601733.600000000093132,2749731.040000000037253,10955312.740000002086163
FS( 64 ),2947378.359999999869615,2717511.970000000204891,2646555.359999999869615,2775912.520000000018626,11087358.209999999031425
