訓練日期,20150825 - 20151124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12713906.949999999254942
真實報酬,2713906.949999999254942

夏普值報酬,0.262690695000000
夏普值風險,0.070740041228523
夏普值,3.713465392978599

預期報酬,45455.155828324357572
風險,242649.785728153714444
趨勢值,0.187328233948036
找到最佳解世代,2291
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),MSFT[18](4),NKE[19](10),
20151029,4021247.400000000372529,4267429.320000000298023,4207410.120000001043081,12496087.840000001713634
20151030,3975805.899999999906868,4209848.040000000968575,4204843.080000000074506,12390498.020000001415610
20151102,4021247.400000000372529,4257832.439999999478459,4209977.160000000149012,12489058.000000000000000
20151103,4038724.900000000372529,4330608.779999999329448,4216394.759999999776483,12585729.439999999478459
20151104,3958677.950000000186265,4350602.279999999329448,4183023.240000000689179,12492304.470000000670552
20151105,3949939.200000000186265,4349002.800000000745058,4231155.240000000223517,12530098.240000002086163
20151106,4043269.050000000279397,4392188.759999999776483,4228588.199999999254942,12664047.009999999776483
20151109,4069485.300000000279397,4331408.519999999552965,4186873.799999999813735,12587768.620000001043081
20151110,4104440.300000000279397,4279425.419999999925494,4171471.560000000055879,12555338.280000001192093
20151111,4072980.800000000279397,4290621.779999999329448,4088684.520000000018626,12452288.099999999627471
20151112,4062144.750000000000000,4264230.359999999403954,4042477.800000000279397,12368853.910000000149012
20151113,4014256.400000000372529,4225842.839999999850988,3910275.240000000223517,12150375.480000000447035
20151116,4052007.800000000279397,4300218.660000000149012,3961616.040000000037253,12313843.500000000000000
20151117,4059348.350000000093132,4236239.460000000894070,3933378.600000000093132,12228967.410000000149012
20151118,4129607.900000000372529,4306616.580000000074506,4036060.200000000186265,12472285.679999999701977
20151119,4149532.250000000000000,4313814.240000000223517,4036060.200000000186265,12499407.690000001341105
20151120,4197071.049999999813735,4333807.740000000223517,4256825.640000000596046,12787705.429999999701977
20151123,4174350.300000000279397,4333807.740000000223517,4250408.040000000968575,12758567.080000001937151
20151124,4122966.450000000186265,4338606.179999999701977,4252333.320000000298023,12713906.949999999254942
