訓練日期,20130927 - 20131230
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11237104.789999999105930
真實報酬,1237104.789999999105930

夏普值報酬,0.115010479000000
夏普值風險,0.035337187641246
夏普值,3.254658524827215

預期報酬,18706.350446591579384
風險,84028.984801141661592
趨勢值,0.222617832297522
找到最佳解世代,2159
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DD[7](23),HD[9](16),MSFT[18](7),NKE[19](6),XOM[29](3),
Stock#,AAPL[0](1),DD[7](23),HD[9](16),MSFT[18](7),NKE[19](6),XOM[29](3),
張數,23994,29265,21909,50859,47388,19141,
20131015,1709375.320000000065193,1685102.949999999953434,1647166.990000000223517,1754143.479999999981374,1746277.839999999850988,1661306.520000000251457,10203377.099999999627471
20131016,1717773.220000000437722,1714075.300000000046566,1641908.830000000074506,1761772.329999999841675,1765706.919999999692664,1671259.840000000083819,10272500.439999999478459
20131017,1729290.340000000083819,1724903.349999999860302,1659436.030000000027940,1776012.849999999860302,1766180.800000000046566,1674513.810000000288710,10330341.179999999701977
20131018,1744406.560000000288710,1721684.199999999953434,1636431.580000000074506,1778047.209999999962747,1799352.399999999674037,1675853.680000000167638,10355779.629999998956919
20131021,1787115.880000000353903,1723732.750000000000000,1634897.950000000186265,1779572.979999999981374,1803143.439999999711290,1669728.560000000288710,10398195.560000000521541
20131022,1782077.140000000130385,1731634.300000000046566,1640156.110000000102445,1758720.789999999804422,1799826.279999999562278,1684084.310000000288710,10396502.930000001564622
20131023,1799352.820000000065193,1710270.849999999860302,1644976.090000000083819,1717016.409999999683350,1790348.679999999934807,1677002.140000000130385,10338970.990000000223517
20131024,1823346.820000000065193,1693004.500000000000000,1682221.390000000130385,1714982.049999999813735,1789400.919999999692664,1692506.350000000093132,10395466.029999999329448
20131025,1802951.920000000158325,1647058.449999999953434,1670609.620000000111759,1817208.639999999664724,1793665.839999999850988,1683892.900000000139698,10415391.369999999180436
20131028,1816388.560000000288710,1630084.750000000000000,1666446.910000000149012,1809071.199999999953434,1789400.919999999692664,1688869.560000000288710,10400265.900000000372529
20131029,1771039.900000000372529,1644424.599999999860302,1697995.870000000111759,1806528.250000000000000,1798878.519999999785796,1702268.260000000242144,10421139.400000000372529
20131030,1799352.820000000065193,1636230.399999999906868,1706321.290000000037253,1807545.429999999701977,1804091.199999999720603,1699971.340000000083819,10453516.479999998584390
20131031,1791674.740000000223517,1645009.900000000139698,1706540.380000000121072,1800933.759999999543652,1795087.479999999981374,1715475.550000000279397,10454725.810000000521541
20131101,1782557.020000000484288,1623353.800000000046566,1686822.280000000027940,1807036.839999999850988,1802195.679999999934807,1719303.750000000000000,10421273.370000001043081
20131104,1805591.260000000242144,1600527.099999999860302,1687041.370000000111759,1827889.029999999795109,1809777.759999999776483,1762945.229999999981374,10493775.750000000000000
20131105,1801032.400000000372529,1613696.350000000093132,1679373.220000000204891,1863490.329999999841675,1829206.839999999850988,1760839.719999999972060,10547642.860000001266599
20131106,1785676.240000000223517,1636230.399999999906868,1674334.150000000139698,1941813.189999999711290,1818781.479999999981374,1784383.150000000139698,10641222.609999999403954
20131107,1756643.500000000000000,1611647.800000000046566,1658340.580000000074506,1907229.069999999832362,1793665.839999999850988,1760265.489999999990687,10487796.279999999329448
20131108,1784476.540000000270084,1653204.100000000093132,1653739.690000000176951,1921469.589999999850988,1827311.319999999832362,1775004.060000000288710,10615209.300000000745058
20131111,1779197.860000000335276,1652911.449999999953434,1651329.700000000186265,1911806.380000000121072,1828259.079999999608845,1779406.489999999990687,10602914.960000000894070
20131112,1782557.020000000484288,1639449.550000000046566,1669075.990000000223517,1900108.809999999823049,1821624.759999999776483,1773855.600000000093132,10586675.729999998584390
20131113,1784716.480000000214204,1650277.600000000093132,1700186.770000000018626,1940796.009999999543652,1844371.000000000000000,1772324.320000000298023,10692676.179999999701977
20131114,1810390.060000000288710,1671348.399999999906868,1729544.830000000074506,1933675.750000000000000,1863326.199999999720603,1784383.150000000139698,10792672.390000000596046
20131115,1799592.760000000242144,1676616.099999999860302,1753425.640000000130385,1924521.130000000121072,1877068.719999999739230,1823622.199999999953434,10854850.549999998882413
