訓練日期,20170407 - 20170711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11009114.459999999031425
真實報酬,1009114.459999999031425

夏普值報酬,0.092211446000000
夏普值風險,0.029938416911548
夏普值,3.080037474006549

預期報酬,17024.842422996844107
風險,59426.735760221366945
趨勢值,0.286484562969935
找到最佳解世代,2593
找到最佳解實驗#,1
找到最佳解次數,22

stock[index](rank)
投資組合檔數,5
BA[2](4),JNJ[12](12),JPM[13](17),MCD[15](2),WMT[28](11),
20170530,2107225.250000000000000,2032945.580000000074506,1940334.920000000158325,2303939.479999999515712,2188153.279999999795109,10572598.509999999776483
20170531,2115681.500000000000000,2051177.600000000093132,1899864.420000000158325,2318690.839999999850988,2200752.829999999608845,10586167.189999999478459
20170601,2112186.250000000000000,2059653.890000000130385,1920909.080000000074506,2341739.839999999850988,2234631.619999999646097,10669120.679999999701977
20170602,2144996.500000000000000,2080444.790000000270084,1911196.159999999916181,2362483.940000000409782,2229311.810000000055879,10728433.200000001117587
20170605,2130564.500000000000000,2084922.830000000307336,1914665.060000000055879,2347886.239999999292195,2247231.169999999925494,10725269.799999998882413
20170606,2105759.500000000000000,2092439.540000000270084,1918596.479999999981374,2323915.279999999329448,2209992.500000000000000,10650703.299999998882413
20170607,2120980.750000000000000,2091160.100000000093132,1940566.179999999934807,2334825.139999999664724,2216152.279999999795109,10703684.449999997392297
20170608,2141614.000000000000000,2087961.500000000232831,1964617.219999999972060,2326988.479999999515712,2209992.500000000000000,10731173.699999999254942
20170609,2142741.500000000000000,2103634.640000000130385,2011100.479999999981374,2327756.779999999329448,2223712.009999999776483,10808945.410000000149012
20170612,2142403.250000000000000,2108272.609999999869615,2011563.000000000000000,2281505.120000000111759,2218672.189999999478459,10762416.169999999925494
20170613,2154693.000000000000000,2111471.210000000428408,2018269.540000000037253,2302249.219999999739230,2226511.909999999683350,10813194.880000000819564
20170614,2169237.750000000000000,2123465.960000000428408,2014106.860000000102445,2315463.979999999515712,2237151.529999999795109,10859426.080000000074506
20170615,2203852.000000000000000,2127784.069999999832362,2002081.339999999850988,2322993.319999999366701,2209432.519999999552965,10866143.250000000000000
20170616,2215014.250000000000000,2148734.899999999906868,1993062.200000000186265,2335593.440000000409782,2106676.189999999478459,10799080.980000000447035
20170619,2244780.250000000000000,2144256.859999999869615,2036770.339999999850988,2353264.339999999850988,2113955.929999999701977,10893027.719999998807907
20170620,2236324.000000000000000,2146655.810000000055879,2024051.040000000037253,2367554.719999999739230,2115075.889999999664724,10889661.460000000894070
20170621,2245795.000000000000000,2157690.979999999981374,2014800.640000000130385,2362330.279999999329448,2134675.189999999478459,10915292.089999999850988
20170622,2248839.250000000000000,2175923.000000000465661,2012488.040000000037253,2378771.900000000372529,2114515.909999999683350,10930538.100000001490116
20170623,2280296.500000000000000,2182000.340000000316650,2008787.880000000121072,2376313.339999999850988,2095476.589999999850988,10942874.649999998509884
20170626,2254927.750000000000000,2180560.970000000204891,2017575.760000000009313,2365864.459999999962747,2113955.929999999701977,10932884.870000001043081
20170627,2242638.000000000000000,2159290.279999999795109,2036307.820000000065193,2362176.620000000111759,2128235.419999999925494,10928648.139999998733401
20170628,2250868.750000000000000,2140258.609999999869615,2077240.839999999850988,2371088.900000000372529,2142234.919999999925494,10981692.019999999552965
20170629,2226514.750000000000000,2121386.869999999646097,2107998.419999999925494,2353110.679999999701977,2125995.500000000000000,10935006.219999998807907
20170630,2229784.500000000000000,2115789.319999999832362,2113779.919999999925494,2353571.660000000149012,2118995.750000000000000,10931921.150000000372529
20170703,2239255.500000000000000,2125545.050000000279397,2145000.020000000018626,2343430.099999999627471,2110036.069999999832362,10963266.740000000223517
20170705,2275561.000000000000000,2137379.869999999646097,2166507.200000000186265,2352188.719999999739230,2108916.109999999403954,11040552.899999998509884
20170706,2271840.250000000000000,2119467.710000000428408,2159569.399999999906868,2352496.040000000037253,2113115.959999999497086,11016489.360000001266599
20170707,2281875.000000000000000,2119787.569999999832362,2170438.620000000111759,2401359.919999999925494,2109196.099999999627471,11082657.209999999031425
20170710,2299802.250000000000000,2103954.500000000465661,2155175.459999999962747,2389835.419999999925494,2050398.199999999720603,10999165.829999998211861
20170711,2325847.500000000000000,2098836.739999999757856,2146850.100000000093132,2380462.160000000149012,2057117.959999999729916,11009114.459999999031425
