訓練日期,20131126 - 20140303
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11539166.960000000894070
真實報酬,1539166.960000000894070

夏普值報酬,0.145216696000000
夏普值風險,0.045060236143513
夏普值,3.222723812132228

預期報酬,24547.194284524644900
風險,131874.468326293601422
趨勢值,0.186140612326778
找到最佳解世代,1883
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](2),MRK[17](5),V[25](3),
20131216,2588267.600000000093132,2666064.760000000242144,2420963.060000000521541,2572305.040000000037253,10247600.460000000894070
20131217,2574642.399999999906868,2704768.200000000186265,2411398.080000000074506,2640152.919999999925494,10330961.599999999627471
20131218,2611667.399999999906868,2788475.640000000130385,2461740.080000000074506,2666400.640000000130385,10528283.759999999776483
20131219,2593006.800000000279397,2813677.880000000353903,2456202.460000000428408,2675314.959999999962747,10538202.100000001490116
20131220,2634178.600000000093132,2806027.200000000186265,2482883.720000000204891,2673829.240000000223517,10596918.760000001639128
20131223,2664687.199999999720603,2812327.760000000242144,2484897.400000000372529,2699581.719999999739230,10661494.080000000074506
20131224,2692826.199999999720603,2846980.840000000316650,2487414.500000000000000,2708000.799999999813735,10735222.339999999850988
20131226,2699935.000000000000000,2874883.320000000298023,2503020.520000000018626,2726324.679999999701977,10804163.519999999552965
20131227,2691641.399999999906868,2858231.840000000316650,2506544.460000000428408,2719886.560000000055879,10776304.260000001639128
20131230,2691641.399999999906868,2858231.840000000316650,2514095.760000000242144,2735239.000000000000000,10799208.000000000000000
20131231,2689864.200000000186265,2845630.720000000204891,2519633.379999999888241,2757029.560000000055879,10812157.859999999403954
20140102,2662021.399999999906868,2811427.680000000167638,2491441.860000000335276,2736229.479999999981374,10701120.419999999925494
20140103,2660540.399999999906868,2798826.560000000055879,2503523.939999999944121,2738210.439999999944121,10701101.339999999850988
20140106,2625588.799999999813735,2793876.120000000111759,2504027.360000000335276,2721867.520000000018626,10645359.800000000745058
20140107,2634178.600000000093132,2762823.360000000335276,2522653.900000000372529,2742667.600000000093132,10662323.460000000894070
20140108,2640398.799999999813735,2765973.640000000130385,2506544.460000000428408,2751581.919999999925494,10664498.820000000298023
20140109,2657282.199999999720603,2730420.480000000447035,2492952.120000000577420,2747620.000000000000000,10628274.800000000745058
20140110,2680978.200000000186265,2737171.080000000074506,2511075.240000000223517,2737715.200000000186265,10666939.720000000670552
20140113,2662613.799999999813735,2684966.439999999944121,2674183.320000000298023,2710477.000000000000000,10732240.560000000521541
20140114,2682459.200000000186265,2733570.760000000242144,2668142.280000000260770,2756534.319999999832362,10840706.560000000521541
20140115,2737256.199999999720603,2759223.040000000502914,2643978.120000000577420,2770401.040000000037253,10910858.400000002235174
20140116,2725408.200000000186265,2761473.240000000223517,2642971.280000000260770,2745639.040000000037253,10875491.760000001639128
20140117,2708524.799999999813735,2760573.160000000614673,2615283.180000000633299,2874896.679999999701977,10959277.820000000298023
20140121,2683644.000000000000000,2943739.439999999944121,2609242.140000000130385,2871430.000000000000000,11108055.580000000074506
20140122,2655208.799999999813735,2927538.000000000000000,2585077.980000000447035,2884801.479999999981374,11052626.259999999776483
20140123,2620849.600000000093132,2866332.560000000055879,2597663.480000000447035,2825867.919999999925494,10910713.560000000521541
20140124,2552427.399999999906868,2782175.080000000074506,2616793.439999999944121,2739200.919999999925494,10690596.839999999850988
20140127,2704081.800000000279397,2762373.320000000298023,2644481.540000000502914,2677295.919999999925494,10788232.580000001937151
20140128,2739033.399999999906868,2759673.080000000074506,2661597.820000000298023,2735734.240000000223517,10896038.540000000968575
20140129,2684236.399999999906868,2866782.600000000558794,2628372.100000000093132,2688191.200000000186265,10867582.300000000745058
20140130,2760656.000000000000000,2904135.920000000391155,2693816.700000000186265,2734743.759999999776483,11093352.379999998956919
20140131,2781686.199999999720603,2916737.040000000502914,2666632.020000000018626,2667391.120000000111759,11032446.379999998956919
20140203,2737552.399999999906868,2864082.360000000335276,2621827.640000000130385,2643124.359999999869615,10866586.759999999776483
20140204,2739922.000000000000000,2881633.920000000391155,2693816.700000000186265,2656495.839999999850988,10971868.460000000894070
20140205,2723927.199999999720603,2874433.280000000260770,2694823.540000000502914,2669372.080000000074506,10962556.100000001490116
20140206,2779316.600000000093132,2921687.480000000447035,2706905.620000000577420,2711467.479999999981374,11119377.180000001564622
20140207,2810121.399999999906868,2922587.560000000055879,2757247.620000000577420,2746134.280000000260770,11236090.859999999403954
20140210,2799162.000000000000000,2937888.920000000391155,2763288.660000000149012,2730781.839999999850988,11231121.419999999925494
20140211,2812787.199999999720603,3001794.600000000558794,2804065.680000000633299,2752572.399999999906868,11371219.880000000819564
20140212,2848627.399999999906868,2972091.960000000428408,2768826.280000000260770,2775353.439999999944121,11364899.080000000074506
20140213,2846850.200000000186265,2967591.560000000055879,2773860.480000000447035,2773867.719999999739230,11362169.960000000894070
20140214,2859883.000000000000000,2993693.879999999888241,2790976.760000000242144,2798134.479999999981374,11442688.120000001043081
20140218,2860179.200000000186265,2998194.280000000260770,2803562.260000000242144,2799124.959999999962747,11461060.699999999254942
20140219,2849812.199999999720603,2976142.320000000298023,2770839.960000000428408,2771886.759999999776483,11368681.240000000223517
20140220,2870842.399999999906868,3021146.320000000298023,2809603.300000000279397,2766934.359999999869615,11468526.380000000819564
20140221,2888022.000000000000000,3009895.320000000298023,2820678.540000000502914,2765448.640000000130385,11484044.500000001862645
20140224,2882690.399999999906868,3008995.240000000223517,2828229.840000000316650,2800610.679999999701977,11520526.160000000149012
20140225,2855736.199999999720603,3026546.800000000279397,2814637.500000000000000,2812001.200000000186265,11508921.699999999254942
20140226,2879136.000000000000000,3065250.240000000223517,2832760.620000000577420,2799620.200000000186265,11576767.060000002384186
20140227,2864326.000000000000000,3108904.120000000111759,2852394.000000000000000,2801601.160000000149012,11627225.280000001192093
20140228,2872323.399999999906868,3121955.280000000260770,2869006.860000000335276,2797639.240000000223517,11660924.779999999329448
20140303,2852774.200000000186265,3104403.720000000670552,2840311.920000000391155,2741677.120000000111759,11539166.960000000894070
