訓練日期,20091110 - 20100212
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10861616.089999999850988
真實報酬,861616.089999999850988

夏普值報酬,0.077461609000000
夏普值風險,0.026800064421761
夏普值,2.890351596957472

預期報酬,15437.481918753002901
風險,127057.468188786064275
趨勢值,0.121499996330916
找到最佳解世代,1636
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),HD[9](4),MCD[15](18),
20091218,3469001.169999999459833,3562102.040000000037253,3308322.419999999925494,10339426.629999998956919
20091221,3524826.349999999627471,3600644.650000000372529,3334397.279999999795109,10459869.279999999329448
20091222,3576756.750000000000000,3641673.879999999888241,3350893.620000000111759,10569325.250000000000000
20091223,3567668.929999999701977,3605617.890000000130385,3371647.080000000074506,10544934.900000000372529
20091224,3601423.689999999478459,3626754.160000000149012,3374839.919999999925494,10603018.769999999552965
20091228,3579353.269999999552965,3627997.470000000204891,3384950.580000000074506,10592302.320000000298023
20091229,3583897.179999999701977,3639187.260000000242144,3383886.300000000279397,10606971.740000000223517
20091230,3567668.929999999701977,3621780.919999999925494,3346636.500000000000000,10536087.349999999627471
20091231,3513791.139999999664724,3596914.720000000204891,3322690.199999999720603,10433397.059999998658895
20100104,3646862.789999999571592,3564588.660000000149012,3340782.959999999962747,10552235.410000000149012
20100105,3766302.709999999962747,3590698.169999999925494,3315240.239999999757856,10672242.119999999180436
20100106,3880549.589999999850988,3578265.070000000298023,3270008.340000000316650,10728824.000000000000000
20100107,4037639.049999999813735,3620537.610000000335276,3293954.640000000130385,10952132.300000000745058
20100108,3998691.250000000000000,3603131.270000000018626,3290761.800000000279397,10892585.320000000298023
20100111,3951304.759999999776483,3501179.850000000093132,3316304.520000000018626,10768790.129999998956919
20100112,3922743.039999999571592,3478800.270000000018626,3334397.279999999795109,10735941.589999999850988
20100113,3970129.529999999329448,3497449.919999999925494,3330672.300000000279397,10798252.750000000000000
20100114,3996094.729999999981374,3518586.190000000409782,3333865.140000000130385,10848547.060000000521541
20100115,3948059.109999999869615,3552155.560000000055879,3314175.959999999962747,10814391.629999998956919
20100119,3937023.899999999441206,3590698.169999999925494,3378032.759999999776483,10905755.829999998211861
20100120,3907813.049999999813735,3563345.350000000093132,3353022.179999999701977,10824181.580000000074506
20100121,3842900.049999999813735,3540965.770000000018626,3363132.840000000316650,10746999.660000000149012
20100122,3750074.459999999962747,3446474.209999999962747,3373243.500000000000000,10569793.169999999925494
20100125,3750723.589999999850988,3434041.110000000335276,3357279.300000000279397,10542045.000000000000000
20100126,3746179.679999999701977,3447717.520000000018626,3395593.380000000353903,10589491.580000000074506
20100127,4020112.539999999571592,3461393.930000000167638,3391336.259999999776483,10872843.730000000447035
20100128,4061007.729999999981374,3399228.430000000167638,3343443.660000000149012,10803680.820000000298023
20100129,3933778.250000000000000,3482530.200000000186265,3322158.060000000055879,10738467.509999999776483
20100201,4005182.549999999813735,3529775.979999999981374,3399850.500000000000000,10934810.029999999329448
20100202,4020761.669999999459833,3609347.820000000298023,3407300.459999999962747,11037410.949999999254942
20100203,3989603.429999999701977,3539722.459999999962747,3470092.979999999515712,10999419.869999999180436
20100204,3850689.609999999869615,3472583.720000000204891,3408896.880000000353903,10732171.210000000894070
20100205,3790969.649999999441206,3478800.270000000018626,3372179.219999999739230,10641950.140000000596046
20100208,3757864.019999999552965,3554642.180000000167638,3348232.919999999925494,10660740.119999999180436
20100209,3877953.069999999832362,3589454.860000000335276,3382822.020000000018626,10850230.949999999254942
20100210,3864970.469999999739230,3562102.040000000037253,3365793.540000000037253,10792867.050000000745058
20100211,3933129.120000000111759,3604374.580000000074506,3394529.100000000093132,10932033.800000000745058
20100212,3872110.899999999441206,3605617.890000000130385,3383886.300000000279397,10861616.089999999850988
