訓練日期,20110204 - 20110509
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10814353.939999999478459
真實報酬,814353.939999999478459

夏普值報酬,0.072735394000000
夏普值風險,0.023961629841249
夏普值,3.035494433470785

預期報酬,13367.383794693856544
風險,89655.712270940086455
趨勢值,0.149096844541233
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](4),MCD[15](7),PFE[20](2),TRV[22](6),
20110302,2658256.560000000055879,2529120.459999999962747,2502608.240000000223517,2568122.080000000074506,10258107.339999999850988
20110303,2676754.080000000074506,2581605.009999999776483,2578247.199999999720603,2578602.399999999906868,10415208.689999999478459
20110304,2665450.040000000037253,2574494.200000000186265,2563901.879999999888241,2584279.239999999757856,10388125.359999999403954
20110307,2646438.700000000186265,2583298.060000000521541,2557381.279999999795109,2574672.280000000260770,10361790.320000000298023
20110308,2665963.859999999869615,2557902.310000000521541,2566510.120000000111759,2579039.080000000074506,10369415.370000001043081
20110309,2624087.530000000260770,2566028.950000000186265,2563901.879999999888241,2593886.199999999720603,10347904.560000000521541
20110310,2545473.069999999832362,2596503.850000000558794,2524778.279999999795109,2555458.360000000335276,10222213.559999998658895
20110311,2567310.420000000391155,2598196.900000000372529,2539123.599999999627471,2571178.840000000316650,10275809.759999999776483
20110314,2589661.589999999850988,2562304.240000000223517,2583463.679999999701977,2570305.479999999981374,10305734.990000000223517
20110315,2600708.720000000204891,2543680.690000000409782,2576943.080000000074506,2555458.360000000335276,10276790.850000001490116
20110316,2556520.200000000186265,2484762.549999999813735,2516953.560000000055879,2534934.399999999906868,10093170.710000000894070
20110317,2626656.629999999888241,2485439.770000000484288,2592592.520000000018626,2562445.239999999757856,10267134.160000000149012
20110318,2641043.589999999850988,2471556.759999999776483,2631716.120000000111759,2535371.080000000074506,10279687.550000000745058
20110321,2702445.080000000074506,2497629.730000000447035,2605633.720000000204891,2574235.600000000093132,10379944.130000000819564
20110322,2703472.720000000204891,2501354.440000000409782,2600417.240000000223517,2544978.040000000037253,10350222.440000001341105
20110323,2709895.470000000204891,2523702.700000000186265,2597809.000000000000000,2551528.239999999757856,10382935.410000000149012
20110324,2707326.370000000111759,2537247.100000000558794,2647365.560000000055879,2568995.439999999944121,10460934.470000000670552
20110325,2743293.770000000018626,2548082.620000000111759,2653886.160000000149012,2575545.639999999664724,10520808.190000001341105
20110328,2724282.430000000167638,2539617.370000000111759,2643453.199999999720603,2572488.879999999888241,10479841.879999998956919
20110329,2758451.459999999962747,2552145.940000000409782,2657798.520000000018626,2587772.679999999701977,10556168.599999999627471
20110330,2774893.700000000186265,2567044.780000000260770,2652582.040000000037253,2593449.520000000018626,10587970.040000000968575
20110331,2761534.379999999888241,2576525.860000000335276,2648669.679999999701977,2597379.639999999664724,10584109.559999998658895
20110401,2782857.909999999683350,2573139.759999999776483,2657798.520000000018626,2607423.280000000260770,10621219.469999998807907
20110404,2780545.720000000204891,2586684.160000000149012,2678664.439999999944121,2603929.840000000316650,10649824.160000000149012
20110405,2808805.819999999832362,2593794.969999999739230,2666927.359999999869615,2582095.840000000316650,10651623.989999998360872
20110406,2791592.850000000093132,2597858.290000000037253,2646061.439999999944121,2617466.919999999925494,10652979.500000000000000
20110407,2798786.330000000074506,2573816.980000000447035,2651277.919999999925494,2610916.719999999739230,10634797.949999999254942
20110408,2817283.850000000093132,2574832.810000000521541,2668231.479999999981374,2601746.439999999944121,10662094.580000000074506
20110411,2768984.770000000018626,2581943.620000000111759,2695618.000000000000000,2638427.560000000055879,10684973.950000001117587
20110412,2676497.170000000391155,2595826.629999999888241,2668231.479999999981374,2606549.919999999925494,10547105.200000001117587
20110413,2666991.500000000000000,2603614.660000000149012,2668231.479999999981374,2617030.239999999757856,10555867.880000000819564
20110414,2694480.870000000111759,2609709.639999999664724,2672143.839999999850988,2603929.840000000316650,10580264.189999999478459
20110415,2729420.629999999888241,2620206.549999999813735,2677360.320000000298023,2611353.399999999906868,10638340.900000000372529
20110418,2684718.290000000037253,2607339.370000000111759,2660406.759999999776483,2576855.679999999701977,10529320.099999999627471
20110419,2707840.190000000409782,2593794.969999999739230,2677360.320000000298023,2540611.239999999757856,10519606.720000000670552
20110420,2769755.500000000000000,2654744.770000000484288,2659102.640000000130385,2582095.840000000316650,10665698.750000000000000
20110421,2777976.620000000111759,2604291.879999999888241,2580855.439999999944121,2677728.760000000242144,10640852.699999999254942
20110425,2759736.010000000242144,2611741.299999999813735,2626499.640000000130385,2697816.040000000037253,10695792.990000002086163
20110426,2793905.040000000037253,2605307.709999999962747,2633020.240000000223517,2680785.520000000018626,10713018.509999999776483
20110427,2799557.060000000055879,2636798.440000000409782,2690401.520000000018626,2718340.000000000000000,10845097.019999999552965
20110428,2795446.500000000000000,2642216.200000000186265,2716483.919999999925494,2753711.080000000074506,10907857.699999999254942
20110429,2811631.830000000074506,2651697.280000000260770,2734741.599999999627471,2763318.040000000037253,10961388.750000000000000
20110502,2779261.170000000391155,2662871.410000000149012,2741262.199999999720603,2773798.360000000335276,10957193.140000000596046
20110503,2727622.260000000242144,2673029.709999999962747,2665623.240000000223517,2796942.399999999906868,10863217.610000001266599
20110504,2689342.670000000391155,2677431.639999999664724,2691705.640000000130385,2774671.719999999739230,10833151.670000001788139
20110505,2636419.209999999962747,2661516.969999999739230,2659102.640000000130385,2751091.000000000000000,10708129.820000000298023
20110506,2643098.870000000111759,2664903.070000000298023,2679968.560000000055879,2769868.239999999757856,10757838.740000000223517
20110509,2674184.979999999981374,2685558.280000000260770,2686489.160000000149012,2768121.520000000018626,10814353.939999999478459
