訓練日期,20160105 - 20160407
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11123408.929999999701977
真實報酬,1123408.929999999701977

夏普值報酬,0.103640893000000
夏普值風險,0.041414836572448
夏普值,2.502506386055614

預期報酬,21182.342210430801060
風險,134498.263744625786785
趨勢值,0.157491566215681
找到最佳解世代,1967
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),VZ[26](1),WMT[28](2),
20160216,3408804.359999999869615,3650896.530000000260770,3574136.400000000372529,10633838.290000000968575
20160217,3419024.440000000409782,3656710.050000000279397,3585525.750000000000000,10661261.240000000223517
20160218,3428458.359999999869615,3701764.830000000074506,3477598.100000000093132,10607822.289999999105930
20160219,3441036.920000000391155,3695951.310000000055879,3506884.999999999534339,10643874.230000000447035
20160222,3454401.640000000130385,3711211.800000000279397,3559492.949999999720603,10725107.390000000596046
20160223,3434747.640000000130385,3679237.440000000409782,3605592.700000000186265,10719578.780000001192093
20160224,3452043.159999999683350,3693044.550000000279397,3640303.100000000093132,10785391.810000000521541
20160225,3471697.159999999683350,3714118.560000000055879,3690199.300000000279397,10876016.019999999552965
20160226,3391508.840000000316650,3707578.350000000558794,3607219.750000000000000,10706307.940000001341105
20160229,3390722.680000000167638,3686504.339999999850988,3597999.800000000279397,10675227.820000000298023
20160301,3434747.640000000130385,3739552.710000000428408,3604507.999999999534339,10778809.349999999627471
20160302,3441036.920000000391155,3787514.250000000000000,3590949.249999999534339,10819501.419999999925494
20160303,3455973.959999999962747,3770800.380000000353903,3587152.799999999813735,10813928.140000000596046
20160304,3467766.359999999869615,3764986.860000000335276,3621863.200000000186265,10854617.420000001788139
20160307,3459904.759999999776483,3794054.460000000428408,3682064.049999999813735,10936024.269999999552965
20160308,3484275.720000000204891,3812221.710000000428408,3690199.300000000279397,10986697.730000000447035
20160309,3522797.560000000055879,3803501.430000000633299,3662539.450000000186265,10988839.440000001341105
20160310,3555816.279999999795109,3802048.050000000279397,3656031.249999999534339,11013896.580000000074506
20160311,3553457.800000000279397,3817308.540000000502914,3643014.850000000093132,11013782.190000001341105
20160314,3560533.240000000223517,3818035.229999999981374,3653319.500000000000000,11031888.970000000670552
20160315,3556602.440000000409782,3827482.200000000186265,3692911.050000000279397,11076996.690000001341105
20160316,3541665.399999999906868,3866723.460000000428408,3687487.549999999813735,11095877.410000000149012
20160317,3598268.920000000391155,3897244.440000000409782,3658200.649999999906868,11153715.010000001639128
20160318,3584904.200000000186265,3868903.530000000260770,3631083.149999999906868,11084891.880000000819564
20160321,3590407.320000000298023,3883437.330000000074506,3686402.849999999627471,11160248.500000000000000
20160322,3577042.600000000093132,3866723.460000000428408,3680979.350000000093132,11124746.410000000149012
20160323,3573897.959999999962747,3844922.759999999776483,3658742.999999999534339,11077564.719999998807907
20160324,3583331.879999999888241,3892157.610000000335276,3688029.899999999906868,11163520.390000000596046
20160328,3600627.399999999906868,3880530.570000000298023,3694538.100000000093132,11175697.070000000298023
20160329,3654086.279999999795109,3927765.419999999925494,3689656.950000000186265,11271509.649999998509884
20160330,3661947.879999999888241,3927038.729999999981374,3731417.899999999906868,11320405.509999999776483
20160331,3647010.840000000316650,3929945.490000000223517,3714605.049999999813735,11291562.379999998956919
20160401,3681601.879999999888241,3924858.660000000149012,3745519.000000000000000,11351980.539999999105930
20160404,3686318.840000000316650,3954652.950000000186265,3747688.399999999441206,11388661.190000001341105
20160405,3658017.080000000074506,3930672.180000000633299,3722740.299999999813735,11311430.560000000521541
20160406,3672167.959999999962747,3889250.850000000558794,3744434.300000000279397,11305854.110000001266599
20160407,3644652.359999999869615,3778793.970000000204891,3699961.599999999627471,11123408.929999999701977
