訓練日期,20091218 - 20100324
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11380486.439999999478459
真實報酬,1380486.439999999478459

夏普值報酬,0.129348644000000
夏普值風險,0.037609315367315
夏普值,3.439271434130203

預期報酬,19673.787758287500765
風險,134401.881940548308194
趨勢值,0.146380299696920
找到最佳解世代,1837
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](3),TRV[22](2),UNH[23](9),
20100212,2737741.279999999795109,2567424.580000000074506,2606965.180000000167638,2528283.759999999776483,10440414.799999998882413
20100216,2811633.839999999850988,2584381.660000000149012,2666907.020000000018626,2485072.459999999962747,10547994.980000000447035
20100217,2837335.600000000093132,2594475.160000000149012,2674141.379999999888241,2557353.179999999701977,10663305.320000000298023
20100218,2886444.319999999832362,2603357.439999999944121,2725298.640000000130385,2568352.419999999925494,10783452.820000000298023
20100219,2918571.520000000018626,2613854.679999999701977,2732533.000000000000000,2509427.919999999925494,10774387.119999999180436
20100222,2936012.000000000000000,2615065.899999999906868,2740800.839999999850988,2598993.159999999683350,10890871.900000000372529
20100223,2880936.799999999813735,2619103.300000000279397,2705662.520000000018626,2577780.339999999850988,10783482.959999999031425
20100224,2913522.959999999962747,2634849.160000000149012,2727882.339999999850988,2641418.799999999813735,10917673.259999999776483
20100225,2885526.399999999906868,2599320.039999999571592,2725815.379999999888241,2628062.580000000074506,10838724.399999998509884
20100226,2898836.239999999757856,2577921.819999999832362,2717547.540000000037253,2660274.639999999664724,10854580.239999998360872
20100301,2937388.879999999888241,2583170.439999999944121,2742867.799999999813735,2674416.520000000018626,10937843.640000000596046
20100302,2957583.119999999646097,2586804.099999999627471,2753719.339999999850988,2667345.580000000074506,10965452.139999998733401
20100303,2958042.080000000074506,2569039.540000000037253,2744934.759999999776483,2679130.479999999981374,10951146.859999999403954
20100304,3008527.679999999701977,2560964.739999999757856,2767154.579999999608845,2588779.580000000074506,10925426.580000000074506
20100305,3117760.160000000149012,2570654.500000000000000,2787307.439999999944121,2650846.720000000204891,11126568.820000000298023
20100308,3086091.919999999459833,2629196.800000000279397,2780073.079999999608845,2600564.479999999981374,11095926.279999999329448
20100309,3111334.720000000204891,2628389.319999999832362,2768188.060000000055879,2598993.159999999683350,11106905.259999999776483
20100310,3213223.840000000316650,2621929.479999999981374,2733049.739999999757856,2611563.720000000204891,11179766.780000001192093
20100311,3215977.599999999627471,2632830.459999999497086,2770771.759999999776483,2631990.879999999888241,11251570.699999999254942
20100312,3204962.559999999590218,2645750.140000000130385,2747001.719999999739230,2585636.939999999478459,11183351.359999997541308
20100315,3185227.280000000260770,2661899.740000000223517,2724781.899999999906868,2555781.859999999869615,11127690.779999999329448
20100316,3154018.000000000000000,2667552.099999999627471,2730982.779999999795109,2596636.179999999701977,11149189.059999998658895
20100317,3184309.359999999869615,2680068.039999999571592,2738217.140000000130385,2573066.379999999888241,11175660.919999998062849
20100318,3252694.399999999906868,2692180.240000000223517,2758370.000000000000000,2639061.820000000298023,11342306.460000000894070
20100319,3245810.000000000000000,2686124.140000000130385,2762503.919999999925494,2701914.620000000111759,11396352.679999999701977
20100322,3300426.239999999757856,2705503.660000000149012,2758886.739999999757856,2616277.679999999701977,11381094.320000000298023
20100323,3312818.160000000149012,2719230.819999999832362,2785240.479999999981374,2605278.439999999478459,11422567.900000000372529
20100324,3319243.599999999627471,2697025.119999999646097,2793508.319999999832362,2570709.399999999906868,11380486.439999999478459
