訓練日期,20130905 - 20131205
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11680880.620000001043081
真實報酬,1680880.620000001043081

夏普值報酬,0.159388062000000
夏普值風險,0.047776736169890
夏普值,3.336101935327499

預期報酬,26952.289141514986113
風險,83545.493108933442272
趨勢值,0.322606141140042
找到最佳解世代,1852
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,5
AAPL[0](23),BA[2](3),MRK[17](27),MSFT[18](2),NKE[19](1),
20131003,1938798.680000000400469,2166773.740000000223517,2028523.280000000027940,2170511.319999999832362,2199569.500000000000000,10504176.520000001415610
20131004,1937114.240000000223517,2203625.660000000149012,2023070.299999999813735,2171793.360000000335276,2214921.000000000000000,10550524.560000000521541
20131007,1956204.560000000521541,2194036.639999999664724,2008808.659999999916181,2134614.199999999720603,2190358.600000000093132,10484022.660000000149012
20131008,1928972.780000000027940,2170534.139999999664724,2002936.219999999972060,2116024.620000000111759,2157813.419999999925494,10376281.179999999701977
20131009,1951431.980000000447035,2152296.200000000186265,1982802.140000000130385,2119870.740000000223517,2176849.280000000260770,10383250.339999999850988
20131010,1963784.540000000270084,2235589.060000000521541,1992030.260000000009313,2164101.120000000111759,2254834.899999999906868,10610339.880000000819564
20131011,1976417.840000000316650,2218291.219999999739230,1983641.059999999823049,2187818.860000000335276,2255448.959999999962747,10621617.940000001341105
20131014,1989331.880000000121072,2246118.179999999701977,1960990.219999999972060,2208331.500000000465661,2273870.760000000242144,10678642.539999999105930
20131015,2000000.000000000000000,2222051.620000000111759,1953439.939999999944121,2210895.580000000074506,2262817.680000000167638,10649204.820000000298023
20131016,2009825.900000000372529,2262663.940000000409782,1978607.540000000037253,2220510.880000000353903,2287994.140000000130385,10759602.400000002235174
20131017,2023301.419999999925494,2299327.839999999850988,1976090.780000000027940,2238459.440000000409782,2288608.200000000186265,10825787.679999999701977
20131018,2040988.040000000270084,2303652.299999999813735,1955117.780000000027940,2241023.520000000018626,2331592.399999999906868,10872374.040000000968575
20131021,2090959.760000000242144,2283910.200000000186265,1950923.179999999934807,2242946.580000000074506,2336504.879999999888241,10905244.600000001490116
20131022,2085064.220000000204891,2302900.219999999739230,1949245.339999999850988,2216664.759999999776483,2332206.459999999962747,10886081.000000000000000
20131023,2105277.500000000000000,2425865.299999999813735,1953020.479999999981374,2164101.120000000111759,2319925.260000000242144,10968189.659999998286366
20131024,2133351.500000000000000,2425113.219999999739230,1938758.839999999850988,2161537.040000000037253,2318697.140000000130385,10977457.740000000223517
20131025,2109488.600000000093132,2466665.639999999664724,1952181.559999999823049,2290382.060000000055879,2324223.680000000167638,11142941.539999999105930
20131028,2125210.040000000502914,2442035.019999999552965,1902265.820000000065193,2280125.740000000223517,2318697.140000000130385,11068333.760000001639128
20131029,2072150.180000000400469,2437898.580000000074506,1911913.399999999906868,2276920.640000000130385,2330978.340000000316650,11029861.140000000596046
20131030,2105277.500000000000000,2438274.620000000111759,1897651.760000000009313,2278202.680000000167638,2337733.000000000000000,11057139.560000000521541
20131031,2096293.820000000298023,2453692.259999999776483,1891359.860000000102445,2269869.419999999925494,2326065.860000000335276,11037281.219999998807907
20131101,2085625.700000000419095,2501261.320000000298023,1897232.299999999813735,2277561.660000000149012,2335276.760000000242144,11096957.740000000223517
20131104,2112576.740000000223517,2496748.839999999850988,1917785.839999999850988,2303843.479999999981374,2345101.719999999739230,11176056.620000001043081
20131105,2107242.680000000167638,2511414.399999999441206,1902685.280000000027940,2348714.880000000353903,2370278.180000000167638,11240335.419999999925494
20131106,2089275.320000000298023,2502389.440000000409782,1927852.880000000121072,2447431.959999999962747,2356768.860000000335276,11323718.460000000894070
20131107,2055305.780000000027940,2472682.280000000260770,1921980.439999999944121,2403842.600000000093132,2324223.680000000167638,11178034.779999999329448
20131108,2087871.620000000344589,2509910.240000000223517,1963087.519999999785796,2421791.160000000149012,2367821.940000000409782,11350482.480000000447035
20131111,2081695.340000000316650,2491860.320000000298023,1971476.719999999972060,2409611.780000000260770,2369050.060000000055879,11323694.220000000670552
20131112,2085625.700000000419095,2488099.919999999925494,1996224.860000000102445,2394868.319999999832362,2360453.219999999739230,11325272.019999999552965
20131113,2088152.360000000102445,2503893.599999999627471,1985738.360000000102445,2446149.919999999925494,2389928.100000000093132,11413862.339999999850988
20131114,2118191.540000000502914,2539993.440000000409782,2005872.439999999944121,2437175.640000000130385,2414490.500000000000000,11515723.560000000521541
20131115,2105558.240000000223517,2558607.419999999925494,2016358.939999999944121,2425637.280000000260770,2432298.240000000223517,11538460.119999999180436
20131118,2080010.900000000372529,2601475.980000000447035,2013842.179999999934807,2384612.000000000465661,2412648.319999999832362,11492589.380000000819564
20131119,2083660.520000000251457,2575529.219999999739230,2016358.939999999944121,2355125.080000000074506,2389314.040000000037253,11419987.800000000745058
20131120,2065412.419999999925494,2490356.160000000149012,2018875.700000000186265,2376919.759999999776483,2389928.100000000093132,11341492.139999998733401
20131121,2090117.540000000270084,2499381.120000000111759,2039429.239999999757856,2397432.399999999906868,2397910.879999999888241,11424271.179999999701977
20131122,2084783.480000000447035,2556539.200000000186265,2052851.959999999962747,2408329.740000000223517,2421859.219999999739230,11524363.600000001490116
20131125,2100504.919999999925494,2500697.259999999776483,2083053.079999999841675,2412816.880000000353903,2429842.000000000000000,11526914.140000000596046
20131126,2139247.040000000502914,2534164.820000000298023,2079697.399999999906868,2394227.300000000279397,2443965.379999999888241,11591301.940000001341105
20131127,2189499.500000000000000,2533036.700000000186265,2090183.899999999906868,2410252.800000000279397,2435982.600000000093132,11658955.500000000000000
20131129,2230206.800000000279397,2524199.759999999776483,2090183.899999999906868,2444226.860000000335276,2429842.000000000000000,11718659.320000000298023
20131202,2210835.740000000223517,2522507.580000000074506,2104865.000000000000000,2464739.500000000465661,2428613.879999999888241,11731561.699999999254942
20131203,2271194.840000000316650,2481895.259999999776483,2087247.679999999934807,2455765.220000000204891,2429842.000000000000000,11725945.000000000000000
20131204,2265860.780000000260770,2472494.259999999776483,2068371.979999999981374,2496149.479999999981374,2420017.040000000037253,11722893.539999999105930
20131205,2277651.859999999869615,2495620.719999999739230,2047398.979999999981374,2435893.600000000093132,2424315.459999999962747,11680880.620000001043081
