訓練日期,20150904 - 20151207
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12078156.159999998286366
真實報酬,2078156.159999998286366

夏普值報酬,0.199115616000000
夏普值風險,0.064240987314702
夏普值,3.099510520045049

預期報酬,33209.146062990424980
風險,211580.510078177700052
趨勢值,0.156957491267602
找到最佳解世代,1575
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](14),MCD[15](1),MSFT[18](2),NKE[19](9),
20151008,2595622.399999999906868,2680703.719999999739230,2727010.450000000186265,2817060.029999999795109,10820396.599999999627471
20151009,2601411.200000000186265,2675756.500000000000000,2707470.310000000055879,2817511.039999999571592,10802149.049999998882413
20151012,2613632.000000000000000,2688254.739999999292195,2701148.500000000000000,2851336.789999999571592,10854372.029999999329448
20151013,2607414.399999999906868,2691900.059999999590218,2694826.689999999944121,2837355.479999999515712,10831496.629999998956919
20151014,2578684.799999999813735,2677318.779999999329448,2682757.779999999795109,2837806.489999999757856,10776567.849999999627471
20151015,2611702.399999999906868,2699190.699999999720603,2701723.209999999962747,2904555.970000000204891,10917172.279999999329448
20151016,2631641.600000000093132,2729394.779999999329448,2730458.709999999962747,2942440.809999999590218,11033935.899999998509884
20151019,2639360.000000000000000,2720802.239999999292195,2736780.520000000018626,3004229.179999999701977,11101171.939999999478459
20151020,2634000.000000000000000,2703877.539999999571592,2745401.170000000391155,2985286.759999999776483,11068565.469999998807907
20151021,2643648.000000000000000,2670028.139999999664724,2712642.700000000186265,2987541.809999999590218,11013860.649999998509884
20151022,2666374.399999999906868,2886924.679999999701977,2760343.629999999888241,2986188.779999999329448,11299831.489999998360872
20151023,2671734.399999999906868,2931710.039999999571592,3038503.270000000018626,2943793.839999999850988,11585741.549999998882413
20151026,2680310.399999999906868,2921034.459999999962747,3117813.250000000000000,2962736.259999999776483,11681894.369999999180436
20151027,2668732.799999999813735,2906973.939999999478459,3085629.489999999757856,2950107.979999999515712,11611444.209999997168779
20151028,2654796.799999999813735,2940823.339999999385327,3102296.079999999608845,2960932.220000000204891,11658848.439999999478459
20151029,2650723.199999999720603,2932491.179999999701977,3066664.060000000055879,2956873.129999999888241,11606751.570000000298023
20151030,2650937.600000000093132,2922857.119999999646097,3025284.939999999944121,2955069.089999999850988,11554148.750000000000000
20151102,2667446.399999999906868,2919211.799999999813735,3059767.540000000037253,2958677.169999999459833,11605102.909999998286366
20151103,2694246.399999999906868,2918430.659999999683350,3112066.149999999906868,2963187.270000000018626,11687930.479999998584390
20151104,2688243.199999999720603,2926762.819999999832362,3126433.899999999906868,2939734.750000000000000,11681174.669999999925494
20151105,2695532.799999999813735,2938479.919999999459833,3125284.479999999981374,2973560.500000000000000,11732857.699999999254942
20151106,2701107.200000000186265,2950457.399999999906868,3156318.820000000298023,2971756.459999999962747,11779639.879999998956919
20151109,2669376.000000000000000,2940562.959999999962747,3112640.859999999869615,2942440.809999999590218,11665020.629999998956919
20151110,2685670.399999999906868,2948113.979999999515712,3075284.709999999962747,2931616.569999999832362,11640685.660000000149012
20151111,2673878.399999999906868,2964517.919999999459833,3083330.649999999906868,2873436.279999999795109,11595163.249999998137355
20151112,2654582.399999999906868,2919211.799999999813735,3064365.220000000204891,2840963.560000000055879,11479122.980000000447035
20151113,2572896.000000000000000,2863490.479999999515712,3036779.140000000130385,2748055.500000000000000,11221221.119999999180436
20151116,2590905.600000000093132,2891871.899999999906868,3090227.170000000391155,2784136.299999999813735,11357140.969999998807907
20151117,2705395.200000000186265,2888747.339999999385327,3044250.370000000111759,2764291.859999999869615,11402684.769999999552965
20151118,2713113.600000000093132,2930147.759999999776483,3094824.850000000093132,2836453.459999999962747,11574539.669999998062849
20151119,2719974.399999999906868,2950197.019999999552965,3099997.239999999757856,2836453.459999999962747,11606622.120000001043081
20151120,2791798.400000000372529,2966080.199999999720603,3114364.989999999757856,2991600.899999999906868,11863844.490000000223517
20151123,2840896.000000000000000,2980661.479999999515712,3114364.989999999757856,2987090.799999999813735,11923013.269999999552965
20151124,2864480.000000000000000,2975714.259999999776483,3117813.250000000000000,2988443.830000000074506,11946451.339999999850988
20151125,2886992.000000000000000,2978838.819999999832362,3085629.489999999757856,3024975.639999999664724,11976435.949999999254942
20151127,2888921.600000000093132,2974412.359999999869615,3099422.529999999795109,3029485.739999999757856,11992242.230000000447035
20151130,2870483.199999999720603,2972589.699999999720603,3123560.350000000093132,2983031.709999999962747,11949664.960000000894070
20151201,2882275.200000000186265,2980140.719999999739230,3173560.120000000111759,3006484.229999999515712,12042460.269999999552965
20151202,2868982.399999999906868,2961132.979999999515712,3172985.410000000149012,2991600.899999999906868,11994701.689999999478459
20151203,2807235.200000000186265,2952540.439999999478459,3114939.700000000186265,2911772.129999999888241,11786487.469999998807907
20151204,2884419.200000000186265,3025707.219999999739230,3213215.109999999869615,2984384.739999999757856,12107726.269999999552965
20151207,2871555.200000000186265,3031435.579999999608845,3207468.010000000242144,2967697.369999999646097,12078156.159999998286366
