訓練日期,20150826 - 20151125
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12382935.570000000298023
真實報酬,2382935.570000000298023

夏普值報酬,0.229593557000000
夏普值風險,0.062711995377467
夏普值,3.661078803473963

預期報酬,39755.778030961402692
風險,222035.075094497500686
趨勢值,0.179051791767771
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](2),KO[14](7),MCD[15](1),MSFT[18](3),NKE[19](14),TRV[22](15),
20151112,2019847.919999999692664,1824162.889999999897555,2048550.800000000046566,2195854.700000000186265,2027871.459999999962747,1914914.000000000000000,12031205.769999999552965
20151113,1996035.949999999953434,1815388.690000000176951,2009448.720000000204891,2176087.340000000316650,1961553.879999999888241,1909628.500000000000000,11868147.080000001937151
20151116,2014807.429999999934807,1840833.870000000111759,2029365.200000000186265,2214386.600000000093132,1987308.279999999795109,1924803.000000000000000,12011508.379999998956919
20151117,2018457.439999999944121,1828111.280000000027940,2027172.560000000055879,2181441.000000000000000,1973143.359999999869615,1922245.500000000000000,11950575.139999998733401
20151118,2053393.250000000000000,1854872.590000000083819,2056225.040000000037253,2217681.160000000149012,2024652.159999999916181,1955322.500000000000000,12162150.699999999254942
20151119,2063300.419999999692664,1891285.520000000018626,2070294.479999999981374,2221387.540000000037253,2024652.159999999916181,1961119.500000000000000,12232043.619999999180436
20151120,2086938.579999999841675,1861453.239999999990687,2081440.400000000139698,2231683.040000000037253,2135396.080000000074506,1974930.000000000000000,12371845.339999999850988
20151123,2075640.929999999934807,1884704.870000000111759,2091672.720000000204891,2231683.040000000037253,2132176.780000000260770,1971520.000000000000000,12387402.339999999850988
20151124,2050090.859999999869615,1902253.270000000018626,2088201.040000000037253,2234153.959999999962747,2133142.570000000298023,1968280.500000000000000,12376126.199999999254942
20151125,2062605.179999999934807,1902253.270000000018626,2090393.680000000167638,2211092.040000000037253,2159218.899999999441206,1957368.500000000000000,12382935.570000000298023
